"sample.depths","sample.ages","Abies","Acer.negundo","Allium","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Comandra","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Eriogonum","Euphorbia","Fabaceae.undiff.","Fraxinus","Geranium","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Lemnaceae","Liliaceae","Lycopus.type","Lysimachia","Ostrya.Carpinus","Phacelia","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Poaceae","Polygonum.amphibium","Polygonum.bistortoides.type","Polypodiaceae","Populus.tremuloides.type","Potamogetonaceae","Pseudotsuga","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Scrophulariaceae","Selaginella","Sparganium.type","Thalictrum","Typha.latifolia","Ulmus","Unknown","Urtica.type","Xanthium"
672,3134,0,0,0,1,38,21,0,2,150,36,0,1,0,0,0,0,20,59,2,1,0,0,0,1,1,0,2,0,0,0,1,3,0,1,0,0,1,0,3,0,0,78,0,107,1,0,0,6,0,0,0,8,0,0,2,0,0,3,5,0,0,0,0,2,0,3,1,5
768,3751,0,0,0,3,29,109,0,4,135,40,0,1,0,0,0,0,18,21,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,59,1,57,0,0,0,12,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1
818,4093,1,1,0,0,32,50,0,1,121,33,0,0,0,0,0,0,11,80,1,3,1,0,0,1,3,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,35,0,32,1,3,0,4,0,0,0,5,1,0,0,1,2,3,3,0,0,1,0,10,0,3,1,1
828,4183,0,0,0,1,13,7,0,0,33,19,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,20,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,7,0,1,3,0
838,4273,0,0,0,1,13,11,0,4,30,5,0,0,0,0,0,0,4,101,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,2,0,17,0,1,0,0
895,4786,0,0,0,0,8,3,0,0,11,4,0,0,0,0,1,0,3,183,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,6,1,10,0,30,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,84,0,3,0,0
990,5641,0,0,0,0,20,6,0,0,11,5,0,0,0,0,0,0,2,91,0,1,0,0,0,0,1,1,0,0,0,49,0,1,0,0,0,0,0,0,1,2,1,22,0,23,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,17,0,1,0,0
1048,6163,0,0,0,0,6,1,0,2,7,1,0,0,0,0,0,0,6,109,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,1,1,18,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,12,0,3,0,0
1138,6972,0,0,0,0,50,52,0,22,60,28,0,1,0,0,0,0,5,221,2,0,0,1,0,0,1,0,0,0,0,5,0,7,1,0,0,0,0,0,6,0,0,36,0,56,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,26,0,38,0,4,1,0
1178,7332,0,0,0,0,22,27,0,11,23,15,0,0,0,0,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,8,0,29,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,5,0,3,0,2,0,0
1242,7908,0,1,0,0,15,1,0,0,9,2,0,0,0,0,0,0,3,281,0,0,0,0,0,0,0,1,0,0,0,41,0,1,0,0,0,0,0,0,3,3,1,15,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0
1325,8655,0,0,0,0,31,2,0,0,25,6,0,0,0,0,0,0,1,172,0,0,0,0,0,0,1,0,0,0,0,28,0,1,5,0,0,0,0,0,4,2,1,18,0,29,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,18,0,2,0,0
1378,9132,0,0,0,0,66,5,0,0,10,7,1,0,0,0,0,0,1,86,5,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,2,0,0,16,0,29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0
1472,9978,0,0,0,0,21,3,0,0,11,4,0,0,0,0,0,0,1,65,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,2,0,0,13,0,46,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6,0,3,0,1,4,0
1492,NA,0,0,0,0,26,10,0,0,28,6,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,70,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,6,0,6,1,2,5,0
1509,NA,0,2,0,1,32,25,0,11,56,12,0,1,0,0,0,0,6,153,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,41,0,50,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,12,0,22,0,2,0,0
1529,NA,0,0,0,0,48,7,0,3,46,17,0,0,0,0,0,0,2,134,0,0,0,0,0,0,0,0,0,0,0,10,1,7,1,0,1,1,0,0,1,0,0,20,0,36,1,0,0,0,0,0,0,4,0,0,0,2,4,1,0,0,0,13,0,13,0,0,1,0
