"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dryopteris.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum.persicaria","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Utricularia","Vitis","Zea.mays"
120,4877,1,0,17,0,4,5,0,1,4,0,6,17,0,0,0,1,4,20,0,21,0,3,14,10,19,0,49,0,0,1,1,0,0,0,0,0,0,0,1,0,4,9,77,0,3,106,0,0,1,0,92,1,0,1,0,6,0,0,0,1,0,0,0,3,0,20,3,0,0,38,0
130,5331,0,0,6,0,9,3,0,2,3,0,4,19,0,0,0,0,2,18,0,21,0,2,11,6,37,0,62,0,0,2,2,1,0,0,1,0,0,0,1,3,6,1,62,0,18,232,0,0,3,1,120,0,0,0,1,10,0,0,0,2,0,0,2,3,1,27,4,0,0,72,0
140,5786,0,0,15,2,9,3,0,2,4,0,8,24,0,1,0,0,4,19,0,14,1,2,13,5,35,1,69,0,0,2,0,0,0,0,0,0,0,1,1,0,6,0,56,0,2,203,0,0,3,3,96,0,0,0,2,11,0,0,0,1,0,0,3,6,0,14,1,0,1,57,0
150,6241,0,1,10,0,10,12,0,0,2,0,0,18,0,0,0,1,3,3,0,5,0,1,7,4,36,0,53,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,48,0,5,155,0,0,1,4,140,0,0,0,0,3,0,0,0,2,1,0,0,3,4,19,2,0,0,18,0
160,6666,0,0,25,0,15,6,1,1,3,0,7,28,0,0,0,1,5,10,0,2,0,2,8,2,38,0,39,0,0,1,6,0,0,0,0,0,0,1,1,2,2,1,41,0,7,92,0,0,1,3,122,0,0,0,4,4,0,0,0,2,0,0,1,2,3,9,1,0,0,14,0
165,6835,0,0,9,1,6,12,0,1,1,0,3,2,0,0,0,0,6,9,0,3,0,0,0,3,54,0,49,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,85,0,1,19,0,0,1,4,156,0,0,0,0,5,0,1,0,1,0,0,1,0,1,9,5,0,0,0,0
170,7004,0,0,11,1,5,8,0,3,2,0,5,4,0,0,1,1,3,7,0,5,0,2,1,1,31,0,33,0,0,0,1,0,0,0,2,0,0,0,0,0,7,1,87,0,1,15,0,0,0,2,148,0,0,0,0,2,0,0,0,0,2,0,1,1,1,9,1,0,0,0,0
180,7342,0,0,15,0,2,11,0,0,1,0,3,9,0,0,0,2,3,3,0,1,0,0,0,2,37,1,49,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,73,0,0,17,1,3,0,5,173,0,0,0,1,4,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0
190,7680,0,0,7,2,4,8,0,6,1,0,3,6,0,0,0,1,2,4,0,4,0,1,0,3,39,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,108,0,2,13,0,0,0,4,121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
200,8018,0,0,8,1,1,7,0,4,2,0,4,7,0,0,0,0,7,4,0,3,1,0,1,0,39,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,0,1,13,0,0,0,6,155,0,1,0,0,5,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0
210,8356,0,0,7,0,2,3,0,1,1,0,3,7,0,0,1,1,0,3,0,5,0,0,0,0,15,0,33,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,134,0,0,8,0,0,0,1,135,0,0,0,0,1,0,0,0,0,1,0,1,1,2,12,2,0,0,0,0
220,8693,0,0,8,0,2,5,1,3,1,0,0,16,0,0,0,2,0,4,0,9,0,0,0,2,5,0,48,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,135,0,4,17,0,1,0,13,141,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0
230,9031,1,0,11,4,2,8,0,1,1,0,2,5,0,0,0,0,1,9,0,0,0,0,1,3,26,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,122,0,0,16,0,0,0,7,125,0,0,0,0,1,0,0,0,0,0,0,0,4,1,9,1,0,0,0,0
240,9369,0,0,7,0,0,6,0,2,0,0,3,14,0,0,0,1,2,7,0,7,0,0,1,1,10,0,34,0,0,0,0,0,0,0,2,0,0,0,0,0,9,4,122,0,11,19,0,0,1,12,133,0,0,0,0,1,0,0,0,0,0,0,4,3,1,11,0,0,0,0,0
250,9707,1,0,14,0,0,1,0,2,2,0,1,7,0,0,0,3,1,6,1,9,0,1,1,1,11,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,188,0,0,9,0,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,2,0,0,0,0
260,10045,1,1,11,0,2,2,0,2,0,0,5,7,0,0,1,0,1,11,0,4,0,0,0,2,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,143,0,1,13,0,1,0,4,103,0,0,0,0,4,0,0,0,1,1,0,3,1,1,14,0,0,0,0,0
270,10383,0,0,11,1,1,5,0,2,1,0,3,3,0,0,1,4,1,5,0,1,0,0,0,1,17,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,182,0,0,23,0,0,0,16,98,0,0,0,0,2,0,0,0,0,2,0,3,2,2,17,2,0,0,0,0
280,10720,0,0,10,0,1,6,0,0,0,0,8,9,0,0,0,0,1,13,0,6,0,0,0,6,12,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2,192,0,2,24,0,0,1,15,113,0,0,0,0,5,0,0,0,0,1,0,2,2,4,12,0,0,0,0,0
290,11058,1,0,5,0,3,2,0,0,1,0,2,6,0,0,0,0,3,11,0,7,0,1,2,2,17,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,211,0,0,13,0,1,0,9,101,0,1,0,0,1,0,0,0,0,1,0,0,1,3,7,2,0,0,0,0
300,11396,2,0,8,1,2,3,0,1,1,0,9,6,0,0,0,0,5,9,0,7,0,0,1,3,13,1,32,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,175,0,1,9,0,1,0,14,101,0,0,0,0,2,0,0,0,0,1,0,1,1,0,14,0,0,0,0,0
310,11857,10,0,2,3,0,1,0,3,3,0,9,1,0,0,0,0,3,37,0,7,0,5,0,2,31,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,3,32,142,0,0,38,0,0,1,5,49,0,0,0,0,2,0,0,0,0,4,0,0,4,3,22,1,0,0,0,0
320,12317,16,0,2,2,0,3,0,1,2,0,6,2,0,0,0,2,3,16,0,2,0,2,0,1,5,0,23,0,0,1,0,0,11,0,0,0,0,0,0,0,4,73,159,0,0,7,0,3,0,0,29,0,0,0,0,1,0,0,0,0,3,0,0,4,0,12,0,0,0,0,0
330,12778,5,0,1,1,0,0,0,3,1,0,8,1,0,1,0,0,0,31,0,0,0,22,0,0,1,0,24,0,0,0,0,0,14,0,0,0,1,0,0,0,3,82,175,0,0,10,0,0,1,3,16,0,0,0,0,6,0,1,0,0,2,0,0,1,0,4,1,0,0,0,0
340,13481,0,0,0,0,0,1,1,2,0,0,13,0,0,0,0,0,1,55,0,0,0,1,0,0,1,0,11,0,0,1,0,0,39,0,0,0,0,0,0,0,2,160,59,0,0,11,0,2,0,0,17,0,0,0,0,5,0,0,1,0,1,0,0,2,1,5,1,0,0,0,0
350,14427,2,0,4,5,3,12,0,12,3,0,7,0,0,0,0,1,3,263,0,3,0,11,0,1,3,0,20,1,0,0,0,0,37,0,0,0,0,0,0,0,15,200,14,0,0,25,0,0,0,0,19,0,0,0,0,6,1,0,0,1,0,3,1,0,2,14,6,0,0,0,0
360,NA,0,0,1,0,0,6,1,7,1,1,10,2,0,0,0,0,7,451,0,6,0,0,0,2,3,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,9,205,17,0,0,34,0,7,1,0,43,0,0,0,0,3,0,1,0,1,0,3,0,0,1,9,1,0,0,0,0
380,NA,1,0,0,3,2,3,0,3,1,0,4,2,0,0,0,0,5,275,0,19,0,0,0,0,2,0,39,0,0,1,0,0,2,0,0,0,0,0,0,0,11,193,29,0,0,14,0,11,0,0,25,0,1,0,0,4,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0
392,NA,1,0,1,2,0,2,0,3,1,0,1,0,2,0,0,0,1,16,0,5,0,0,0,0,1,0,26,0,0,2,0,0,3,0,0,0,0,0,0,0,9,225,48,0,0,7,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
