"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Picea","Taxus","Alnus","Myrica","Pinus","cf..Myrica","Betula...20.µm.","Apiaceae","Rosaceae.undiff.","Cornus","Poaceae","Ericales","Quercus","Salix","Ulmus","Urticaceae","Sorbus","Juniperus","Betula...20.µm..1","Acer","Asteraceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Caryophyllaceae","Ambrosia","Ostrya.Carpinus","Tsuga","Brassicaceae","Platanus","Populus","Artemisia","Primulaceae","Plantago","Fagus","Amaranthaceae","Fabaceae","Epilobium","Oxyria.digyna","Rumex","Campanulaceae"
520,NA,363,1,4,43,0,9,34,3,6,156,0,1,0,5,3,3,2,0,0,0,27,58,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
525,NA,700,3,9,83,0,18,93,7,16,181,0,2,0,51,19,3,0,1,2,0,113,76,0,2,4,13,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
530,NA,774,0,17,26,0,14,150,8,10,203,0,1,0,75,22,2,6,0,4,0,88,113,0,8,7,17,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
535,NA,658,1,6,9,0,23,112,8,21,184,1,0,0,57,21,4,5,1,4,0,77,94,0,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
540,NA,214,0,3,2,0,1,69,1,3,42,0,0,0,17,0,1,2,0,0,0,2,64,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,NA,1064,0,19,41,0,22,263,3,17,208,3,1,0,96,51,5,22,3,5,0,5,273,0,18,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
550,NA,662,0,19,9,0,28,167,12,72,97,0,2,0,53,46,0,10,0,3,0,0,113,0,15,6,1,0,1,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,0
552,NA,936,1,28,27,0,37,201,8,23,122,4,2,1,90,46,0,17,0,5,0,5,297,0,8,9,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0
553,NA,353,0,22,14,0,12,32,8,6,57,0,1,1,14,54,0,10,0,1,0,6,106,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
555,NA,221,0,27,13,0,6,13,6,1,18,1,0,0,6,43,0,9,1,0,0,1,67,0,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
560,NA,219,0,40,8,0,6,6,21,1,5,5,1,0,10,46,0,17,0,1,0,1,45,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
565,NA,176,0,67,3,0,10,0,16,0,4,0,0,0,26,6,0,10,0,0,0,0,26,0,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
567,NA,235,2,115,4,0,9,0,10,0,0,0,2,0,11,5,0,10,1,0,0,5,46,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0
568,NA,141,0,26,5,0,10,0,13,1,0,0,0,0,6,8,0,18,0,0,0,0,14,0,1,4,0,0,2,0,0,0,0,0,0,6,1,0,0,1,0,0,25,0,0
570,NA,189,0,31,5,0,3,0,16,1,11,0,0,0,10,16,0,21,0,0,0,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,51,0,0
572,NA,158,0,60,5,0,4,2,18,1,0,0,0,0,8,24,0,17,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0
573,NA,167,0,58,5,0,1,1,11,2,0,0,0,0,7,39,0,28,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0
574.5,NA,155,0,20,5,0,3,3,16,3,14,0,2,0,8,35,0,24,1,1,0,7,4,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1
575.5,NA,132,0,14,6,0,0,1,8,1,3,0,0,0,11,19,0,57,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
577,NA,84,0,11,3,0,0,0,12,2,0,0,0,0,9,3,0,32,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0
