"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Alnus","Acer","Pinus","Poaceae","Platanus","Salix","Tilia","Fraxinus","Populus","Polygonum","Asteraceae.undiff.","Juglans","Myrica","Abies","Ericaceae","Cornus","Rosaceae","Thalictrum","Lamiaceae","Cephalanthus","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Fabaceae","Saxifragaceae","Caryophyllaceae","Urtica.type","Galium"
146,1496,370,0,1,14,0,0,3,1,30,1,4,0,30,94,11,4,22,153,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1677,301,2,0,19,2,0,5,0,28,6,3,0,22,51,17,7,21,102,1,0,1,1,6,0,0,0,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0
161,1768,354,3,2,23,1,0,1,0,44,3,3,1,18,92,8,2,14,129,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,1859,501,2,1,34,3,0,0,1,65,6,3,1,32,129,17,2,24,175,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,2022,364,2,1,15,1,0,2,0,36,0,2,3,14,79,7,2,16,172,1,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,2167,552,2,4,27,3,1,2,0,49,3,4,3,33,62,7,8,23,303,0,0,1,2,11,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
193,2349,653,2,4,30,1,0,3,1,42,2,0,0,30,77,7,3,14,424,3,0,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,2530,515,7,6,28,1,0,4,0,33,4,6,3,40,58,16,3,15,284,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,2695,446,0,0,17,1,0,2,1,19,2,4,4,19,51,8,1,19,295,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2777,388,1,0,20,3,0,0,0,40,1,2,0,25,37,4,1,14,231,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2860,377,0,1,13,0,1,1,0,13,1,5,2,18,37,10,3,10,254,1,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
228,2942,682,4,5,26,3,3,3,0,40,0,4,0,26,44,6,13,17,481,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,3025,831,5,4,27,1,1,1,0,48,2,9,2,39,78,13,3,19,566,0,0,1,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
238,3107,495,4,2,17,2,0,0,0,22,1,3,0,22,36,11,5,21,341,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
243,3189,468,4,2,17,0,1,6,0,17,1,3,2,25,25,11,4,28,311,0,0,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,3354,463,1,1,12,2,0,1,0,14,0,4,0,26,20,10,3,14,347,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
263,3519,297,3,1,5,0,1,4,0,8,0,5,1,16,11,7,1,10,220,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,3701,422,1,0,10,1,2,2,0,21,0,1,0,20,23,5,5,8,317,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,3866,577,5,4,13,1,0,8,2,29,1,6,1,54,25,11,0,7,403,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
294,4030,586,3,5,14,2,0,1,0,28,2,4,0,40,15,10,1,0,453,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
304,4195,512,4,2,6,1,0,1,0,17,2,3,0,26,13,9,0,11,412,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,4360,422,1,3,6,2,0,2,0,18,2,5,2,33,18,12,2,5,298,3,0,0,2,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
324,4525,672,4,0,16,2,1,4,1,42,1,5,0,42,44,14,4,31,454,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
329,4736,437,2,1,3,0,1,1,0,65,0,2,0,25,13,15,1,6,297,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,4978,645,2,7,15,4,2,3,0,61,2,6,2,40,24,20,5,20,421,0,0,1,2,3,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
339,5221,512,4,2,7,3,1,3,0,44,2,2,0,42,24,16,2,12,341,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,5463,642,0,5,10,1,0,5,0,21,1,2,1,25,81,5,2,5,475,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
349,5706,527,0,4,1,0,0,0,1,13,1,1,1,24,40,9,3,4,420,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,5949,641,7,1,6,0,0,1,1,7,3,8,0,45,31,12,4,0,507,1,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
359,6191,763,7,2,7,8,1,6,0,10,2,3,0,64,36,22,2,5,580,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,6579,691,3,5,1,1,0,4,0,5,1,7,1,59,8,19,4,4,559,1,0,0,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
372,6822,677,6,4,7,7,1,6,0,6,0,4,0,89,13,20,0,7,485,4,0,2,1,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,7307,535,5,5,5,7,0,1,0,5,0,4,1,49,4,17,0,7,423,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,7550,691,11,1,10,3,2,6,0,1,1,15,8,61,0,10,1,5,541,1,0,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
392,7792,452,4,2,7,2,2,2,0,0,0,5,1,33,0,15,0,0,367,2,0,0,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
397,8035,478,4,4,5,1,3,0,2,0,0,4,0,42,0,7,1,1,399,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,8278,599,10,3,10,2,1,2,0,0,2,8,2,21,0,13,0,3,516,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,8763,598,4,6,11,4,1,1,0,0,1,10,2,28,0,10,0,1,505,3,0,1,0,5,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
422,NA,447,2,6,6,10,0,1,0,1,5,6,2,21,0,13,0,0,369,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
427,NA,773,7,8,7,3,4,2,1,0,2,5,6,46,0,12,2,1,661,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
432,NA,658,4,8,10,2,0,2,0,0,2,7,10,41,1,10,0,2,548,2,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,NA,387,4,12,7,6,0,0,0,0,4,6,108,22,0,13,0,2,184,0,0,4,0,5,0,0,1,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
442,NA,236,1,24,5,0,2,0,1,0,0,2,166,9,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,NA,49,3,2,1,0,0,0,0,0,0,1,36,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
