"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharinum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Celtis","cf..Saxifragaceae","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra.torreyana.type","Equisetum","Euphorbiaceae","Fabaceae.undiff.","Fagus","Filicopsida..trilete.","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Herbs.undiff.","Humulus","Indeterminable","Iva.annua.type","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae.cf..Stachys","Larix","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago.major","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha","Ulmus","Unknown","Urtica","Utricularia","Vitis"
210,7024,0,0,0,1,2,158,121,3,0,25,21,0,0,4,1,0,1,3,128,0,2,0,0,0,0,0,0,1,0,0,1,0,14,4,4,0,2,0,0,10,0,0,7,1,19,0,4,78,0,0,0,0,0,59,0,0,1,0,1,3,0,2,1,0,0,0,6,13,2,0,0,0
225,7217,0,1,0,0,2,205,119,3,0,22,15,0,0,3,0,1,1,2,248,0,0,1,0,1,0,0,0,2,0,0,0,0,8,7,3,0,8,1,0,1,0,0,6,2,21,0,6,64,0,0,0,0,0,67,0,0,0,2,0,3,0,1,4,0,0,1,7,15,3,0,0,1
240,7410,0,0,0,1,0,162,140,5,0,19,27,0,0,4,2,0,2,3,129,1,2,0,0,0,0,0,0,0,0,0,4,1,7,4,2,0,1,0,0,2,0,0,3,6,17,0,3,85,0,2,0,0,0,58,0,0,0,1,0,0,0,0,2,0,0,1,2,15,3,0,0,0
255,7603,0,3,0,0,3,172,122,0,1,20,22,0,0,7,0,0,0,0,106,0,0,0,0,1,0,0,0,0,2,0,1,0,4,9,0,0,1,0,0,1,0,0,8,3,8,0,5,109,0,1,0,0,0,43,0,0,0,0,0,3,0,0,2,0,1,0,4,5,1,0,0,2
270,7797,0,0,0,0,0,138,260,1,0,9,10,0,0,1,3,0,0,4,56,1,3,0,0,0,0,0,0,5,2,1,1,0,11,10,3,1,2,0,0,1,0,0,2,15,7,1,3,68,0,2,0,0,1,28,0,0,0,0,0,0,0,0,2,0,0,0,4,8,2,1,0,0
285,7990,0,0,0,0,1,305,152,0,0,12,13,1,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,2,0,0,0,0,2,12,1,0,0,1,0,4,0,0,0,13,12,0,1,20,0,2,0,0,0,22,0,0,0,0,1,0,0,0,2,0,0,0,3,2,3,0,0,0
300,8183,1,0,0,0,2,180,80,1,0,28,22,1,0,2,0,0,0,6,122,2,5,0,0,0,1,0,0,1,1,0,0,0,27,1,3,0,0,0,0,0,1,1,8,26,19,0,6,53,0,0,0,0,0,42,0,0,1,0,0,2,0,2,4,0,0,1,7,9,2,0,0,0
314,8364,0,0,0,0,2,187,86,0,1,37,17,2,0,1,0,0,0,0,147,0,0,0,0,0,0,0,0,3,0,0,0,0,12,1,1,0,1,0,0,0,0,0,4,22,20,0,3,65,0,4,0,0,0,25,0,0,0,0,2,4,0,0,2,0,0,3,2,12,4,0,0,0
328,8515,0,0,0,1,2,138,74,3,2,35,18,3,0,5,0,0,0,6,214,2,7,0,0,0,2,0,0,1,2,0,0,1,16,2,3,0,0,0,0,2,0,1,11,13,28,0,2,75,1,3,0,0,0,50,0,0,0,0,5,10,0,0,2,0,0,2,11,23,3,1,0,0
342,8580,1,1,0,1,0,119,115,2,0,21,13,1,1,7,3,0,1,0,199,0,6,0,0,1,1,0,0,3,0,0,0,0,20,0,1,1,1,1,0,2,0,1,8,17,16,0,4,58,0,4,0,0,0,73,0,0,0,0,6,2,0,0,1,0,1,0,3,25,2,1,0,0
356,8645,0,2,0,0,5,132,112,3,0,22,11,6,0,1,2,0,0,1,169,1,4,0,0,0,0,0,0,3,0,2,0,0,17,2,0,0,0,0,0,0,0,0,10,8,19,0,1,79,0,4,0,0,0,63,0,0,0,2,6,6,0,1,4,0,0,1,7,13,2,0,0,0
368,8701,1,0,0,2,4,87,111,0,2,16,21,1,1,9,0,0,4,0,108,1,7,0,0,1,0,0,0,2,1,0,0,0,14,5,2,1,0,0,0,3,0,0,9,14,16,0,3,78,0,4,0,0,1,75,0,0,0,0,5,4,0,1,2,0,0,3,5,37,2,0,0,0
380,8757,0,1,0,0,2,89,125,2,0,14,13,1,0,8,0,0,1,3,86,0,4,0,0,1,0,0,0,4,1,0,0,0,10,3,2,3,2,0,0,8,0,0,15,9,17,0,2,62,0,1,0,0,0,79,0,0,0,0,4,3,0,0,2,0,0,1,4,46,0,0,0,0
390,8803,0,0,0,0,0,159,184,0,0,17,7,0,0,1,2,1,0,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,8,14,2,0,0,0,0,2,0,0,2,6,10,0,0,77,0,3,0,0,0,25,0,0,0,1,2,2,0,0,2,0,0,0,2,9,0,0,0,0
400,8849,1,0,1,2,3,169,105,1,0,17,19,2,0,3,2,0,2,5,136,2,2,0,0,0,0,0,0,3,0,0,0,0,21,4,3,1,1,0,0,4,0,0,6,10,21,0,3,69,0,3,0,0,0,50,0,0,0,0,10,3,0,1,3,0,0,1,2,24,1,0,0,0
410,8896,0,0,0,0,4,67,114,0,0,12,11,1,0,6,1,1,1,3,63,0,2,0,0,0,0,0,0,5,1,0,0,2,7,4,1,1,0,0,0,1,0,0,11,11,17,0,3,81,0,1,0,0,1,93,0,0,0,1,4,11,0,0,1,0,0,0,3,42,0,0,0,0
420,8942,0,2,1,0,5,75,123,1,1,21,11,1,0,5,2,0,5,2,91,0,4,0,0,1,1,0,0,6,0,0,1,0,19,5,0,1,0,0,0,2,0,0,11,15,11,0,4,72,0,0,0,0,0,95,0,0,0,0,6,10,0,1,3,0,2,1,12,28,4,0,1,1
430,8989,2,0,0,1,4,75,101,1,0,19,15,2,0,6,0,0,1,1,53,2,2,1,0,0,0,0,0,4,0,0,1,1,12,4,0,3,1,0,0,2,0,1,19,17,16,0,4,81,0,0,1,0,0,76,0,0,0,0,2,13,0,0,3,0,0,0,8,32,4,0,0,0
440,9035,1,0,3,0,2,62,82,1,0,18,8,3,0,13,0,0,4,1,44,0,12,0,1,0,0,0,0,3,1,0,1,2,23,5,0,2,0,0,0,2,0,1,19,20,8,0,4,52,0,0,0,0,0,145,0,0,0,0,9,6,0,1,5,0,1,0,4,68,2,0,0,1
450,9082,3,1,0,4,5,111,120,1,0,9,16,7,0,10,0,0,4,0,83,0,18,0,1,0,1,0,0,10,1,0,1,0,8,0,0,0,0,0,0,0,0,1,19,19,12,0,3,63,0,10,0,0,1,102,0,0,0,1,0,2,0,1,0,0,2,0,3,55,1,0,0,0
458,9119,0,3,0,0,1,137,131,0,0,21,11,0,0,3,0,0,1,4,159,1,6,0,0,0,0,0,1,5,3,0,0,0,20,1,2,2,0,0,0,4,0,0,5,20,17,0,7,89,0,2,1,2,0,80,0,0,0,1,3,5,0,0,2,1,0,1,2,23,2,0,0,0
470,9174,2,1,0,2,1,100,130,0,0,16,12,3,0,6,0,0,1,0,73,0,12,0,0,0,1,0,0,7,1,0,3,0,10,7,1,2,1,0,1,1,0,2,10,22,10,0,3,68,4,0,0,1,1,96,0,0,0,0,6,4,2,0,2,0,0,1,1,52,0,1,0,1
482,9230,3,0,0,2,3,93,124,0,0,15,13,5,0,8,0,0,4,4,90,0,18,0,0,0,0,0,1,4,3,0,0,1,14,1,0,3,0,0,0,1,0,2,16,16,18,0,0,63,0,2,0,0,0,104,0,0,0,0,1,1,0,0,1,0,0,1,3,53,3,0,0,2
490,9267,0,1,2,4,1,23,88,0,0,15,7,2,0,20,1,0,6,0,37,0,8,0,1,0,0,0,0,1,0,1,0,0,3,4,1,5,2,0,0,1,0,0,25,1,12,0,3,34,0,0,0,0,3,209,0,0,0,0,1,10,0,0,2,0,3,1,8,109,0,0,0,1
510,9480,1,0,2,2,1,4,38,0,0,11,4,3,0,17,1,0,9,0,15,0,18,0,0,0,0,0,0,12,1,0,0,0,7,1,0,3,2,0,0,0,0,0,35,0,4,0,3,13,0,0,0,0,0,187,0,0,1,1,0,0,0,0,0,0,2,10,1,193,0,1,0,1
530,9700,0,2,0,12,1,5,32,0,0,9,2,0,0,24,2,0,7,0,8,0,10,0,0,0,0,0,1,18,1,0,0,0,2,2,0,4,1,0,0,0,0,0,43,0,8,0,5,10,0,0,0,0,0,190,1,0,0,1,0,2,0,0,0,0,2,5,1,208,1,0,0,0
550,9919,0,0,0,9,0,7,17,0,0,5,3,2,0,15,2,0,1,0,9,0,9,0,0,1,0,0,1,10,0,0,1,1,4,0,0,5,1,2,0,0,0,0,16,0,6,0,3,12,0,0,0,0,0,183,0,0,0,0,0,1,0,0,0,0,0,4,0,228,0,0,0,0
570,10139,1,0,0,11,1,1,25,0,0,3,3,0,0,21,4,0,2,0,10,0,15,0,0,0,0,0,0,6,1,0,1,0,4,0,0,7,1,2,0,0,1,0,31,0,6,0,2,12,0,0,0,0,1,162,2,0,0,0,1,1,0,0,1,0,0,3,0,252,0,1,0,0
590,10358,0,0,2,7,0,2,15,0,0,10,3,1,0,30,3,0,4,0,11,0,15,0,0,0,1,0,0,21,0,0,1,1,4,1,0,13,2,0,0,0,0,0,38,1,8,0,1,11,0,0,0,0,0,196,0,0,0,1,0,5,0,0,0,0,0,6,2,132,0,0,0,0
610,10578,2,0,3,13,12,1,2,0,0,5,0,16,0,10,2,0,12,0,14,0,12,0,0,0,0,0,0,56,2,0,0,0,8,0,0,9,1,0,2,0,0,1,54,2,6,0,3,16,0,0,0,0,0,130,0,0,0,0,0,1,0,0,0,0,0,2,1,199,2,0,0,0
630,10819,7,1,0,6,71,2,12,0,0,24,5,110,0,1,1,1,16,0,19,0,0,0,1,0,0,0,0,64,2,0,0,1,73,0,0,0,0,0,5,0,1,20,30,19,2,0,0,24,0,0,0,0,0,50,0,0,0,0,0,3,0,0,2,1,1,0,0,66,0,0,0,0
650,NA,15,2,2,0,113,4,9,0,0,27,2,75,0,0,0,0,25,0,33,0,8,0,0,0,0,0,1,64,4,0,0,2,11,0,0,0,0,0,5,0,1,6,27,71,5,0,0,22,0,0,0,0,0,37,0,0,0,0,0,10,0,1,1,1,0,0,7,32,0,0,0,0
664,NA,13,1,0,0,60,7,10,0,1,20,3,86,1,0,0,0,29,11,37,0,7,0,1,0,0,0,0,48,11,0,2,2,17,0,0,1,0,0,5,0,3,16,26,124,10,1,0,28,0,0,6,0,1,38,0,0,0,0,0,5,0,0,1,3,3,0,7,28,0,0,0,0
678,NA,14,3,0,1,117,4,8,0,0,35,4,58,1,0,0,0,16,4,16,0,3,1,0,0,0,0,0,68,4,0,1,2,13,0,0,0,0,0,5,1,2,2,29,81,2,0,0,25,0,0,4,1,1,57,1,0,0,0,1,6,0,0,1,2,2,1,5,25,1,0,0,0
692,NA,10,1,0,1,47,8,34,0,0,34,5,12,0,0,1,0,24,3,44,0,5,0,0,0,0,0,0,106,3,1,1,2,13,0,0,1,0,0,6,0,2,0,44,82,6,0,1,36,0,0,5,0,2,43,0,0,0,0,0,4,0,0,1,0,2,0,11,20,3,0,1,1
706,NA,8,1,0,0,9,8,22,0,0,14,6,3,0,0,0,0,6,0,31,0,6,0,1,0,0,0,0,280,35,0,1,8,9,0,0,0,0,0,1,0,0,0,43,73,5,0,1,20,0,0,5,1,1,48,1,0,1,0,0,0,0,0,2,2,3,0,4,14,2,0,0,0
720,NA,19,2,0,0,11,2,23,0,0,11,6,2,0,0,2,0,7,8,32,0,10,0,2,0,0,0,0,234,19,1,0,9,16,0,0,1,0,0,2,0,0,0,29,93,5,0,1,19,0,0,4,2,1,29,0,0,0,0,0,1,0,0,1,1,5,0,3,15,1,0,0,0
734,NA,18,1,1,1,13,2,19,0,0,16,4,5,0,0,3,0,6,0,40,0,15,0,2,0,0,0,0,225,25,0,0,9,6,3,0,0,1,0,5,0,1,0,20,96,6,0,0,26,0,0,8,2,0,24,0,0,0,0,0,1,0,0,3,3,3,0,5,22,1,0,0,0
774,NA,2,30,0,0,11,2,27,0,0,19,6,6,0,1,0,0,2,0,30,0,6,0,12,0,0,0,1,61,2,0,0,6,6,1,0,0,0,0,14,1,1,0,10,257,2,0,0,21,0,0,0,1,0,35,0,0,0,0,2,4,0,0,2,0,7,0,8,4,1,1,0,0
788,NA,3,25,0,0,14,3,37,0,0,11,6,13,0,0,0,0,2,9,56,0,13,0,6,0,0,0,0,76,11,0,1,13,16,1,0,0,0,0,33,0,0,0,7,279,13,0,1,20,0,0,0,1,1,30,0,0,2,0,0,9,0,0,4,1,3,0,4,3,1,0,0,0
802,NA,4,3,1,0,23,2,13,0,2,27,4,6,1,0,1,0,2,3,45,0,9,0,8,0,1,0,0,45,4,0,2,6,13,0,0,0,0,0,15,0,0,0,9,300,4,0,1,13,0,0,0,4,0,29,0,0,0,0,1,6,1,0,0,0,4,1,2,7,2,0,0,0
817,NA,2,2,0,0,19,3,4,0,0,62,9,10,0,0,0,0,2,3,38,0,2,0,6,0,0,0,0,19,7,0,0,2,10,1,0,0,0,0,11,1,0,0,8,300,14,0,1,12,0,0,1,4,0,29,1,0,0,0,9,7,0,0,1,0,3,0,0,4,1,0,0,0
832,NA,3,2,2,0,21,4,7,0,0,41,3,7,0,0,1,0,3,8,43,0,0,0,7,0,0,0,0,50,6,0,2,6,12,0,0,0,0,0,6,0,0,0,8,275,9,0,1,17,0,0,1,0,1,18,0,1,0,0,4,5,0,1,4,0,4,0,0,2,2,0,0,0
847,NA,5,2,0,0,8,2,5,0,0,16,7,4,0,0,0,0,2,4,18,0,5,0,7,0,0,0,0,7,3,0,4,2,49,0,0,0,0,0,15,0,0,0,5,296,17,0,0,4,0,1,1,6,0,9,0,0,2,0,0,3,0,0,0,4,3,0,0,2,1,0,0,0
860,NA,0,0,0,0,2,1,0,0,0,5,1,4,0,0,0,0,0,1,9,0,3,0,11,0,0,0,0,1,0,0,0,0,44,0,0,0,0,0,6,0,0,0,4,374,17,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,0,0,0
