"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Cyperaceae","Fraxinus.nigra.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Xanthium","Alnus","Juniperus.Thuja","Amorpha","Poaceae","Brassicaceae","Tidestromia.type","Acer.saccharum","Juglans.cinerea.type","Acer.negundo.type","Chenopodium.type","Celtis","Iva.annua.type","Corylus","Fraxinus.pennsylvanica.type","Ilex","Laportea.type","Fabaceae.undiff.","Lycopus.type","Pinus.subg..Pinus","Platanus","Juglans.nigra.type","Dracocephalum.type","Acer.rubrum","Melilotus.type","Pinus.subg..Strobus","Humulus.Cannabis.sativa","Vicia.type","Morus","Rumex","Zanthoxylum","Abies","Iva.xanthifolia.type","Salsola","Rosaceae.undiff.","Medicago","Polygonum.convolvulus","Ephedra.trifurca.type","Polygonum.lapathifolium.type","Tsuga","Stachys.type","Galium","Rhus","Cornus","Dalea","Castanea","Sarcobatus.vermiculatus","Apiaceae","Myrica","Potentilla.type","Campanula","Populus.undiff.","Phlox","Fraxinus.undiff.","Plantago","Ericaceae","Populus.balsamifera.type","Euphorbia.subg..Chamaesyce","Rhamnus","Acer.saccharinum.type","Ranunculus.type","Shepherdia.canadensis"
445,470,373,16,9,11,2,19,0,2,0,1,2,15,1,182,6,1,1,4,2,0,2,0,8,1,0,62,0,0,0,0,0,2,1,0,9,1,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
485,618,425.5,6,9,18,1,19,0,0,0,8,0,14,0,122,1,0,0,2,5,0,0,0,5,0,0,201,0,0,0,0,0,2,0,1,1,1,0,0,0,0,4,0,1,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
545,872,422.5,12,15,14,0,14,1,0,0,8,0,4.5,2,165,0,0,4,4,8,1,1,0,8,1,1,146,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1151,267.5,6,8,5,1,8,0,0,0,4,0,6,1,93,2,0,2,4,2,0,0,0,6,0,0,108,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
665,1445,479.5,6,11,10,2,12,0,0,0,14,0,8.5,1,157,2,1,4,7,11,0,0,0,6,2,0,199,0,0,4,0,2,4,0,0,0,4,0,0,0,0,2,2,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,1740,451,15,7,13,1,18,1,0,0,19,0,11,0,117,1,0,3,4,5,0,0,0,5,0,0,222,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,2023,285.5,8,5,4,0,9,0,0,0,4,1,5.5,3,87,0,0,1,1,4,0,0,0,1,1,0,143,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,2283,528,13,3,7,1,18,0,0,0,9,0,10.5,1,148,3,3,2,3,5,0,0,0,3,0,0,286,0,0,1,0,0,3,0,0,1,2,0,0,0,0,1.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,2505,499,5,7,10,3,18,0,0,0,8,0,17,1,160,3,0,1,5,7,0,0,0,10,1,0,223,0,0,4,0,0,3,1,1,1,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,2678,335.5,13,8,8,1,11,3,0,0,11,0,4.5,1,162,2,0,2,4,10,0,0,0,7,2,0,72,0,0,3,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,2770,305,6,13,12,2,11,0,0,0,18,0.5,7.5,3,149,1,0,1,4,10,0,1,0,15,3,0,33,0,0,4,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1025,2813,356.5,6,9,7,4,16,1,0,0,16,0,10.5,5,183,0,0,9,4,13,0,0,0,7,5,0,46,0,0,2,0,0,6,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,2856,339,10,14,8,0,13,6,0,0,22,0.5,13.5,1,153,1,0,2,6,9,2,0,0,7,3,1,46,0,0,5,1,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1065,2899,370,19,13,6,3,17,3,0,1,20,0,13,1,137,2,1,4,5,3,0,0,3,8,6,1,74,0,0,4,1,1,10,0,0,0,2,0,0,0,0,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1085,2944,346,12,12,10,3,18,1,0,0,21,0,9,5,131,0,0,6,7,6,1,1,0,4,1,0,76,0,0,8,0,0,4,0,1,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,2993,404,17,14,6,7,13,4,0,0,25,0,14,3,143,2,0,8,9,8,1,1,0,9,0,2,97,0,0,5,3,1,3,1,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,3046,322,8,12,5,3,8,1,0,0,18,1,14,3,165,2,0,8,7,11,0,0,0,2,2,0,47,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,3106,412.5,12,7,7,3,14,0,0,0,25,1,9.5,2,186,5,0,3,2,13,0,1,0,8,2,2,87,0,0,4,0,0,3,0,0,1,3,0,0,0,0,2,5,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1165,3172,381.5,12,21,6,5,8,0,0,0,22,0.5,12,1,97,0,0,7,5,13,1,1,0,5,1,4,136,0,0,4,0,0,4,0,0,2,0,0,0,0,1,2,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1185,3247,361,16,9,7,1,9,3,0,0,25,1.5,5.5,1,84,1,0,0,5,13,1,1,0,3,0,0,163,0,0,4,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,3332,405,11,5,7,2,15,0,0,0,27,0,6.5,0,84,3,0,12,2,16,0,0,1,6,0,0,184,0,0,8,0,1,3,0,0,2,1,0,0,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
1225,3428,315,21,16,0,0,8,0,0,0,14,1,7,0,152,2,0,4,0,5,0,1,0,7,1,0,59,0,0,3,0,0,8,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,3536,321,8,15,2,9,20,4,0,0,8,1,8,2,125,2,0,7,7,2,1,0,0,1,0,0,85,0,0,3,0,0,5,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,3657,273.5,17,8,1,1,8,0,0,0,8,0,6.5,1,119,0,0,9,6,7,0,1,0,7,0,0,61,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,3794,347.5,8,8,7,0,15,0,0,0,15,1,7.5,2,177,1,0,5,3,7,0,1,0,6,2,0,56,0,0,5,0,0,3,0,1,7,0,0,0,0,0,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1305,3946,350.5,16,10,5,0,14,2,0,0,15,0,8.5,4,122,1,1,4,6,13,2,1,0,9,0,2,104,0,0,0,0,0,5,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1325,4116,450.5,17,22,3,2,32,1,0,0,60,0,11.5,1,83,9,1,1,9,9,0,0,1,10,0,0,141,0,0,7,1,0,10,0,0,1,3,0,0,0,1,7,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1345,4302,383.5,6,17,12,0,15,5,0,0,35,0,8.5,5,106,7,1,0,6,4,0,0,0,12,2,1,117,0,0,4,0,0,8,0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1365,4503,371.5,14,19,2,1,7,8,0,0,29,1,14.5,3,137,4,1,3,7,15,0,2,0,3,3,3,76,0,0,1,0,0,10,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,4718,320.5,10,29,4,2,19,0,0,0,37,0,9.5,5,114,3,0,2,2,9,0,0,1,5,1,0,56,0,0,5,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1405,4945,270,7,9,1,3,7,7,0,0,75,0,3,1,70,6,2,1,2,10,0,0,0,1,0,1,38,0,0,8,0,0,6,1,1,3,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,5434,373,24,11,6,1,14,0,0,0,26,0,3,1,139,1,1,6,2,29,0,1,0,2,0,1,77,0,0,4,0,1,10,0,0,1,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465,5692,340.5,11,16,5,5,7,0,0,0,18,0,4.5,3,126,19,0,6,6,9,0,1,0,2,4,2,59,0,2,3,0,0,13,0,0,4,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1485,5958,443.5,29,25,10,10,12,1,0,0,67,0,15.5,3,97,1,0,6,14,15,0,2,0,7,0,0,94,0,0,8,0,1,13,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1505,6231,428,17,20,1,21,8,0,0,0,63,0,6,5,130,5,0,17,6,9,0,2,0,2,0,1,79,1,0,2,2,1,8,1,0,1,5,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0
1525,6510,354,17,18,5,4,8,0,0,0,43,0,3,0,135,25,0,13,2,18,0,2,0,3,1,3,23,0,0,0,0,0,10,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2,0,0,1,0
1545,6792,303.5,33,18,2,3,6,1,0,0,8,0,9.5,0,94,60,0,4,4,12,0,0,0,2,0,0,29,0,0,3,1,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,7078,270,111,8,1,0,4,0,0,0,13,1,3,1,55,11,1,2,2,6,0,1,0,0,0,0,22,0,0,0,0,0,15,0,0,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1585,7366,280.5,53,18,5,4,6,0,0,0,8,0,15.5,2,53,2,0,1,6,4,3,0,0,2,1,1,65,0,0,1,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1605,7657,346,25,29,3,2,15,1,0,0,10,0,5,4,121,7,0,7,6,21,0,1,0,4,0,0,53,0,1,4,0,0,15,0,2,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,7950,276.5,36,7,2,1,18,3,0,0,17,0,10.5,1,71,1,0,3,2,6,0,0,1,2,0,1,66,0,0,1,0,0,9,0,1,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1645,8248,396.5,69,24,2,6,12,3,0,0,11,0,10.5,2,113,5,0,9,4,14,0,1,0,8,1,0,59,0,0,0,0,0,11,1,4,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1
1670,8628,503,33,56,10,2,29,1,1,0,42,1.5,19.5,3,110,10,0,4,12,29,2,2,1,6,4,2,63,0,2,3,1,0,24,0,2,8,1,0,0,0,0,11,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,8938,471,18,20,9,10,38,0,3,0,33,1,29,16,133,8,0,2,8,43,2,1,2,7,2,1,43,0,0,1,3,0,19,1,0,4,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,9245,356.5,19,15,1,5,10,1,2,0,30,0,19.5,4,130,2,1,2,6,34,1,2,0,12,2,0,28,0,0,2,0,0,7,0,0,6,3,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1730,9542,428.5,31,31,6,5,10,1,0,0,34,1.5,45,1,60,14,0,3,7,43,0,0,0,11,2,0,77,0,0,2,1,1,10,1,1,1,12,0,0,0,0,8,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1770,10070,359,6,9,55,4,2,0,0,0,16,1,35.5,1,99,6,0,2,1,63,0,0,0,6,0,0,7,0,0,0,1,0,3,1,0,8,12,0,0,0,0,15,1,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,10291,479,4,6,227,1,12,13,1,0,12,2,25,4,22,5,0,0,0,44,0,0,0,10,1,0,12,0,0,2,0,0,2,0,0,16,20,0,0,0,0,15,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1810,10501,391,4,14,65,0,32,2,2,0,7,57.5,6.5,7,10,8,0,0,3,4,0,1,1,52,1,0,8,0,0,0,0,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,1,0,0
1830,10708,472,9,43,65,0,25,0,9,0,7,193.5,3,0,21,14,1,0,8,2,2,1,0,19,0,0,15,0,0,2,0,0,3,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1850,10912,377,9,29,40,0,19,9,4,0,7,134,0,9,10,16,0,0,2,1,0,1,0,6,4,0,12,0,0,1,0,0,8,0,0,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
1870,11114,326,14,26,24,1,8,2,3,0,9,67,6,0,34,6,2,1,4,4,3,0,0,10,4,0,37,0,0,1,0,2,6,0,1,4,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0
