"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Fagus","Gentianaceae","Ilex","Juglans.cinerea","Picea","Pinus.undiff.","Platanus","Quercus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Viburnum","Poaceae","Plantago","Ranunculus","Artemisia","Caryophyllaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Nyssa","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum","Acer.saccharum.type","Acer.rubrum","Ericaceae","Galium","Ostrya.Carpinus","Apiaceae","Brassicaceae","Solanaceae","Morus","Lamiaceae","Salix","Thalictrum","Cannabaceae","Acer.saccharinum.type","Tilia","Prunus.Sorbus","Liquidambar","Amaranthaceae","Parthenocissus","Sambucus","Juglans.nigra","Parnassia","Cornus","Iva.annua.type","Fabaceae","Polygonaceae.undiff.","Acer.negundo","Iva.xanthifolia.type","Campanulaceae","Larix","Celtis","Saxifraga.type","Primulaceae","Ranunculaceae.undiff."
560,8986,459,0,3,0,45,0,0,3,4,0,5,2,0,6,0,1,130,1,128,0,0,0,8,5,4,79,1,7,3,1,6,0,0,1,0,0,4,1,0,2,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,9374,206,1,0,0,14,0,0,1,0,0,2,0,0,4,0,5,64,1,77,0,0,0,4,2,2,19,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,9740,451,1,0,3,32,0,0,3,3,1,6,1,0,5,0,3,148,0,154,0,0,0,16,3,2,39,1,4,4,0,4,0,0,1,1,2,4,1,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,10072,129,0,0,1,11,0,0,0,0,0,5,0,0,1,0,0,42,1,38,0,0,0,6,0,1,6,1,2,1,0,3,0,0,0,0,0,1,0,1,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,10621,174,0,4,1,10,0,0,0,0,0,6,2,0,0,0,1,94,0,26,0,0,0,9,2,1,5,0,3,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,11034,519,2,1,0,55,0,0,0,0,0,10,2,0,1,0,4,230,3,85,0,0,0,14,3,5,15,0,4,6,1,3,0,0,0,0,0,5,0,5,48,1,3,1,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
640,11196,192,4,0,0,13,1,1,0,2,1,2,1,0,0,0,8,98,0,36,0,0,0,1,1,0,6,0,2,1,0,3,0,0,0,0,0,2,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,11336,589,4,1,0,70,0,0,0,1,1,10,0,0,0,0,7,303,3,107,0,0,0,5,1,3,20,0,7,9,2,7,0,0,0,2,0,4,0,0,0,0,1,1,1,0,7,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
670,11586,213,6,0,1,31,0,1,0,2,1,3,0,0,0,0,12,91,1,14,0,0,0,1,1,1,12,0,1,1,0,2,0,0,0,1,1,1,0,1,16,0,0,0,0,0,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,11816,511,4,0,0,69,1,0,0,5,0,9,0,0,0,1,26,267,1,34,0,0,0,4,2,0,48,0,9,3,0,7,0,0,0,0,2,5,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,12031,228,9,1,1,14,0,0,0,2,0,5,0,0,1,0,37,103,0,6,0,0,0,8,1,0,23,0,3,3,1,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,12233,510,20,0,0,36,0,0,0,2,0,4,0,0,1,0,105,230,0,11,0,0,0,7,5,5,65,0,1,4,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
750,12426,160,5,0,1,13,0,0,1,2,0,2,0,0,0,0,46,23,0,4,0,0,0,2,0,1,36,1,2,1,0,3,0,0,0,1,1,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
760,12521,535,5,1,0,32,0,3,0,0,0,17,0,0,0,0,206,160,0,6,0,0,0,4,1,1,70,0,11,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
770,12614,140,1,0,0,15,0,2,0,0,0,4,0,0,0,0,55,15,0,2,0,0,0,1,1,0,20,0,3,3,0,7,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
790,12803,566,26,0,0,20,0,0,0,1,0,9,0,0,0,0,323,109,0,1,0,0,0,4,5,0,43,1,9,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
810,13005,190,3,0,0,7,0,0,0,0,0,6,0,0,0,0,70,38,0,3,0,0,0,0,4,1,13,0,5,2,0,11,0,0,1,0,0,0,0,9,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
830,13249,535,20,0,1,10,0,0,0,5,1,14,1,0,0,0,125,255,0,9,0,0,0,0,5,0,29,1,13,0,0,21,0,0,3,0,0,4,0,0,0,0,2,0,2,0,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850,13559,146,2,0,0,5,0,0,0,0,0,3,1,0,0,0,29,49,0,5,0,0,0,1,1,0,0,1,4,1,0,2,0,0,0,0,0,1,0,35,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
870,13961,536,29,0,1,30,1,2,0,2,2,9,2,0,0,0,145,183,2,42,0,0,0,0,4,1,10,0,19,6,0,14,0,0,2,0,4,3,0,0,0,0,1,0,0,0,14,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
890,14454,196,7,0,0,15,0,0,0,0,2,7,0,0,0,0,66,26,0,17,0,0,0,1,4,0,0,0,10,4,0,2,0,0,1,0,1,5,0,16,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
910,15008,464,5,0,1,25,1,0,0,3,1,21,1,0,0,0,205,34,0,25,0,0,0,0,1,3,2,0,22,5,0,22,0,0,0,0,1,12,0,44,1,0,0,0,0,0,22,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,15301,153,2,0,0,9,0,0,0,0,0,3,0,0,0,0,84,16,0,12,0,0,0,0,1,0,1,0,8,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
940,15910,267,0,0,0,26,0,0,0,3,3,14,0,0,0,0,84,10,1,31,0,0,0,0,7,0,2,0,11,6,0,11,0,0,2,0,3,7,0,8,1,1,0,0,0,0,23,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
949.5,16204,165,2,0,0,19,0,0,0,0,0,14,0,0,0,0,72,13,0,13,0,0,0,0,1,0,1,0,5,1,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
970,NA,228,0,0,2,52,1,0,0,1,2,10,0,0,0,0,35,19,0,12,0,0,0,0,7,0,1,1,32,5,0,10,0,0,4,0,1,3,0,9,0,0,0,0,4,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
990,NA,98,0,0,0,17,0,1,0,0,0,21,0,0,0,0,3,7,0,7,0,0,2,0,3,0,1,0,1,2,1,8,0,0,3,0,0,2,0,2,0,0,0,0,2,0,4,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
