"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Fraxinus.americana.type","Poaceae","Urticaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Pinus.resinosa.type","Viburnum.edule","Salix.undiff.","Polygonaceae.undiff.","Taxus","Cornus","Carya.ovata","Nemopanthus.mucronatus","Asteraceae.subf..Asteroideae.undiff.","Rhamnus.alnifolia.R..frangula","Viburnum.lentago","Juglans.nigra","Saxifraga","Viburnum.opulus","Rosaceae.undiff.","Amaranthaceae","Salix.herbacea.type","Thalictrum","Saxifraga.oppositifolia.type","Acer.spicatum","Viburnum.undiff.","Sambucus","Lamiaceae","Acer.saccharinum","Saxifraga.cernua.type","cf..Sarcobatus.vermiculatus","Liliaceae","Onagraceae","Populus.deltoides.type","Caryophyllaceae","Hypericum","Fabaceae.undiff.","Shepherdia.canadensis","Polygonum.convolvulus.type","Celtis.occidentalis","Linnaea.borealis","Potentilla.palustris.type","Oxytropis.maydelliana.type","Viburnum.nudum","Prunus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Rubiaceae","Salix.vestita.type","Viburnum.alnifolium","Brassicaceae","Armeria.maritima","Saxifragaceae.undiff."
425,4776,583,0,0,18,2,0,3,267,4,0,3,8,0,3,0,1,0,3,10,5,18,3,6,4,0,4,0,4,13,0,0,2,13,64,0,114,1,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,4937,579,0,1,10,4,0,1,250,3,1,9,13,7,2,0,6,0,4,6,1,24,1,15,0,0,1,0,0,9,1,0,2,2,81,0,118,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,5178,592,0,1,10,2,0,2,208,5,0,7,5,0,2,1,1,0,5,76,1,26,0,11,1,0,3,0,1,8,0,1,1,10,84,0,91,3,0,18,0,0,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,5419,516,0,2,11,2,2,0,164,5,1,5,7,3,3,2,1,1,3,28,0,16,3,7,4,0,4,0,0,8,0,0,2,22,107,0,90,2,0,0,0,1,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,5580,462,0,2,10,0,0,1,194,6,0,5,5,0,4,0,0,0,1,24,0,28,0,8,1,1,1,0,2,12,0,0,0,5,45,0,100,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,5741,446,0,0,7,0,1,0,181,1,0,4,4,0,3,0,1,0,1,12,0,12,2,4,0,0,0,0,1,4,0,2,0,3,82,0,119,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5982,665,0,1,8,0,0,3,225,2,0,6,5,0,1,0,2,1,4,19,4,21,1,13,1,1,1,0,2,13,1,2,0,21,127,0,165,1,0,5,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,6223,598,0,0,8,3,0,0,240,0,1,10,10,0,1,0,6,0,3,13,1,32,0,11,3,3,0,0,1,10,0,1,3,14,118,0,94,1,1,0,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,6384,507,0,2,5,2,2,0,164,1,0,2,10,2,0,0,6,0,1,10,0,29,0,7,0,0,0,0,1,10,2,0,2,0,168,1,74,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,6626,571,0,0,5,0,0,0,85,1,0,3,10,0,0,1,3,0,5,41,2,40,0,9,1,0,1,0,5,5,0,1,3,13,258,0,60,1,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,6786,598,0,2,11,1,0,1,92,0,0,5,14,5,0,0,3,0,7,60,0,54,0,10,0,1,0,0,7,9,0,2,0,22,268,0,15,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,6947,584,0,2,7,5,3,0,97,6,0,5,7,2,0,0,5,2,12,25,7,35,0,14,4,1,0,0,8,4,0,3,2,30,278,0,6,1,0,1,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,7188,597,0,0,7,29,1,3,126,3,0,2,7,0,0,3,3,0,13,37,11,17,0,8,1,2,3,0,7,2,0,5,5,105,175,0,0,4,0,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
