"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Cerealia","Cistaceae","Clethra","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Elymus","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Gentianaceae","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.clavatum","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarracenia","Saxifragaceae","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum","Vitis"
98,5088,0,3,0,0,0,0,0,22,0,0,11,0,0,3,0,0,1,0,0,0,0,2,57,9,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,13,0,0,0,0,1,98,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,26,0,0,0,0
110,5602,0,4,0,1,1,0,0,36,0,0,18,1,0,13,0,0,0,0,0,0,0,1,35,13,0,0,0,0,3,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,56,0,25,3,0,1,0,0,115,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16,0,0,0,0
120,6030,0,2,0,0,0,1,0,31,0,0,4,1,0,11,1,0,15,0,0,0,0,0,20,35,0,0,0,1,6,1,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,39,3,42,0,0,0,0,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0
130,6458,0,4,0,1,0,1,3,29,0,0,3,3,0,13,0,0,7,0,0,0,0,1,22,10,0,0,0,0,5,0,0,2,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,49,0,20,1,2,1,0,0,126,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,8,6,0,0,0,0
140,6886,0,1,0,0,0,1,6,7,0,0,7,2,0,13,0,0,5,0,0,1,0,0,12,46,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,39,0,75,0,0,1,0,0,155,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,4,3,6,2,0,0,0,0
151,7357,0,3,1,1,0,2,0,3,0,0,6,1,0,13,0,0,4,0,0,0,0,1,24,26,0,0,0,2,7,0,0,2,1,0,0,0,0,15,0,0,0,0,0,0,1,1,1,0,17,1,0,1,0,54,0,72,1,1,0,0,0,161,0,1,0,0,2,0,0,0,1,0,0,0,3,0,2,7,1,9,10,2,0,0,0
160,7742,0,2,0,3,0,1,8,0,1,0,18,0,0,20,0,0,1,0,0,0,0,2,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,17,1,0,0,0,0,1,0,25,0,279,0,0,0,1,1,206,0,0,0,0,5,0,1,1,0,0,1,0,0,1,1,8,2,0,2,0,1,0,0
170,8170,0,2,0,1,0,1,0,0,0,0,4,0,0,30,2,0,0,0,0,1,1,0,2,8,0,0,0,0,4,1,0,0,0,0,0,2,0,14,0,0,1,0,0,3,6,17,0,0,3,0,2,3,0,44,0,16,0,0,1,1,0,253,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,1,3,6,5,0,0,0,0
180,8598,0,2,0,3,0,3,1,0,1,0,2,3,0,22,0,1,0,0,1,0,0,1,1,1,0,0,0,0,3,2,0,0,0,0,0,1,0,7,0,0,1,0,0,2,2,1,0,1,1,0,1,0,0,27,0,7,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,3,1,0,0,0,0
190,9026,0,0,0,2,1,4,0,0,0,0,3,2,0,22,1,0,0,0,0,0,0,4,8,2,0,0,0,0,3,2,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,41,1,12,0,0,0,0,0,274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,7,2,1,0,0,0
200,9454,0,1,0,4,0,2,0,0,1,0,2,6,0,28,0,0,2,0,0,0,0,2,6,2,0,0,0,0,3,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,40,0,18,0,0,1,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,1,0,0,0,0
210,9882,0,0,0,4,1,3,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,2,2,0,3,0,1,0,0,42,1,8,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,4,0,0,0,0
220,NA,0,0,0,4,0,0,0,0,0,0,2,0,0,16,0,0,1,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,2,0,1,0,2,3,0,37,0,6,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,0,0,0
228,NA,2,0,1,18,0,2,1,0,0,0,5,6,0,1,0,0,0,0,0,0,0,8,15,4,0,0,0,0,30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,3,9,0,2,0,0,3,3,11,3,1,0,0,0,0,0,143,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,6,0,0,1,1
230,NA,0,0,0,40,0,3,1,0,0,0,3,16,1,4,0,0,1,0,0,0,0,4,7,18,1,1,0,0,23,5,1,0,2,0,67,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,1,12,7,77,0,6,0,0,0,0,0,143,0,0,0,1,1,0,0,0,0,0,1,4,0,1,2,0,2,3,4,0,0,0,0
243,NA,1,0,0,1,2,4,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,2,6,9,1,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,14,197,1,3,1,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0
