"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum"
180,2501,32,0,1,4,0,3,0,1,1,0,0,0,291,0,0,0,0,0,0,3,2,0,0,0,0,11,20,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,1,0,2,3,97,20,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,24,0,0,4,5,0,0,0,0,0
200,2778,13,0,0,18,0,16,0,1,2,0,1,0,337,0,3,0,1,0,0,3,4,1,0,0,0,3,18,3,4,0,0,6,0,1,0,1,0,0,0,0,0,6,0,0,0,0,7,6,2,0,3,1,61,12,0,0,0,0,0,0,16,0,0,0,1,0,0,0,5,0,0,23,0,0,2,2,5,0,0,0,0
225,3126,32,0,0,20,0,2,1,0,0,1,1,0,283,0,0,0,0,0,0,10,0,0,0,0,0,1,7,1,0,0,0,5,0,1,0,2,0,0,0,0,0,2,0,0,0,0,2,23,1,2,3,1,71,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,32,0,0,1,2,0,0,0,0,0
250,3473,11,0,1,9,0,7,0,0,0,1,1,0,410,0,1,0,0,0,0,5,0,0,0,0,0,1,18,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,20,0,1,175,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,1,12,0,0,8,0,1,0,0,0,0
275,3820,26,0,1,7,0,2,1,0,0,0,0,0,174,0,0,0,0,0,0,5,3,0,0,0,0,8,7,2,0,0,0,4,0,0,0,4,0,0,0,0,0,4,1,0,0,0,2,8,2,0,4,1,133,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,8,0,0,2,2,1,0,0,0,0
300,4260,6,0,0,6,0,6,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,44,6,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,7,1,0,0,0,79,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,0,0,0
320,4619,6,0,1,2,0,8,0,0,1,0,0,0,228,0,0,0,0,0,0,13,1,0,0,0,0,11,5,0,1,1,0,3,4,0,0,0,0,0,0,2,0,7,0,0,0,2,9,5,1,2,1,0,127,11,0,3,0,0,5,0,9,0,0,0,0,0,0,0,2,1,1,2,0,1,1,3,1,0,0,0,0
340,4979,9,0,0,5,0,20,0,1,1,1,1,0,323,0,0,0,0,0,0,5,2,0,0,0,0,5,3,6,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,18,30,0,0,207,31,0,1,0,0,0,0,9,0,0,0,0,0,0,0,6,0,1,5,0,0,3,29,4,3,0,0,0
365,5429,10,0,0,3,0,2,0,0,0,0,1,0,177,0,0,0,0,0,0,2,1,0,0,0,0,30,3,0,0,2,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,11,1,0,2,0,121,13,0,1,0,0,3,0,8,0,1,0,0,0,0,0,55,0,0,76,0,0,2,2,3,0,0,0,0
385,5789,15,0,1,5,0,8,0,0,0,2,0,0,328,0,1,0,0,0,0,8,6,0,0,0,0,3,2,4,0,0,0,5,0,0,0,1,0,0,0,0,0,11,0,0,0,1,8,16,5,0,7,1,157,16,0,1,0,0,0,0,6,0,0,0,0,0,0,0,4,0,2,170,0,0,3,3,1,0,0,0,0
400,6058,8,0,0,10,0,7,0,0,0,0,0,0,194,0,0,0,0,0,0,1,2,0,0,0,0,2,3,3,0,1,1,2,0,1,0,2,0,0,0,0,0,3,0,0,1,1,12,2,1,0,0,0,161,11,0,1,0,0,2,0,5,0,0,0,0,0,0,0,13,0,2,101,0,0,2,1,0,1,0,0,0
415,6328,12,0,1,9,0,5,1,0,0,1,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,1,9,12,3,2,2,0,124,28,0,1,0,0,3,0,11,0,0,0,0,1,0,0,2,0,1,125,0,0,6,2,0,0,0,0,0
430,6598,7,0,0,5,0,4,0,1,1,1,1,0,170,0,0,0,1,0,0,5,0,0,0,0,0,2,2,2,1,0,0,0,0,2,0,1,0,0,1,1,0,2,0,3,0,0,7,4,1,0,1,0,140,20,0,1,0,0,4,0,10,0,0,0,0,0,0,0,18,0,0,35,0,0,6,1,0,1,0,0,0
450,6958,7,0,0,5,0,0,0,1,1,1,0,0,94,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,10,1,0,0,6,350,18,0,0,0,0,1,0,12,0,0,0,0,0,0,0,7,0,2,14,0,0,3,1,0,0,0,0,0
475,7407,4,0,0,2,1,6,2,2,0,0,0,0,143,0,1,0,0,0,0,2,9,0,0,0,0,15,2,1,0,0,0,3,0,1,0,1,0,0,3,3,0,1,0,0,0,0,0,17,2,0,12,8,263,8,0,1,0,0,1,0,10,0,0,0,0,0,3,0,23,0,0,8,0,0,7,1,4,0,0,0,0
500,7857,17,0,0,2,0,15,0,2,3,2,1,0,232,0,0,0,0,0,0,6,9,0,0,0,0,9,1,0,0,0,0,9,0,0,0,5,0,0,2,2,0,10,0,0,0,2,13,8,7,2,21,0,249,31,0,3,0,0,2,1,22,0,0,0,0,0,0,0,65,0,0,9,0,0,4,2,3,1,0,0,0
510,8037,21,0,0,1,1,15,2,1,2,1,1,0,139,0,0,0,0,0,0,6,5,0,0,0,0,28,0,2,1,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,3,3,26,5,0,49,5,113,20,0,2,0,0,2,1,20,0,0,0,1,0,2,0,85,0,0,5,0,0,1,0,1,1,0,0,0
520,8217,15,0,0,1,0,31,0,0,2,2,2,0,176,0,1,0,0,0,0,13,32,0,1,0,0,9,0,2,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1,2,0,70,0,6,1,93,105,0,1,0,0,0,0,15,0,1,0,4,0,0,0,78,0,0,1,0,0,6,21,4,0,0,0,0
530,8396,23,0,0,0,1,52,9,0,1,2,1,0,224,0,1,0,1,0,0,7,16,0,0,0,0,2,0,0,0,0,0,5,0,0,0,14,0,0,2,1,0,9,0,0,0,1,41,27,9,1,36,3,57,15,0,2,1,0,2,1,17,0,1,0,0,0,0,0,381,0,0,3,0,0,4,5,6,1,0,0,0
535,8486,2,0,0,1,0,36,19,0,0,2,0,0,103,0,0,0,0,0,0,3,24,0,0,0,0,6,0,2,0,0,0,3,0,0,0,7,0,0,4,0,0,9,0,0,0,3,16,22,7,4,14,2,21,7,0,6,0,0,0,6,8,0,0,0,4,0,3,0,406,0,0,2,0,0,1,3,14,1,0,0,0
540,8576,0,0,0,1,0,25,27,0,0,1,0,0,79,0,0,0,1,0,0,9,88,1,0,0,0,1,0,2,0,0,0,3,1,0,0,32,0,0,3,3,0,22,0,0,0,0,50,21,7,2,6,2,36,7,0,4,1,0,7,33,5,0,0,0,3,0,1,0,1030,0,0,1,0,0,2,3,5,0,0,0,0
545,8666,3,0,0,2,0,4,41,0,2,4,6,0,93,0,0,0,0,0,1,14,189,1,0,0,0,2,0,1,1,0,0,12,5,0,7,57,0,0,3,13,0,47,0,0,0,1,102,8,16,7,31,0,41,13,0,15,0,0,11,52,21,0,1,0,23,1,7,2,217,0,0,1,0,0,11,14,5,0,0,1,0
550,8756,4,0,0,4,0,3,2,0,0,5,19,0,125,0,0,0,0,0,0,31,184,2,0,0,8,0,2,3,0,0,0,13,0,0,22,1,0,0,1,6,0,49,0,0,0,0,123,25,23,4,9,0,39,14,0,42,0,0,19,2,25,1,0,0,56,0,0,1,157,0,0,0,1,1,6,2,7,0,1,2,0
555,8846,2,0,0,1,0,3,8,0,1,4,2,0,86,0,0,0,0,0,0,34,149,0,0,0,29,0,1,1,0,0,0,19,0,2,15,1,0,0,1,1,0,7,0,0,0,0,9,1,4,1,12,0,23,8,0,51,0,0,24,3,12,0,0,0,152,0,0,1,9,1,0,2,1,0,1,1,5,0,0,0,0
560,NA,1,0,0,0,1,8,10,0,2,4,1,0,101,0,0,1,0,0,0,12,562,0,0,0,0,0,0,2,0,1,0,9,0,1,0,0,0,0,4,1,0,0,0,0,0,0,2,10,2,1,5,2,61,8,0,225,0,0,33,147,18,0,0,0,74,0,0,0,1,0,0,2,0,0,0,2,33,0,0,0,0
565,NA,4,0,0,0,0,13,5,0,2,3,0,0,90,0,1,0,0,0,0,47,173,0,0,1,19,2,1,4,0,0,0,9,0,0,6,6,0,0,3,0,0,13,0,0,0,0,13,3,10,1,15,0,65,16,0,169,0,0,13,23,17,0,1,0,57,0,0,0,62,0,0,3,0,0,2,1,16,0,0,0,0
570,NA,3,0,0,0,0,2,7,1,1,3,0,0,52,0,0,0,0,0,1,28,168,0,0,0,15,3,0,0,0,0,0,7,0,0,5,0,0,0,4,1,0,2,0,0,0,0,4,3,3,1,6,0,23,4,0,120,0,0,4,18,6,0,0,0,41,0,0,0,23,0,0,4,0,1,2,1,8,0,0,0,0
