"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Juniperus.Thuja","Fraxinus","Pinus","Poaceae","Acer.saccharum","Ostrya","Cyperaceae","Picea","Platanus","Populus","Acer.saccharinum","Fagus","Acer.rubrum","Plantago","Juglans","Acer.undiff.","Campanulaceae","Larix","Sarcobatus.vermiculatus","Rumex","Carya","Corylus","Elaeagnus","Myrica","Liquidambar","Acer.spicatum","Ephedra","Rosaceae","Ericaceae","Ilex","Xanthium","Acer.negundo"
748,10840,368,1.5,4,37,0,21,1,0,1,1,22,0,0,4,11,5,224.5,2,1,3,6,15,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
752,10936,246.5,1,2,22,0,7,0,0,0,1,15,0,1,5,4,2,155,2,0,5,1,18.5,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
753,10960,421.5,3,10,30,5,25,5,0,0,1,15,0,2,5,1,9,251.5,1,1,12,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
756,11033,221.5,2,8,8,0,21,1,0,0,0,18,0,0,3,11,5,104.5,6,0,1,5,19,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
762,NA,329,4.5,9,20,5,32,3,0,0,0,11,0,2,10,24,3,103.5,3,0,8,2,68,2,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1
773,NA,237,0,11,5,0,18,5,0,0,7,12,0,0,4,21,5,95,8,2,6,3,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,NA,188.5,0,8,4,0,12,3,0,0,0,12,0,0,4,4,4,78.5,5,2,0,2,32,0,7,0,0,0,0,4,0,0,2,0,0,2,0,0,1,0,0,0,2,0,0,0,0
793,NA,263.5,0,3,5,0,16,1,0,1,2,4,0,0,2,7,2,152.5,1,2,2,6,52,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
805,NA,248.5,0,13,10,2,16,2,0,0,3,9,0,1,3,3,4,144.5,3,0,3,0,25,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
815,NA,234.5,2,11,12,2,21,1,0,0,2,16,0,0,4,6,3,99,6,0,4,3,34.5,0,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
