"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
21,60,649,0,6,9,0,6,0,6,162,3,46,0,1,0,0,1,0,60,8,1,4,0,0,0,0,1,0,12,0,3,13,11,18,47,1,0,77,0,2,0,0,0,51,2,0,23,0,0,0,0,0,1,1,0,0,0,0,2,41,0,0,0,2,28,0,0,0,0
23,70,618,1,3,8,2,11,0,0,156,3,32,0,0,0,0,2,0,62,3,2,2,0,1,0,1,0,0,12,0,3,11,2,18,72,0,0,73,0,1,0,0,1,51,6,0,22,0,1,2,0,0,0,2,0,0,0,0,0,31,0,0,0,0,21,0,0,0,0
25,79,627,0,2,8,2,11,0,0,176,4,43,0,0,0,0,4,1,53,3,1,1,0,1,0,0,0,0,18,0,2,4,3,24,42,0,0,65,0,3,0,0,0,63,3,0,16,0,2,3,0,0,0,3,0,0,0,0,0,38,0,0,0,2,26,0,0,0,0
27,89,636,1,4,10,4,7,0,0,151,0,63,0,0,0,0,2,0,57,3,2,3,0,1,1,0,0,0,19,0,0,5,3,18,67,1,0,76,0,1,0,0,2,42,4,0,22,0,1,3,0,0,1,2,0,0,0,0,0,32,0,0,0,2,26,0,0,0,0
29,99,623,0,7,6,3,4,0,0,148,2,53,0,1,0,0,8,0,56,7,2,2,1,0,1,1,0,0,10,0,1,4,5,17,50,1,0,65,0,2,0,0,1,55,11,0,27,0,0,3,0,0,0,3,0,0,0,0,1,36,0,0,0,1,28,0,0,0,0
31,109,665,0,7,10,1,14,0,5,147,3,59,0,3,0,0,2,1,65,3,3,1,0,0,0,0,0,0,32,1,3,7,4,18,34,1,0,76,0,2,0,0,2,41,5,0,25,0,0,2,0,0,0,3,0,0,0,0,0,46,0,0,0,4,35,0,0,0,0
33,119,671,2,3,5,2,8,0,0,149,2,56,0,0,0,0,1,0,54,10,2,1,1,0,0,1,0,0,11,0,1,3,5,26,52,0,0,98,0,2,0,0,0,60,5,0,23,0,1,0,0,0,0,1,0,0,0,0,0,52,0,0,0,2,32,0,0,0,0
35,129,599,1,4,10,4,7,0,0,147,3,40,0,0,0,0,0,1,77,6,2,1,0,2,0,0,0,0,12,0,1,2,6,24,53,0,1,88,0,0,0,0,0,41,5,0,15,0,0,0,0,0,0,4,0,0,0,0,0,28,0,0,0,1,13,0,0,0,0
37,139,619,0,4,11,0,7,0,0,150,7,64,0,0,0,0,5,1,66,4,1,1,0,3,0,0,0,0,20,0,3,5,10,24,41,4,1,53,0,0,0,0,0,55,5,0,21,0,0,1,0,1,0,3,0,0,0,0,0,28,0,0,0,1,19,0,0,0,0
39,149,601,0,5,6,2,9,0,3,160,4,34,0,0,0,0,1,0,88,5,1,3,0,0,0,0,1,0,10,0,2,1,7,28,47,1,0,62,0,0,0,0,1,59,5,0,11,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,1,22,0,0,0,0
41,159,599,0,6,7,0,10,0,3,135,2,48,0,0,0,0,3,0,46,10,0,1,0,1,0,1,1,0,11,0,2,10,6,24,34,1,0,102,0,1,0,0,0,71,4,0,11,0,1,1,0,0,0,1,0,1,0,0,0,30,0,0,0,0,14,0,0,0,0
43,168,614,0,1,5,3,9,0,2,152,3,47,0,0,0,0,2,0,62,5,2,1,0,1,0,0,0,0,12,1,1,5,13,25,47,1,0,69,0,0,0,0,0,67,7,0,12,0,0,3,0,0,0,2,0,0,0,0,0,20,0,0,0,1,33,0,0,0,0
45,178,567,1,3,15,1,4,0,2,137,3,54,0,0,0,0,3,0,57,3,2,1,1,0,2,0,0,0,9,0,3,10,6,28,44,1,0,79,0,0,0,0,0,51,2,0,8,0,1,1,0,0,0,2,0,0,0,0,0,20,0,0,0,2,11,0,0,0,0
47,188,586,1,4,8,1,4,0,2,153,3,28,0,0,0,0,3,0,67,6,1,2,0,0,0,1,0,0,17,1,4,4,10,23,45,2,0,93,0,1,0,0,0,50,3,0,8,0,1,0,0,0,0,1,0,0,0,0,0,21,0,0,0,2,16,0,0,0,0
49,198,558,1,4,7,1,3,0,2,154,6,42,0,0,0,0,2,1,81,7,4,1,2,1,0,0,0,0,7,1,5,6,6,24,29,0,0,84,0,0,0,0,0,50,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,4,0,0,0,0
51,240,570,2,6,14,1,3,0,0,137,3,49,0,1,0,0,0,0,76,8,4,1,0,0,0,0,1,0,13,1,4,5,7,27,27,3,0,70,0,1,0,0,0,89,3,0,5,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0
53,314,560,0,3,12,1,10,0,2,151,3,40,0,0,0,1,2,0,73,13,2,2,0,0,0,0,0,0,12,0,2,10,10,20,28,4,0,73,0,2,0,0,0,71,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
55,389,534,0,2,9,2,2,0,2,143,3,34,0,0,0,1,1,0,82,2,3,3,0,0,0,1,0,0,8,0,2,5,10,15,34,0,0,78,0,1,0,0,0,80,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0
57,463,530,0,4,11,2,2,0,0,117,4,42,0,0,0,0,2,0,94,3,3,2,1,0,0,0,0,0,9,0,3,6,1,20,38,0,0,65,0,0,0,0,0,85,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0
59,537,534,0,6,13,2,10,0,1,115,3,19,0,0,0,0,1,0,103,9,3,2,0,0,0,0,0,0,9,0,5,1,5,17,24,0,0,70,0,0,0,0,0,105,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,0,0,0,0
61,612,537,0,3,9,3,7,0,2,110,1,19,0,0,0,1,1,0,117,14,3,0,0,0,0,0,0,0,17,0,3,1,4,17,31,1,1,67,0,0,0,0,0,95,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0
63,686,539,0,5,10,4,4,0,1,124,3,27,0,2,0,0,1,1,111,12,4,0,3,0,0,0,0,0,2,0,11,2,3,15,23,1,0,63,0,0,0,0,0,94,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0
65,760,545,0,3,12,2,11,0,4,135,3,24,0,0,0,0,2,0,96,7,3,2,0,1,0,0,0,0,4,0,1,3,6,14,31,2,0,68,0,0,0,0,0,100,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
67,834,547,0,7,12,2,4,0,4,148,4,17,0,2,0,1,0,0,83,4,4,1,0,0,0,0,0,0,4,2,0,5,11,14,24,2,0,71,0,0,0,0,0,108,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
69,893,528,0,4,12,3,7,0,1,128,5,15,0,0,0,0,1,0,108,7,0,2,1,0,0,0,0,0,6,1,5,5,2,17,29,1,0,56,0,0,0,0,0,103,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,953,528,0,2,10,1,1,0,2,125,4,17,0,0,0,0,1,0,103,4,1,2,0,0,0,0,0,0,9,1,3,2,4,18,20,0,0,70,0,0,0,0,0,117,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,3,0,0,0,0
73,1012,535,0,3,8,2,4,0,1,133,2,10,0,0,0,0,2,0,109,5,4,2,4,2,0,0,0,0,1,0,3,4,5,20,21,2,0,54,0,0,0,0,0,125,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
75,1071,526,0,5,14,0,7,0,0,114,3,10,0,0,0,0,0,1,119,7,3,3,0,0,0,0,0,0,2,0,3,3,5,18,16,1,0,68,0,0,0,0,0,114,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
77,1130,521,0,5,8,2,4,0,0,126,2,18,0,0,0,0,0,0,134,7,2,2,1,1,0,0,1,0,3,0,3,5,6,13,17,2,0,52,0,0,0,0,0,103,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1189,510,0,7,12,2,3,0,1,94,5,12,0,1,0,0,2,0,135,4,8,1,0,0,0,0,0,0,4,0,4,4,4,13,21,2,0,58,0,0,0,0,0,106,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,1248,536,1,5,14,1,5,0,2,94,3,17,0,0,0,0,1,0,127,7,1,2,0,0,0,4,0,0,8,1,3,2,2,18,31,6,0,65,0,0,0,0,0,107,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
83,1307,560,0,9,13,2,12,0,0,112,4,14,0,2,0,0,0,0,145,6,1,0,0,0,0,0,0,0,1,0,2,3,3,17,22,0,0,67,0,0,0,0,1,120,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
85,NA,533,0,6,14,1,7,0,0,113,3,4,0,0,0,0,2,1,115,9,3,1,0,1,0,1,0,0,4,4,2,3,2,9,14,0,1,89,0,0,0,0,1,119,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
