"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Caprifoliaceae","Caryophyllaceae","Cornus","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae.undiff.","Fabaceae","Fraxinus","Huperzia.selago","Indeterminable","Isoëtes","Larix","Ledum.Chamaedaphne.calyculata","Lycopodiaceae.undiff.","Lycopodium.annotinum","Myrica","Myriophyllum","Nuphar","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Ranunculus","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vaccinium","Woodsia"
1155,6821,106,0,0,0,0,123,0,1,1,0,0,0,63,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,42,0,0,0,22,0,0,0,118,13,12,0,10,0,0,0,3,0,0,7,0,0,1,0,0,0,0,1,0,0
1160,6903,11,0,0,0,0,82,0,0,0,1,0,0,51,1,0,0,0,5,0,0,3,0,0,0,0,0,0,2,104,0,0,3,25,0,1,0,130,3,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1165,6984,35,0,0,0,0,80,0,0,0,0,0,0,31,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,27,0,0,0,14,0,0,0,151,0,0,10,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
1170,7065,1,0,0,0,0,202,0,0,0,0,0,0,49,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,28,0,0,0,22,0,0,0,63,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1175,7356,2,0,0,0,0,219,0,0,0,1,0,0,29,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,19,1,0,0,69,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,7647,8,0,0,0,0,184,0,1,0,1,0,0,71,1,0,0,0,6,0,0,1,0,0,1,0,0,0,6,40,0,0,4,23,0,1,0,33,1,1,2,8,0,0,0,1,6,0,4,0,0,1,0,0,0,0,2,0,0
1185,7938,2,0,0,0,0,114,0,0,0,0,0,0,86,0,0,2,0,12,1,0,1,0,0,1,0,0,0,1,18,0,0,3,23,0,0,0,114,0,0,5,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
1190,8229,0,0,0,0,0,144,0,1,1,1,0,0,110,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,17,0,0,1,12,1,0,0,41,0,0,14,8,0,0,0,3,1,0,10,0,0,25,0,0,0,0,1,0,0
1230,10555,3,0,0,0,0,14,0,0,0,0,0,0,45,0,0,0,0,9,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0
1240,11137,1,0,0,0,0,51,0,0,2,1,1,0,107,0,0,0,0,52,1,0,0,0,0,2,0,0,0,1,15,0,0,0,3,0,0,0,36,0,18,0,14,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1250,11718,1,0,0,0,0,5,0,0,0,0,0,0,82,0,0,0,0,10,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0
1255,12009,0,0,0,0,0,40,0,1,2,1,0,0,202,0,0,1,0,22,0,0,3,0,0,2,0,0,0,0,87,0,0,0,10,0,0,0,21,0,0,4,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1260,12300,0,0,0,0,0,40,0,0,2,0,0,0,167,0,0,1,0,23,0,1,3,0,0,0,0,0,0,3,83,0,0,0,2,0,0,0,17,0,0,1,9,0,0,0,0,1,0,17,0,0,1,0,0,0,0,0,0,4
1265,NA,0,0,0,0,0,41,1,0,1,0,0,0,192,0,0,1,0,24,0,0,2,1,0,0,1,0,0,2,76,0,0,0,2,0,0,0,17,0,0,25,9,0,0,0,1,0,0,33,0,0,1,2,0,0,0,0,0,0
1270,NA,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1275,NA,0,0,0,1,0,31,0,2,3,0,1,1,156,0,0,0,0,24,0,4,2,0,0,2,0,0,1,1,7,0,2,0,1,0,0,0,18,0,0,27,7,0,0,0,0,2,0,36,0,0,0,0,0,0,0,1,0,0
1280,NA,0,0,0,0,0,28,0,0,3,0,0,0,143,0,0,2,0,22,2,0,2,0,0,10,0,0,1,0,3,2,0,1,2,0,0,0,18,0,0,37,17,0,0,0,2,1,0,25,0,1,0,0,0,0,0,1,2,2
