"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Achillea.type","Adiantum","Alnus.incana.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Bidens.type","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Circaea","Cirsium.Carduus.type","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dalea","Dryopteris.type","Ephedra","Epilobium","Equisetum","Eupatorium.type","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Gaura","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae.undiff.","Larix","Liquidambar","Ludwigia","Lycopodiaceae","Lyonia","Mentha.type","Morus","Myrica.type","Nuphar","Nyssa","Onagraceae.undiff.","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.aviculare.type","Polygonum.hydropiper.type","Polygonum.viviparum.type","Populus","Potamogeton","Potentilla","Primula","Proserpinaca","Prunella.type","Prunus","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguinaria.canadensis","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.canadensis","Smilax","Sparganium.type","Spiraea.type","Stuckenia","Thalictrum","Tilia","Toxicodendron","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum","Xanthium"
75,5544,0,0,0,0,0,0,0,0,0,1,2,7,0,1,1,2,0,0,1,1,0,0,0,17,0,0,0,9,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,12,1,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,77,0,1,0,2,1,0,0,0,1,0,0,313,0,1,0,0,0,3,0,0,1,1,0,0,0,0,1,0,3,0,0,0,6,1,0,0,0,0
86,6327,0,0,0,0,0,0,0,0,0,1,2,23,0,0,1,0,0,0,2,2,0,0,0,29,0,0,1,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,232,0,1,0,5,0,0,0,0,0,0,0,330,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,12,0,0,0,0,0
90,6607,0,0,0,0,0,0,0,0,0,1,2,36,0,0,6,3,0,0,0,3,0,0,0,28,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,8,2,0,1,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,166,0,0,0,1,0,0,0,0,0,0,0,310,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0
95,6953,0,0,0,0,0,1,2,0,0,0,1,21,0,1,0,7,0,0,3,1,0,0,0,24,0,0,0,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,7,2,0,0,0,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,100,0,2,0,1,1,0,0,0,0,0,0,257,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0
99,7227,0,0,0,0,0,0,1,0,0,0,0,20,0,0,3,3,0,0,3,2,0,0,0,26,0,0,1,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,160,0,2,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,2,1,0,0,3,1,0,0,0,0
105,7632,0,0,0,0,0,0,1,0,0,0,2,14,0,0,1,0,1,0,2,2,0,0,0,19,0,0,2,3,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,4,1,1,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,258,0,0,1,0,2,4,0,0,0,0,0,0,0,10,0,0,1,0,0,0,6,0,0,0,0,0
110,7963,0,0,0,0,0,3,1,0,0,1,1,26,0,0,0,4,0,0,5,1,0,0,0,15,0,0,1,10,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,36,0,0,0,6,0,0,0,0,0,0,0,317,0,1,0,0,5,3,0,0,0,0,0,0,4,6,0,0,1,0,0,0,11,0,2,0,0,0
115,8288,0,0,0,1,0,0,0,0,0,0,1,20,0,0,1,1,0,0,6,4,0,0,0,20,0,0,1,7,0,0,0,1,0,16,0,1,0,0,0,0,0,0,2,3,0,0,0,3,1,3,1,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,16,0,1,0,2,0,0,0,0,0,0,0,251,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,5,0,0,0,0,0
135,9530,0,0,0,2,0,0,3,0,0,3,0,93,0,0,7,19,0,0,3,12,0,9,1,42,0,0,2,0,0,0,0,5,0,43,0,6,3,0,0,0,0,0,0,10,2,1,0,11,3,1,0,1,1,1,0,0,0,0,0,0,0,7,2,0,0,0,2,0,3,0,2,63,0,2,0,4,6,0,0,0,0,0,0,169,0,0,0,0,32,5,0,0,0,0,0,0,4,1,3,1,1,2,0,3,9,0,4,1,0,0
155,10673,0,1,0,1,2,0,1,0,0,3,0,57,0,1,5,32,0,0,6,7,0,0,0,68,0,0,0,0,0,0,0,14,0,29,0,0,3,0,0,0,0,0,2,10,0,0,0,14,1,1,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9.5,1,1,0,0,34,0,0,0,4,5,0,0,0,0,0,0,216,0,0,0,0,4,0,0,0,0,0,0,0,5,5,2,0,3,0,1,2,15,0,0,0,0,0
175,11717,1,0,0,0,0,9,0,0,0,3,0,57,0,0,4,15,0,0,3,7,0,0,0,40,0,0,0,0,0,0,0,7,0,6,0,0,6,0,0,0,0,0,0,9,1,0,0,4,2,1,1,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,20,0,2.5,0,0,12,0,2,0,1,1,0,0,0,0,0,0,189,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,1,0,2,7,0,0,2,1,0
195,12661,0,0,0,0,0,5,0,1,0,2,0,75,0,0,6,19,0,0,6,3,0,0,0,37,0,0,0,1,0,0,0,12,0,11,0,0,3,0,0,0,0,0,0,14,1,0,0,4,2,0,1,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,10.5,2,2,0,0,23,0,3,0,0,2,0,0,0,0,1,0,173,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,5,2,0,2,17,0,0,0,0,0
215,13507,0,0,0,0,0,5,0,0,0,2,0,64,0,2,3,9,0,0,8,6,0,0,0,31,0,0,3,0,1,0,0,12,0,9,2,0,1,0,0,0,0,0,0,31,0,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,10.5,0,1.5,0,0,27,0,0,0,1,0,0,0,0,0,0,0,183,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,0,0
235,14258,1,0,0,0,0,2,0,0,0,3,0,53,0,1,7,18,0,1,9,10,0,0,1,30,0,0,0,0,0,0,4,12,0,18,0,0,5,0,1,3,0,0,0,30,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,40.5,2,1,0,0,27,0,4,0,0,0,0,0,0,0,0,0,173,0,1,0,0,1,3,0,0,0,0,0,0,2,3,1,0,1,1,0,4,13,1,1,0,0,0
255,14919,1,0,0,0,0,4,0,0,0,10,0,11,0,2,8,10,0,0,4,8,0,0,1,1,0,0,0,0,1,0,2,6,0,13,0,0,2,0,0,0,0,0,0,70,2,1,0,2,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,37.5,0,4,0,0,33,0,0,0,0,2,0,0,0,0,0,0,166,0,3,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,0,0,0,0,0
275,15497,4.5,2,0,0,0,2,1,0,0,12,1,10,0,0,8,11,0,0,13,11,0,0,0,0,0,0,0,0,0,0,2,11,1,26,0,0,0,0,0,0,0,0,0,78,7,7,0,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28.5,2,7.5,0,0,33,0,1,0,0,0,0,0,0,0,0,0,138,0,0,0,0,5,10,0,0,0,0,0,0,6,1,0,3,2,0,0,2,5,3,0,0,1,0
295,15997,5,0,0,0,0,0,0,3,0,6,0,7,0,0,5,2,0,0,1,10,0,0,0,4,0,0,0,0,0,0,2,9,1,48,0,0,0,1,0,0,0,0,1,80,6,0,0,12,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,107,5,7,0,0,48,2,0,0,2,4,0,1,0,0,0,0,76,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,7,3,0,0,5.5,5,6,1,0,0,0
315,16425,0,0,0,0,0,2,2,0,0,6,0,9,0,4,13,9,0,2,3,7,0,0,1,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0,0,0,0,0,0,95,5,3,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,54,5,7,0,0,19,0,0,0,0,2,0,0,0,1,0,0,127,0,2,5,0,5,4,0,0,0,0,0,0,0,5,0,1,3,0,0,11,3,0,1,0,0,0
355,17089,3,0,0,1,0,0,0,0,0,20,2,13,0,1,10,5,0,0,4,8,0,0,1,0,0,0,0,0,0,0,1,13,6,39,0,0,0,0,0,0,0,0,0,74,10,3,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,9,10,0,0,41,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,13,0,0,1,0,0,0,1,1,0,10,6,0,0,3,3,5,0,0,1,0
415,17702,4,1,0,0,0,0,0,0,0,20,3,12,0,3,13,2,0,1,4,10,0,0,0,0,1,1,0,0,0,0,1,12,1,19,0,0,4,0,0,0,0,0,0,40,6,2,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,111,3,14,0,0,25,0,0,0,0,0,1,0,0,1,0,1,103,0,1,0,0,2,5,0,0,1,0,0,0,0,0,6,0,4,0,0,13,3,0,0,0,0,0
455,17928,4,0,0,0,0,2,1,0,0,18,4,13,0,4,16,10,0,0,13,4,0,0,0,2,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,44,4,0,0,9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,20,1,0,13,0,0,0,0,4,2,1,0,0,0,0,94,0,3,0,0,2,0,0,0,0,0,0,0,0,2,9,0,0,0,0,5,2,1,0,0,0,0
495,18066,7.5,0,0,0,2,0,0,0,0,14,1,6,0,2,13,5,0,0,6,1,0,0,0,0,1,0,0,0,0,0,2,4,1,18,0,0,1,0,0,0,0,0,0,50,3,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,136.5,5,14.5,0,0,11,0,1,0,0,0,2,1,0,0,0,0,66,0,0,1,0,0,3,0,0,0,0,0,0,0,1,9,0,7,0,0,5,1,0,0,0,0,0
555,18187,10.5,0,0,0,0,0,0,0,1,22,1,6,0,1,20,7,0,0,9,5,0,0,0,0,0,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,42,1,0,0,6,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,128.5,7,25,0,0,15,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,0,5,1,0,1,0,0,0,1,3,4,0,5,0,0,7,1,0,0,0,0,0
575,18215,12,0,0,1,0,0,1,0,0,11,0,5,0,1,3,3,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,3,1,9,0,0,2,0,0,0,0,0,0,29,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,178.5,16,16.5,0,0,15,0,0,0,0,1,1,0,0,0,0,0,39,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,5,0,0,5,1,0,1,0,0,0
615,18269,1,0,0,0,0,1,0,0,0,4,1,9,0,1,15,4,0,0,1,5,0,0,3,0,1,0,0,2,0,0,3,1,1,20,1,0,1,0,0,0,0,0,0,20,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,136.5,28,77.5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,49,0,1,1,0,0,13,0,0,0,0,0,0,2,0,7,1,4,0,0,7,1,0,1,0,1,1
635,18300,0,0,0,0,0,0,0,0,0,15,3,5,0,4,5,17,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,3,4,6,2,0,4,0,0,0,0,0,0,12,1,1,0,57,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,135.5,27,49.5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,7,0,0,0,0,1,0,12,5,0,7,5,0,0,8.5,0,0,0,0,0,0
655,18337,0,0,0,0,0,0,1,0,0,13,0,9,0,2,0,1,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27.5,12,15.5,0,0,14,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,7,0,0,0,0,2,0,2,0,0,0,2,0,0,8,0,3,0,0,1,0
695,18452,3,0,0,0,0,2,2,0,0,5,0,5,0,0,5,8,0,0,2,5,0,0,0,2,1,0,0,0,0,0,1,2,1,12,1,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,54.5,139.5,0,0,3,0,1,1,0,1,0,0,0,0,0,0,36,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,6,1,0,0,0,0,0
735,18619,2.5,0,1,0,0,0,0,0,0,4,0,3,0,1,4,11,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,1,0,0,4,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,73,113.5,0,0,11,0,0,0,0,1,2,0,0,1,0,0,21,0,0,1,0,0,4,0,0,1,0,0,1,4,0,2,0,1,0,0,1,0,0,0,0,1,0
775,18824,1,0,0,0,0,0,1,0,0,4,0,5,0,1,3,11,0,1,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96.5,77,123.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,4.5,0,0,1,0,0,0
815,19052,5,0,0,0,0,1,0,0,0,4,1,2,0,0,6,11,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,11,0,0,1,0,1,0,0,0,0,3,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5,22.5,75,0,0,5,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0
856,19295,0,0,1,0,0,0,0,0,0,9,0,6,0,1,5,8,1,1,3,7,1,0,0,1,0,0,0,0,0,0,2,4,2,12,0,0,4,0,0,0,0,0,0,1,1,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,57,101.5,0,0,16,0,1,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,14,0,0,2,0,1,0,0,0,0
915,19626,0,0,0,0,0,0,0,0,0,7,1,6,0,5,10,16,1,0,2,1,0,0,0,2,1,1,0,0,0,0,0,7,1,17,0,0,0,0,0,0,0,0,0,1,1,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,59.5,125.5,0,0,27,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,1,10,0,0,11,1,4,0,0,0,0
935,19726,3,0,1,0,0,1,0,0,0,10,0,9,0,0,7,7,0,0,6,9,1,0,0,1,0,0,0,0,0,2,2,3,0,26,0,0,0,0,0,0,0,1,0,12,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5,37,49,0,0,18,0,0,0,0,0,3,0,0,2,0,0,37,0,0,1,0,1,6,0,0,0,0,0,2,2,0,6,0,10,0,0,9,2,5,0,0,0,0
955,19817,2,0,0,0,0,0,2,0,0,13,1,2,0,3,7,5,0,0,4,8,0,0,3,2,1,0,0,0,0,0,1,6,0,8,1,0,0,0,0,0,0,0,0,6,1,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,34,54.5,0,0,9,1,0,1,0,0,5,0,0,1,0,0,36,1,0,1,0,2,6,0,0,0,0,0,0,0,0,6,1,5,0,0,4.5,0,2,0,0,0,0
995,19974,2,0,7,0,0,1,1,2,0,9,4,15,0,1,13,9,0,0,6,5,0,0,0,0,0,0,0,0,0,0,1,8,0,29,0,0,0,0,0,0,0,0,0,6,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,144,30,58,0,0,26,0,0,0,0,2,2,0,0,0,0,0,57,0,0,1,0,0,3,0,0,0,0,0,2,1,0,8,1,10,0,0,8,4,7,0,1,0,0
1035,20103,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,7,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,59.5,86,138.5,0,0,8,0,0,0,0,0,2,2,0,0,0,0,20,0,0,1,0,1,3,0,0,1,0,0,0,0,0,5,0,1,0,0,1.5,1,1,0,0,0,1
1059,20169,5,0,0,0,0,0,0,1,0,5,1,7,0,1,8,6,0,0,3,6,0,0,0,1,0,0,0,0,0,0,1,5,1,22,0,0,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,53.5,66,143.5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,4,1,3,0,0,0,3
1095,20256,5,2,0,0,0,0,0,1,0,3,0,6,0,1,5,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.5,83,73,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
1115,20299,3.5,0,0,0,0,1,0,1,0,11,1,7,0,1,9,5,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,5,2,1,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,133.5,37,75.5,0,0,8,0,1,0,0,2,0,0,0,0,0,0,26,1,2,0,0,0,6,0,0,0,0,0,1,0,0,8,0,1,0,0,2,1,1,0,0,0,0
1155,20379,5.5,0,0,1,0,0,0,0,0,12,0,2,0,0,9,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,9,1,20,0,0,0,0,0,0,0,0,0,6,4,0,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,123,67.5,35,0,0,17,0,0,0,0,0,1,0,0,0,0,0,24,0,2,4,0,0,8,1,0,2,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0
1192,NA,9,0,0,0,0,0,0,1,0,6,2,4,0,3,13,7,0,0,3,3,0,0,0,1,2,0,0,0,0,0,2,5,1,30,0,0,0,0,0,0,0,0,0,18,1,2,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,164,28,21,0,0,41,0,0,0,0,2,5,0,0,0,0,0,32,0,0,1,0,0,10,0,0,7,0,0,1,0,1,6,0,13,0,0,4.5,1,3,1,0,0,0
