"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.undiff.","Alisma","Alnus","Alternanthera","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Araceae","Artemisia","Asteraceae.undiff.","Avena.type","Betula","Boraginaceae","Brassicaceae","Caltha.type","Campanula","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia.undiff.","Cornus","Corylus","Cuscuta","Cyperaceae","Dalea","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Euphorbia.subg..Chamaesyce.type","Fabaceae.undiff.","Filicopsida.undiff.","Filipendula.rubra","Fraxinus","Gaura","Geum.type","Humulus.Cannabis.sativa","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans","Juniperus.type","Lamiaceae.undiff.","Larix","Liliaceae.undiff.","Lilium","Lonicera","Lythrum","Mentha.type","Nymphaea","Ostrya.Carpinus","Parthenocissus","Pedicularis","Phlox","Picea","Pinaceae.undiff.","Pinus","Plantago","Platanus","Poaceae.undiff.","Polemonium","Polygonella","Polygonum.persicaria.type","Populus","Potamogetonaceae","Potentilla.type","Primula","Pteridium","Quercus","Ranunculus.type","Rhamnus","Rhus","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Scrophulariaceae.undiff.","Shepherdia.argentea","Solanum","Sparganium.type","Stachys.type","Thalictrum","Tidestromia","Tilia","Trifolium.type","Typha.latifolia.type","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Valeriana","Verbena","Vitis","Xanthium","Zea.mays"
423,6394,0,0,0,0,0,0,0,38,96,4,5,0,5,34,0,0,0,11,0,0,0,1,0,0,0,1,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,22,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0
488,7155,0,0,0,0,0,0,0,28,108,11,1,0,6,58,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,121,0,1,0,0,0,1,0,0,0,0,0,0,1,0,19,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,2,0
513,7448,0,0,0,1,0,0,1,36,131,5,0,0,9,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,201,1,0,0,0,0,0,0,2,0,1,0,0,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
543,7799,0,1,0,0,0,0,0,65,123,6,1,0,4,54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,91,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0
578,8209,0,2,0,0,0,0,0,95,80,4,1,0,7,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0,6,0,0,1,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
628,8795,1,4,2,0,0,0,0,25,82,4,2,0,5,34,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,2,0,3,0,0,0,0,25,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,12,0,1,30,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,6,0,0,0
658,9146,1,2,0,0,0,0,0,18,88,16,2,0,6,32,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,282,0,0,1,0,0,0,0,0,0,3,0,0,0,0,27,0,0,3,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,11,0,1,34,0,0,0,0,1,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,10,2,0,2,0,1,1,0,0
688,9497,0,0,1,0,0,2,0,25,75,5,5,0,9,26,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4,0,331,1,0,1,0,0,0,0,3,0,7,0,0,0,0,36,1,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,24,0,14,0,6,47,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,7,3,0,1,0,0,0,1,0
713,9790,0,1,2,0,0,0,0,22,89,4,3,0,3,42,0,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,211,0,1,0,0,0,1,0,2,0,5,0,0,0,0,30,3,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11,0,3,37,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,12,3,2,0,0,4,0,1,0
743,10141,0,3,0,0,0,0,1,33,116,5,0,3,5,35,0,0,0,0,4,0,0,3,0,0,0,2,0,0,1,0,319,1,1,0,0,0,0,0,6,0,2,0,0,0,0,24,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,13,26,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,1,6,14,0,0,2,0,0,0,0,0
753,10258,0,2,3,0,1,1,0,23,91,4,0,0,5,58,0,0,0,4,1,0,0,4,0,0,0,0,0,0,1,0,375,3,0,0,0,1,0,0,2,0,1,0,0,0,0,29,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,5,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,5,9,2,0,0,0,0,0,1,0
763,10376,0,1,1,0,0,0,0,14,114,3,0,0,7,49,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0,189,3,0,0,0,0,0,0,4,0,0,0,0,0,0,35,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,6,24,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,16,1,2,0,0,5,0,0,0
768,10434,0,0,1,1,0,2,0,8,90,2,0,1,5,68,0,0,0,4,1,0,0,7,0,0,1,0,0,0,2,1,211,2,1,0,0,0,0,0,59,0,2,0,0,1,0,28,0,0,1,5,0,1,0,0,0,0,0,0,3,0,0,4,1,0,17,0,3,27,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,10,15,1,2,2,0,0,0,0,0
773,10493,0,1,4,0,0,1,1,6,31,0,3,0,13,76,0,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0,454,3,0,1,0,0,0,0,91,0,12,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,2,1,0,23,0,1,52,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,8,3,0,1,0,0,0,1,0,0,0,0,0,53,36,0,2,0,0,0,1,0,0
778,10551,1,3,7,0,0,1,1,16,20,3,1,0,17,47,0,2,0,1,0,0,0,2,0,0,0,0,0,0,8,0,296,5,1,0,0,0,0,0,104,1,8,0,0,1,0,27,0,0,1,5,0,0,1,0,0,0,0,0,11,0,1,0,5,1,17,0,3,49,0,0,0,2,0,0,0,0,29,0,0,1,1,0,0,1,11,1,1,0,0,0,4,0,2,0,2,0,29,55,2,4,4,0,0,0,0,0
783,10610,0,6,4,0,0,1,0,4,22,0,2,0,7,39,0,0,0,1,0,0,0,3,0,0,0,0,0,0,15,0,490,2,0,0,0,0,0,0,68,1,5,0,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,1,5,0,11,0,0,46,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,18,38,2,0,1,0,0,0,0,0
798,10785,0,1,0,2,0,8,0,7,22,2,0,0,23,32,0,0,1,0,2,0,0,1,0,0,1,0,0,0,42,0,332,4,0,0,0,0,0,0,42,0,10,0,0,1,0,6,2,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,9,0,0,83,0,0,0,0,0,0,0,0,30,0,1,0,0,0,1,1,9,0,0,0,0,0,9,0,0,0,0,0,23,30,2,0,1,0,0,0,0,0
813,10961,1,1,3,0,0,2,0,3,16,1,0,0,18,33,0,1,0,0,3,0,0,1,1,0,0,0,0,0,7,0,396,7,0,0,0,3,1,0,31,0,9,0,0,1,0,21,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2,5,0,13,0,1,89,0,0,0,1,0,0,0,0,21,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,11,20,0,0,0,0,0,0,0,0
823,11078,1,0,0,0,0,1,0,5,8,0,0,0,6,9,0,2,0,0,2,0,0,1,0,0,0,1,0,0,3,0,117,0,0,0,0,0,0,0,9,0,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,7,0,0,34,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,17,14,0,2,0,0,0,0,0,0
843,11454,0,2,1,0,0,2,0,1,10,0,0,0,10,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,197,2,0,0,0,1,0,0,9,0,3,0,0,0,0,6,0,3,0,5,0,1,0,0,0,0,0,0,5,0,0,0,25,1,1,0,0,45,0,0,0,4,0,0,0,0,8,1,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,1,0,0,8,2,3,0,0,0,0,0,0,0
858,11736,2,2,2,1,0,1,0,8,24,0,2,0,8,25,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,278,0,0,1,0,0,0,0,28,0,10,0,0,2,0,13,1,0,0,3,0,0,0,1,0,0,0,0,11,0,0,1,9,0,5,0,1,58,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,10,21,3,0,1,0,0,0,0,0
913,12770,0,1,0,0,0,1,0,3,33,1,1,2,8,15,0,4,0,0,4,0,0,0,0,0,0,0,0,0,10,0,270,0,0,0,0,1,0,0,9,0,7,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,66,2,15,0,0,47,0,1,0,0,0,0,1,1,8,0,0,0,0,0,1,0,9,0,0,0,0,0,8,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0
918,12864,1,2,3,0,2,3,0,9,135,0,3,0,25,45,0,2,0,0,11,1,0,0,0,0,0,0,0,0,25,0,220,0,0,2,1,0,0,0,3,0,21,1,0,2,0,26,3,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0,4,2,4,0,0,98,0,0,0,0,0,0,2,0,27,0,0,0,3,1,0,0,14,2,1,0,0,1,3,0,5,0,0,1,19,16,0,1,0,0,1,0,2,0
923,12958,0,0,0,0,0,4,0,1,11,0,1,3,10,6,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,82,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,125,5,15,0,1,35,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0
928,13052,0,0,1,0,0,3,0,13,171,0,8,0,25,25,0,2,0,0,7,0,0,2,0,0,0,0,0,0,19,1,389,0,0,0,0,0,1,1,9,0,10,0,1,1,1,5,1,3,0,1,0,0,0,0,1,0,0,0,16,0,0,0,9,1,9,0,0,89,0,0,0,4,0,0,1,0,34,0,0,1,0,1,1,0,18,0,0,0,0,0,10,0,5,0,0,0,35,16,1,3,0,0,1,0,0,0
933,13146,0,1,1,0,0,5,1,12,64,1,0,2,18,21,0,3,0,0,4,0,0,0,0,1,0,0,0,0,8,0,154,0,0,0,0,0,0,0,23,0,18,0,0,2,0,27,1,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,14,0,0,0,0,44,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,1,13,0,0,0,0,0,10,0,7,0,0,0,8,10,1,1,0,0,0,0,0,0
938,13390,0,1,2,0,0,4,0,9,22,0,0,3,14,16,0,3,0,0,3,0,0,1,0,0,0,0,0,0,7,0,297,1,0,1,2,0,0,0,7,0,20,0,0,1,1,13,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,10,0,8,0,2,67,0,0,0,2,0,1,0,0,26,0,0,2,1,0,0,0,10,0,0,0,0,0,15,0,3,0,0,0,13,14,3,0,1,0,0,1,0,0
940.5,14187,0,1,0,0,0,5,0,5,31,0,1,0,7,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,209,0,0,0,1,0,1,0,5,0,9,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,1,24,1,5,0,2,92,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,6,0,0,1,0,0,13,0,0,0,0,0,18,14,1,0,0,0,0,1,0,0
943,14983,1,1,1,0,0,13,0,9,68,1,1,0,12,32,0,8,0,0,2,0,0,2,0,0,0,0,0,0,7,0,176,0,0,0,0,0,1,0,18,0,11,0,0,1,0,62,0,0,0,1,0,1,0,0,0,0,0,0,7,1,0,0,175,26,25,0,0,44,0,0,0,0,0,0,0,0,22,0,0,1,1,0,0,0,13,0,0,0,0,0,11,0,1,0,0,0,8,8,4,0,0,0,0,0,1,0
948,16576,0,1,1,0,0,2,0,13,23,0,0,0,7,23,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,0,243,1,0,1,0,0,0,0,5,0,5,0,0,1,0,11,2,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,8,0,14,0,1,92,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,7,12,4,3,0,0,0,0,0,0
953,18169,3,0,0,0,0,1,0,3,1,0,0,0,13,8,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,168,1,0,0,0,0,0,0,1,0,2,0,0,0,0,26,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,1,309,36,50,0,0,36,1,0,1,0,0,0,1,0,5,0,0,0,1,1,0,0,14,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
958,19762,1,0,0,0,0,3,0,4,0,0,0,0,8,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,174,8,18,0,0,16,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
963,21355,1,0,0,0,0,8,0,1,1,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,242,7,36,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
968,22947,0,0,0,0,0,2,0,2,1,0,0,0,7,4,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,337,43,56,0,0,27,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
973,24540,0,0,0,0,0,1,0,0,2,0,0,0,10,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,176,31,23,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
978,26133,0,0,0,0,0,0,0,1,3,0,1,0,5,9,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,168,22,21,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
980,26770,0,0,0,0,0,6,0,2,1,0,2,0,7,11,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,175,10,32,0,0,21,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,4,0,2,1,0,0,0,0,0,0
983,27726,0,0,0,0,0,15,0,2,5,0,2,0,17,11,0,22,0,0,3,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,7,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,70,0,29,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,2,0,0,0,15,0,2,0,0,0,0,0,0,0
988,NA,1,1,0,0,0,16,0,5,5,0,2,0,17,20,0,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,2,0,2,0,0,0,0,28,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,255,25,60,0,0,37,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,21,1,0,0,0,0,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0
990.5,NA,0,0,0,0,1,28,0,1,2,0,5,1,26,31,0,23,0,0,8,0,0,0,0,0,0,0,0,0,1,0,191,0,1,0,0,0,1,0,2,0,1,0,0,0,0,27,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,48,16,47,0,0,36,0,0,1,0,0,0,1,1,6,0,0,0,0,1,0,0,43,0,0,0,0,0,3,0,1,0,0,0,13,0,3,1,0,1,0,0,0,0
1002,NA,0,0,0,0,0,69,0,9,5,0,7,0,38,26,0,42,0,1,3,0,0,1,1,0,0,0,0,0,2,0,442,0,0,0,0,0,0,0,9,0,1,0,2,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,54,8,62,0,0,80,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,63,0,1,0,0,0,13,0,1,0,0,0,16,0,9,0,0,2,0,0,0,0
1008,NA,0,0,0,0,0,113,0,7,6,0,6,1,29,25,0,43,0,0,4,0,0,0,0,0,0,0,0,0,1,0,314,0,0,0,0,0,0,0,7,0,0,0,0,0,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,8,59,0,0,51,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,1,65,0,0,0,0,0,9,0,0,0,0,0,10,0,4,9,0,3,0,0,0,0
