"sample.depths","sample.ages","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Brassicaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Carya.ovata","Pinus.banksiana.type","Pinaceae","Larix","Viburnum.nudum","Alnus.viridis.type","Populus.tremuloides.type","Acer.pensylvanicum","Ostrya.Carpinus","Tilia","Amaranthaceae","Populus.balsamifera.type","Sambucus","Rosaceae.undiff.","Pinus.resinosa.type","Viburnum.edule","Fraxinus.pennsylvanica.type","Saxifraga.cernua.type","Juglans.cinerea","Castanea.dentata","Thalictrum","Ilex.Nemopanthus","Potentilla.palustris.type","Liliaceae","Polygonum","Shepherdia.canadensis","Juniperus.type","cf..Oxyria.digyna","Ranunculaceae.undiff.","Viburnum.alnifolium","Caryophyllaceae","Epilobium"
540,8576,0.0525210084033613,0,0.00210084033613445,0.165966386554622,0.184873949579832,0.00210084033613445,0,0.00420168067226891,0.00840336134453781,0,0.105042016806723,0.0441176470588235,0.0147058823529412,0.0105042016806723,0.00630252100840336,0,0.00420168067226891,0,0,0,0,0.00210084033613445,0.0189075630252101,0.046218487394958,0.0756302521008403,0,0.00210084033613445,0.0147058823529412,0,0,0,0.0126050420168067,0.00420168067226891,0.0672268907563025,0,0.0567226890756303,0.0147058823529412,0,0,0,0,0,0,0,0.00420168067226891,0,0,0.00210084033613445,0,0.00210084033613445,0,0,0.069327731092437,0,0.00210084033613445,0,0,0,0,0,0,0
545,8666,0.00476758045292014,0.00238379022646007,0.00476758045292014,0.110846245530393,0.225268176400477,0.00238379022646007,0,0.00119189511323004,0.0178784266984505,0,0.121573301549464,0.00953516090584029,0.0154946364719905,0.0250297973778308,0.0274135876042908,0.00715137067938021,0.0131108462455304,0,0,0,0.00357568533969011,0.00238379022646007,0.0166865315852205,0.0560190703218117,0.0488676996424315,0,0.00119189511323004,0.0190703218116806,0,0,0,0.0369487485101311,0.00834326579261025,0.067938021454112,0,0.0488676996424315,0.0131108462455304,0,0.00119189511323004,0,0,0,0.00119189511323004,0.00119189511323004,0,0.00119189511323004,0.00119189511323004,0.00834326579261025,0,0,0,0,0.0619785458879619,0,0,0.00238379022646007,0.00834326579261025,0.00119189511323004,0,0,0,0
550,8756,0.00354609929078014,0,0.00591016548463357,0.147754137115839,0.217494089834515,0,0.00236406619385343,0.00354609929078014,0.049645390070922,0,0.145390070921986,0.0295508274231678,0.016548463356974,0.0295508274231678,0.066193853427896,0.0224586288416076,0.00709219858156028,0,0,0,0.00472813238770686,0.00472813238770686,0.0366430260047281,0.057919621749409,0.0460992907801418,0,0,0.0271867612293144,0,0,0,0.0106382978723404,0.00472813238770686,0.00118203309692671,0,0.00236406619385343,0.0224586288416076,0,0,0,0,0,0,0,0,0.00236406619385343,0,0,0,0,0,0,0.00236406619385343,0,0,0.00118203309692671,0.0260047281323877,0,0.00118203309692671,0.00118203309692671,0,0
555,8846,0.00482315112540193,0.00160771704180064,0.00643086816720257,0.138263665594855,0.239549839228296,0,0.00160771704180064,0.00160771704180064,0.0819935691318328,0,0.0144694533762058,0.00160771704180064,0.0128617363344051,0.0192926045016077,0.244372990353698,0.00321543408360129,0.00160771704180064,0,0,0,0.00321543408360129,0.00160771704180064,0.0546623794212219,0.0112540192926045,0.0369774919614148,0,0.00321543408360129,0.00643086816720257,0,0,0,0.0192926045016077,0.00160771704180064,0.00160771704180064,0,0.0128617363344051,0.0385852090032154,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0.00160771704180064,0,0.00482315112540193,0,0,0.00160771704180064,0.0241157556270096,0,0,0,0,0
560,NA,0.00617283950617284,0.00154320987654321,0.00308641975308642,0.0779320987654321,0.433641975308642,0,0,0.00154320987654321,0.173611111111111,0,0.00154320987654321,0.00771604938271605,0.00617283950617284,0.0138888888888889,0.0570987654320988,0.000771604938271605,0,0,0,0,0.000771604938271605,0,0.00925925925925926,0,0.0470679012345679,0,0.00154320987654321,0.00154320987654321,0,0.000771604938271605,0,0.00385802469135802,0.000771604938271605,0,0,0.00771604938271605,0.025462962962963,0,0,0,0,0,0,0,0.00154320987654321,0,0,0,0.000771604938271605,0,0,0,0.113425925925926,0,0,0,0,0,0,0,0.000771604938271605,0
565,NA,0.0166880616174583,0.00256739409499358,0.00385109114249037,0.115532734274711,0.222079589216945,0.00256739409499358,0.00128369704749679,0.00513478818998716,0.216944801026958,0,0.0166880616174583,0.00385109114249037,0.0205391527599487,0.0218228498074454,0.073170731707317,0,0.00256739409499358,0,0,0,0.00513478818998716,0,0.0603337612323492,0.0166880616174583,0.0834403080872914,0,0.00385109114249037,0.0128369704749679,0,0,0.00128369704749679,0.0192554557124519,0.00128369704749679,0.00770218228498074,0,0.00641848523748395,0.0166880616174583,0,0,0,0,0,0,0.00128369704749679,0,0,0,0,0,0,0,0,0.0295250320924262,0,0,0,0.00770218228498074,0,0,0,0,0.00128369704749679
570,NA,0.00388349514563107,0.00194174757281553,0.0058252427184466,0.100970873786408,0.32621359223301,0.0058252427184466,0,0,0.233009708737864,0,0.00776699029126214,0.0058252427184466,0.00776699029126214,0.0116504854368932,0.0796116504854369,0,0.00388349514563107,0,0,0,0.0058252427184466,0,0.054368932038835,0.00388349514563107,0.0446601941747573,0,0.00776699029126214,0.0058252427184466,0,0,0,0.0116504854368932,0.00194174757281553,0,0,0.0135922330097087,0.00776699029126214,0,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0.0349514563106796,0,0,0,0.00970873786407767,0.00194174757281553,0,0,0,0
