"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
40,77,0,0,0.012383901,0.012383901,0.007739938,0.001547988,0.058823529,0,0.007739938,0.013931889,0.007739938,0,0.03250774,0.021671827,0,0.001547988,0.013931889,0.043343653,0.023219814,0.003095975,0.001547988,0.004643963,0,0.003095975,0.003095975,0,0,0,0.055727554,0.009287926,0.003095975,0,0,0.00619195,0.020123839,0.010835913,0.099071207,0,0,0.340557276,0.010835913,0,0,0,0,0.009287926,0,0,0.043343653,0,0.001547988,0.004643963,0.001547988,0,0,0.00619195,0,0,0,0,0,0.004643963,0.068111455,0,0,0,0.003095975,0.027863777,0,0,0,0
44,90,0.001517451,0,0.013657056,0.004552352,0.006069803,0,0.062215478,0,0.004552352,0.006069803,0.001517451,0,0.02124431,0.025796662,0,0.001517451,0.015174507,0.036418816,0.016691958,0,0.009104704,0.001517451,0.004552352,0.001517451,0,0,0,0,0.036418816,0.013657056,0,0,0,0.006069803,0.015174507,0.009104704,0.069802731,0.001517451,0,0.397572079,0.001517451,0.001517451,0,0,0,0.015174507,0.004552352,0,0.024279211,0,0,0.009104704,0,0,0.001517451,0.001517451,0,0,0,0,0,0.012139605,0.068285281,0.003034901,0,0,0,0.072837633,0.001517451,0,0,0
48,106,0.001560062,0,0.003120125,0.009360374,0.001560062,0,0.056162246,0,0.003120125,0.020280811,0.009360374,0,0.03276131,0.028081123,0,0,0.00624025,0.037441498,0.014040562,0.00624025,0.001560062,0.003120125,0.00624025,0,0.001560062,0,0,0,0.035881435,0.015600624,0.014040562,0,0,0.012480499,0.017160686,0.00624025,0.071762871,0.001560062,0,0.404056162,0.001560062,0,0,0,0,0.018720749,0,0,0.031201248,0,0.001560062,0.00624025,0.001560062,0.001560062,0.001560062,0.004680187,0.001560062,0,0,0,0,0.001560062,0.046801872,0,0,0,0,0.057722309,0.001560062,0,0,0.001560062
52,129,0,0,0.019230769,0.003205128,0.009615385,0,0.044871795,0,0.003205128,0.004807692,0.003205128,0,0.008012821,0.014423077,0,0.001602564,0.009615385,0.049679487,0.030448718,0.003205128,0.001602564,0.003205128,0.003205128,0,0,0,0,0,0.044871795,0.011217949,0.006410256,0,0,0.001602564,0.024038462,0.003205128,0.070512821,0.008012821,0,0.416666667,0,0,0,0,0,0.024038462,0.008012821,0,0.030448718,0,0,0.001602564,0.001602564,0,0,0,0.003205128,0,0,0,0,0.001602564,0.041666667,0,0,0,0,0.083333333,0.004807692,0,0,0
56,152,0,0,0.00933126,0.00777605,0.00466563,0,0.059097978,0,0,0.023328149,0.00466563,0,0.017107309,0.031104199,0,0,0.00622084,0.045101089,0.018662519,0.00311042,0.00466563,0.00155521,0.00466563,0.00155521,0.00155521,0,0,0,0.035769829,0.00933126,0.00155521,0,0,0.00622084,0.037325039,0.00466563,0.059097978,0.00777605,0,0.387247278,0.00311042,0.00155521,0,0,0.00155521,0.018662519,0.00777605,0,0.023328149,0.00622084,0,0.00466563,0,0,0,0.00155521,0,0,0,0.00155521,0,0.00622084,0.051321928,0,0,0,0.00311042,0.076205288,0,0,0,0
60,175,0,0.001663894,0.001663894,0.008319468,0.009983361,0,0.051580699,0,0.004991681,0.023294509,0.001663894,0,0.016638935,0.024958403,0,0.006655574,0.016638935,0.063227953,0.013311148,0.003327787,0.001663894,0,0.003327787,0,0.001663894,0,0,0,0.039933444,0.016638935,0.003327787,0,0,0,0.021630616,0.016638935,0.074875208,0,0.001663894,0.399334443,0,0,0,0,0,0.019966722,0.001663894,0,0.016638935,0,0,0.006655574,0,0,0,0.009983361,0.001663894,0,0,0,0.001663894,0,0.03327787,0,0,0,0,0.078202995,0.001663894,0,0,0
64,198,0,0,0.015197568,0.018237082,0.007598784,0,0.05775076,0,0.003039514,0.019756839,0.003039514,0,0.012158055,0.018237082,0,0.001519757,0.012158055,0.050151976,0.024316109,0,0.003039514,0.003039514,0.003039514,0,0,0,0,0,0.031914894,0.003039514,0.003039514,0,0,0.009118541,0.018237082,0.007598784,0.085106383,0,0,0.38449848,0,0,0,0,0,0.019756839,0.006079027,0,0.031914894,0,0,0.004559271,0,0.001519757,0,0.003039514,0.001519757,0,0,0,0,0,0.036474164,0,0,0,0,0.100303951,0,0,0,0
68,220,0,0,0.012882448,0.004830918,0.004830918,0,0.107890499,0,0.003220612,0.00805153,0.00805153,0,0.006441224,0.025764895,0,0.003220612,0.009661836,0.045088567,0.032206119,0.001610306,0.003220612,0.003220612,0.003220612,0,0,0,0.001610306,0,0.024154589,0.009661836,0.003220612,0,0,0.004830918,0.017713366,0.009661836,0.086956522,0.003220612,0,0.40257649,0,0.001610306,0,0,0,0.032206119,0.004830918,0,0.014492754,0,0.001610306,0.001610306,0.001610306,0,0,0.001610306,0,0,0,0,0,0,0.012882448,0,0,0,0.003220612,0.07568438,0.001610306,0,0,0
72,243,0,0,0.011904762,0.013605442,0.003401361,0,0.085034014,0,0.003401361,0.013605442,0.005102041,0,0.008503401,0.028911565,0,0,0.008503401,0.037414966,0.020408163,0,0.005102041,0.00170068,0,0,0,0,0,0,0.056122449,0.013605442,0.003401361,0,0,0.010204082,0.022108844,0.011904762,0.074829932,0,0.00170068,0.454081633,0,0,0,0,0,0.027210884,0.010204082,0,0.015306122,0,0.00170068,0.008503401,0,0,0.008503401,0.003401361,0,0,0,0,0,0,0.006802721,0,0,0,0,0.023809524,0,0,0,0
76,266,0,0,0.022222222,0.015384615,0.006837607,0,0.08034188,0,0.003418803,0.027350427,0.001709402,0,0.011965812,0.025641026,0,0.006837607,0.011965812,0.042735043,0.013675214,0.005128205,0.001709402,0.003418803,0,0,0,0,0.001709402,0,0.051282051,0.008547009,0.011965812,0,0,0.005128205,0.017094017,0.011965812,0.090598291,0.005128205,0,0.382905983,0,0,0,0,0,0.030769231,0.008547009,0,0.017094017,0,0,0.005128205,0,0,0,0,0.001709402,0,0,0,0.001709402,0,0.025641026,0.001709402,0,0,0,0.041025641,0,0,0,0
80,289,0,0,0.025925926,0.014814815,0.007407407,0,0.07962963,0,0.005555556,0.027777778,0.001851852,0,0.014814815,0.02037037,0,0,0.005555556,0.031481481,0.018518519,0.003703704,0.012962963,0.003703704,0,0.001851852,0,0,0,0,0.038888889,0.005555556,0.003703704,0,0,0.012962963,0.038888889,0.012962963,0.088888889,0,0,0.464814815,0.001851852,0,0,0,0,0.012962963,0.007407407,0,0.009259259,0,0.003703704,0.003703704,0,0.001851852,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0.001851852,0.005555556,0,0,0,0
84,325,0,0,0.01119403,0.005597015,0.009328358,0,0.069029851,0,0.01119403,0.031716418,0.009328358,0,0.007462687,0.009328358,0,0.003731343,0.003731343,0.029850746,0.035447761,0.003731343,0.005597015,0.001865672,0,0.001865672,0,0,0.001865672,0,0.037313433,0.01119403,0.007462687,0,0,0.003731343,0.007462687,0.01119403,0.087686567,0.003731343,0,0.52238806,0.001865672,0,0,0,0.001865672,0.020522388,0.005597015,0,0.001865672,0,0.003731343,0,0,0,0.001865672,0.001865672,0,0,0,0,0,0,0.013059701,0,0,0,0,0.003731343,0,0,0,0
88,375,0.003787879,0,0.009469697,0.015151515,0.011363636,0,0.0625,0,0,0.034090909,0.007575758,0,0.009469697,0.007575758,0,0.003787879,0.011363636,0.017045455,0.024621212,0,0.005681818,0,0.001893939,0,0,0,0,0,0.03030303,0.009469697,0.009469697,0,0,0.003787879,0.017045455,0.005681818,0.071969697,0.001893939,0,0.564393939,0,0,0,0,0,0.018939394,0.009469697,0,0.005681818,0,0.001893939,0.001893939,0,0,0,0.003787879,0,0,0,0.003787879,0,0,0.015151515,0,0,0,0,0,0,0,0,0
92,424,0.001930502,0,0.005791506,0.005791506,0.005791506,0,0.088803089,0,0.00965251,0.025096525,0.001930502,0,0.011583012,0.001930502,0,0,0.007722008,0.023166023,0.042471042,0,0.003861004,0.001930502,0.001930502,0,0,0,0,0,0.028957529,0.00965251,0.007722008,0,0,0.001930502,0.023166023,0.005791506,0.096525097,0.001930502,0,0.513513514,0,0.001930502,0,0,0.001930502,0.052123552,0,0,0.003861004,0,0.003861004,0,0,0,0.001930502,0.001930502,0,0,0,0,0,0,0.003861004,0,0,0,0,0,0,0,0,0
96,474,0,0,0.012237762,0.015734266,0.003496503,0.001748252,0.082167832,0,0.005244755,0.034965035,0.005244755,0,0.006993007,0.01048951,0,0,0.012237762,0.024475524,0.04020979,0.003496503,0.008741259,0,0,0.005244755,0,0,0,0,0.026223776,0.008741259,0.003496503,0,0,0.001748252,0.020979021,0.003496503,0.090909091,0.001748252,0,0.494755245,0,0,0,0,0,0.041958042,0.005244755,0,0.003496503,0,0,0.003496503,0,0,0,0.003496503,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0.003496503,0,0
100,524,0,0,0.009416196,0.013182674,0.007532957,0,0.080979284,0,0.016949153,0.033898305,0.011299435,0,0.018832392,0.009416196,0,0,0.011299435,0.015065913,0.037664783,0.005649718,0.005649718,0.007532957,0,0,0.001883239,0,0.001883239,0,0.032015066,0.003766478,0.009416196,0,0,0.003766478,0.015065913,0.005649718,0.069679849,0,0,0.525423729,0,0,0,0,0,0.018832392,0.003766478,0,0.003766478,0,0.001883239,0.005649718,0,0,0.001883239,0.001883239,0,0,0,0,0,0,0.007532957,0,0,0.001883239,0,0,0,0,0,0
104,574,0.007181329,0,0.017953321,0.02513465,0.008976661,0,0.071813285,0,0.003590664,0.030520646,0.001795332,0,0.010771993,0.014362657,0,0,0.007181329,0.030520646,0.037701975,0.005385996,0.005385996,0,0.001795332,0.001795332,0,0,0,0,0.019748654,0.007181329,0.008976661,0,0.001795332,0.012567325,0.026929982,0.010771993,0.064631957,0.001795332,0.001795332,0.499102334,0,0,0,0,0,0.028725314,0.014362657,0,0,0,0.001795332,0.005385996,0,0,0.001795332,0,0,0,0,0,0,0,0.005385996,0,0,0,0,0.005385996,0,0,0,0
108,624,0,0.001872659,0.02247191,0.013108614,0.014981273,0,0.093632959,0,0,0.02247191,0.003745318,0,0.011235955,0.001872659,0,0,0.005617978,0.024344569,0.048689139,0.001872659,0.003745318,0,0,0,0,0,0,0,0.037453184,0.001872659,0.003745318,0,0,0.007490637,0.013108614,0.001872659,0.056179775,0.001872659,0,0.543071161,0,0,0,0,0,0.028089888,0.007490637,0,0.009363296,0,0.005617978,0.003745318,0,0,0,0,0,0,0,0,0,0,0.009363296,0,0,0,0,0,0,0,0,0
112,684,0,0,0.017208413,0.015296367,0.011472275,0,0.066921606,0,0.005736138,0.03250478,0.001912046,0,0.007648184,0.003824092,0,0,0.005736138,0.026768642,0.034416826,0.003824092,0.003824092,0,0,0,0,0,0,0,0.026768642,0.003824092,0.007648184,0,0,0.005736138,0.013384321,0.007648184,0.087954111,0.007648184,0,0.560229446,0,0,0,0,0,0.024856597,0.011472275,0,0,0,0,0,0,0,0,0.001912046,0,0,0,0,0,0,0.001912046,0,0,0,0,0,0,0.001912046,0,0
116,755,0,0,0.011583012,0.005791506,0.011583012,0,0.081081081,0,0,0.027027027,0,0,0.005791506,0.001930502,0,0,0.011583012,0.021235521,0.061776062,0.003861004,0.001930502,0.005791506,0.001930502,0.003861004,0,0,0,0,0.054054054,0.003861004,0.003861004,0,0,0.011583012,0.025096525,0.003861004,0.048262548,0.003861004,0,0.540540541,0.001930502,0,0,0,0.001930502,0.021235521,0.005791506,0,0.001930502,0,0.003861004,0.001930502,0,0,0.001930502,0.005791506,0,0,0,0,0,0,0.001930502,0,0,0,0,0,0,0,0,0
120,826,0,0,0.011173184,0.011173184,0.003724395,0,0.09310987,0,0,0.044692737,0.001862197,0,0.009310987,0.005586592,0,0.005586592,0.011173184,0.014897579,0.031657356,0.003724395,0.003724395,0.001862197,0.001862197,0,0.001862197,0,0.001862197,0,0.046554935,0.00744879,0.013035382,0,0,0.001862197,0.027932961,0.009310987,0.057728119,0.001862197,0,0.515828678,0,0,0,0,0,0.029795158,0.009310987,0,0.00744879,0,0.001862197,0.00744879,0,0,0,0,0,0,0,0,0,0,0.001862197,0,0,0,0.001862197,0,0,0,0,0
124,897,0,0,0.017241379,0.011494253,0.003831418,0,0.095785441,0,0.011494253,0.040229885,0.005747126,0,0.011494253,0.011494253,0,0,0.001915709,0.01532567,0.022988506,0.007662835,0.007662835,0,0,0,0,0,0.003831418,0,0.036398467,0.011494253,0.001915709,0,0,0,0.009578544,0.001915709,0.068965517,0.001915709,0,0.54789272,0.001915709,0,0,0,0,0.026819923,0.009578544,0,0,0,0,0,0,0,0,0.005747126,0,0,0,0,0.001915709,0,0.005747126,0,0,0,0,0,0,0,0,0
128,968,0,0,0.006389776,0.012779553,0.006389776,0,0.086261981,0,0.003194888,0.022364217,0.003194888,0,0.006389776,0.00798722,0,0.004792332,0.004792332,0.017571885,0.028753994,0.006389776,0.009584665,0,0,0.003194888,0,0,0,0,0.051118211,0.00798722,0.00798722,0,0,0.00798722,0.011182109,0.006389776,0.075079872,0,0,0.541533546,0.001597444,0,0,0,0,0.033546326,0.009584665,0,0.001597444,0,0.001597444,0.001597444,0.001597444,0,0.001597444,0,0,0,0,0.003194888,0,0,0.003194888,0.001597444,0,0,0,0,0,0,0,0
132,1039,0,0,0.00390625,0.00390625,0.009765625,0,0.099609375,0,0.005859375,0.04296875,0.001953125,0,0.0078125,0.005859375,0,0,0,0.025390625,0.04296875,0.001953125,0.001953125,0.00390625,0,0.001953125,0,0,0,0,0.041015625,0,0.00390625,0,0,0.00390625,0.001953125,0.005859375,0.10546875,0.001953125,0,0.544921875,0,0,0,0,0,0.01953125,0.00390625,0,0.001953125,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0.001953125,0,0,0,0,0,0,0,0,0
136,1111,0,0.001851852,0.011111111,0.022222222,0.003703704,0,0.074074074,0,0.001851852,0.044444444,0.005555556,0,0.011111111,0.012962963,0,0,0.005555556,0.016666667,0.022222222,0.007407407,0,0.001851852,0,0,0,0,0.001851852,0,0.035185185,0.007407407,0.003703704,0,0,0.009259259,0.016666667,0.014814815,0.081481481,0,0.001851852,0.540740741,0,0.001851852,0,0,0,0.025925926,0.007407407,0,0,0,0,0.003703704,0,0,0,0,0,0,0,0.001851852,0,0,0.001851852,0,0,0,0.001851852,0,0,0,0,0
140,1183,0,0,0.009578544,0.007662835,0.003831418,0,0.084291188,0,0.009578544,0.034482759,0.005747126,0,0.009578544,0.011494253,0,0,0.009578544,0.01532567,0.042145594,0,0.005747126,0.005747126,0.001915709,0,0,0,0,0,0.024904215,0,0.005747126,0,0,0.003831418,0.021072797,0.013409962,0.084291188,0,0,0.555555556,0,0,0,0,0,0.017241379,0.003831418,0,0.003831418,0,0,0.001915709,0,0,0,0,0.001915709,0,0,0,0,0,0.005747126,0,0,0,0,0,0,0,0,0
144,1255,0,0,0.018062397,0.018062397,0.013136289,0,0.064039409,0,0.003284072,0.022988506,0.003284072,0,0.008210181,0.009852217,0,0.001642036,0,0.009852217,0.036124795,0.001642036,0.003284072,0,0,0,0,0,0,0,0.055829228,0.008210181,0.001642036,0,0,0.003284072,0.013136289,0.006568144,0.095238095,0,0,0.543513957,0.001642036,0,0,0,0,0.036124795,0.004926108,0,0.001642036,0,0,0.001642036,0,0,0,0.008210181,0,0,0,0,0,0,0.003284072,0,0,0,0.001642036,0,0,0,0,0
152,1399,0,0,0.005725191,0.017175573,0.005725191,0,0.074427481,0,0.007633588,0.047709924,0,0,0.013358779,0.019083969,0,0,0,0.003816794,0.047709924,0,0.001908397,0.001908397,0,0,0.001908397,0,0,0,0.06870229,0.003816794,0.007633588,0,0,0,0.005725191,0.005725191,0.080152672,0,0,0.530534351,0.001908397,0,0,0,0,0.028625954,0.009541985,0,0.003816794,0,0,0.005725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1472,0,0,0.005524862,0.007366483,0.007366483,0,0.086556169,0,0.007366483,0.036832413,0.005524862,0,0.014732965,0.027624309,0,0,0,0.005524862,0.034990792,0.003683241,0.005524862,0.001841621,0,0,0,0,0,0,0.042357274,0.005524862,0.007366483,0,0,0.001841621,0.009208103,0.012891344,0.062615101,0.005524862,0,0.55801105,0,0,0,0,0,0.023941068,0.001841621,0,0.003683241,0,0,0.007366483,0,0,0,0.001841621,0,0,0,0,0,0,0.001841621,0,0,0,0,0,0,0.003683241,0,0
160,1544,0,0,0,0.00754717,0.001886792,0,0.094339623,0,0.01509434,0.026415094,0,0,0.016981132,0.020754717,0,0,0,0.018867925,0.028301887,0.005660377,0,0.003773585,0,0,0.001886792,0,0,0,0.052830189,0.00754717,0.003773585,0,0,0.003773585,0.016981132,0.011320755,0.056603774,0.003773585,0,0.535849057,0,0,0,0,0.001886792,0.033962264,0.00754717,0,0.001886792,0,0,0.001886792,0,0,0,0.005660377,0.003773585,0,0,0,0,0,0.009433962,0,0,0,0,0,0,0,0,0
164,1616,0,0,0,0.010695187,0.010695187,0,0.098039216,0,0.008912656,0.028520499,0.001782531,0,0.026737968,0.023172906,0,0.001782531,0,0.012477718,0.057040998,0.005347594,0.003565062,0,0,0,0,0,0,0,0.053475936,0.001782531,0.003565062,0,0,0,0.010695187,0.003565062,0.071301248,0.001782531,0,0.534759358,0,0,0,0,0,0.016042781,0.005347594,0,0.001782531,0,0,0.001782531,0,0,0,0,0,0,0,0,0,0,0.005347594,0,0,0,0,0,0,0,0,0
168,1688,0,0,0.001876173,0.005628518,0.015009381,0,0.09380863,0,0.011257036,0.020637899,0.005628518,0,0.013133208,0.020637899,0,0,0.001876173,0.013133208,0.041275797,0.003752345,0.001876173,0,0.005628518,0.001876173,0,0,0,0,0.056285178,0.011257036,0.001876173,0,0,0.001876173,0.011257036,0.001876173,0.090056285,0.005628518,0,0.499061914,0,0,0,0,0.001876173,0.033771107,0.009380863,0,0.001876173,0,0.003752345,0.001876173,0,0,0,0.005628518,0,0,0,0,0.001876173,0,0.003752345,0,0,0,0,0,0,0,0,0
172,1733,0,0,0,0.007285974,0.007285974,0,0.052823315,0,0,0.04007286,0.001821494,0,0.018214936,0.030965392,0,0,0,0.009107468,0.04007286,0,0.003642987,0,0.001821494,0,0.001821494,0,0.001821494,0,0.072859745,0.010928962,0.005464481,0,0,0.001821494,0.030965392,0.001821494,0.058287796,0.001821494,0,0.551912568,0,0,0,0,0,0.018214936,0.003642987,0,0.001821494,0,0.001821494,0.007285974,0,0,0,0.007285974,0.003642987,0,0,0,0,0,0.003642987,0,0,0,0,0,0,0,0,0
176,1768,0,0,0.001824818,0.012773723,0.010948905,0,0.074817518,0,0.001824818,0.034671533,0,0,0.02919708,0.032846715,0,0.001824818,0,0.00729927,0.054744526,0.001824818,0.009124088,0,0,0.001824818,0,0,0,0,0.072992701,0.020072993,0.005474453,0,0,0,0.027372263,0.005474453,0.069343066,0.005474453,0,0.461678832,0.001824818,0,0,0,0,0.027372263,0.003649635,0,0,0,0.001824818,0.00729927,0,0,0,0.005474453,0.001824818,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0
184,1840,0,0,0.001828154,0.012797075,0.009140768,0,0.07678245,0,0.010968921,0.031078611,0.001828154,0,0.032906764,0.023765996,0,0,0,0.010968921,0.053016453,0.003656307,0.001828154,0,0.005484461,0,0,0,0,0,0.062157221,0.009140768,0.007312614,0,0,0.003656307,0.005484461,0.005484461,0.069469835,0.001828154,0,0.511882998,0,0,0,0,0,0.018281536,0.007312614,0,0.001828154,0,0,0.001828154,0,0,0,0.001828154,0.001828154,0,0,0,0.001828154,0,0.010968921,0,0,0,0,0,0,0.001828154,0,0
