"sample.depths","sample.ages","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Fagus","Gentianaceae","Ilex","Juglans.cinerea","Picea","Pinus.undiff.","Platanus","Quercus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Viburnum","Poaceae","Plantago","Ranunculus","Artemisia","Caryophyllaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Nyssa","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum","Acer.saccharum.type","Acer.rubrum","Ericaceae","Galium","Ostrya.Carpinus","Apiaceae","Brassicaceae","Solanaceae","Morus","Lamiaceae","Salix","Thalictrum","Cannabaceae","Acer.saccharinum.type","Tilia","Prunus.Sorbus","Liquidambar","Amaranthaceae","Parthenocissus","Sambucus","Juglans.nigra","Parnassia","Cornus","Iva.annua.type","Fabaceae","Polygonaceae.undiff.","Acer.negundo","Iva.xanthifolia.type","Campanulaceae","Larix","Celtis","Saxifraga.type","Primulaceae","Ranunculaceae.undiff."
80,2764,0,0.0064516129032258,0,0.0516129032258065,0.0193548387096774,0.0064516129032258,0.0258064516129032,0,0,0.0129032258064516,0.064516129032258,0,0,0,0.0064516129032258,0.0387096774193548,0.0064516129032258,0.316129032258064,0.0064516129032258,0,0,0.0387096774193548,0.032258064516129,0.0064516129032258,0.251612903225806,0.0064516129032258,0.0129032258064516,0.0258064516129032,0,0.0258064516129032,0,0.0064516129032258,0,0.0064516129032258,0,0.0064516129032258,0,0,0,0,0.0064516129032258,0.0064516129032258,0,0,0.0064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2991,0,0.0148423005565863,0,0.0575139146567718,0.00371057513914657,0.00371057513914657,0.0148423005565863,0.00556586270871985,0.00927643784786642,0.00927643784786642,0.0333951762523191,0,0.0166975881261596,0.00556586270871985,0.00556586270871985,0.0630797773654917,0.00185528756957328,0.307977736549165,0,0.00185528756957328,0,0.0148423005565863,0.0222634508348794,0.00556586270871985,0.289424860853432,0.00371057513914657,0,0.00927643784786642,0,0.0482374768089054,0,0,0,0.00185528756957328,0.00742115027829314,0.00185528756957328,0.00927643784786642,0,0,0,0.00556586270871985,0.00556586270871985,0.00556586270871985,0,0.00556586270871985,0,0,0.00185528756957328,0,0.00185528756957328,0,0,0,0,0,0.00185528756957328,0.00185528756957328,0.00185528756957328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3341,0,0.00662251655629139,0,0.0695364238410596,0.0165562913907285,0,0.00662251655629139,0,0.00993377483443709,0.0033112582781457,0.043046357615894,0,0.00993377483443709,0,0,0.033112582781457,0,0.321192052980132,0.00662251655629139,0,0,0.0132450331125828,0.0298013245033113,0.00993377483443709,0.324503311258278,0.0033112582781457,0,0.0033112582781457,0,0.043046357615894,0,0.0033112582781457,0,0.00662251655629139,0.00662251655629139,0,0,0,0,0,0,0.0165562913907285,0.00662251655629139,0,0,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3473,0,0.0126849894291755,0,0.0676532769556025,0.0147991543340381,0,0.0105708245243129,0,0.00845665961945032,0.0169133192389006,0.0338266384778013,0,0.0126849894291755,0,0.00211416490486258,0.0697674418604651,0.00634249471458774,0.353065539112051,0.00211416490486258,0,0,0.0126849894291755,0.0147991543340381,0.0105708245243129,0.25369978858351,0,0.00211416490486258,0.00634249471458774,0.00211416490486258,0.0443974630021142,0,0,0.00211416490486258,0.00422832980972516,0.00634249471458774,0.00422832980972516,0,0,0,0,0.00211416490486258,0.0169133192389006,0.00211416490486258,0,0.00422832980972516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3672,0,0,0,0.0760456273764259,0.00380228136882129,0.00380228136882129,0.00380228136882129,0.00760456273764259,0.0190114068441065,0.00380228136882129,0.0304182509505703,0,0.00760456273764259,0,0,0.064638783269962,0.00380228136882129,0.26615969581749,0.00380228136882129,0,0,0.0190114068441065,0.0228136882129278,0.0190114068441065,0.357414448669202,0,0.00380228136882129,0.0114068441064639,0.00380228136882129,0.0342205323193916,0,0,0,0,0,0.00380228136882129,0.00380228136882129,0,0,0,0.0114068441064639,0.00380228136882129,0,0,0,0,0,0.00380228136882129,0,0,0,0.00380228136882129,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3748,0.00183150183150183,0.00549450549450549,0,0.0421245421245421,0.00915750915750916,0.00183150183150183,0.00366300366300366,0.00183150183150183,0.010989010989011,0.00732600732600733,0.032967032967033,0,0.010989010989011,0,0.00549450549450549,0.0641025641025641,0.00183150183150183,0.318681318681319,0.00366300366300366,0,0,0.0128205128205128,0.0201465201465201,0.00915750915750916,0.304029304029304,0.00183150183150183,0.00366300366300366,0.00915750915750916,0.00915750915750916,0.0714285714285714,0,0,0,0,0.010989010989011,0,0.00366300366300366,0,0,0,0.00183150183150183,0.010989010989011,0,0,0,0,0.00183150183150183,0.00366300366300366,0,0,0.00183150183150183,0,0,0,0,0,0,0,0,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3815,0.00591715976331361,0.00591715976331361,0,0.029585798816568,0.0177514792899408,0,0.0236686390532544,0.00591715976331361,0.0118343195266272,0,0.0414201183431953,0,0.029585798816568,0,0,0.0591715976331361,0.00591715976331361,0.254437869822485,0,0,0,0.0177514792899408,0.0118343195266272,0.0177514792899408,0.355029585798817,0.00591715976331361,0.00591715976331361,0,0,0.0591715976331361,0,0.00591715976331361,0,0,0,0.00591715976331361,0,0,0,0,0,0.0177514792899408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3926,0.0037243947858473,0.00186219739292365,0.00186219739292365,0.0446927374301676,0.0130353817504655,0,0.0148975791433892,0,0.0037243947858473,0.00931098696461825,0.037243947858473,0,0.0204841713221601,0,0,0.0614525139664804,0.00186219739292365,0.381750465549348,0,0,0,0.0148975791433892,0.0242085661080074,0,0.230912476722533,0,0,0.0037243947858473,0.0037243947858473,0.0763500931098696,0,0.0037243947858473,0.00186219739292365,0.0037243947858473,0.0037243947858473,0.0037243947858473,0.00931098696461825,0,0,0.00186219739292365,0,0.00931098696461825,0.0037243947858473,0,0.0037243947858473,0,0,0,0,0,0,0.00186219739292365,0,0,0.00186219739292365,0,0,0,0,0,0,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0
190,3976,0,0,0,0.0642857142857143,0.0142857142857143,0.0142857142857143,0,0,0,0.00714285714285714,0.0357142857142857,0,0.00714285714285714,0,0,0.05,0.00714285714285714,0.421428571428571,0,0,0,0.0214285714285714,0,0,0.278571428571429,0,0,0,0,0.05,0,0,0,0.00714285714285714,0.00714285714285714,0,0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4071,0,0.00835073068893528,0,0.0772442588726514,0.0146137787056367,0,0.0167014613778706,0,0.00626304801670146,0.0125260960334029,0.0521920668058455,0,0.0146137787056367,0.00208768267223382,0.00208768267223382,0.0668058455114822,0.0125260960334029,0.375782881002088,0,0,0,0.0146137787056367,0.0125260960334029,0.00417536534446764,0.227557411273486,0,0,0.00208768267223382,0.00208768267223382,0.0271398747390397,0,0,0,0,0.0146137787056367,0.00208768267223382,0.00626304801670146,0,0,0,0.00626304801670146,0.00835073068893528,0,0,0.00417536534446764,0,0,0,0,0,0,0,0,0,0.00417536534446764,0,0,0,0,0,0,0,0.00208768267223382,0,0,0,0,0,0,0,0,0,0,0
220,4119,0,0,0,0.0843373493975904,0.00602409638554217,0,0.00602409638554217,0,0,0.0120481927710843,0.0180722891566265,0,0.0301204819277108,0,0,0.0240963855421687,0,0.379518072289157,0,0,0,0.0120481927710843,0.0301204819277108,0,0.283132530120482,0,0,0.0180722891566265,0,0.0301204819277108,0,0,0.00602409638554217,0,0,0.00602409638554217,0.00602409638554217,0,0,0,0.0120481927710843,0.0180722891566265,0,0,0.00602409638554217,0,0,0.00602409638554217,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4223,0,0.00466200466200466,0,0.0466200466200466,0.0163170163170163,0.00466200466200466,0.0163170163170163,0,0.00932400932400932,0.0116550116550117,0.0326340326340326,0,0.006993006993007,0,0.00233100233100233,0.0326340326340326,0.00466200466200466,0.389277389277389,0,0,0,0.006993006993007,0.00233100233100233,0.006993006993007,0.317016317016317,0.00233100233100233,0.00233100233100233,0.00466200466200466,0.00466200466200466,0.0256410256410256,0,0,0,0,0,0.006993006993007,0.006993006993007,0,0,0,0.006993006993007,0.0116550116550117,0,0,0,0,0.00233100233100233,0,0,0,0.00466200466200466,0,0,0.00233100233100233,0,0,0,0,0,0.00233100233100233,0,0,0,0.00233100233100233,0.00233100233100233,0,0,0,0,0,0,0,0,0
250,4281,0,0.00909090909090909,0,0.0454545454545455,0.0272727272727273,0,0.0181818181818182,0,0,0.0181818181818182,0.0181818181818182,0,0.0181818181818182,0,0,0.0454545454545455,0,0.345454545454545,0.00909090909090909,0,0,0,0.0181818181818182,0.0181818181818182,0.290909090909091,0.00909090909090909,0,0.0181818181818182,0.00909090909090909,0.00909090909090909,0,0,0,0,0.00909090909090909,0.0181818181818182,0,0,0,0,0,0,0,0,0.0181818181818182,0.00909090909090909,0,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909090909090909,0,0,0,0,0,0,0,0
270,4417,0,0.00210970464135021,0,0.0590717299578059,0.0189873417721519,0.00210970464135021,0.0168776371308017,0.00210970464135021,0.00632911392405063,0.00843881856540084,0.0316455696202532,0,0.0253164556962025,0,0.00421940928270042,0.040084388185654,0.00210970464135021,0.327004219409283,0,0,0,0.00210970464135021,0.0189873417721519,0.00210970464135021,0.324894514767932,0,0.00421940928270042,0.00210970464135021,0.00210970464135021,0.0253164556962025,0,0,0,0.00421940928270042,0.00843881856540084,0.00632911392405063,0.00843881856540084,0,0,0,0.00210970464135021,0.0232067510548523,0,0,0.00843881856540084,0,0,0,0,0,0.00210970464135021,0,0,0,0,0,0,0.00210970464135021,0,0.00421940928270042,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0
280,4498,0,0,0,0.0427350427350427,0.0170940170940171,0,0.0256410256410256,0,0.00854700854700855,0.00854700854700855,0.094017094017094,0,0.0256410256410256,0,0,0.0769230769230769,0,0.358974358974359,0,0,0,0,0.00854700854700855,0.00854700854700855,0.222222222222222,0,0.00854700854700855,0.0170940170940171,0,0.0256410256410256,0,0,0,0,0.0170940170940171,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4589,0,0.0126582278481013,0.00361663652802893,0.0723327305605787,0.0307414104882459,0,0.00723327305605787,0,0.0108499095840868,0.00180831826401447,0.0650994575045208,0,0.0198915009041591,0,0.00361663652802893,0.0632911392405063,0.00723327305605787,0.376130198915009,0,0,0,0.00904159132007233,0.0108499095840868,0.0144665461121157,0.207956600361664,0,0.00180831826401447,0.00180831826401447,0,0.0162748643761302,0,0,0,0.00361663652802893,0.0144665461121157,0.0054249547920434,0.00723327305605787,0,0,0.00180831826401447,0.00361663652802893,0.0162748643761302,0,0,0.00723327305605787,0,0,0,0,0,0.00180831826401447,0,0,0,0,0,0,0,0,0.00180831826401447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4799,0,0,0,0.0625,0.03125,0,0.0234375,0,0,0.015625,0.015625,0,0.015625,0,0,0.0703125,0.0078125,0.4140625,0.0078125,0,0,0,0.0078125,0,0.2265625,0,0,0.0078125,0,0.03125,0,0,0,0,0,0.0234375,0,0.0078125,0,0,0,0,0,0,0.0234375,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4913,0,0.008130081300813,0.0016260162601626,0.0715447154471545,0.0227642276422764,0.0016260162601626,0.0292682926829268,0,0.0097560975609756,0.0048780487804878,0.048780487804878,0,0.0211382113821138,0.0016260162601626,0.0032520325203252,0.0439024390243902,0.0065040650406504,0.471544715447154,0,0,0,0.0048780487804878,0.008130081300813,0.0048780487804878,0.167479674796748,0.0016260162601626,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0130081300813008,0,0,0,0,0.0130081300813008,0.008130081300813,0.0048780487804878,0,0,0,0.0016260162601626,0.0048780487804878,0,0,0.0016260162601626,0,0,0,0,0,0,0,0,0.0016260162601626,0.0016260162601626,0,0,0,0,0.0016260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5031,0,0.00497512437810945,0,0.0845771144278607,0.0497512437810945,0,0.0099502487562189,0,0,0,0.0597014925373134,0,0.00497512437810945,0,0,0.054726368159204,0.0099502487562189,0.472636815920398,0.0099502487562189,0.00497512437810945,0,0,0.0099502487562189,0,0.124378109452736,0,0,0,0,0.0099502487562189,0,0,0.00497512437810945,0.00497512437810945,0.0199004975124378,0.0149253731343284,0.00497512437810945,0,0,0,0.00497512437810945,0.0149253731343284,0,0,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0
340,5149,0.00173310225303293,0.0103986135181976,0.00346620450606586,0.0606585788561525,0.0190641247833622,0.00173310225303293,0.0121317157712305,0.00173310225303293,0.00346620450606586,0.0103986135181976,0.0450606585788562,0,0.0138648180242634,0,0,0.0329289428076256,0.00693240901213172,0.535528596187175,0,0,0,0.00519930675909879,0.00346620450606586,0.0121317157712305,0.131715771230503,0,0.00346620450606586,0.00866551126516464,0,0.0138648180242634,0,0,0,0.00173310225303293,0.0121317157712305,0.00693240901213172,0,0.00346620450606586,0.0103986135181976,0.00173310225303293,0.00173310225303293,0.0103986135181976,0,0,0.00693240901213172,0,0,0,0,0,0,0,0,0.00173310225303293,0.00173310225303293,0,0.00173310225303293,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5266,0,0,0,0.111111111111111,0.0202020202020202,0,0.0101010101010101,0,0.0101010101010101,0,0.0404040404040404,0,0.0303030303030303,0,0,0.0303030303030303,0.0101010101010101,0.393939393939394,0,0,0,0,0,0.0202020202020202,0.111111111111111,0,0.0101010101010101,0.0707070707070707,0.0101010101010101,0.0505050505050505,0,0,0,0,0,0,0.0101010101010101,0,0.0101010101010101,0,0,0.0101010101010101,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0.0202020202020202,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0
370,5485,0,0.00178571428571429,0.00178571428571429,0.0642857142857143,0.0232142857142857,0,0.0125,0.00178571428571429,0.00714285714285714,0.00714285714285714,0.0410714285714286,0,0.00892857142857143,0,0.00178571428571429,0.0517857142857143,0.00714285714285714,0.492857142857143,0,0,0,0.0214285714285714,0.0107142857142857,0.0107142857142857,0.171428571428571,0.00178571428571429,0.00178571428571429,0.00178571428571429,0,0.0196428571428571,0,0,0,0,0.00535714285714286,0.00178571428571429,0.00178571428571429,0,0,0.00178571428571429,0.00357142857142857,0.0142857142857143,0.00178571428571429,0,0,0,0,0,0,0,0.00357142857142857,0,0,0,0.00178571428571429,0,0,0,0,0,0,0.00178571428571429,0,0,0,0,0,0,0,0,0,0,0,0
390,5669,0,0,0,0.0709677419354839,0.0387096774193548,0,0,0,0,0.0064516129032258,0.0193548387096774,0,0.0258064516129032,0.0129032258064516,0,0.0516129032258065,0.0129032258064516,0.374193548387097,0,0,0,0.0193548387096774,0.0064516129032258,0,0.309677419354839,0,0,0.0064516129032258,0,0.0064516129032258,0,0,0,0,0.0064516129032258,0.0064516129032258,0.0064516129032258,0,0,0.0064516129032258,0.0064516129032258,0,0,0,0.0064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,5821,0,0.00391644908616188,0.00130548302872063,0.0587467362924282,0.0234986945169713,0,0.0117493472584856,0,0.00522193211488251,0.00391644908616188,0.0469973890339426,0,0.0221932114882507,0,0,0.0378590078328982,0.0117493472584856,0.37467362924282,0,0,0,0.0339425587467363,0.0130548302872063,0.00783289817232376,0.283289817232376,0.00130548302872063,0.00130548302872063,0.00391644908616188,0.00261096605744125,0.0169712793733681,0,0.00130548302872063,0.00130548302872063,0,0,0.00261096605744125,0.00783289817232376,0.00391644908616188,0.00391644908616188,0.00130548302872063,0.00130548302872063,0.00652741514360313,0.00261096605744125,0,0,0,0,0,0,0.00130548302872063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,5893,0,0,0,0.0982658959537572,0.023121387283237,0,0.0173410404624277,0,0.0115606936416185,0.00578034682080925,0.0404624277456647,0,0.023121387283237,0,0,0.046242774566474,0.0173410404624277,0.335260115606936,0,0,0,0.046242774566474,0.0173410404624277,0.0115606936416185,0.236994219653179,0,0,0,0.00578034682080925,0.0173410404624277,0,0,0,0,0.0115606936416185,0.00578034682080925,0.00578034682080925,0,0,0,0,0.0115606936416185,0.00578034682080925,0,0.00578034682080925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,6054,0,0.0128913443830571,0,0.0626151012891344,0.00368324125230203,0,0.00184162062615101,0.00368324125230203,0.00552486187845304,0.00552486187845304,0.0386740331491713,0,0.0147329650092081,0,0,0.0515653775322284,0.00920810313075507,0.484346224677716,0,0,0,0.0276243093922652,0.0165745856353591,0.00736648250460405,0.21731123388582,0,0,0.00368324125230203,0,0.00920810313075507,0,0,0.00184162062615101,0.00184162062615101,0.00184162062615101,0.00368324125230203,0.00184162062615101,0,0,0,0,0.00736648250460405,0,0,0,0,0.00184162062615101,0,0,0,0.00184162062615101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184162062615101,0,0,0,0,0,0,0
460,6261,0,0.00574712643678161,0,0.0517241379310345,0.00574712643678161,0.0114942528735632,0.0229885057471264,0,0,0.0114942528735632,0.0114942528735632,0,0.00574712643678161,0.00574712643678161,0,0.0344827586206897,0.00574712643678161,0.477011494252874,0,0.00574712643678161,0,0.0459770114942529,0.0114942528735632,0.00574712643678161,0.235632183908046,0,0.00574712643678161,0,0,0,0,0,0,0,0.00574712643678161,0,0.0172413793103448,0,0,0,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,0,0,0,0.00574712643678161,0,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
