"sample.depths","sample.ages","Abies","Acer","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carpinus","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fraxinus","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodiaceae","Menispermum","Myrica","Myriophyllum","Nuphar","Nymphaea","Parnassia","Picea","Pinus","Plantago","Poaceae","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae.undiff.","Sedum","Shepherdia.argentea","Shepherdia.canadensis","Solanaceae","Sparganium","Sphagnum","Thalictrum","Typha","Ulmus","Unknown..trilete.","Urticaceae"
185,3900,2,0,0,248,4,8,0,0,34,4,0,302,0,0,0,0,2,0,0,0,4,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,236,632,0,18,0,20,2,2,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,18,0,6,0
195,4097,6,4,0,588,22,2,0,2,76,12,0,378,0,0,0,0,0,0,0,4,8,60,0,0,10,2,0,0,0,0,0,30,0,0,4,0,4,6,0,566,1424,0,88,4,28,0,2,0,0,2,0,0,0,56,0,2,0,0,0,0,4,0,0,8,2,6,0
210,4392,2,0,0,442,10,8,0,6,48,8,0,502,2,0,0,0,0,0,0,2,8,38,0,2,10,0,0,6,0,0,0,6,0,0,2,2,6,0,0,256,1328,0,48,2,28,0,8,0,4,0,0,0,0,66,2,4,0,0,2,0,4,0,2,12,6,8,0
220,4589,2,8,0,1060,24,2,0,10,124,14,0,392,0,0,0,0,0,0,0,6,6,110,0,0,16,0,0,4,0,0,0,12,0,0,4,0,6,0,0,276,1302,0,136,6,20,2,14,2,8,0,0,0,0,104,0,4,0,0,2,0,14,0,2,18,8,10,0
230,4785,8,0,0,404,30,6,0,2,98,14,0,422,4,0,0,0,0,0,0,12,14,62,0,0,12,0,0,0,0,0,0,6,0,0,8,6,2,0,0,344,1486,0,90,0,8,10,0,0,2,2,0,0,0,64,0,2,0,0,0,0,2,0,4,4,2,4,2
240,4982,0,0,0,310,16,2,0,0,56,8,0,396,0,0,0,0,0,0,0,2,16,46,0,0,8,2,0,0,0,0,0,10,0,0,4,12,6,0,0,228,886,0,48,0,18,0,0,0,2,0,0,0,0,40,2,2,0,0,2,0,10,0,2,6,4,2,0
250,5179,8,0,0,470,12,2,0,2,98,20,0,532,0,0,0,0,0,0,0,10,38,104,0,0,32,2,4,4,0,0,2,16,4,0,34,6,4,0,0,328,1196,0,110,0,2,2,14,4,6,2,0,0,0,80,2,2,0,0,2,0,10,12,6,24,2,0,0
260,5375,4,0,0,232,14,12,0,4,88,16,0,346,0,0,0,0,0,0,0,6,12,48,0,0,14,0,0,0,0,0,0,0,2,0,10,2,2,0,0,226,954,0,44,0,6,0,2,0,8,0,0,0,2,30,0,0,0,0,0,0,2,0,2,12,4,8,0
270,5572,2,2,0,286,36,2,0,2,86,16,0,914,0,0,0,0,0,0,0,16,62,98,0,0,20,0,0,4,2,0,0,22,4,0,24,2,0,0,0,270,904,0,78,8,42,0,12,0,4,0,0,0,0,44,2,2,0,0,0,0,10,4,4,14,2,0,0
285,5867,2,0,0,106,20,10,0,0,38,0,0,246,0,0,0,0,0,0,0,4,34,44,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,76,660,0,24,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0
290,5966,2,2,0,646,50,12,2,2,200,36,0,1076,0,0,2,0,0,0,0,6,68,136,0,0,14,2,2,2,0,0,0,16,0,0,54,10,6,4,0,346,1898,0,92,4,88,8,6,2,6,2,0,2,0,134,0,4,0,0,0,0,4,0,4,26,0,6,0
300,6162,2,0,0,150,14,0,0,4,14,10,0,208,0,0,0,0,0,0,0,2,10,50,0,0,4,2,0,0,0,0,0,4,0,0,4,12,8,0,0,148,312,0,36,2,4,6,2,0,8,0,0,0,0,26,0,0,0,0,0,0,14,2,0,22,0,0,0
310,6359,2,0,0,1014,20,28,4,2,68,18,0,428,4,0,0,0,0,0,0,6,22,92,0,0,14,0,2,8,0,0,0,6,0,0,34,0,4,0,0,372,1402,0,96,0,18,2,4,0,0,4,0,0,0,90,2,0,0,0,4,0,0,0,2,28,0,4,0
320,6556,0,0,0,240,32,20,0,0,60,4,0,370,0,0,0,0,0,0,0,4,78,46,0,0,24,0,0,0,0,0,0,24,0,0,26,0,0,0,0,82,488,0,36,0,22,0,4,0,0,0,0,0,2,50,0,0,0,0,2,0,0,0,0,2,0,0,0
325,6654,0,2,0,184,24,4,0,0,52,18,0,338,4,0,2,0,0,0,0,12,24,62,0,0,2,0,0,0,0,0,0,10,4,0,34,2,0,0,0,260,1226,0,66,6,4,2,4,0,10,0,0,0,0,58,2,0,0,0,6,0,10,0,0,8,0,0,0
335,6863,4,0,0,630,46,110,0,0,342,22,0,844,0,0,0,0,0,0,2,16,86,96,0,0,18,0,6,14,0,0,0,12,0,0,64,6,2,10,2,798,978,0,136,4,106,0,6,0,18,2,0,2,0,182,6,4,0,0,2,0,4,0,4,40,0,2,0
350,7236,0,2,0,270,46,22,2,0,136,18,0,326,0,0,0,0,0,0,0,2,52,54,0,0,12,0,0,0,0,0,0,12,0,0,46,0,0,0,0,194,48,0,84,8,6,2,2,8,4,0,0,0,0,62,4,4,0,0,2,0,2,0,0,46,0,0,0
360,7484,2,0,0,74,26,10,0,0,30,10,0,428,0,0,0,0,0,0,0,2,88,20,0,0,6,0,0,0,0,0,0,8,0,0,8,8,0,0,0,210,36,0,34,2,16,0,0,0,2,0,0,0,0,34,2,0,0,0,2,0,0,0,0,26,0,0,0
370,7732,0,0,0,98,48,10,0,0,54,12,0,750,2,0,0,0,0,2,0,10,42,80,2,0,4,0,0,0,0,0,0,18,0,0,10,0,0,0,0,324,60,0,70,8,70,4,2,6,6,0,0,0,0,112,0,0,0,2,4,0,2,0,6,24,0,2,0
380,7980,0,0,0,58,32,12,0,2,118,0,0,350,0,0,0,0,0,0,0,4,30,104,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,218,32,0,90,2,32,6,2,0,6,0,0,0,0,70,6,4,0,0,2,0,6,0,2,6,2,2,0
390,8228,0,0,0,116,36,12,0,8,40,12,0,530,2,0,0,0,0,0,0,4,48,74,0,2,2,0,2,6,0,0,0,10,2,0,18,0,0,0,0,194,30,0,76,6,34,0,2,2,8,0,0,0,0,76,6,0,0,0,0,0,2,0,0,14,0,2,0
400,NA,4,0,0,20,18,18,0,0,70,16,0,68,0,0,0,0,0,0,0,0,88,64,0,0,4,0,4,0,0,0,0,14,2,0,2,32,0,2,0,538,46,0,58,0,14,8,0,0,8,2,0,0,0,60,2,0,0,0,8,0,0,10,2,36,2,0,0
410,NA,0,0,2,22,44,26,0,2,104,10,0,142,6,0,0,0,0,0,0,0,52,88,12,0,24,0,2,2,0,0,0,12,0,2,2,2,6,0,2,390,34,0,74,0,0,34,0,8,6,0,0,0,0,92,2,0,0,0,0,0,12,0,2,18,4,2,0
425,NA,0,0,0,12,56,14,0,0,86,14,0,66,0,0,0,0,0,0,0,6,60,86,6,0,6,0,6,0,0,2,4,0,0,0,2,2,0,0,0,408,88,0,58,0,6,16,8,0,16,0,0,0,0,110,2,2,0,0,0,0,10,0,0,18,0,2,0
435,NA,0,0,0,4,38,24,0,0,70,2,0,54,0,0,0,0,0,0,0,8,56,92,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,0,296,22,0,50,6,42,0,2,0,0,0,0,0,0,38,0,2,0,0,2,0,4,0,0,8,0,0,0
450,NA,0,0,0,18,106,14,2,0,140,12,0,78,2,0,0,0,0,0,0,4,92,70,0,0,16,2,2,0,0,0,0,0,2,2,0,0,0,0,0,324,36,0,60,6,0,6,6,2,12,0,0,0,0,112,8,0,0,0,10,0,6,0,0,4,0,4,0
455,NA,2,0,0,8,32,8,0,6,50,12,0,80,0,0,0,0,0,0,0,4,18,22,2,0,8,0,6,2,0,0,0,2,2,0,2,0,0,0,0,202,50,2,36,2,2,0,12,6,6,0,0,0,0,36,2,2,0,0,14,2,2,0,0,0,0,0,0
465,NA,2,0,0,12,58,4,0,2,70,16,0,60,2,0,0,0,0,0,0,4,16,62,0,0,10,0,6,0,0,0,0,0,2,2,0,4,0,0,0,280,46,0,68,0,0,2,6,2,12,2,0,0,0,50,0,0,0,0,10,0,2,0,0,0,2,4,0
470,NA,0,0,2,12,36,10,0,2,116,10,0,40,6,0,0,0,0,0,0,0,20,24,0,0,16,0,4,2,0,0,0,4,0,0,0,0,0,2,0,176,32,2,26,2,0,0,0,0,4,0,0,0,0,40,2,0,0,0,8,0,4,0,0,2,2,4,0
480,NA,0,0,0,10,26,0,0,0,46,8,0,32,2,0,0,0,0,0,0,0,16,22,0,2,2,0,2,0,0,0,0,0,2,0,0,2,0,4,0,168,30,0,22,4,4,0,0,0,14,0,2,0,0,24,2,0,0,0,16,0,0,0,0,0,2,0,0
490,NA,0,0,0,10,56,12,0,0,82,12,0,68,0,0,0,0,0,0,0,0,10,44,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,28,0,28,2,18,0,0,0,12,0,0,0,0,32,6,0,0,0,10,0,0,0,0,4,0,0,0
500,NA,0,0,0,8,32,6,0,0,78,14,0,30,0,0,0,0,0,0,0,2,40,54,0,0,4,0,2,2,0,0,0,0,0,0,2,2,0,0,0,544,16,0,42,2,48,4,0,0,0,0,0,4,0,50,2,0,0,0,16,0,2,2,0,0,6,0,0
505,NA,0,0,0,10,62,14,0,0,100,4,0,36,2,0,0,0,0,0,0,0,18,76,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,16,0,66,4,46,0,0,0,4,0,0,2,0,44,0,0,0,0,20,0,2,4,0,0,2,0,0
510,NA,0,0,0,10,38,10,0,0,106,10,0,34,0,0,0,0,0,0,0,0,16,82,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,62,8,0,54,2,28,0,2,0,0,0,0,0,0,34,0,0,0,4,14,0,4,2,0,0,0,0,0
520,NA,0,0,0,8,22,12,0,0,56,18,0,30,0,0,0,0,0,0,2,2,6,104,0,0,8,0,2,0,0,0,0,0,0,0,2,2,0,0,0,50,2,0,62,0,12,0,0,0,4,0,2,0,0,24,0,0,0,0,4,0,0,0,0,2,10,0,0
530,NA,0,0,0,10,20,18,0,0,28,8,0,48,0,0,0,2,0,0,0,6,24,36,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,56,2,0,38,0,26,0,10,0,4,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,18,4,0
