"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
1589,NA,0,0,0.011080332,0.011080332,0.008310249,0,0,0,0,0,0.002770083,0,0,0,0,0,0.002770083,0,0,0,0.013850416,0,0.005540166,0.210526316,0,0.63434903,0,0,0.041551247,0.002770083,0,0.011080332,0,0,0.002770083,0,0.016620499,0.002770083,0,0,0,0,0.022160665,0
1599,NA,0,0,0.003174603,0.006349206,0.019047619,0,0,0,0,0.003174603,0.003174603,0,0.003174603,0,0,0,0.019047619,0,0,0,0,0.00952381,0,0.241269841,0,0.536507937,0,0,0.034920635,0,0,0.022222222,0,0,0.006349206,0,0.015873016,0.012698413,0,0,0,0,0.063492063,0
1609,NA,0.005128205,0.002564103,0.012820513,0.015384615,0,0.002564103,0,0,0,0.005128205,0.023076923,0,0.005128205,0.002564103,0,0,0.005128205,0,0,0,0.002564103,0,0.005128205,0.179487179,0,0.58974359,0.002564103,0.002564103,0.046153846,0.002564103,0,0.007692308,0,0,0.01025641,0,0.012820513,0.028205128,0,0,0,0,0.030769231,0
1619,NA,0,0,0.009708738,0.009708738,0.01618123,0.003236246,0,0,0,0.003236246,0,0,0.003236246,0,0,0,0.009708738,0,0,0,0,0,0.003236246,0.25566343,0,0.517799353,0,0,0.045307443,0,0,0.019417476,0,0,0.022653722,0,0.006472492,0.01618123,0,0,0,0.003236246,0.055016181,0
1629,NA,0,0,0.022082019,0.018927445,0.018927445,0,0,0.003154574,0,0,0.006309148,0.003154574,0.006309148,0,0.003154574,0,0.003154574,0,0,0,0.003154574,0,0.003154574,0.230283912,0,0.552050473,0.003154574,0.003154574,0.03785489,0,0,0.025236593,0,0,0.012618297,0,0.006309148,0.018927445,0,0,0,0,0.018927445,0
1639,NA,0,0,0.01607717,0.003215434,0.01607717,0.003215434,0,0,0,0,0.009646302,0,0,0.003215434,0,0,0.032154341,0,0,0,0,0,0.012861736,0.241157556,0,0.511254019,0,0,0,0.006430868,0,0.01607717,0,0,0.012861736,0,0.022508039,0.019292605,0,0,0,0,0.073954984,0
1649,NA,0,0.004854369,0.007281553,0.012135922,0.007281553,0.002427184,0,0,0,0.002427184,0.02184466,0.002427184,0,0,0.002427184,0,0.009708738,0,0,0,0,0,0.004854369,0.216019417,0,0.606796117,0.007281553,0,0.031553398,0.004854369,0,0.012135922,0,0,0.009708738,0,0.007281553,0.002427184,0,0,0,0,0.024271845,0
1669,NA,0,0.002590674,0,0.031088083,0.018134715,0.005181347,0,0.005181347,0,0,0.005181347,0,0,0,0.002590674,0,0.005181347,0,0,0,0,0,0.005181347,0.17357513,0,0.650259067,0,0,0.025906736,0.005181347,0,0.002590674,0,0,0.010362694,0,0.005181347,0.018134715,0,0,0,0,0.028497409,0
1679,NA,0,0,0.009708738,0.009708738,0.019417476,0,0,0,0,0.012944984,0,0,0.003236246,0,0,0,0.003236246,0,0,0,0.003236246,0.003236246,0,0.220064725,0,0.540453074,0,0,0.058252427,0.006472492,0,0.025889968,0,0,0.009708738,0,0.012944984,0.009708738,0,0,0,0,0.051779935,0
1689,NA,0,0,0.011204482,0.028011204,0.00280112,0,0,0,0,0.00280112,0.019607843,0,0,0,0.005602241,0,0.005602241,0,0,0,0.011204482,0,0.00280112,0.162464986,0,0.62745098,0.00280112,0,0.036414566,0,0,0.00280112,0,0,0.008403361,0,0.019607843,0.016806723,0,0.00280112,0,0,0.030812325,0
