"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericales","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Galium","Humulus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
100,2316,5,0,1,1,0,0,0,0,0,0,82,1,0,0,3,1,0,0,6,4,1,1,0,0,0,4,0,0,0,0,2,0,0,0,0,2,11,84,230,10,0,0,0,0,1,14,0,0,0,1,0,0,0,0,2,0,3,0
110,2488,4,0,0,11,1,1,0,0,0,0,55,0,0,1,5,0,0,0,2,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,18,79,170,0,0,0,1,1,0,9,0,0,0,0,0,0,0,1,1,0,1,0
120,2661,5,0,0,8,0,0,0,0,0,0,45,1,1,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,10,73,250,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,2,0,0,0
130,2833,2,0,1,4,0,1,0,0,1,0,48,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,2,11,88,265,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,3
140,3006,4,0,0,4,0,1,0,0,0,0,57,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,4,46,237,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0
150,3178,11,1,3,11,1,0,0,0,1,2,72,0,2,0,5,0,0,0,2,4,2,1,0,0,1,6,0,0,0,0,1,1,1,0,0,3,23,57,160,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,3,0,2,2
160,3350,4,0,0,11,0,0,0,0,0,0,63,0,0,0,35,0,0,1,17,1,1,1,0,0,1,4,0,0,0,0,0,0,4,0,0,0,9,45,209,0,0,0,0,0,2,9,0,0,0,0,0,4,0,0,2,0,3,2
170,3523,4,0,1,12,1,1,0,0,2,0,97,0,0,0,0,2,0,4,12,3,1,1,0,0,0,1,0,0,0,0,3,0,2,1,0,5,4,54,227,0,0,0,0,1,0,16,0,0,1,0,0,0,0,0,2,0,4,1
180,3695,4,0,0,10,2,1,0,0,0,0,92,0,0,3,7,0,0,5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,56,203,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,3,4
190,3868,4,0,1,8,1,2,0,0,1,0,30,0,0,0,38,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,9,34,303,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
200,4042,5,0,1,6,0,2,0,0,2,0,38,0,1,0,4,0,0,9,6,2,0,3,0,0,0,7,0,0,0,0,1,0,0,0,0,0,8,71,244,0,0,1,2,2,0,7,0,0,3,0,0,0,0,0,0,0,4,0
210,4215,5,0,1,2,0,0,0,0,0,0,24,0,0,0,1,0,0,4,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,6,87,257,0,0,0,1,1,0,5,0,0,0,0,1,0,1,0,0,1,6,0
220,4389,11,0,0,5,1,1,0,0,1,0,44,0,1,1,2,0,0,5,6,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,13,48,255,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,3,1
230,4563,3,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,286,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
240,4737,1,0,0,2,0,0,0,0,1,0,10,0,0,1,1,0,0,5,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,6,57,269,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0
250,4910,3,0,1,5,0,0,0,0,0,0,17,0,0,0,0,1,0,1,4,1,0,1,0,0,3,6,0,0,0,0,1,0,0,0,0,1,7,77,212,10,0,1,0,1,0,3,0,0,1,0,2,0,1,0,0,0,1,2
260,5084,2,1,2,1,0,0,0,0,1,0,10,0,0,1,0,0,0,3,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,6,65,323,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1
270,5258,2,0,1,4,0,1,0,0,2,0,35,1,1,4,0,0,0,4,0,0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,6,90,200,0,0,0,1,0,5,3,0,0,2,0,0,0,0,0,1,0,2,1
280,5432,7,0,0,7,0,0,0,0,3,0,16,0,0,2,2,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,7,61,220,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0
290,5605,7,0,3,3,0,1,0,0,0,0,6,0,0,1,2,0,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,137,171,0,0,0,3,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0
300,5779,1,0,1,3,2,1,0,0,0,0,17,0,0,6,5,0,0,15,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,4,197,164,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,3,0
310,5953,3,0,0,3,0,2,0,0,2,0,6,0,0,1,2,0,0,43,4,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,4,72,282,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,5,0
320,6127,2,0,1,1,0,0,0,0,0,0,7,0,0,0,3,0,0,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,157,231,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,1,0,1,0
325,6213,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,11,142,225,0,0,0,0,0,0,3,0,0,2,0,0,7,0,0,3,0,4,0
340,6474,4,0,1,3,0,2,0,0,0,0,20,0,0,0,5,1,0,9,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,166,185,0,0,0,0,0,6,3,0,0,0,0,0,7,0,0,0,1,3,2
350,6648,9,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,19,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,110,269,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
360,6821,2,0,0,2,1,0,1,0,0,0,9,0,0,0,7,0,0,5,3,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,0,1,3,116,286,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,1,1
370,6995,2,0,0,1,0,1,0,0,0,2,6,0,0,2,4,20,0,14,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,4,138,224,0,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,0,5,0
380,7169,2,0,3,1,0,1,0,0,0,0,5,2,0,0,4,2,0,6,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,123,201,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,4,0
390,NA,2,0,0,1,1,0,0,0,0,0,9,0,0,0,0,43,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,125,221,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0
395,NA,2,0,0,0,1,6,0,0,0,1,5,0,0,0,1,55,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,295,59,0,0,0,2,0,15,1,0,0,0,0,0,1,0,0,0,0,1,3
