"sample.depths","sample.ages","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Alnus","Myrica","Poaceae","Acer.rubrum","Fraxinus.nigra.type","Salix","Amaranthaceae","Ilex","Tilia","Ulmus","Artemisia","Cannabaceae","Fraxinus.pennsylvanica.type","Nyssa","Cornus","Platanus","Asteraceae.undiff.","Pinus.subg..Pinus","Castanea","Juglans.cinerea","Rosaceae","Thalictrum","Juglans.nigra","Nemopanthus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Sambucus","Liliaceae","Liquidambar","Lamiaceae","Polygonaceae.undiff.","Arceuthobium","Vitis","Epilobium"
140,2682,0.0162162162162162,0.0432432432432432,0,0.2,0,0.00540540540540541,0.0648648648648649,0.00540540540540541,0.108108108108108,0.0108108108108108,0.0216216216216216,0.0918918918918919,0.0864864864864865,0.0216216216216216,0,0.189189189189189,0.027027027027027,0.0108108108108108,0.00540540540540541,0,0.00540540540540541,0.00540540540540541,0,0,0.00540540540540541,0.0108108108108108,0.00540540540540541,0,0.0108108108108108,0.0324324324324324,0,0,0.0108108108108108,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3172,0.0157068062827225,0.0418848167539267,0,0.25130890052356,0.00523560209424084,0.0104712041884817,0.0261780104712042,0,0.141361256544503,0.00523560209424084,0.0104712041884817,0.162303664921466,0.0890052356020942,0.0261780104712042,0.00523560209424084,0.115183246073298,0.0209424083769634,0.00523560209424084,0.0104712041884817,0.00523560209424084,0.00523560209424084,0,0,0,0,0.00523560209424084,0,0,0,0.0104712041884817,0,0,0.00523560209424084,0.0104712041884817,0,0.0104712041884817,0,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0
180,3351,0.00558659217877095,0.0446927374301676,0,0.273743016759777,0,0,0.00558659217877095,0,0.128491620111732,0.0167597765363128,0.00558659217877095,0.0837988826815642,0.106145251396648,0.0446927374301676,0,0.17877094972067,0.0111731843575419,0.0167597765363128,0.0111731843575419,0.00558659217877095,0.0167597765363128,0,0,0,0,0.0111731843575419,0,0,0.0111731843575419,0.0111731843575419,0,0,0,0.0111731843575419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3397,0.00840336134453781,0.0336134453781513,0,0.273109243697479,0.00420168067226891,0,0.0420168067226891,0.00840336134453781,0.0756302521008403,0.0210084033613445,0.0126050420168067,0.130252100840336,0.134453781512605,0.0504201680672269,0,0.134453781512605,0.0336134453781513,0,0.00420168067226891,0,0,0.00840336134453781,0,0.00420168067226891,0,0,0,0,0.00420168067226891,0,0,0,0.00420168067226891,0.00420168067226891,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3443,0.00549450549450549,0.0164835164835165,0,0.247252747252747,0,0.0384615384615385,0.0384615384615385,0,0.0549450549450549,0.0494505494505494,0.010989010989011,0.142857142857143,0.0659340659340659,0.0879120879120879,0,0.0659340659340659,0.021978021978022,0.0604395604395604,0.00549450549450549,0,0.0274725274725275,0.00549450549450549,0,0,0,0.021978021978022,0,0,0,0.00549450549450549,0,0,0.010989010989011,0.00549450549450549,0,0,0,0,0.00549450549450549,0.00549450549450549,0,0,0,0,0,0,0,0,0,0
240,3489,0.0483870967741935,0.043010752688172,0,0.333333333333333,0,0,0.021505376344086,0,0.118279569892473,0.010752688172043,0.010752688172043,0.123655913978495,0.064516129032258,0.0376344086021505,0,0.0913978494623656,0,0.032258064516129,0.00537634408602151,0,0,0,0,0,0.00537634408602151,0.021505376344086,0,0,0.00537634408602151,0.010752688172043,0,0.00537634408602151,0,0.00537634408602151,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3596,0.0105540897097625,0.0343007915567282,0.0105540897097625,0.197889182058047,0.00263852242744063,0.0105540897097625,0.0263852242744063,0.00527704485488127,0.110817941952507,0.0263852242744063,0.0184696569920844,0.0844327176781003,0.113456464379947,0.0554089709762533,0,0.137203166226913,0.0554089709762533,0.0343007915567282,0,0.00527704485488127,0.0079155672823219,0,0.00263852242744063,0,0.00527704485488127,0.0184696569920844,0.00263852242744063,0,0.00527704485488127,0.0079155672823219,0,0,0.00527704485488127,0.00263852242744063,0,0,0,0,0,0,0.00263852242744063,0,0,0,0,0,0,0,0,0
280,3704,0.0558659217877095,0.0167597765363128,0,0.268156424581006,0.0111731843575419,0,0.0223463687150838,0.00558659217877095,0.106145251396648,0.00558659217877095,0.0167597765363128,0.0893854748603352,0.0949720670391061,0.0558659217877095,0.00558659217877095,0.0893854748603352,0.0391061452513966,0.0223463687150838,0.00558659217877095,0.0111731843575419,0,0,0,0.00558659217877095,0,0.0279329608938547,0,0,0.00558659217877095,0.0111731843575419,0,0,0.0167597765363128,0,0,0,0,0,0,0,0,0.0111731843575419,0,0,0,0,0,0,0,0
300,3812,0.018716577540107,0.0374331550802139,0,0.259358288770053,0.00267379679144385,0,0.0320855614973262,0.00802139037433155,0.136363636363636,0.0267379679144385,0.0053475935828877,0.0802139037433155,0.133689839572193,0.0454545454545455,0,0.0802139037433155,0.0561497326203209,0.0133689839572193,0.0053475935828877,0.00267379679144385,0.0106951871657754,0,0.0053475935828877,0,0.00267379679144385,0.0053475935828877,0.0053475935828877,0,0.0106951871657754,0.00802139037433155,0,0.00267379679144385,0.0053475935828877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,3920,0.00561797752808989,0.0617977528089888,0.00561797752808989,0.202247191011236,0.0112359550561798,0,0.0449438202247191,0.00561797752808989,0.0730337078651685,0.0112359550561798,0.0280898876404494,0.0842696629213483,0.095505617977528,0.0617977528089888,0.00561797752808989,0.117977528089888,0.0393258426966292,0.0449438202247191,0,0,0.0280898876404494,0.00561797752808989,0,0.00561797752808989,0.00561797752808989,0.0280898876404494,0,0,0.00561797752808989,0.00561797752808989,0,0,0.00561797752808989,0.00561797752808989,0,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,4027,0,0.0402298850574713,0,0.183908045977011,0,0.00574712643678161,0.028735632183908,0.00574712643678161,0.0977011494252874,0.0229885057471264,0.0229885057471264,0.109195402298851,0.137931034482759,0.0459770114942529,0,0.14367816091954,0.0344827586206897,0.0172413793103448,0.00574712643678161,0.0114942528735632,0.0114942528735632,0.00574712643678161,0,0,0.0114942528735632,0.00574712643678161,0.00574712643678161,0,0.00574712643678161,0.0172413793103448,0,0,0.0114942528735632,0.00574712643678161,0,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,0,0,0,0
360,4135,0,0.0290697674418605,0,0.238372093023256,0.0116279069767442,0,0.0523255813953488,0,0.0813953488372093,0.0174418604651163,0.0174418604651163,0.0988372093023256,0.11046511627907,0.0406976744186047,0,0.156976744186047,0.063953488372093,0.00581395348837209,0,0,0.0116279069767442,0.00581395348837209,0,0,0,0.0116279069767442,0,0,0.0116279069767442,0.0116279069767442,0.00581395348837209,0,0,0.0116279069767442,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4243,0.0242130750605327,0.0435835351089588,0.00242130750605327,0.273607748184019,0,0,0.0460048426150121,0.00726392251815981,0.0920096852300242,0.0217917675544794,0.00242130750605327,0.0847457627118644,0.0750605326876513,0.036319612590799,0,0.12590799031477,0.0435835351089588,0.0314769975786925,0.00968523002421308,0.00726392251815981,0.0145278450363196,0.00242130750605327,0,0.00242130750605327,0.00242130750605327,0.0145278450363196,0.00242130750605327,0,0.00484261501210654,0.0121065375302663,0,0,0.00726392251815981,0,0.00242130750605327,0,0,0.00242130750605327,0,0,0,0,0.00242130750605327,0.00242130750605327,0,0,0,0,0,0
400,4351,0.00546448087431694,0.0273224043715847,0,0.245901639344262,0.00546448087431694,0,0.0327868852459016,0.00546448087431694,0.098360655737705,0.0163934426229508,0,0.202185792349727,0.0765027322404372,0.0601092896174863,0,0.0382513661202186,0.0218579234972678,0.0601092896174863,0.00546448087431694,0,0.0109289617486339,0,0.00546448087431694,0,0,0.0273224043715847,0,0,0,0.0327868852459016,0,0,0.0163934426229508,0.00546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,4458,0.00498753117206983,0.0523690773067332,0.00748129675810474,0.324189526184539,0.00748129675810474,0,0.0174563591022444,0.00498753117206983,0.0723192019950125,0.0224438902743142,0.00249376558603491,0.122194513715711,0.112219451371571,0.0473815461346633,0,0.0947630922693267,0.027431421446384,0.00748129675810474,0.00498753117206983,0.00498753117206983,0.00249376558603491,0.00249376558603491,0,0.00249376558603491,0.00748129675810474,0.00997506234413965,0.00249376558603491,0,0.00997506234413965,0.00748129675810474,0,0,0.00498753117206983,0.00498753117206983,0,0.00498753117206983,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0
440,4566,0,0.04,0.00571428571428571,0.217142857142857,0,0,0.0457142857142857,0,0.12,0.0514285714285714,0,0.114285714285714,0.131428571428571,0.04,0,0.0971428571428571,0.0228571428571429,0.0171428571428571,0.00571428571428571,0.0114285714285714,0.0114285714285714,0,0,0,0,0.0342857142857143,0,0,0.00571428571428571,0.0171428571428571,0,0,0,0.0114285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,4674,0.009375,0.04375,0.003125,0.26875,0.003125,0,0.0125,0,0.125,0.0125,0.003125,0.096875,0.153125,0.046875,0,0.125,0.015625,0.00625,0,0.009375,0.0125,0,0,0,0.003125,0.021875,0,0,0,0.003125,0.003125,0.00625,0.003125,0.009375,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,4782,0,0.0631578947368421,0.00526315789473684,0.231578947368421,0,0,0.0157894736842105,0,0.110526315789474,0.0157894736842105,0,0.136842105263158,0.0842105263157895,0.0473684210526316,0,0.0947368421052632,0.0210526315789474,0.0421052631578947,0.00526315789473684,0.0105263157894737,0.0263157894736842,0,0,0,0,0.0263157894736842,0.00526315789473684,0,0.00526315789473684,0.0421052631578947,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4889,0.0158730158730159,0.0307539682539683,0.000992063492063492,0.219246031746032,0,0.000992063492063492,0.0178571428571429,0.00297619047619048,0.0357142857142857,0.00992063492063492,0.00396825396825397,0.192460317460317,0.213293650793651,0.0654761904761905,0,0.0773809523809524,0.0277777777777778,0.0148809523809524,0.000992063492063492,0,0.00694444444444444,0.000992063492063492,0.00198412698412698,0,0.00198412698412698,0.0277777777777778,0,0,0.00297619047619048,0.00595238095238095,0.00198412698412698,0.00198412698412698,0.00297619047619048,0.00892857142857143,0,0.000992063492063492,0.00198412698412698,0.000992063492063492,0,0,0,0,0,0,0.000992063492063492,0,0,0,0,0
520,5364,0.0053475935828877,0.0267379679144385,0,0.27807486631016,0,0,0.0160427807486631,0,0.122994652406417,0.0106951871657754,0.0053475935828877,0.0213903743315508,0.112299465240642,0.0213903743315508,0,0.283422459893048,0.0160427807486631,0,0.0053475935828877,0,0.0053475935828877,0.0053475935828877,0,0,0,0.0213903743315508,0,0,0.0053475935828877,0.0106951871657754,0,0.0053475935828877,0.0053475935828877,0.0053475935828877,0,0.0106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,5731,0,0.0222841225626741,0,0.114206128133705,0,0,0.00835654596100279,0.00557103064066852,0.0752089136490251,0.0194986072423398,0.00278551532033426,0.0389972144846797,0.0779944289693593,0.011142061281337,0,0.523676880222841,0.0306406685236769,0.00835654596100279,0.011142061281337,0,0.00835654596100279,0.00835654596100279,0,0,0.00557103064066852,0.00557103064066852,0,0.00278551532033426,0.00278551532033426,0,0,0.00278551532033426,0.00835654596100279,0.00278551532033426,0,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,6097,0,0.0376344086021505,0.00537634408602151,0.231182795698925,0.00537634408602151,0,0.0376344086021505,0.00537634408602151,0.0860215053763441,0.010752688172043,0,0.0268817204301075,0.043010752688172,0.0376344086021505,0,0.413978494623656,0.00537634408602151,0.0161290322580645,0,0,0,0,0,0,0.00537634408602151,0.00537634408602151,0,0,0.00537634408602151,0,0,0,0,0.0161290322580645,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,6464,0,0.0310880829015544,0,0.16580310880829,0.0103626943005181,0,0.0207253886010363,0,0.10880829015544,0.0103626943005181,0.00518134715025907,0.0207253886010363,0.0621761658031088,0.0259067357512953,0,0.450777202072539,0.0103626943005181,0.0103626943005181,0.00518134715025907,0,0.00518134715025907,0,0,0.00518134715025907,0,0.0362694300518135,0,0,0,0,0,0,0.00518134715025907,0.00518134715025907,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0
600,6831,0.00294985250737463,0.0117994100294985,0,0.162241887905605,0.00589970501474926,0.00589970501474926,0.0265486725663717,0.00589970501474926,0.0737463126843658,0.0117994100294985,0.00294985250737463,0.0383480825958702,0.144542772861357,0.0648967551622419,0,0.345132743362832,0.0176991150442478,0.0176991150442478,0,0,0.00589970501474926,0,0.00294985250737463,0.00294985250737463,0.00589970501474926,0.023598820058997,0,0,0.00294985250737463,0.00294985250737463,0,0,0,0.0088495575221239,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0.00294985250737463,0,0,0,0
610,7015,0,0.032258064516129,0,0.220430107526882,0,0,0,0,0.021505376344086,0.032258064516129,0.010752688172043,0.118279569892473,0.10752688172043,0.161290322580645,0,0.198924731182796,0.010752688172043,0.0161290322580645,0.00537634408602151,0,0.00537634408602151,0,0,0,0,0.032258064516129,0,0,0.00537634408602151,0,0,0.00537634408602151,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0.00537634408602151,0,0,0
620,7198,0,0.0368421052631579,0,0.184210526315789,0,0,0.00526315789473684,0,0.0368421052631579,0.0315789473684211,0.0105263157894737,0.0473684210526316,0.068421052631579,0.0315789473684211,0,0.478947368421053,0.0105263157894737,0.0105263157894737,0.00526315789473684,0,0.00526315789473684,0,0,0,0.00526315789473684,0.0263157894736842,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,7565,0,0.0336538461538462,0,0.173076923076923,0.00480769230769231,0,0.0192307692307692,0.00480769230769231,0.0480769230769231,0.00961538461538462,0,0.0817307692307692,0.0961538461538462,0.0625,0,0.384615384615385,0.0144230769230769,0.0144230769230769,0.00480769230769231,0,0,0,0,0,0,0.0288461538461538,0,0,0.00480769230769231,0.00480769230769231,0,0.00480769230769231,0,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,7932,0.00233100233100233,0.0186480186480186,0,0.165501165501166,0,0.00233100233100233,0.020979020979021,0,0.048951048951049,0.0186480186480186,0.00233100233100233,0.116550116550117,0.193473193473193,0.0792540792540792,0,0.251748251748252,0.0163170163170163,0.00932400932400932,0.00932400932400932,0,0.00233100233100233,0,0,0,0,0.0186480186480186,0,0,0.00233100233100233,0,0,0.00233100233100233,0.00466200466200466,0.006993006993007,0,0.00233100233100233,0,0.00466200466200466,0,0,0,0,0,0,0,0,0,0,0,0
680,8299,0,0.021505376344086,0,0.150537634408602,0,0,0.0161290322580645,0,0.043010752688172,0.021505376344086,0,0.198924731182796,0.129032258064516,0.0967741935483871,0,0.198924731182796,0.0161290322580645,0.032258064516129,0.00537634408602151,0,0.00537634408602151,0,0,0,0,0.021505376344086,0,0,0.00537634408602151,0,0,0.00537634408602151,0.010752688172043,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537634408602151,0,0
700,8665,0,0.0261780104712042,0,0.109947643979058,0,0,0.0157068062827225,0,0.031413612565445,0.0209424083769634,0.00523560209424084,0.193717277486911,0.198952879581152,0.104712041884817,0,0.230366492146597,0.0209424083769634,0.00523560209424084,0,0,0.00523560209424084,0,0,0,0,0.00523560209424084,0,0,0.00523560209424084,0,0,0.0157068062827225,0,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9032,0.0101010101010101,0.0151515151515152,0,0.0505050505050505,0,0,0.00505050505050505,0,0,0.0101010101010101,0.0202020202020202,0.303030303030303,0.333333333333333,0.0707070707070707,0.00505050505050505,0.0707070707070707,0.0404040404040404,0.0101010101010101,0,0,0,0,0.00505050505050505,0,0,0.0101010101010101,0,0,0.0101010101010101,0,0,0.00505050505050505,0,0.0101010101010101,0,0,0,0,0,0,0.0101010101010101,0,0,0,0.00505050505050505,0,0,0,0,0
740,9399,0.0205128205128205,0.0256410256410256,0,0.0871794871794872,0.00512820512820513,0,0.00512820512820513,0,0.0153846153846154,0.0102564102564103,0.0205128205128205,0.4,0.143589743589744,0.0974358974358974,0,0.0512820512820513,0.0307692307692308,0.0205128205128205,0,0,0.0102564102564103,0,0,0.00512820512820513,0.00512820512820513,0.0205128205128205,0,0,0.00512820512820513,0,0,0.00512820512820513,0,0.00512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102564102564103,0
760,9766,0.0152284263959391,0.0050761421319797,0,0.0304568527918782,0,0,0.0050761421319797,0,0.0152284263959391,0.0050761421319797,0.0050761421319797,0.49746192893401,0.274111675126904,0.0609137055837563,0,0.0406091370558376,0.0050761421319797,0,0.0050761421319797,0,0,0,0.0050761421319797,0,0,0,0.0050761421319797,0,0,0,0,0,0,0.0253807106598985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,10133,0.0218978102189781,0.0072992700729927,0,0.104622871046229,0,0.0048661800486618,0.0024330900243309,0,0,0.0121654501216545,0.0048661800486618,0.277372262773723,0.279805352798054,0.0948905109489051,0,0.097323600973236,0.0121654501216545,0.0072992700729927,0,0,0.0072992700729927,0.0024330900243309,0.0024330900243309,0.0024330900243309,0,0.0121654501216545,0,0,0.0072992700729927,0,0,0.0048661800486618,0.0048661800486618,0.0267639902676399,0,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,10500,0.0238095238095238,0.00680272108843537,0.00340136054421769,0.0578231292517007,0,0,0.0102040816326531,0,0,0.0204081632653061,0,0.36734693877551,0.282312925170068,0.125850340136054,0,0.0170068027210884,0.0170068027210884,0.00340136054421769,0,0,0.00680272108843537,0,0,0,0.00340136054421769,0.00680272108843537,0,0,0.0102040816326531,0,0,0.00340136054421769,0,0.0306122448979592,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,10683,0,0.0256410256410256,0.00512820512820513,0.0256410256410256,0,0,0,0,0.00512820512820513,0.0307692307692308,0.00512820512820513,0.194871794871795,0.420512820512821,0.179487179487179,0,0.0102564102564103,0,0.0153846153846154,0.00512820512820513,0,0,0,0,0,0,0.00512820512820513,0,0,0.0102564102564103,0,0,0.00512820512820513,0,0.0564102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,10867,0.00775193798449612,0.0132890365448505,0.00221483942414175,0.0409745293466224,0.00221483942414175,0.00332225913621262,0.0044296788482835,0.00332225913621262,0.00221483942414175,0.0221483942414175,0.0121816168327796,0.317829457364341,0.320044296788483,0.0841638981173865,0,0.017718715393134,0.0155038759689922,0.0143964562569214,0.00221483942414175,0.00221483942414175,0.00996677740863787,0,0.00221483942414175,0.00110741971207087,0,0.00664451827242525,0.00110741971207087,0,0.00553709856035437,0,0,0.00221483942414175,0.00221483942414175,0.0808416389811739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,11050,0,0,0,0.101321585903084,0,0,0.00440528634361234,0.00881057268722467,0,0.013215859030837,0,0.0881057268722467,0.409691629955947,0.149779735682819,0,0.00440528634361234,0.0176211453744493,0.00440528634361234,0.0176211453744493,0,0.013215859030837,0,0,0,0,0.0220264317180617,0.0220264317180617,0,0,0,0,0,0,0.118942731277533,0,0,0,0,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0
840,11115,0.0253807106598985,0,0,0.065989847715736,0.0050761421319797,0,0.0152284263959391,0,0.0050761421319797,0.0101522842639594,0.0355329949238579,0.3248730964467,0.253807106598985,0.0761421319796954,0,0.0101522842639594,0.0152284263959391,0.0203045685279188,0,0,0.0050761421319797,0,0,0,0,0.0203045685279188,0,0,0,0,0,0,0,0.111675126903553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,11244,0.0240137221269297,0.00686106346483705,0.00514579759862779,0.0668953687821612,0,0.00343053173241852,0.00171526586620926,0,0.00171526586620926,0.0137221269296741,0.0445969125214408,0.253859348198971,0.296740994854202,0.101200686106346,0,0.00686106346483705,0.0137221269296741,0.00857632933104631,0,0,0.0102915951972556,0,0,0,0,0.0102915951972556,0,0,0.00171526586620926,0,0,0,0,0.126929674099485,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,11373,0.0260416666666667,0.00520833333333333,0,0.078125,0,0,0.0260416666666667,0,0.00520833333333333,0.03125,0.0625,0.234375,0.203125,0.078125,0,0.03125,0.015625,0,0.00520833333333333,0,0.00520833333333333,0,0,0,0,0.0104166666666667,0,0,0,0,0,0,0,0.182291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,11503,0.0404929577464789,0.00528169014084507,0.00528169014084507,0.096830985915493,0.00176056338028169,0.00528169014084507,0.00176056338028169,0,0.00352112676056338,0.0211267605633803,0.0563380281690141,0.181338028169014,0.308098591549296,0.0633802816901408,0,0.0176056338028169,0.0123239436619718,0.0123239436619718,0.00176056338028169,0.00176056338028169,0.00704225352112676,0.00176056338028169,0.00176056338028169,0,0,0.0158450704225352,0,0,0.00176056338028169,0,0,0.00176056338028169,0.00352112676056338,0.126760563380282,0.00176056338028169,0,0.00176056338028169,0,0,0,0,0,0,0,0,0,0,0,0,0
