"sample.depths","sample.ages","Abies.balsamea","Abies.undiff.","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Andromeda","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Empetrum.type","Ephedra","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Hippophae.rhamnoides","Ilex","Juglans","Larix","Ledum","Liquidambar","Morus","Myrica","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhus","Ribes.undiff.","Ribes.aureum","Rubus","Salix","Sambucus","Shepherdia.canadensis","Sorbus","Taxus","Tilia","Tsuga.canadensis","Ulmus","Vaccinium.type","Viburnum","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Convolvulus","Cyperaceae.undiff.","Dipsacaceae","Dryas","Epilobium.latifolium","Euphorbiaceae","Fabaceae.undiff.","Fragaria","Galium","Gentianaceae","Geum","Humulus","Hypericum","Iris","Iva","Juncaceae","Lamiaceae.undiff.","Liliaceae","Linum","Lotus","Lysimachia","Moneses.uniflora","Oenothera","Oxalis","Papaver.argemone","Parnassia","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.aviculare.type","Polygonum.viviparum.type","Polygonum.type","Potentilla","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosa","Rumex.type.undiff.","Rumex.Oxyria.digyna.undiff.","Sanguisorba","Saxifraga.cernua","Saxifraga.stellaris","Saxifragaceae.undiff.","Scrophularia","Solanum","Spergula","Stachys","Thalictrum","Trientalis","Urtica","Adiantum","Athyrium","Botrychium","Cheilanthes","Cystopteris","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.carthusiana","Dryopteris.cristata","Dryopteris.type.undiff.","Equisetum","Huperzia.selago.H..lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Matteuccia.struthiopteris","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis","Polypodium","Polystichum","Pteridium.aquilinum","Selaginella","Thelypteris.palustris","Sphagnum","Brasenia.schreberi","Caltha","Drosera","Hippuris.vulgaris","Hottonia.type.undiff.","Isoëtes","Lemnaceae","Menyanthes.trifoliata","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Potamogeton.natans","Rhynchospora.alba","Sagittaria","Samolus","Sparganium","Stuckenia.cf..S..pectinata","Typha","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Unknown.spore","Unknown.undiff."
430,NA,6,6,1,4,1,0,0,0,6,14,0,18,0,0,88,1,0,0,0,1,1,0,13,37,0,0,0,2,0,8,0,0,0,0,1,0,0,0,40,20,88,14,21,34,0,9,15,0,24,0,0,0,0,12,0,0,0,0,0,1,8,0,0,0,0,1,0,17,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,0,42,3,19,8,0,99,2,3,1,16,0,9,0,0,2,3,0,0,19,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,1,3,8,8,0,7,7,0
431,NA,5,8,0,0,1,0,0,0,3,5,0,20,0,0,91,1,0,0,0,1,5,0,7,90,0,1,0,13,0,5,1,0,0,1,0,0,0,0,32,2,39,17,27,20,0,65,17,0,15,0,0,0,0,29,2,0,0,0,0,2,5,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,52,0,0,0,0,10,0,0,212,4,1,0,22,8,0,0,1,1,0,1,0,37,0,9,2,0,0,0,1,1,24,0,0,0,0,0,0,1,0,2,0,3,0,2,10,0,3,3,0,0,0
432,NA,18,20,0,0,3,0,0,0,5,2,0,19,0,0,59,0,1,0,0,0,1,0,13,86,0,0,0,9,0,5,2,0,0,0,0,0,0,1,41,5,54,9,20,18,1,63,11,0,16,0,0,0,0,27,2,0,0,0,0,0,4,4,0,0,1,0,4,12,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,8,0,0,147,6,1,0,23,3,0,0,0,0,0,3,0,7,0,1,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,5,0,1
433,NA,0,0,0,0,2,0,0,0,2,3,0,36,0,0,88,0,0,1,0,0,2,0,12,113,0,0,0,12,2,15,1,0,0,0,0,0,0,0,44,5,70,22,11,14,2,47,10,0,13,0,0,0,0,14,3,0,0,0,0,3,5,6,0,0,0,1,4,9,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,8,0,0,120,3,2,0,13,3,0,0,0,0,0,2,0,6,0,1,2,6,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,4,2,1,1,1
434,11415,0,0,0,0,0,0,0,0,0,2,0,18,0,0,68,0,0,0,0,0,3,0,8,87,0,0,0,5,0,6,1,0,0,1,0,0,0,0,35,5,40,10,7,10,0,61,12,0,8,0,0,0,0,27,2,0,0,0,0,1,6,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,6,0,0,65,3,0,0,13,10,0,0,0,0,0,0,0,13,0,4,4,3,0,0,2,0,25,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,1,1,2,0,0
435,11609,1,1,0,0,0,0,1,0,1,17,0,7,0,0,148,0,2,0,0,0,8,0,6,72,0,0,1,13,1,13,0,0,0,0,0,0,0,0,78,0,30,6,19,10,0,61,38,0,17,0,0,0,2,41,0,0,0,0,0,3,2,0,0,0,0,1,0,18,0,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,34,3,4,28,10,12,14,0,143,1,1,2,14,5,0,0,0,0,2,0,0,4,1,0,5,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,6,0,0,3,16,21,0,4,7,2
436,11686,2,3,0,0,0,0,0,0,0,5,0,10,0,0,115,1,0,0,0,0,0,0,13,73,0,1,0,21,0,5,2,0,0,1,1,0,0,0,47,3,18,24,9,8,0,14,16,0,4,0,0,0,0,26,2,0,0,1,0,4,0,4,0,0,0,0,0,14,0,0,0,2,0,1,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,1,2,0,0,0,0,4,0,0,0,0,1,0,3,0,12,0,0,0,0,2,0,0,60,27,0,0,14,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0
437,11763,1,2,0,0,0,0,0,0,0,2,1,24,0,0,131,0,0,0,0,0,0,0,12,57,0,0,0,58,0,0,0,0,0,0,1,0,0,0,9,2,33,7,2,26,0,6,4,0,1,0,0,0,0,11,1,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,3,0,1,1,0,39,0,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,79,1,1,0,15,8,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,12,0,10,4,0,0,0
438,11840,1,2,0,0,0,0,0,0,0,0,1,26,0,0,157,0,0,0,0,0,0,0,22,104,0,0,0,10,0,5,0,0,0,0,3,0,0,0,33,3,31,15,7,10,0,4,10,0,2,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,3,0,0,2,0,30,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,1,4,0,0,0,0,2,1,0,0,51,16,0,0,18,6,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,41,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,9,2,0,0,0
439,11917,3,4,0,0,0,0,0,0,0,2,3,32,0,0,307,1,1,0,0,1,0,0,21,138,0,0,0,16,0,3,0,0,0,0,3,0,0,0,58,7,48,32,5,13,0,4,7,0,6,0,0,0,0,29,0,0,0,0,0,0,1,2,0,0,0,0,4,6,2,0,0,5,0,1,0,0,38,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,5,1,3,2,0,0,0,2,0,0,0,0,0,0,3,1,6,1,0,0,0,8,0,0,50,18,1,0,17,5,0,0,0,0,0,0,0,4,1,0,6,0,0,0,0,0,68,2,0,0,0,1,0,0,0,0,0,1,0,1,3,0,10,0,0,0,0
440,11994,0,0,0,0,0,0,1,0,1,16,0,11,0,2,197,0,0,0,0,0,0,0,0,54,1,0,0,10,1,1,0,0,0,0,0,0,0,0,15,2,30,17,3,18,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,3,0,6,0,0,48,2,2,1,13,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,13,1,5,8,1
441,12071,8,10,0,0,0,0,0,0,0,7,0,35,0,0,230,0,0,1,0,0,0,0,11,34,0,2,0,22,0,0,0,0,0,0,0,1,0,0,13,6,60,33,5,16,0,2,3,0,2,0,0,0,0,26,1,0,0,0,0,0,5,10,0,0,0,0,3,17,0,0,0,3,0,0,0,0,59,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,47,0,1,0,21,8,0,0,0,0,0,0,0,4,0,0,8,1,1,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,5,2,2,0,1
442,12148,10,12,1,0,0,0,0,0,1,6,0,27,0,0,242,0,0,0,0,0,0,0,18,34,0,0,0,29,0,1,3,0,0,0,0,1,0,0,11,8,54,34,5,13,0,0,0,2,2,0,0,0,0,29,1,0,0,0,0,1,4,11,0,0,0,0,2,11,4,0,0,4,1,1,1,0,52,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,10,0,2,1,0,0,0,5,0,0,0,0,2,0,6,0,0,0,0,0,0,6,0,0,54,1,1,0,27,5,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,6,0,1,1,0
443.5,12247,8,9,0,0,0,0,0,0,0,24,1,18,0,0,290,0,2,0,0,0,0,0,8,43,0,1,0,22,0,2,2,0,0,3,0,1,0,1,8,11,66,34,7,12,0,2,1,0,1,0,0,0,0,31,2,1,0,0,0,2,3,12,0,0,0,0,7,10,2,0,0,1,0,0,1,0,70,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,1,0,1,0,0,2,0,0,0,0,2,0,7,0,0,0,1,0,1,15,0,0,80,0,3,0,30,9,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,1,0,0
444,12277,10,14,0,0,0,0,0,0,0,3,9,7,0,0,178,1,0,0,0,1,0,0,16,73,0,0,0,45,0,0,1,0,0,0,1,0,0,0,9,18,38,18,6,30,0,14,8,0,0,0,0,0,0,48,3,1,0,0,0,1,1,0,0,0,1,0,6,16,0,0,0,5,1,0,0,0,76,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,33,0,0,0,0,0,0,4,0,0,0,0,4,0,12,0,0,1,0,1,0,212,4,0,481,0,10,2,81,242,18,0,0,2,0,0,0,9,0,0,3,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,17,4,0,3,0
444.5,12308,11,18,0,0,0,0,0,0,0,1,4,5,0,0,161,0,0,0,0,0,1,0,3,32,0,0,0,31,0,0,1,0,0,0,0,0,0,0,5,15,34,15,1,21,0,5,0,0,3,0,0,0,0,30,1,0,0,0,0,1,4,0,0,0,1,0,2,8,1,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,83,4,0,226,1,2,1,53,121,19,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,19,0,0,1,0,0,0,1,0,0,0,0,0,0,11,0,10,3,5,2,0
445,12338,42,60,0,0,0,0,0,0,0,3,4,14,0,0,159,1,0,0,0,0,0,0,6,45,0,0,0,54,1,0,4,0,0,0,2,0,0,0,2,13,74,18,2,34,0,3,7,0,2,0,0,0,0,38,0,0,0,0,0,1,1,0,0,0,0,0,5,12,0,0,0,3,1,0,0,0,66,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,20,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,6,1,63,4,0,199,0,1,2,64,78,23,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,23,0,0,2,0,0,0,1,0,0,0,1,0,0,17,0,11,5,2,4,0
445.5,12369,19,24,0,0,0,0,0,0,0,1,2,18,0,0,117,1,0,0,0,0,0,0,6,37,0,0,0,42,0,0,2,0,0,0,2,0,0,0,2,9,76,15,1,20,0,7,11,0,1,0,0,0,0,26,1,0,0,0,0,0,1,1,0,0,0,0,3,6,1,0,0,3,0,1,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,12,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,43,3,0,135,1,1,2,46,35,12,0,0,1,1,1,0,2,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0,1,9,0,13,3,1,0,0
446,12399,16,22,0,0,0,0,0,0,0,1,2,5,0,0,96,0,0,0,0,0,0,0,10,34,0,0,0,36,0,0,4,0,1,2,7,0,0,1,2,10,93,20,0,20,0,5,4,0,0,0,0,0,0,39,1,0,0,0,0,1,2,2,0,0,2,0,2,13,0,0,0,0,1,2,0,0,52,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,20,0,2,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,1,3,0,28,2,0,139,0,1,0,25,36,2,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,24,0,0,1,1,0,0,0,0,0,0,1,0,1,13,1,10,2,2,0,0
446.5,12430,24,34,0,0,0,0,0,0,0,3,3,6,0,0,77,0,0,0,0,0,0,0,12,50,0,0,0,26,1,2,0,0,0,1,1,0,0,0,3,15,78,16,0,19,0,4,7,1,0,0,0,0,0,24,2,0,0,0,0,0,3,2,0,0,2,1,4,14,0,0,0,1,0,1,0,0,34,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,13,1,5,2,0,0,0,5,0,0,0,0,0,0,8,0,1,0,0,4,0,10,1,1,134,0,1,0,24,22,0,3,0,0,0,4,0,2,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,12,11,1,0,0
