"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Celtis","Cephalanthus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Humulus.Cannabis.sativa","Indeterminable","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.clavatum","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Selaginella.selaginoides","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica"
180,6022,0,0,0,0,7,2,3,21,0,0,11,7,0,2,10,28,0,0,0,0,38,0,0,2,4,1,0,1,61,1,1,4,0,0,0,0,0,2,2,0,7,1,4,0,9,0,0,0,9,9,0,0,0,363,3,2,2,2,0,0,0,2,0,1,0,0,34,8,0,0,0
200,7150,0,0,1,0,4,1,1,16,0,0,1,1,0,1,2,45,0,0,0,2,23,0,0,1,0,1,0,0,123,7,3,0,0,2,0,0,0,1,0,1,11,2,2,3,34,0,0,0,17,2,0,1,1,253,1,4,0,2,0,0,0,0,1,0,2,4,54,11,0,0,0
210,7632,0,0,0,0,1,2,2,8,0,0,1,0,0,1,2,24,0,0,0,1,7,0,0,0,2,7,0,0,22,5,2,0,0,0,0,0,0,0,1,0,14,0,4,1,49,0,0,0,0,4,0,1,0,254,0,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0
230,8596,0,0,0,0,2,0,0,24,0,1,4,1,0,3,0,26,0,0,0,10,15,0,0,0,6,10,0,0,62,1,1,0,0,0,0,0,0,0,0,0,9,2,5,4,209,0,0,0,0,16,0,3,1,320,0,1,0,3,0,0,0,1,1,0,0,1,72,1,4,0,1
250,9561,0,1,0,0,5,2,2,9,0,0,0,1,0,4,0,16,0,0,0,6,3,0,0,3,2,7,0,2,51,7,0,0,0,0,0,0,0,0,1,0,9,3,11,0,109,0,0,0,9,6,0,3,0,212,0,2,0,5,0,0,0,0,0,0,1,0,35,1,2,0,0
280,11008,0,0,0,0,8,0,1,4,0,0,1,0,0,3,0,25,1,0,0,7,6,0,0,1,1,8,0,0,67,6,0,0,0,0,0,0,0,0,0,0,53,8,25,4,199,0,0,0,3,2,2,0,1,200,0,0,0,1,0,0,0,1,0,0,0,0,101,0,1,0,0
300,11332,20,0,0,0,2,30,3,5,0,0,2,1,1,90,0,7,0,1,1,44,16,0,1,1,4,73,0,0,57,7,0,0,2,0,0,0,0,0,0,0,23,31,45,10,213,0,0,0,0,14,0,8,2,110,1,6,0,14,0,0,1,0,1,0,3,4,126,24,11,0,1
330,NA,20,0,0,0,0,0,0,3,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,14,0,0,23,0,2,0,5,0,0,0,0,0,0,0,0,120,17,3,109,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
350,NA,23,0,0,0,4,6,2,5,0,0,0,4,0,5,0,0,0,0,0,4,37,2,0,0,1,5,0,0,58,0,1,0,8,0,0,0,0,0,0,0,1,154,19,2,118,0,0,0,0,3,0,1,0,9,0,5,0,6,0,0,20,0,0,0,0,0,4,0,2,1,0
380,NA,20,0,0,0,1,4,1,2,0,0,2,1,0,1,0,0,0,0,0,0,13,0,0,0,1,3,0,0,8,0,0,0,5,0,0,0,0,0,0,0,3,192,7,0,99,0,0,0,0,4,0,0,1,9,0,1,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0
400,NA,14,0,0,0,0,8,0,2,0,0,3,2,1,1,0,0,0,0,0,2,18,0,0,0,0,5,0,0,35,0,0,0,2,0,0,0,0,0,0,0,6,210,22,1,62,0,0,0,0,5,0,2,1,15,0,3,0,2,0,0,5,0,0,0,0,0,8,0,1,0,0
