"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Betula","Cannabaceae","Carya","Castanea","Cephalanthus","Corylus","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Xanthium","Alnus","Myrica","Poaceae","Abies","Acer.undiff.","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Salix","Populus","Rosaceae","Rhus","Larix","Nyssa","Ranunculaceae.undiff.","Morus","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Plantago","Ericaceae","Shrubs.undiff.","Taxus","Urtica.type","Viburnum","Salsola","Rhamnaceae","Juglans.nigra","Galium","Liquidambar","Rhamnaceae.Vitaceae.undiff.","Sambucus","Sarcobatus.vermiculatus","Celtis","Acer.negundo"
320,3595,0.0214669051878354,0.0071556350626118,0.00178890876565295,0.00178890876565295,0.100178890876565,0.00178890876565295,0.0339892665474061,0.0071556350626118,0,0.00178890876565295,0.103756708407871,0.0161001788908766,0.0286225402504472,0,0.0035778175313059,0.0250447227191413,0.0035778175313059,0,0.00894454382826476,0.0948121645796064,0.0071556350626118,0.381037567084079,0.00178890876565295,0.00536672629695885,0.0304114490161002,0.0214669051878354,0,0.0626118067978533,0,0.0035778175313059,0,0,0,0,0.0035778175313059,0.00178890876565295,0,0.00178890876565295,0.00536672629695885,0.00178890876565295,0.00178890876565295,0,0.00178890876565295,0,0,0,0,0,0.00178890876565295,0.00178890876565295,0.0035778175313059,0,0,0,0,0,0,0,0,0,0,0,0
350,3856,0.0243161094224924,0.0060790273556231,0.00303951367781155,0,0.0759878419452888,0,0.0455927051671733,0.0121580547112462,0,0,0.103343465045593,0.0151975683890578,0.0151975683890578,0,0,0.027355623100304,0.00303951367781155,0.00303951367781155,0.0060790273556231,0.124620060790274,0.0151975683890578,0.358662613981763,0.0060790273556231,0,0.0121580547112462,0.0121580547112462,0,0.0851063829787234,0.0060790273556231,0.00303951367781155,0,0,0,0.00303951367781155,0.0060790273556231,0,0.0060790273556231,0,0.0151975683890578,0,0,0,0,0,0,0,0,0,0,0,0,0.00303951367781155,0.00303951367781155,0,0,0,0,0,0,0,0,0,0
380,4116,0.0220713073005093,0.0152801358234295,0.0067911714770798,0,0.066213921901528,0.00169779286926995,0.0526315789473684,0.00169779286926995,0.00169779286926995,0.00169779286926995,0.100169779286927,0.00509337860780985,0.0203735144312394,0.00169779286926995,0,0.0203735144312394,0.00509337860780985,0.00169779286926995,0.0067911714770798,0.0611205432937182,0.0135823429541596,0.477079796264856,0,0.00169779286926995,0.0169779286926995,0.032258064516129,0,0.0390492359932088,0,0.0033955857385399,0,0,0.00169779286926995,0.00169779286926995,0.0067911714770798,0.00169779286926995,0,0.00169779286926995,0.00509337860780985,0,0,0,0.00169779286926995,0,0.00169779286926995,0,0,0,0,0,0,0,0,0.00169779286926995,0,0,0,0,0,0,0,0,0
420,4464,0.0293542074363992,0.0176125244618395,0,0,0.0802348336594912,0.00195694716242661,0.0313111545988258,0.0117416829745597,0.00195694716242661,0.00195694716242661,0.0900195694716243,0.0273972602739726,0.0136986301369863,0.00195694716242661,0,0.0489236790606654,0,0,0.00195694716242661,0.0998043052837573,0,0.412915851272016,0.00391389432485323,0.00782778864970646,0.025440313111546,0.0176125244618395,0,0.0450097847358121,0.00195694716242661,0.00195694716242661,0,0,0,0,0,0.00782778864970646,0,0,0.00978473581213307,0,0.00195694716242661,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0,0,0,0,0,0
450,4657,0.0288713910761155,0.0026246719160105,0,0.0026246719160105,0.10498687664042,0,0.057742782152231,0.005249343832021,0,0,0.110236220472441,0.015748031496063,0.0131233595800525,0,0.015748031496063,0.031496062992126,0.005249343832021,0,0.005249343832021,0.0761154855643045,0.010498687664042,0.412073490813648,0.0026246719160105,0,0.010498687664042,0.010498687664042,0,0.0498687664041995,0,0,0,0,0,0,0.0183727034120735,0.0026246719160105,0.0026246719160105,0,0.005249343832021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,4844,0.025,0.0116666666666667,0.00833333333333333,0.00166666666666667,0.108333333333333,0,0.0466666666666667,0.00166666666666667,0,0.00166666666666667,0.116666666666667,0.01,0.0183333333333333,0.00333333333333333,0.005,0.035,0,0.00666666666666667,0.00833333333333333,0.0633333333333333,0.00833333333333333,0.386666666666667,0.00166666666666667,0.00166666666666667,0.03,0.0216666666666667,0,0.0433333333333333,0,0,0,0,0.00333333333333333,0,0.00666666666666667,0.00666666666666667,0,0.00166666666666667,0.005,0,0,0,0.00333333333333333,0,0,0.00166666666666667,0.00166666666666667,0,0.00166666666666667,0,0,0,0,0,0.00166666666666667,0.00166666666666667,0,0,0,0,0,0,0
520,5094,0.0339321357285429,0.00798403193612774,0,0.00199600798403194,0.0978043912175649,0,0.0399201596806387,0.00598802395209581,0,0.00199600798403194,0.13373253493014,0.0139720558882236,0.0159680638722555,0,0.00199600798403194,0.029940119760479,0.00199600798403194,0,0.00199600798403194,0.0718562874251497,0.00998003992015968,0.335329341317365,0.00199600798403194,0.00798403193612774,0.0518962075848303,0.0139720558882236,0,0.0499001996007984,0,0.00199600798403194,0,0,0.00199600798403194,0,0.0379241516966068,0.00598802395209581,0.00199600798403194,0,0.00598802395209581,0.00399201596806387,0,0,0.00199600798403194,0,0,0.00199600798403194,0,0,0,0,0,0.00199600798403194,0,0,0,0,0.00199600798403194,0,0,0,0,0,0
540,5219,0.032258064516129,0.00268817204301075,0,0,0.10752688172043,0,0.0349462365591398,0,0.00268817204301075,0.00268817204301075,0.166666666666667,0.0241935483870968,0.0161290322580645,0,0.0134408602150538,0.0241935483870968,0,0.00268817204301075,0.00806451612903226,0.064516129032258,0.0161290322580645,0.32258064516129,0.00268817204301075,0.00537634408602151,0.0725806451612903,0.0188172043010753,0,0.0241935483870968,0,0.00268817204301075,0,0.00268817204301075,0.00268817204301075,0,0.00537634408602151,0,0,0,0.0161290322580645,0,0,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,5519,0.0425844346549192,0.00734214390602056,0,0.00293685756240822,0.1071953010279,0,0.0352422907488987,0.00146842878120411,0,0,0.148311306901615,0.013215859030837,0.0146842878120411,0.00440528634361234,0.00440528634361234,0.0205580029368576,0.00293685756240822,0.00146842878120411,0.00440528634361234,0.0411160058737151,0.00440528634361234,0.242290748898678,0,0,0.224669603524229,0.0249632892804699,0,0.0234948604992658,0,0.00293685756240822,0,0,0.00146842878120411,0.00293685756240822,0.00293685756240822,0.00734214390602056,0,0,0.00146842878120411,0,0,0,0.00440528634361234,0,0,0,0,0,0,0,0.00146842878120411,0.00293685756240822,0,0,0,0,0,0,0,0,0,0,0
605,5785,0.0346020761245675,0.00346020761245675,0,0.00346020761245675,0.0916955017301038,0,0.0380622837370242,0,0.00173010380622837,0,0.141868512110727,0.00519031141868512,0.0069204152249135,0.00173010380622837,0.0069204152249135,0.0242214532871972,0.00173010380622837,0,0.00173010380622837,0.0346020761245675,0.0069204152249135,0.373702422145329,0,0.00519031141868512,0.140138408304498,0.0259515570934256,0.00173010380622837,0.0207612456747405,0.00173010380622837,0.00346020761245675,0,0.00173010380622837,0.00173010380622837,0,0.00173010380622837,0,0.00519031141868512,0,0,0,0.00346020761245675,0,0.00173010380622837,0,0.00519031141868512,0.00173010380622837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
