"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Rubus","Castanea","Planera.aquatica","Mitella","Geranium","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus"
163,708,0.00421940928270042,0,0.0253164556962025,0.0464135021097046,0,0.00421940928270042,0,0,0.0337552742616034,0.00843881856540084,0.00843881856540084,0.0590717299578059,0,0.00421940928270042,0,0.0253164556962025,0.177215189873418,0,0,0.434599156118143,0.0126582278481013,0,0.0337552742616034,0.00843881856540084,0.00843881856540084,0.00421940928270042,0,0.0421940928270042,0.00421940928270042,0.0379746835443038,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0.00843881856540084,0,0,0.00421940928270042,0,0,0,0
188,853,0,0.0141843971631206,0.00354609929078014,0.0602836879432624,0.00709219858156028,0,0,0.0141843971631206,0.0212765957446809,0.00354609929078014,0.0106382978723404,0.0141843971631206,0,0,0,0.099290780141844,0.209219858156028,0,0.00709219858156028,0.453900709219858,0,0,0,0.0177304964539007,0,0.0177304964539007,0.0106382978723404,0.00354609929078014,0.00354609929078014,0.024822695035461,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1008,0,0.00687285223367698,0.0171821305841924,0.0206185567010309,0.0103092783505155,0.00687285223367698,0.00687285223367698,0.00343642611683849,0.00687285223367698,0,0.0171821305841924,0.00343642611683849,0,0.0206185567010309,0.00343642611683849,0.0652920962199313,0.175257731958763,0,0,0.450171821305842,0,0.00343642611683849,0.013745704467354,0.0240549828178694,0.013745704467354,0.0206185567010309,0.0274914089347079,0,0.0103092783505155,0.0687285223367698,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1074,0.00304878048780488,0.00609756097560976,0.0121951219512195,0.0426829268292683,0.0304878048780488,0,0.00609756097560976,0.00609756097560976,0.0213414634146341,0,0.0121951219512195,0.0365853658536585,0,0.0213414634146341,0.00609756097560976,0.073170731707317,0.11890243902439,0,0.00914634146341463,0.344512195121951,0.00304878048780488,0,0,0.0457317073170732,0.0213414634146341,0.0121951219512195,0.0579268292682927,0.0152439024390244,0.0396341463414634,0.0548780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1141,0,0.00727272727272727,0.0109090909090909,0.0581818181818182,0.0218181818181818,0.00727272727272727,0.00727272727272727,0.00727272727272727,0.0218181818181818,0,0,0.00363636363636364,0,0.00727272727272727,0,0.0836363636363636,0.170909090909091,0,0.0181818181818182,0.36,0,0,0,0.04,0.0145454545454545,0.0218181818181818,0.0363636363636364,0.00363636363636364,0.0327272727272727,0.0363636363636364,0.00727272727272727,0.00363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0
243,1211,0,0.007168458781362,0,0.03584229390681,0.017921146953405,0,0.003584229390681,0.003584229390681,0.010752688172043,0.003584229390681,0,0,0,0.014336917562724,0,0.060931899641577,0.150537634408602,0,0.010752688172043,0.548387096774194,0,0,0.010752688172043,0.014336917562724,0.010752688172043,0.017921146953405,0.025089605734767,0.003584229390681,0.007168458781362,0.032258064516129,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,1282,0,0.00689655172413793,0,0.0310344827586207,0.0206896551724138,0.00344827586206897,0.0103448275862069,0.0137931034482759,0.0241379310344828,0.00344827586206897,0,0.00689655172413793,0,0.00689655172413793,0.0103448275862069,0.0793103448275862,0.141379310344828,0,0.00689655172413793,0.46551724137931,0,0,0,0.00689655172413793,0.0137931034482759,0.0379310344827586,0.0275862068965517,0,0.0172413793103448,0.0344827586206897,0.0172413793103448,0.0103448275862069,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1356,0,0.0257510729613734,0.0171673819742489,0.0429184549356223,0,0.00429184549356223,0,0,0.0214592274678112,0,0,0.0171673819742489,0,0,0,0.0214592274678112,0.128755364806867,0,0.00858369098712446,0.484978540772532,0.00429184549356223,0,0.0386266094420601,0.0214592274678112,0.0214592274678112,0.00429184549356223,0,0.0214592274678112,0.0171673819742489,0.0600858369098712,0,0.00858369098712446,0,0.0171673819742489,0,0,0,0,0,0.0128755364806867,0,0,0,0,0,0,0,0,0
273,1433,0,0.0127118644067797,0.0169491525423729,0.0466101694915254,0.0211864406779661,0,0.0169491525423729,0.00423728813559322,0.0296610169491525,0.0127118644067797,0,0.00847457627118644,0,0.0211864406779661,0.00423728813559322,0.0466101694915254,0.11864406779661,0,0.0127118644067797,0.419491525423729,0,0.00423728813559322,0.00847457627118644,0.0423728813559322,0.0254237288135593,0.0211864406779661,0.00423728813559322,0.0169491525423729,0.0127118644067797,0.0720338983050847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1511,0.00390625,0.00390625,0.0078125,0.05078125,0.0078125,0,0.00390625,0,0.01953125,0.00390625,0.01171875,0.015625,0,0.0078125,0.0078125,0.10546875,0.1328125,0,0.01171875,0.359375,0.00390625,0,0.0078125,0.04296875,0.015625,0.02734375,0.015625,0.0078125,0.02734375,0.08984375,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1544,0,0.0065359477124183,0.00326797385620915,0.0326797385620915,0,0.00326797385620915,0.00326797385620915,0,0.0196078431372549,0,0,0.0196078431372549,0,0.0228758169934641,0,0.0522875816993464,0.156862745098039,0,0.00326797385620915,0.444444444444444,0.0620915032679739,0,0,0.0163398692810458,0.0196078431372549,0.0261437908496732,0.00980392156862745,0.0261437908496732,0.0196078431372549,0.0392156862745098,0,0,0,0.0130718954248366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1659,0,0.0162866449511401,0.0325732899022801,0.00977198697068404,0.0162866449511401,0.00651465798045603,0.00325732899022801,0.00651465798045603,0.0195439739413681,0.00651465798045603,0.0162866449511401,0.0260586319218241,0,0.0130293159609121,0.00325732899022801,0.0912052117263844,0.247557003257329,0,0,0.267100977198697,0.00325732899022801,0.00325732899022801,0,0.0390879478827362,0.0195439739413681,0.0390879478827362,0.0293159609120521,0.0162866449511401,0.00977198697068404,0.0521172638436482,0,0.00325732899022801,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1737,0,0.0138888888888889,0.00694444444444444,0.0243055555555556,0.0243055555555556,0.00347222222222222,0.00694444444444444,0.00347222222222222,0.0208333333333333,0,0.00347222222222222,0.00347222222222222,0,0.0208333333333333,0.00347222222222222,0.0763888888888889,0.170138888888889,0,0.0138888888888889,0.409722222222222,0.00347222222222222,0.00347222222222222,0.00694444444444444,0.0243055555555556,0.0208333333333333,0.0243055555555556,0.0277777777777778,0,0.0208333333333333,0.0486111111111111,0,0.00694444444444444,0,0.00347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.00347222222222222,0,0
320,1825,0,0.0126050420168067,0,0.0294117647058824,0.0126050420168067,0,0,0.0378151260504202,0.0168067226890756,0.0126050420168067,0,0.0168067226890756,0,0.0252100840336134,0,0.046218487394958,0.19327731092437,0,0.00840336134453781,0.407563025210084,0,0,0.0168067226890756,0.0294117647058824,0.0168067226890756,0.0252100840336134,0.0294117647058824,0.00420168067226891,0.00420168067226891,0.0546218487394958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
