"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Morus.rubra.type","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Plantaginaceae","Rhamnus.cathartica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Ilex.Nemopanthus.undiff.","Fraxinus.pennsylvanica.type","Acer.cf..A..pensylvanicum","Carya.ovata","Rhamnus.alnifolia.R..frangula","Ostrya.Carpinus","Picea.glauca.type","Taxus","Tilia","Corylus.cornuta","Nemopanthus.mucronatus","Juglans.cinerea","Populus.balsamifera.type","Lamiaceae","Potentilla.palustris.type","Acer.saccharinum","Prunus.pensylvanica","Rubiaceae","Viburnum.nudum","Sambucus","Thalictrum","Castanea.dentata","Campanula.type","Cornus.canadensis","Acer.pensylvanicum","Polygonum.lapathifolium.type","cf..Taxus","Impatiens","Rhamnus.Vitis.undiff.","Shepherdia.canadensis","Urtica.type","Prunus.undiff.","Fabaceae","cf..Oxyria.digyna","Saxifragaceae","Ranunculaceae.undiff.","Brassicaceae","Salix.vestita.type","Polygonum.viviparum","Salix.herbacea.type","Armeria.maritima","Asteraceae.undiff.","Onagraceae"
250,2027,0,0.00824742268041237,0.00206185567010309,0.0185567010309278,0,0.00206185567010309,0.492783505154639,0,0.0268041237113402,0.00206185567010309,0.0556701030927835,0.00412371134020619,0.00206185567010309,0.0288659793814433,0.0536082474226804,0.00206185567010309,0.0268041237113402,0.00412371134020619,0.0103092783505155,0.00206185567010309,0.00618556701030928,0,0.0144329896907217,0.0247422680412371,0.0329896907216495,0,0.00824742268041237,0.00412371134020619,0,0.0556701030927835,0,0,0,0,0.0494845360824742,0.0329896907216495,0.0103092783505155,0.00206185567010309,0.00206185567010309,0,0,0,0.00412371134020619,0,0.00206185567010309,0,0.00412371134020619,0,0,0,0,0,0,0,0,0,0.00206185567010309,0.00206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2229,0.006426735218509,0,0.0179948586118252,0.0025706940874036,0.0025706940874036,0,0.589974293059126,0,0.0154241645244216,0.0025706940874036,0.057840616966581,0.0102827763496144,0.0038560411311054,0.0154241645244216,0.019280205655527,0.0038560411311054,0.0167095115681234,0.0012853470437018,0.0141388174807198,0,0,0.0012853470437018,0.0077120822622108,0,0.0295629820051414,0,0.0038560411311054,0.0244215938303342,0,0.0951156812339332,0,0,0,0,0.0411311053984576,0.0012853470437018,0,0.0012853470437018,0.0051413881748072,0,0.0025706940874036,0,0,0,0,0.0025706940874036,0,0,0.0025706940874036,0,0,0,0,0,0,0,0,0,0.0012853470437018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2432,0,0.00260416666666667,0,0.0260416666666667,0.00260416666666667,0.00260416666666667,0.40625,0.00260416666666667,0.0572916666666667,0,0.0260416666666667,0.0130208333333333,0,0.015625,0.0442708333333333,0.00260416666666667,0.0546875,0.00520833333333333,0.0130208333333333,0,0.0130208333333333,0,0.00260416666666667,0,0.0130208333333333,0,0.03125,0.0104166666666667,0,0.15625,0,0,0,0.0104166666666667,0.0520833333333333,0,0.00260416666666667,0,0.00260416666666667,0,0,0,0.0078125,0,0,0,0.0182291666666667,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2635,0.00374064837905237,0.00498753117206983,0.00748129675810474,0.0087281795511222,0,0.00124688279301746,0.493765586034913,0,0.0187032418952618,0.00124688279301746,0.0748129675810474,0.0087281795511222,0.00498753117206983,0.00124688279301746,0.0561097256857855,0.00498753117206983,0.029925187032419,0.00124688279301746,0.0112219451371571,0,0.00498753117206983,0,0.00498753117206983,0.0286783042394015,0.0199501246882793,0,0.00748129675810474,0.0336658354114713,0,0.0685785536159601,0,0,0,0.00249376558603491,0.057356608478803,0.00249376558603491,0.00997506234413965,0,0.00374064837905237,0,0.00249376558603491,0,0.00374064837905237,0,0.00249376558603491,0,0.0124688279301746,0,0,0,0,0,0,0,0,0,0.00124688279301746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2837,0.00344827586206897,0.00344827586206897,0.0155172413793103,0.00517241379310345,0,0,0.551724137931034,0,0.00344827586206897,0,0.0379310344827586,0.0189655172413793,0.00689655172413793,0.0189655172413793,0.0448275862068966,0.00517241379310345,0.0172413793103448,0.00344827586206897,0.0103448275862069,0.00172413793103448,0.00689655172413793,0,0,0.00172413793103448,0.0413793103448276,0,0.0120689655172414,0.0844827586206897,0,0.0327586206896552,0,0,0,0.00344827586206897,0.0379310344827586,0.00689655172413793,0.00862068965517241,0,0,0,0,0,0.00862068965517241,0,0,0.00172413793103448,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0.00172413793103448,0,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,3040,0.00174825174825175,0,0.00524475524475524,0.00524475524475524,0,0,0.59965034965035,0,0.0244755244755245,0.00174825174825175,0.041958041958042,0.006993006993007,0.006993006993007,0.00874125874125874,0.0594405594405594,0,0.027972027972028,0.00174825174825175,0.0174825174825175,0,0.0104895104895105,0,0.00174825174825175,0.00174825174825175,0.0192307692307692,0,0.00174825174825175,0.0559440559440559,0,0.0367132867132867,0,0,0,0.00174825174825175,0.0437062937062937,0.00524475524475524,0,0,0.0034965034965035,0,0.00174825174825175,0,0.0034965034965035,0,0,0,0.00174825174825175,0,0,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,3243,0.00157232704402516,0,0,0.00628930817610063,0,0.00157232704402516,0.599056603773585,0,0.0125786163522013,0.00157232704402516,0.0440251572327044,0.0188679245283019,0.00314465408805031,0.00471698113207547,0.0455974842767296,0.0110062893081761,0.00314465408805031,0.00471698113207547,0.0188679245283019,0,0,0,0.00786163522012579,0.00157232704402516,0.0455974842767296,0,0.00628930817610063,0.0314465408805031,0,0.0518867924528302,0,0,0,0,0.0220125786163522,0.0125786163522013,0.0267295597484277,0,0.00471698113207547,0,0.00157232704402516,0,0.00471698113207547,0,0,0.00157232704402516,0.00157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0.00157232704402516,0.00157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,3446,0.0046242774566474,0.0046242774566474,0,0.0115606936416185,0,0.00115606936416185,0.517919075144509,0,0.0312138728323699,0.00115606936416185,0.0289017341040462,0.0092485549132948,0.00346820809248555,0.0161849710982659,0.0404624277456647,0.0023121387283237,0.0115606936416185,0.00346820809248555,0.0161849710982659,0,0.0069364161849711,0,0.023121387283237,0.0208092485549133,0.0346820809248555,0,0.0104046242774566,0.0346820809248555,0,0.0901734104046243,0,0,0,0.00115606936416185,0.023121387283237,0.00578034682080925,0.00115606936416185,0,0.00578034682080925,0,0.00115606936416185,0,0.00578034682080925,0,0.00346820809248555,0,0.0184971098265896,0.00578034682080925,0,0,0,0,0,0,0,0,0.00115606936416185,0.00115606936416185,0,0,0,0.00115606936416185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,3648,0,0,0.0342205323193916,0.00380228136882129,0,0.00190114068441065,0.547528517110266,0,0.00570342205323194,0,0.0380228136882129,0.0152091254752852,0.00570342205323194,0.00760456273764259,0.0114068441064639,0,0.0608365019011407,0.00380228136882129,0.0190114068441065,0.00380228136882129,0.00760456273764259,0.00190114068441065,0.00950570342205323,0.00380228136882129,0.0437262357414449,0,0,0.0798479087452472,0,0.05893536121673,0,0,0,0.00190114068441065,0.00950570342205323,0.00190114068441065,0,0.00190114068441065,0.00380228136882129,0,0.00380228136882129,0,0,0,0,0.00380228136882129,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0,0.00190114068441065,0,0,0.00190114068441065,0.00190114068441065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,3851,0.00338409475465313,0,0.011844331641286,0,0,0.00169204737732657,0.614213197969543,0,0.0219966159052453,0.00169204737732657,0.0338409475465313,0.011844331641286,0.0050761421319797,0.00846023688663283,0.0321489001692047,0.0135363790186125,0.0253807106598985,0,0.011844331641286,0,0.0101522842639594,0,0.00338409475465313,0.00169204737732657,0.0439932318104907,0,0.0050761421319797,0.0473773265651438,0,0.0338409475465313,0,0,0,0.00846023688663283,0.0203045685279188,0.0101522842639594,0.00169204737732657,0,0.00338409475465313,0,0.00338409475465313,0,0.00676818950930626,0,0,0,0.00169204737732657,0,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4054,0.00704225352112676,0,0.0164319248826291,0.00234741784037559,0,0.00469483568075117,0.62206572769953,0,0.00938967136150235,0.00234741784037559,0.0633802816901408,0.0164319248826291,0.00234741784037559,0.00234741784037559,0.0258215962441315,0.00234741784037559,0.0187793427230047,0,0.0140845070422535,0.00234741784037559,0.00234741784037559,0,0.0117370892018779,0.00704225352112676,0.039906103286385,0,0.00704225352112676,0.0211267605633803,0,0.0516431924882629,0,0,0,0,0.0140845070422535,0.00234741784037559,0,0,0,0,0.00704225352112676,0,0.00469483568075117,0,0.00938967136150235,0.00234741784037559,0.00234741784037559,0,0,0,0,0,0,0,0,0,0,0,0.00234741784037559,0,0,0,0,0,0.00234741784037559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,4256,0.0031104199066874,0.0031104199066874,0.0062208398133748,0.0015552099533437,0.0046656298600311,0.0015552099533437,0.640746500777605,0.0015552099533437,0.0186625194401244,0,0.0202177293934681,0.0108864696734059,0.0015552099533437,0.0062208398133748,0.0699844479004666,0.0015552099533437,0.0404354587869362,0.0015552099533437,0.0062208398133748,0,0.00933125972006221,0,0.0015552099533437,0,0.0342146189735614,0,0.0015552099533437,0.0451010886469673,0,0.0279937791601866,0,0,0,0.0046656298600311,0.0139968895800933,0.0031104199066874,0.0031104199066874,0,0.0015552099533437,0,0,0,0.0077760497667185,0,0.0015552099533437,0,0.0015552099533437,0,0.0031104199066874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,4459,0.00186219739292365,0,0.0130353817504655,0.00931098696461825,0,0.0037243947858473,0.536312849162011,0.0037243947858473,0.0260707635009311,0.00186219739292365,0.0167597765363128,0.0074487895716946,0.00558659217877095,0.00558659217877095,0.0558659217877095,0.0037243947858473,0.0391061452513966,0.00186219739292365,0.0223463687150838,0.00558659217877095,0.00558659217877095,0,0.0037243947858473,0.00186219739292365,0.0297951582867784,0,0.00931098696461825,0.0856610800744879,0,0.0484171322160149,0,0,0,0.00186219739292365,0.0186219739292365,0.0074487895716946,0.00558659217877095,0,0.00186219739292365,0,0,0,0.0111731843575419,0,0,0,0,0.00186219739292365,0.0037243947858473,0.00186219739292365,0,0,0,0,0,0,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,4662,0.00364298724954463,0.00546448087431694,0.00728597449908925,0.00182149362477231,0,0.00182149362477231,0.715846994535519,0,0.0182149362477231,0,0.0127504553734062,0.0182149362477231,0.00182149362477231,0.00728597449908925,0.0145719489981785,0.00182149362477231,0.0236794171220401,0,0.0163934426229508,0.00182149362477231,0,0.00182149362477231,0.00182149362477231,0,0.0163934426229508,0,0,0.0546448087431694,0,0.0200364298724954,0,0,0,0.00728597449908925,0.0218579234972678,0.00364298724954463,0.00364298724954463,0,0.00182149362477231,0,0,0,0.00910746812386157,0,0,0.00182149362477231,0.00364298724954463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,5118,0.00327332242225859,0,0.0294599018003273,0.0016366612111293,0.00981996726677578,0.00490998363338789,0.554828150572831,0,0.0130932896890344,0,0.0196399345335516,0.0114566284779051,0.0130932896890344,0.0016366612111293,0.0294599018003273,0,0.0310965630114566,0,0.0196399345335516,0,0,0.0016366612111293,0.0016366612111293,0.0016366612111293,0.0261865793780687,0,0.0016366612111293,0.0572831423895254,0,0.0360065466448445,0,0,0,0,0.0949263502454992,0.00327332242225859,0,0.0016366612111293,0.00490998363338789,0,0.0016366612111293,0,0.0016366612111293,0,0.00327332242225859,0.0016366612111293,0.00327332242225859,0,0.00981996726677578,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0.00327332242225859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,5575,0.0032,0.0016,0.008,0.0032,0.0016,0,0.6032,0,0.0016,0,0.008,0.0064,0.0048,0.0016,0.0544,0.0048,0.0176,0.0016,0.0048,0,0,0,0.0048,0,0.016,0,0.0112,0.0416,0,0.0208,0,0,0,0,0.1552,0.0016,0,0,0.0032,0,0.0016,0,0.0048,0,0,0,0.0032,0.0016,0.0016,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,6032,0,0,0.00232018561484919,0.00464037122969838,0,0,0.566125290023202,0,0.00696055684454756,0,0.0185614849187935,0.00928074245939675,0.00464037122969838,0.00232018561484919,0.0116009280742459,0,0.0232018561484919,0.00232018561484919,0.0255220417633411,0.00232018561484919,0,0.00232018561484919,0,0,0.00928074245939675,0,0,0.0719257540603248,0,0.0417633410672854,0,0,0,0.00232018561484919,0.164733178654292,0.00928074245939675,0,0.00232018561484919,0.00464037122969838,0,0.00232018561484919,0,0,0,0,0.00232018561484919,0,0,0.00696055684454756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,6489,0,0.0015552099533437,0,0.0046656298600311,0.0015552099533437,0.0031104199066874,0.391912908242613,0,0.0077760497667185,0,0.0077760497667185,0.00933125972006221,0.0015552099533437,0,0.0699844479004666,0.0031104199066874,0.0544323483670296,0,0.0139968895800933,0,0,0.0015552099533437,0.00933125972006221,0.0062208398133748,0.0217729393468118,0,0.00933125972006221,0.0357698289269051,0,0.122861586314152,0,0,0,0,0.191290824261275,0.0031104199066874,0.0015552099533437,0,0.0031104199066874,0,0.0015552099533437,0,0.0015552099533437,0,0.0124416796267496,0,0.0077760497667185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,6945,0,0.00312989045383412,0.00625978090766823,0.028169014084507,0.00312989045383412,0.00156494522691706,0.416275430359937,0,0.00312989045383412,0,0.0187793427230047,0.00782472613458529,0.00312989045383412,0,0.0672926447574335,0.00312989045383412,0.0375586854460094,0,0.0219092331768388,0.00156494522691706,0.00156494522691706,0,0,0,0.0312989045383412,0,0.0140845070422535,0.0579029733959311,0,0.101721439749609,0,0,0,0,0.150234741784038,0,0.00625978090766823,0,0,0,0,0,0.00782472613458529,0,0,0.00156494522691706,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,7402,0.00346620450606586,0,0.00519930675909879,0.0155979202772964,0.00173310225303293,0,0.431542461005199,0.00173310225303293,0.00866551126516464,0.00173310225303293,0.0121317157712305,0.0121317157712305,0,0.00173310225303293,0.0519930675909879,0.00346620450606586,0.0381282495667244,0.00173310225303293,0.0207972270363951,0.00519930675909879,0,0.00173310225303293,0.00519930675909879,0.00693240901213172,0.0207972270363951,0,0.00519930675909879,0.0554592720970537,0,0.119584055459272,0,0,0,0,0.131715771230503,0,0.00173310225303293,0,0.00519930675909879,0,0,0,0.00693240901213172,0,0.0103986135181976,0.00173310225303293,0.0103986135181976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,7859,0.00240673886883273,0,0.0156438026474128,0.0036101083032491,0.00240673886883273,0.00120336943441637,0.25511432009627,0,0.0036101083032491,0,0.00481347773766546,0.00842358604091456,0.0072202166064982,0.00240673886883273,0.160048134777377,0.00120336943441637,0.0697954271961492,0,0.01323706377858,0.00120336943441637,0.00120336943441637,0.00481347773766546,0.0072202166064982,0.00601684717208183,0.0108303249097473,0.00240673886883273,0.01323706377858,0.0144404332129964,0,0.263537906137184,0,0,0,0.00481347773766546,0.0794223826714801,0.0036101083032491,0.00240673886883273,0,0.00481347773766546,0,0.00240673886883273,0.00120336943441637,0.00962695547533093,0.00120336943441637,0.00240673886883273,0.00240673886883273,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0.00120336943441637,0,0.00240673886883273,0,0,0,0,0.00120336943441637,0.00120336943441637,0,0,0,0,0,0,0,0,0,0,0,0
775,8316,0,0.00192678227360308,0.00770712909441233,0,0.00192678227360308,0,0.279383429672447,0,0.0173410404624277,0,0.00770712909441233,0.0289017341040462,0,0.00770712909441233,0.10019267822736,0.00385356454720617,0.0905587668593449,0,0.023121387283237,0,0.00578034682080925,0,0.00963391136801541,0,0.0385356454720617,0,0,0.119460500963391,0,0.198458574181118,0,0,0,0,0.0327552986512524,0.00578034682080925,0,0,0.00770712909441233,0,0,0,0.00578034682080925,0,0,0,0,0,0.00192678227360308,0.00385356454720617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,8772,0.00282087447108604,0.00282087447108604,0.0155148095909732,0.0183356840620592,0.00141043723554302,0,0.262341325811001,0.00141043723554302,0.00282087447108604,0.00141043723554302,0.00282087447108604,0.0112834978843441,0.00282087447108604,0.0183356840620592,0.0959097320169253,0.0141043723554302,0.0662905500705219,0.00141043723554302,0.0310296191819464,0.00282087447108604,0.00564174894217207,0,0.00282087447108604,0.00705218617771509,0.00705218617771509,0,0.00141043723554302,0.0860366713681241,0,0.267983074753174,0,0,0,0.00705218617771509,0.0169252468265162,0.00423131170662906,0.00141043723554302,0,0,0,0,0,0.0112834978843441,0,0.00987306064880113,0.00423131170662906,0.00564174894217207,0,0.00141043723554302,0,0,0,0,0,0.00141043723554302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282087447108604,0,0,0,0,0,0,0,0,0,0,0
