"sample.depths","sample.ages","Abies","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caltha","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Huperzia.lucidula","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Lamiaceae","Larix","Lycopodiaceae.undiff.","Myrica","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Woodsia"
152,2368,16,0,1,6,17,1,0,0,0,1,1,0,78,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,1,0,1,146,44,13,0,2,0,0,3,1,1,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0
160,2492,36,0,1,12,7,0,0,0,0,3,0,0,64,0,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,172,43,2,0,0,2,0,3,1,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0
170,2648,18,0,0,6,11,1,0,0,0,0,0,1,87,0,0,0,0,0,0,1,2,2,0,2,4,1,0,1,0,0,0,1,0,0,0,0,8,1,0,0,0,0,1,145,47,18,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,2,3,0,0,0,0
180,2804,14,0,2,13,10,0,0,0,0,0,0,0,121,0,0,0,1,0,0,2,3,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,14,2,0,1,1,0,3,117,49,11,0,0,1,0,4,0,2,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0
190,2959,25,0,0,8,18,0,0,0,0,2,1,0,117,0,0,0,0,1,0,1,23,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,111,44,17,0,2,3,0,5,3,3,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,2,0,0,0
200,3115,16,0,2,27,26,0,1,0,0,3,1,0,96,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,3,0,1,0,0,10,0,0,0,1,0,1,145,55,20,0,0,0,1,3,0,0,4,0,0,0,0,1,1,0,0,6,0,0,0,0,4,4,1,0,0,0
210,3271,18,0,1,8,12,0,3,0,1,1,0,0,162,0,0,0,1,0,0,3,26,5,0,2,0,1,2,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,96,30,19,0,1,3,0,10,1,0,8,0,0,0,1,0,0,0,0,4,0,0,0,1,0,2,0,0,1,0
220,3427,41,0,0,14,4,0,1,0,0,2,0,0,71,0,0,0,0,0,0,2,3,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,1,143,29,12,0,1,2,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
230,3582,30,0,2,10,13,0,1,0,0,3,2,0,109,0,0,0,0,0,1,2,13,6,0,1,0,0,4,1,0,0,0,2,0,0,0,0,9,4,0,1,2,0,1,139,45,18,0,1,0,0,2,0,1,6,1,0,0,0,1,0,0,0,3,0,0,0,1,0,3,3,0,0,0
250,3894,24,0,0,21,19,1,1,0,0,5,0,0,116,0,0,0,0,0,0,1,9,1,0,1,0,0,1,1,0,0,1,1,0,2,0,0,7,0,0,0,1,0,3,118,48,21,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0,2,4,1,0,0,0,0
260,4050,24,0,0,6,6,0,1,0,0,2,0,0,99,0,0,0,0,0,0,1,0,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,5,0,1,1,2,0,2,138,46,11,0,1,3,2,1,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
270,4205,30,0,0,5,11,0,2,0,0,2,0,0,137,0,0,0,0,0,1,1,14,1,1,1,0,1,0,1,0,0,0,2,0,0,0,0,7,1,0,0,0,0,1,110,35,18,0,0,3,0,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
280,4374,33,0,1,12,7,1,0,0,0,2,0,0,120,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,1,105,58,12,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0
290,4544,16,0,0,5,8,2,1,0,0,3,0,0,98,0,0,0,0,0,0,1,25,3,0,0,0,2,0,1,0,0,0,2,0,0,0,0,6,2,0,0,3,0,1,126,45,22,0,1,0,1,11,1,1,4,0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0
300,4714,12,0,0,8,14,1,0,0,0,2,1,0,96,0,0,0,0,0,0,1,14,3,0,4,0,0,1,0,0,0,0,3,0,0,0,0,4,1,0,2,0,0,0,142,66,37,0,1,2,0,3,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
310,4885,13,0,1,5,8,1,2,0,0,4,0,0,131,0,0,0,0,0,0,1,18,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,1,0,2,75,33,24,0,0,1,0,5,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
320,5055,19,0,1,6,9,2,1,0,0,2,1,0,85,0,0,0,0,0,0,3,30,5,0,0,0,1,4,0,0,0,0,1,0,0,0,0,8,4,0,2,4,0,1,138,70,33,0,0,1,0,7,0,4,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
330,5226,6,0,1,5,20,0,2,1,0,3,0,0,111,0,0,0,0,0,0,0,31,2,0,3,0,3,1,0,0,0,0,2,0,0,0,0,10,3,0,0,3,0,1,85,53,30,0,3,2,0,10,2,0,7,1,0,0,0,1,0,0,0,3,0,0,0,0,1,3,0,0,1,0
340,5396,22,0,1,8,15,0,1,0,0,6,0,0,108,0,0,0,0,0,0,0,41,3,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,112,55,23,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
350,5567,8,0,1,11,12,1,0,0,0,1,1,0,121,0,0,0,0,0,0,1,59,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,9,0,0,0,3,0,3,84,40,34,0,0,0,1,10,1,1,5,0,0,0,1,1,0,0,0,6,0,0,0,0,1,4,0,0,0,0
360,5737,11,0,1,31,27,1,3,0,0,3,0,0,93,0,0,0,0,0,0,4,36,4,0,1,0,2,0,2,0,0,0,2,0,0,1,0,8,1,0,0,3,0,0,98,89,29,0,1,3,1,13,0,2,10,0,0,0,0,4,0,0,0,3,1,0,0,0,0,5,0,0,0,0
370,5907,2,0,0,11,28,1,5,0,0,4,1,0,80,0,0,0,0,0,0,1,41,3,0,3,0,2,1,3,0,0,0,1,0,0,0,0,7,0,1,0,2,0,2,55,107,46,0,1,0,1,20,0,0,4,0,0,0,1,2,0,0,0,3,0,0,0,1,0,4,2,0,0,0
380,6078,5,0,1,12,25,2,3,0,0,5,0,0,47,0,0,0,1,0,0,1,49,2,1,0,0,0,1,1,0,0,0,2,0,1,0,0,10,1,0,0,0,0,0,83,108,55,0,3,2,0,3,1,3,5,0,0,0,0,3,0,0,0,2,0,0,0,1,0,4,0,0,0,0
390,6248,10,0,0,4,15,0,2,0,0,8,1,0,111,0,0,0,1,0,0,1,100,5,0,0,0,3,2,2,0,0,0,0,0,0,0,0,11,0,0,0,6,0,1,100,99,84,0,1,0,0,18,0,1,6,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0
400,6419,1,0,1,11,17,3,2,0,0,3,0,0,72,0,0,0,0,0,0,1,241,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,9,2,0,0,1,0,1,77,123,51,0,5,2,0,6,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
410,6589,4,0,2,4,18,3,4,0,0,3,1,0,77,1,0,0,0,0,0,4,59,3,0,2,0,1,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,4,71,134,35,0,1,0,0,6,0,4,6,0,0,0,0,1,0,0,1,2,0,0,0,1,0,7,0,0,0,0
420,6896,5,0,2,3,10,0,0,0,0,2,0,0,52,0,0,0,1,0,0,1,11,2,0,3,0,0,3,0,0,0,0,5,0,0,0,0,6,1,0,0,1,0,0,68,145,22,0,0,1,0,6,0,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0
430,7340,4,0,1,3,13,1,1,0,0,6,1,0,102,0,0,0,0,0,0,3,23,4,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,1,0,1,0,0,6,89,105,48,0,1,4,1,20,1,1,10,0,1,0,0,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0
438,7695,4,0,0,0,8,7,3,0,0,8,0,0,78,0,0,0,0,0,0,1,13,2,0,4,0,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,54,202,39,0,5,3,4,5,1,0,17,1,0,0,1,0,0,0,1,0,0,0,0,0,4,7,0,0,0,0
450,8016,7,0,0,0,4,0,5,0,0,5,1,0,119,0,0,0,1,0,0,1,11,2,0,6,0,0,0,0,0,0,0,4,0,1,0,0,11,3,2,2,0,0,1,52,102,19,0,0,2,1,10,0,5,7,0,0,0,1,0,0,0,0,6,0,0,0,0,4,6,3,0,0,0
460,8157,6,0,0,1,6,1,3,0,0,12,2,0,96,1,0,0,0,0,1,2,8,6,0,3,0,1,4,0,0,0,0,4,0,0,0,0,7,1,0,0,0,0,0,83,109,6,0,1,4,0,5,0,2,12,0,0,0,0,0,0,0,0,8,0,0,1,0,4,3,1,0,0,0
470,8480,4,0,0,0,4,0,7,0,0,7,6,0,122,0,0,0,0,0,0,1,4,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,65,91,13,0,1,1,3,15,1,8,7,0,0,0,0,1,0,0,0,7,0,0,0,0,12,1,1,0,0,0
480,8803,6,0,0,0,3,0,0,1,0,10,2,0,96,0,1,0,0,0,0,2,6,10,0,8,4,0,2,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,2,72,109,9,0,3,5,1,10,1,2,8,0,0,0,1,2,0,0,1,3,0,0,0,0,16,2,1,0,1,0
490,9125,4,0,2,0,5,8,11,0,1,5,5,0,146,0,0,0,0,0,0,0,4,3,0,3,0,2,0,1,0,0,0,7,0,0,0,0,5,0,0,0,0,0,3,94,121,17,1,0,1,2,14,0,3,7,0,1,0,2,2,0,0,1,1,0,0,0,0,8,9,1,0,0,0
500,9448,4,0,1,1,6,2,2,0,0,8,7,0,67,0,1,0,0,0,0,0,8,7,0,4,4,0,0,1,0,0,0,2,1,0,0,0,17,1,0,0,0,0,1,75,111,9,0,1,5,0,9,0,6,8,0,0,0,0,5,0,0,0,4,0,0,0,0,4,6,0,0,0,0
510,9771,1,0,0,1,3,4,10,1,0,7,6,0,85,0,0,0,0,0,0,3,6,10,0,5,0,1,1,0,0,0,0,4,0,1,0,0,6,1,0,1,0,0,2,103,117,12,0,1,5,1,16,1,5,4,0,0,0,1,4,0,0,0,2,0,0,0,0,12,6,0,0,0,0
520,NA,5,0,1,0,4,3,7,2,0,4,3,0,122,0,0,0,1,0,1,1,9,11,0,2,0,1,1,0,0,0,0,4,1,0,0,0,6,0,0,0,0,0,1,88,70,4,0,1,7,3,28,1,4,9,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,0,0
530,NA,1,0,1,2,9,2,3,0,0,5,1,0,159,1,0,0,0,0,0,2,8,0,0,7,0,0,1,2,0,0,0,4,0,0,0,0,10,0,0,0,0,0,6,46,43,2,0,6,2,0,23,0,5,7,0,0,0,0,3,0,0,0,1,0,0,0,0,22,4,1,0,0,0
540,NA,1,0,0,0,7,3,6,0,0,10,5,0,86,1,0,0,0,0,0,1,6,8,0,4,0,0,3,0,0,0,1,3,0,0,0,0,4,0,0,1,0,0,4,33,75,9,0,1,6,1,10,1,2,8,0,0,0,0,12,0,0,1,4,0,0,0,0,42,3,1,0,0,0
550,NA,1,0,0,4,5,6,2,0,0,19,10,0,80,0,0,0,0,0,0,1,10,10,0,5,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,49,80,8,0,0,8,1,8,19,5,7,0,0,0,0,7,0,1,0,18,0,0,0,0,40,3,1,0,0,0
560,NA,1,0,1,0,10,4,3,0,0,12,7,0,85,1,0,0,0,0,0,1,5,6,0,6,4,0,4,0,0,0,0,6,0,0,1,0,3,1,1,0,0,0,4,54,100,7,0,0,7,0,5,2,7,4,0,0,0,0,4,1,1,1,1,0,0,0,0,63,6,0,0,0,0
570,NA,0,0,0,4,8,8,4,0,0,22,29,0,22,0,0,0,0,0,0,9,2,13,0,3,0,0,0,0,0,0,1,9,0,0,0,0,2,0,0,0,0,0,0,19,71,1,0,1,16,2,4,80,1,2,0,0,0,1,9,0,1,0,43,0,0,1,0,5,1,2,0,0,0
580,NA,0,0,0,1,12,1,4,0,0,31,17,0,35,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,13,61,0,0,0,11,0,1,9,7,2,0,0,0,0,2,0,1,0,0,0,1,0,0,20,0,1,0,0,0
590,NA,0,0,0,2,6,2,9,0,0,28,10,0,18,1,0,0,0,0,0,1,0,142,0,4,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,6,52,3,0,0,17,0,0,0,4,2,0,0,0,0,10,0,0,0,14,0,1,0,0,12,0,6,0,0,0
600,NA,0,0,0,2,10,3,12,0,0,53,16,0,25,0,0,0,0,0,0,3,0,67,0,1,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,21,93,4,0,0,22,1,1,0,0,2,0,0,0,0,10,0,0,0,38,0,0,0,0,17,3,0,0,0,0
610,NA,0,0,1,2,8,3,8,0,0,54,24,0,24,1,0,0,1,0,0,2,0,13,0,1,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,39,65,1,0,0,22,2,2,0,0,1,0,0,0,0,3,0,0,0,31,0,1,0,0,7,3,0,0,0,0
620,NA,2,0,1,2,19,6,7,0,0,25,25,0,49,1,0,0,0,0,0,5,2,27,0,1,8,0,0,1,0,0,0,11,0,0,0,0,1,1,0,0,0,0,4,64,112,1,0,1,22,4,4,0,8,2,0,0,0,0,6,1,0,0,92,0,0,0,0,9,1,1,0,0,0
627,NA,3,0,0,3,11,5,18,0,0,55,36,0,45,3,0,0,1,0,0,5,1,28,0,4,8,0,0,0,0,2,1,10,0,0,0,0,2,6,0,0,0,1,4,94,167,5,0,0,41,8,3,0,9,4,0,0,0,0,5,2,0,0,62,0,0,0,0,6,1,2,2,0,0
