"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..hexaporate.","Alnus..pentaporate.","Alnus..tetraporate.","Alnus..triporate.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betulaceae.undiff.","Botrychium","Campanulaceae","Carya","Caryophyllaceae","Castanea","Chenopodium.type","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus","Humulus","Huperzia.selago.H..lucidula","Ilex","Indeterminable","Isoëtes","Juglans","Juniperus.Thuja","Larix","Liquidambar","Lycopodium.type","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus","Myrica","Nuphar","Nyssa","Onagraceae.undiff.","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus","Plantago","Platanus","Poaceae","Pontederia","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rubiaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urtica","Viburnum","Vitis"
210,4780,2,0,6,1,0,0,7,9,0,0,0,0,0,1,0,0,160,2,0,0,1,0,0,0,0,0,1,0,0,40,3,7,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,37,0,0,0,0,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,1,0,1,43,0,3,2,0,0,0
215,4928,1.5,1,8,2,1,0,6,13,1,0,0,0,1,0,0,0,196,1,0,0,0,0,0,0,0,0,0,0,0,32,4,9,0,2,0,11,2,0,0,0,0,0,0,0,0,2,3,0,0,0,7,0.5,0.5,46.5,0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,8,0,0,0,0
220,5075,1.5,0,9,0,0,0,3,8,0,0,0,0,0,0,1,0,179,1,0,0,0,0,0,1,0,0,0,0,0,35,5,7,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1.5,43.5,0,1,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,5,2,0,0,0
225,5223,1,1,9,1,0,0,3,7,1,0,0,0,0,0,2,1,198,5,0,0,0,0,1,0,0,0,0,0,0,27,6,6,0,1,1,7,15,1,0,1,1,0,0,0,0,1,5,0,0,0,4,1.5,0.5,57,0,1,1,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,3,1,0,0,0
250,5961,2.5,1,6,0,0,0,3,3,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,1,1,0,0,6,2,9,0,1,4,6,7,0,0,0,0,0,0,0,0,4,2,0,0,0,5,1,0.5,87.5,0,2,0,0,0,0,0,57,0,0,2,0,0,0,1,0,0,0,0,1,1,0,44,0,3,0,0,0,0
275,6699,5,2,3,1,0,0,2,2,0,0,1,0,1,0,0,0,124,5,2,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,3,7,0,0,0,0,0,0,0,0,14,0,0,0,0,10,1.5,0.5,122.5,0,1,0,0,2,0,0,59,0,0,1,0,0,0,0,0,0,0,0,4,1,0,15,0,4,0,0,0,0
300,7437,2,0,6,1,0,0,4,6,0,0,0,0,2,1,0,0,126,3,0,0,0,0,0,1,0,2,3,0,0,1,1,8,0,0,2,6,1,0,0,0,0,0,0,0,0,11,0,0,0,0,9,2.5,2,136.5,0,0,2,0,5,0,0,86,0,0,2,0,0,1,0,0,0,0,0,1,1,0,10,0,3,1,0,2,0
340,8618,6.5,4,5,0,0,0,9,4,0,0,0,0,1,1,0,0,80,0,0,0,1,0,0,1,0,2,0,0,0,0,4,2,0,0,1,6,1,0,0,0,0,0,1,0,0,12,0,0,0,0,8,2.5,0.5,113.5,0,0,2,0,4,0,0,73,0,0,2,0,0,1,0,0,0,0,0,3,0,0,7,0,0,0,0,1,0
360,9208,4,0,2,1,0,0,7,4,0,0,0,0,0,0,2,0,116,3,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,6,0,0,0,0,0,0,1,0,0,7,0,0,0,0,3,1,2,95,0,1,2,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0
380,9612,6,1,3,1,0,1,15,9,0,0,1,0,1,2,0,0,136,4,0,0,0,0,0,0,0,1,1,0,0,0,6,3,0,0,0,3,2,0,0,0,0,0,0,0,1,7,0,0,0,0,5,4,2.5,122,0,0,1,0,4,1,0,35,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0
390,9801,5.5,3,0,0,0,1,12,4,0,0,0,0,1,0,1,0,160,4,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,5,3.5,1,91.5,0,1,0,0,4,2,0,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0
400,9990,8,2,3,1,0,1,28,12,0,0,0,0,0,0,1,0,164,6,0,0,0,0,2,0,1,5,0,0,0,0,6,13,0,0,0,3,1,1,0,1,0,0,0,0,0,2,0,0,0,0,10,5.5,2,115,0,0,2,0,6,1,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0
420,10719,9.5,1,1,4,0,0,50,22,0,0,5,0,0,1,4,0,125,6,0,0,0,0,0,0,1,2,0,0,0,0,18,4,0,0,0,4,8,0,2,1,0,0,3,0,0,7,0,0,0,0,5,7,1,80.5,0,1,4,0,11,0,0,23,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1
440,11448,16.5,0,2,3,0,0,55,20,0,0,3,0,0,0,0,0,147,2,0,0,0,0,0,0,0,0,0,0,1,2,8,4,0,0,0,2,7,0,0,1,0,0,4,0,0,3,0,0,0,0,3,12.5,2,40,0,0,0,0,19,0,0,15,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0
450,11812,12.5,0,1,4,0,4,57,28,0,0,5,0,0,0,3,0,137,3,0,1,0,0,0,0,0,2,0,0,0,0,14,2,0,0,0,6,3,1,1,2,0,0,4,0,0,6,0,0,1,0,7,17,2,34.5,0,1,4,0,16,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0
458,12256,1,0,0,0,0,1,16,13,0,0,2,0,1,1,4,0,91,9,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,2,0,0,1,0,0,0,0,5,53,1.5,26.5,0,0,7,0,0,0,0,9,0,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0
465,12816,1.5,0,0,0,0,0,11,5,0,2,0,14,4,12,4,0,83,3,0,0,0,0,0,2,0,0,22,0,9,0,12,2,0,1,0,5,0,0,2,0,0,3,0,7,0,1,0,0,0,0,4,176.5,0,75.5,0,0,13,0,5,1,2,20,1,0,0,0,1,5,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0
470,13216,3.5,0,0,0,0,0,2,2,0,0,0,0,0,5,5,0,40,2,0,0,1,0,0,0,0,0,16,0,1,0,3,4,1,0,0,3,0,0,7,0,0,0,5,0,0,0,0,0,0,0,5,91,5,30.5,0,1,8,0,4,0,0,3,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
475,13615,0,0,0,0,0,0,11,1,0,0,0,0,0,5,4,0,22,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,82,0,26,0,0,5,0,10,0,0,10,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
480,14015,0,0,0,0,0,0,11,1,0,0,0,0,1,5,4,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,82,0,26,0,0,52,0,10,0,0,10,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
484,14335,0,0,0,0,0,0,2,0,0,0,0,2,1,20,8,0,27,8,0,0,0,1,0,0,0,0,92,1,1,0,18,1,0,2,0,9,0,0,5,0,0,1,2,5,0,0,0,0,0,0,17,72.5,0,65.5,0,0,7,0,6,4,4,16,0,0,0,0,0,15,0,0,0,1,1,0,1,0,0,0,1,8,2,0,0
488,14655,2.5,0,0,0,0,0,2,8,0,3,0,3,5,17,5,0,16,3,0,0,0,3,0,0,0,0,126,0,8,0,17,2,0,0,0,12,0,1,0,0,0,0,0,1,0,1,0,0,0,0,16,150.5,0,124,0,0,8,0,6,5,0,19,0,0,0,0,2,14,0,0,0,3,3,0,0,0,0,0,2,15,1,0,0
498,15455,0.5,0,0,0,0,0,0,2,0,0,0,0,0,8,2,0,7,3,0,0,0,1,0,0,0,1,30,0,0,0,2,4,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,32,0,0,4,0,4,0,0,5,0,0,3,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
508,NA,1.5,0,1,0,0,0,1,5,0,1,0,0,3,7,5,0,31,1,0,0,0,5,0,0,0,0,31,0,0,0,24,5,0,0,0,29,0,1,1,0,0,1,0,3,0,1,0,0,0,0,5,64,0,109.5,0,0,9,0,2,4,4,15,0,0,0,0,0,24,0,0,0,0,5,0,0,0,0,1,1,15,1,0,0
