"sample.depths","sample.ages","upland.sum","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Ambrosia","Myrica","Populus","Poaceae","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Celtis","Cornus","Fraxinus.americana","Tilia","Ephedra.nevadensis.type","Amaranthaceae","Ilex","Lamiaceae","Humulus","Xanthium","Carya","Ephedra.torreyana.type","Morus","Shepherdia.canadensis","Castanea","Plantago.lanceolata","Polygonum","Vitis","Juglans.nigra","Galium","Liquidambar","Fabaceae","Ribes","Rosaceae"
195,2437,303,1,47,0,33,1,0,8,0,4,2,9,1,10,0,0,0,20,0,3,8,2,0,0,1,0,1,13,135,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2570,349,0,45,2,41,1,0,7,0,6,1,6,1,10,0,0,0,18,0,4,4,5,0,0,3,2,4,25,160,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2798,347,2,67,4,39,3,1,5,0,4,2,12,0,10,0,0,0,15,0,3,9,1,0,0,2,1,0,13,150,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,3003,390,5,62,0,28,0,0,6,0,4,3,1,0,7,0,0,0,13,0,6,8,3,0,1,1,3,6,29,201,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3025,369,1,58,5,18,3,1,5,0,3,4,9,0,6,0,1,0,17,0,2,6,2,0,2,3,0,1,27,192,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3253,326,2,45,2,27,2,1,0,0,1,3,4,0,10,0,0,0,10,0,1,7,3,2,0,2,0,2,7,191,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,3480,286,2,42,1,6,1,0,2,0,1,3,5,0,4,0,1,0,8,0,0,4,3,1,1,1,0,1,27,169,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,3708,378,1,56,0,18,0,0,4,0,0,1,6,1,11,0,0,0,8,0,1,5,2,0,0,0,0,2,0,257,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
265,3935,337,1,43,2,30,2,0,2,0,3,5,8,0,7,0,1,0,8,0,2,9,1,1,1,4,0,1,12,191,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
275,4163,329,1,41,2,18,1,0,2,0,1,1,2,0,6,0,1,0,6,0,3,2,6,0,0,0,0,6,0,225,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,4391,351,0,46,0,22,0,0,0,0,1,2,9,1,14,0,0,0,1,0,1,6,4,0,0,1,1,3,30,208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4846,265,1,57,0,17,0,0,3,0,2,1,4,0,9,0,1,1,2,0,2,7,2,0,0,0,0,2,10,139,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
315,5022,300,3,38,0,23,1,0,3,0,2,2,3,0,12,0,1,0,31,0,5,5,1,0,0,2,3,5,30,126,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5198,347,1,35,1,23,1,0,2,0,1,3,3,2,14,0,0,0,24,0,3,8,6,0,0,5,0,1,45,164,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,5392,278,0,29,2,5,1,0,3,0,0,1,0,0,12,0,1,0,14,0,8,3,4,0,0,2,2,3,21,163,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
345,5550,324,3,27,1,2,0,0,2,0,1,4,4,0,15,0,0,0,13,0,3,3,1,1,1,4,2,3,19,211,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,5674,303,1,18,2,6,0,0,6,0,1,3,2,0,10,0,0,0,0,0,4,5,4,0,0,1,0,4,40,194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,5903,347,4,17,1,12,0,0,2,0,0,3,0,2,14,0,0,0,10,0,3,7,1,1,0,3,0,10,24,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,6061,320,2,19,2,3,3,1,4,0,0,7,0,0,11,0,0,0,7,0,1,9,7,0,0,3,0,5,40,192,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,6237,280,1,13,1,3,1,0,2,0,0,4,1,1,13,0,0,0,8,0,2,8,0,3,1,0,0,1,17,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
392,6378,345,3,24,1,1,2,0,5,0,0,2,1,2,16,0,1,0,3,0,3,6,0,0,0,3,1,7,54,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
406,6628,305,1,14,0,3,2,0,4,0,0,8,0,1,9,0,0,0,4,0,4,7,2,2,0,1,0,4,48,184,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,6840,336,1,13,1,7,0,0,0,0,2,8,2,0,6,0,2,0,1,0,5,7,0,1,1,1,0,5,50,219,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,7051,299,1,5,0,2,1,0,0,0,0,4,6,0,9,0,1,0,4,0,1,3,2,0,1,4,0,4,90,160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,7241,347,4,14,0,1,0,0,0,0,1,3,8,1,7,0,0,0,1,0,6,3,1,0,0,1,0,5,49,236,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,7452,285,2,3,1,1,1,0,1,0,0,5,6,0,3,0,0,0,0,0,2,8,0,1,0,1,2,0,62,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,7642,365,5,33,0,8,1,0,1,0,1,3,2,1,8,0,0,0,1,0,1,7,0,0,0,2,2,7,136,142,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,7874,346,7,29,0,8,3,0,0,0,4,1,2,1,13,0,0,0,0,2,1,1,0,1,0,0,0,1,72,198,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,8085,364,10,49,1,0,3,0,0,0,1,7,5,1,10,0,0,0,0,1,3,7,1,4,0,8,1,5,65,176,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
485,8296,400,10,41,3,21,2,0,0,0,1,5,4,1,12,0,3,0,2,3,4,17,0,4,1,1,1,3,138,118,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,8507,371,4,60,2,14,3,0,2,0,2,3,3,4,12,0,0,0,0,1,1,17,1,0,0,7,1,4,80,146,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
508,8804,354,10,68,2,11,1,0,0,0,1,2,5,0,16,0,1,0,0,1,3,17,1,1,0,12,3,4,90,100,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,9033,375,4,42,2,25,3,0,0,0,5,2,6,1,11,0,3,0,0,0,4,21,1,0,4,2,2,4,168,59,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,9291,435,6,70,2,19,3,0,0,1,5,5,15,0,10,0,0,0,0,0,2,16,0,2,1,10,1,1,253,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,9577,418,7,35,3,16,2,0,0,0,4,1,6,1,7,0,0,0,2,1,2,35,0,0,4,8,7,1,261,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,9863,439,6,61,2,20,6,0,0,0,4,3,12,1,14,0,0,0,0,0,4,36,0,0,1,6,1,2,255,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,10149,353,1,36,1,11,5,0,0,0,4,3,15,0,18,1,1,0,1,0,1,13,0,1,5,4,3,3,213,8,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
565,10436,388,2,68,0,12,6,0,0,0,3,2,14,1,17,0,3,0,3,1,5,8,0,0,6,3,2,0,219,6,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
575,10722,418,2,96,2,20,8,0,0,1,6,7,42,1,15,0,5,0,0,0,12,0,3,2,12,9,5,4,153,4,1,2,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
585,11008,363,1,79,6,31,7,0,0,0,5,6,59,0,23,0,9,0,1,1,11,3,0,1,10,2,4,5,64,24,2,2,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
597,11351,359,1,32,3,80,14,0,0,0,1,12,50,1,30,0,8,0,0,3,10,1,2,0,10,15,1,13,48,9,4,3,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
604,NA,392,0,27,2,77,20,1,0,1,0,4,102,2,29,0,6,0,0,2,9,4,0,1,12,9,1,11,29,19,11,3,0,1,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
614,NA,179,0,5,3,40,5,0,0,1,0,6,55,1,11,0,2,0,0,0,5,1,1,1,1,0,1,7,17,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
625,NA,177,0,12,2,60,4,0,0,1,0,2,32,0,14,0,2,0,0,0,3,2,1,0,0,1,0,6,17,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
