"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodiaceae","Morus","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae.undiff.","Pteridium","Quercus","Ranunculus.subg..Batrachium","Ranunculus.undiff.","Rosaceae","Rumex","Ruppia.maritima","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stuckenia","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium","Zea.mays"
100,487,0,5,0,5,9,34,0,0,41,5,0,10,0,0,0,1,0,0,19,0,0,0,0,0,0,1,0,7,0,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44,0,0,49,0,0,2,18,0,0,0,0,16,0,2,1,0,0,0,1,0,0,0,0,0,0,13,10,0,0,0,0
110,538,0,2,0,1,12,35,0,0,66,14,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,40,0,0,48,0,5,0,10,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0
150,740,0,0,0,3,7,46,0,0,74,8,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,22,0,0,1,18,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,9,4,0,0,0,0
160,791,0,2,0,0,10,42,0,0,53,4,0,5,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,2,0,2,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,51,0,0,81,1,0,2,4,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0
180,893,0,5,0,0,12,32,0,0,64,7,0,11,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,39,0,0,64,0,0,0,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,0
200,994,0,0,0,7,13,44,4,0,64,11,0,9,0,0,0,1,0,3,17,0,0,0,0,0,0,0,0,8,0,7,0,13,1,3,0,0,0,0,1,0,0,1,0,0,0,0,4,45,0,0,79,2,0,0,17,0,0,0,1,4,0,6,1,1,0,0,0,0,0,1,0,0,2,5,3,0,0,0,0
210,1045,0,0,0,1,14,43,0,0,79,8,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,5,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,56,0,0,31,1,2,1,15,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0
230,1146,0,1,0,4,6,21,0,0,33,4,0,6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,56,0,0,73,0,5,1,15,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,8,22,6,0,0,0,0
260,1298,0,1,0,4,21,42,0,0,57,13,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,47,0,1,0,17,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0
280,1400,0,2,0,14,10,20,0,0,47,5,0,5,0,0,2,0,1,0,11,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,2,44,0,0,47,0,2,1,18,1,0,0,0,9,0,2,1,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,0
310,1552,0,1,0,3,11,14,3,0,51,11,0,6,0,0,0,2,0,4,16,0,2,0,0,0,0,0,0,3,0,3,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,27,0,0,84,5,1,0,8,0,0,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0
330,1653,0,3,0,2,3,27,0,0,72,5,0,3,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,43,0,0,61,0,1,0,10,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,20,9,0,0,0,0
350,1754,0,1,0,2,8,29,0,0,65,2,0,9,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,45,0,0,64,0,1,1,10,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,13,11,0,0,0,0
360,1805,0,3,0,4,16,21,1,0,61,4,0,11,0,0,1,0,1,3,35,0,0,0,1,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,50,0,0,62,5,0,1,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,13,3,0,0,0,0
380,1906,0,1,0,6,9,16,0,0,59,9,0,3,0,0,2,1,0,0,33,0,0,0,0,1,0,0,0,7,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,53,0,0,51,0,1,0,17,0,0,0,0,2,0,2,0,0,0,0,1,0,0,3,0,0,0,15,3,0,0,0,0
400,2008,0,2,0,2,11,27,2,1,87,20,0,1,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,10,1,11,0,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,22,0,0,88,8,1,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5,0,0,1,0
410,2059,0,4,0,9,8,13,0,0,53,11,0,1,0,0,1,0,0,2,20,0,0,0,0,0,0,0,0,7,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,33,0,0,62,2,4,0,9,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,2,10,6,0,0,0,0
430,2160,0,1,0,3,10,39,0,0,65,6,0,1,0,0,0,0,0,5,13,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81,0,0,48,0,3,0,4,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0
450,2261,0,1,0,9,11,25,0,0,60,7,0,3,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,1,1,11,0,2,0,0,0,0,0,0,0,1,0,0,0,1,3,38,0,0,52,1,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,5,1,0,0,0
470,2363,0,5,0,3,12,34,0,0,61,6,0,1,0,0,0,0,0,2,22,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66,0,0,55,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
490,2464,0,7,0,2,12,42,0,0,46,9,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,41,0,0,75,2,2,0,11,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0
510,2565,0,1,0,7,14,10,0,1,63,8,0,5,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,9,0,9,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,110,3,1,0,12,0,0,0,0,2,0,2,1,0,0,0,0,3,1,1,0,0,0,4,4,0,0,0,0
530,2667,0,2,0,3,8,34,0,0,44,10,0,11,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,85,1,3,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,10,9,0,0,0,0
550,2768,0,2,0,3,4,19,0,0,64,2,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,47,0,0,82,0,0,0,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,15,8,0,0,0,0
560,2819,2,0,0,16,19,16,1,0,68,16,0,5,0,1,0,0,0,2,47,0,0,0,0,0,0,0,0,19,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,67,0,0,145,1,0,0,16,0,0,0,0,0,0,10,5,0,0,0,1,0,0,1,0,0,4,15,0,0,1,0,0
570,2870,0,0,2,12,13,18,0,0,64,10,0,3,1,0,0,0,0,1,32,0,1,1,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,4,0,0,0,1,5,31,0,0,87,0,0,0,13,0,1,0,0,9,0,5,1,0,0,0,0,0,0,1,0,0,2,3,1,0,0,1,0
580,2920,0,2,0,10,13,33,3,0,90,16,0,20,0,0,0,0,1,1,55,0,0,0,0,0,0,0,1,4,0,4,1,15,2,0,0,0,0,0,0,1,0,4,0,0,0,1,4,36,0,1,153,0,0,0,16,0,0,0,2,1,0,8,3,1,0,0,1,0,0,1,0,1,1,10,10,0,0,0,0
590,2971,0,0,0,5,7,41,0,0,54,10,0,6,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,39,0,0,78,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,4,3,0,0,1,0
600,3053,1,0,0,6,11,50,0,0,79,16,0,4,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,2,1,3,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,108,0,0,0,10,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,3,2,0,0,1,0
610,3134,0,0,0,6,7,68,1,3,66,23,0,9,0,0,0,0,1,2,26,0,2,0,0,0,0,0,0,6,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,97,3,2,0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,11,5,0,0,0,0
630,3298,0,1,0,7,6,25,3,0,122,27,0,7,1,0,0,0,2,0,29,2,0,0,0,0,0,0,0,3,0,3,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,87,0,1,0,9,0,0,0,0,2,0,4,5,0,0,0,1,0,0,1,0,0,1,5,2,0,0,0,0
650,3461,0,0,0,8,20,30,1,0,62,13,1,8,0,0,1,0,0,0,32,0,1,0,0,0,0,0,0,6,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,13,0,0,0,6,0,0,0,1,0,0,9,1,0,0,0,1,0,0,0,0,0,2,6,3,0,1,0,0
670,3624,0,1,0,10,26,28,0,0,74,20,0,3,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,2,0,2,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,38,0,0,80,0,0,0,7,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0
690,3787,1,0,0,9,23,8,0,0,70,17,0,6,0,0,0,0,0,0,42,0,0,0,0,1,1,0,0,5,1,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,95,1,0,0,20,0,0,0,0,1,1,6,3,1,0,0,1,0,0,1,0,0,0,15,3,0,0,0,0
710,3951,0,0,1,8,16,27,0,0,79,18,1,7,0,0,0,0,0,0,38,1,0,1,0,0,0,0,0,3,0,3,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,32,0,0,98,1,0,0,8,0,0,0,0,0,0,5,2,1,0,0,1,0,2,0,0,0,1,3,4,0,0,0,0
730,4114,2,1,0,11,16,38,2,0,58,12,0,15,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,3,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33,0,0,124,1,1,0,7,0,0,0,0,3,0,5,5,0,0,0,0,0,0,1,0,0,0,5,1,0,0,2,0
750,4277,0,0,0,11,29,55,0,1,73,32,1,6,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,24,0,0,71,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,7,1,0,0,0,0
770,4440,0,2,0,7,26,68,0,0,81,16,0,8,0,1,0,0,1,1,14,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,32,0,0,54,0,0,0,6,0,0,0,0,0,1,8,1,0,0,0,3,0,0,1,0,0,2,14,3,0,0,0,0
790,4604,0,0,0,9,17,57,0,0,92,21,0,3,0,0,0,0,0,1,17,0,2,0,0,0,0,0,0,2,0,2,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,88,0,0,0,10,0,0,0,0,0,0,5,4,0,0,0,1,0,0,1,0,0,0,2,5,0,0,1,0
810,4767,0,0,0,6,21,28,1,0,113,25,0,4,0,0,0,0,0,2,20,4,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,0,74,1,1,0,9,0,0,1,0,2,0,7,2,0,0,0,1,1,0,0,0,0,0,4,2,0,0,0,0
830,4930,0,0,0,11,26,8,2,0,87,10,0,2,0,0,0,1,1,0,23,1,2,0,0,0,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,74,0,0,0,4,0,0,0,0,2,0,3,2,0,0,0,0,0,0,1,0,0,0,6,9,0,0,0,0
850,5093,0,0,0,3,18,24,1,1,123,11,0,6,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,1,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,112,1,1,0,11,0,0,0,0,11,0,4,0,0,0,0,1,0,0,0,0,0,2,3,9,0,0,0,0
870,5257,0,1,0,2,18,56,1,0,95,11,0,3,0,0,0,0,1,2,21,0,0,0,0,0,0,0,0,2,0,2,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,102,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,5,4,0,0,0,0
890,5420,0,0,0,7,51,27,0,1,101,12,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21,0,0,84,0,1,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0
910,5583,1,0,0,9,51,34,0,2,94,15,0,5,0,0,0,0,1,2,23,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,32,0,0,63,2,0,0,10,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0
930,5747,0,0,1,4,25,56,0,1,109,28,0,1,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,25,0,1,57,0,0,0,10,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0
950,5910,0,0,0,5,28,64,0,0,133,36,0,9,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,0,0,26,0,2,0,5,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
970,6073,0,0,0,2,20,85,0,0,108,22,0,1,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,2,0,2,0,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,46,0,0,0,9,0,0,0,1,1,0,1,4,0,0,0,2,0,0,0,0,0,0,4,2,0,0,1,0
990,6236,0,0,0,3,37,80,0,0,92,16,0,4,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,1,0,18,1,0,1,0,0,0,0,0,0,1,0,0,0,3,4,22,0,0,48,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,2,4,0,0,3,0
1010,6400,0,0,0,7,30,90,0,1,120,16,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,33,0,0,0,9,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
1030,6563,1,1,0,6,41,44,0,0,98,7,0,3,0,0,0,0,2,0,19,0,1,0,0,1,0,0,0,0,1,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,0,83,1,0,0,11,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0
1050,6726,0,0,0,7,37,35,0,0,103,8,0,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,71,1,0,0,6,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1070,6889,0,0,0,7,37,43,0,0,105,10,0,5,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,85,0,0,0,7,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
1090,7053,0,0,0,3,25,57,0,2,100,15,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,71,0,0,0,9,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
1110,7216,0,0,0,6,47,41,0,0,123,8,0,5,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,23,1,0,50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0
1130,7379,0,0,0,2,34,87,0,0,101,12,0,2,0,0,0,0,0,0,25,1,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,67,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0
1150,7542,0,0,0,1,41,95,0,1,111,36,0,1,0,0,0,0,0,1,16,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,38,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
1170,7706,0,0,0,5,33,124,0,1,87,24,0,1,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,1,0,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,48,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0
1190,7869,0,1,0,0,54,63,0,0,54,14,1,5,0,0,0,0,0,0,13,0,2,1,0,0,0,0,0,1,0,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,1,64,8,0,0,4,0,0,0,1,2,0,3,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,1,0
1210,8032,0,0,0,1,32,149,0,0,71,19,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,29,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0
1230,8195,0,0,0,1,43,135,0,0,47,21,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,27,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
1250,8359,0,1,0,1,59,117,0,1,67,17,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,26,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
1270,8522,0,0,0,1,38,108,0,0,86,19,0,2,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,20,0,0,50,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1290,8685,1,0,0,4,48,91,0,0,68,15,0,1,0,0,0,0,0,1,19,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,16,0,0,65,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,1,0,3,0,1,0,0
1310,8849,0,0,0,5,32,120,0,0,59,13,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,22,0,0,51,0,1,0,11,0,0,0,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0
1330,9012,0,0,0,3,44,69,0,0,84,4,0,2,0,0,0,0,1,2,12,0,0,1,0,0,0,0,0,0,1,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,38,0,0,51,1,0,0,2,0,0,0,0,2,0,8,2,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0
1350,9175,0,0,0,1,57,158,0,0,52,10,0,2,0,0,0,0,3,0,10,0,0,1,0,0,0,0,0,1,0,1,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,0,0,26,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
