"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Sambucus","Sanguisorba","Ulmus","Alnus","Juniperus.Thuja","Fraxinus","Myrica","Populus","Amaranthaceae","Poaceae","Polygonum","Acer.saccharum","Pinus.strobus","Tsuga.canadensis","Pinus.banksiana.P..resinosa","Carya","Castanea","Ilex","Rubus","Rumex","Tilia","Juglans","Other.upland.herbs","Urtica","Celtis","Asteraceae.undiff.","Nyssa","Stachys.type","Ericaceae","Vitis","Cornus","Acer.negundo","Caryophyllaceae","Galium","Nemopanthus.mucronatus","Morus","Cephalanthus.occidentalis","Liquidambar","Ranunculaceae.undiff.","Rosaceae.undiff.","Saxifragaceae","Iva","Thalictrum","Humulus","Dryas"
180.5,6756,469,3,10,0,0,60,0,0,49,0,24,0,20,41,6,0,0,4,32,0,3,0,1,0,6,0,5,80,111,8,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
190.5,7151,475,0,5,2,2,106,0,0,22,0,33,0,15,51,3,0,2,8,33,0,9,2,2,0,6,0,4,63,97,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
200.5,7520,335,1,5,0,0,45,0,1,25,0,7,0,16,49,0,0,0,9,11,0,7,0,1,1,0,0,2,50,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210.5,7863,472,0,2,2,1,66,0,0,21,0,15,0,33,45,2,0,0,5,16,0,8,0,0,1,2,0,2,144,105,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.5,8181,341,1,3,2,1,40,0,1,9,0,16,5,31,33,0,0,0,3,15,0,6,0,1,0,3,0,2,94,63,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
230.5,8473,376,7,4,1,0,47,0,0,3,0,13,5,35,44,6,0,0,7,20,0,0,0,0,0,0,0,1,115,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.5,8738,438,3,5,0,2,71,0,0,7,0,7,1,28,86,0,0,0,0,19,0,5,0,0,0,0,0,1,109,84,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.5,8976,463,1,1,1,0,40,0,0,7,0,23,2,20,77,1,0,0,6,14,0,2,0,0,2,2,0,1,88,172,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.5,9188,562,2,5,2,0,75,0,0,2,0,29,10,29,81,1,0,0,10,24,0,12,0,2,0,3,0,1,145,115,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
270.5,9373,453,2,1,0,0,64,0,0,2,0,9,0,44,87,0,0,0,2,13,0,7,0,0,2,1,0,2,168,31,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280.5,9531,384,6,2,1,1,28,0,0,0,0,21,10,46,47,5,0,0,3,26,0,0,0,2,0,0,0,1,145,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290.5,9663,717,23,0,1,1,67,0,0,0,0,23,0,50,141,2,0,0,7,32,0,7,2,0,1,3,0,2,301,20,30,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.5,9773,375,0,0,1,0,42,0,0,1,0,18,0,42,77,2,0,0,1,26,0,2,0,0,0,2,0,0,125,18,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310.5,9864,523,3,2,2,1,49,0,0,1,0,13,6,63,53,2,0,0,2,15,0,3,0,0,0,2,0,1,275,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
320.5,9939,456,0,0,4,1,39,0,0,0,0,23,16,47,77,1,0,0,3,24,0,5,0,1,0,2,0,1,166,17,25,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330.5,10002,578,5,1,4,0,44,0,0,5,0,22,3,43,123,1,0,0,7,44,0,3,0,4,0,3,0,3,211,23,19,0,0,2,0,0,0,1,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340.5,10055,497,3,0,5,0,58,0,0,2,0,16,0,42,123,0,0,0,3,24,0,6,0,3,0,2,0,0,173,17,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350.5,10103,414,2,1,3,0,59,0,0,1,0,27,1,40,76,4,0,0,4,32,0,1,0,2,0,3,0,0,130,7,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.5,10148,601,5,2,2,0,72,0,1,2,0,27,2,47,109,2,0,0,7,36,0,8,0,6,0,2,0,1,239,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370.5,10193,480,9,0,0,1,65,0,0,0,0,25,13,49,77,2,0,0,1,15,0,0,0,0,0,1,0,1,209,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380.5,10242,668,10,0,1,0,97,4,0,4,1,27,7,48,90,2,0,0,6,27,0,4,0,0,0,4,0,3,283,24,18,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
390.5,10298,1015,28,1,3,1,125,0,1,2,0,54,16,43,194,13,0,0,2,55,0,18,0,5,0,5,0,0,389,25,26,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
400.5,10365,405,14,2,1,4,26,0,1,0,0,3,4,57,48,1,0,0,3,28,0,0,0,1,1,0,0,0,163,12,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410.5,10444,409,5,1,2,0,34,0,1,2,2,14,2,58,48,3,0,0,4,8,0,3,0,6,0,1,0,1,179,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420.5,10541,609,3,0,0,3,45,10,8,0,0,17,20,51,85,2,0,0,5,24,0,7,1,9,0,6,0,5,251,15,35,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
430.5,10657,373,2,0,3,0,61,0,1,1,2,13,1,45,62,4,0,0,0,13,0,3,0,1,0,3,0,0,144,5,4,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440.5,10798,390,4,5,2,1,40,4,2,0,4,7,7,56,32,3,0,0,2,7,0,8,4,4,0,2,0,1,179,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
450.5,10974,349,3,3,1,1,90,2,2,0,3,13,10,38,26,3,0,0,2,12,0,3,3,7,0,2,0,0,114,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460.5,11202,404,7,3,5,0,149,1,2,1,13,18,27,22,19,9,0,0,4,21,3,5,0,3,0,1,0,2,75,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470.5,11479,366,10,2,1,0,47,4,5,0,39,16,22,29,23,6,0,0,1,25,2,1,10,12,0,6,0,0,75,2,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
478.5,11731,450,15,0,5,0,63,1,10,1,67,18,41,21,18,5,0,0,2,25,2,8,1,23,0,14,0,6,28,10,61,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480.5,11798,669,17,0,9,1,94,2,7,0,33,32,163,29,10,6,0,0,1,43,1,1,0,8,0,17,0,0,110,2,75,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485.5,11970,419,22,0,1,2,50,0,14,0,2,13,129,27,6,1,0,0,1,16,1,0,6,4,0,9,0,0,67,3,39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
490.5,12150,496,18,0,2,3,47,8,12,1,1,15,105,33,26,0,0,0,0,21,1,0,9,7,0,14,0,0,86,12,69,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
500.5,12529,472,17,0,5,1,25,0,26,0,0,17,177,22,3,4,0,0,0,30,0,1,1,18,0,12,0,0,25,1,74,1,1,0,0,0,0,0,1,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
510.5,12927,390,2,0,8,2,28,3,10,1,4,18,166,20,9,2,0,0,0,1,0,3,1,21,0,7,0,0,12,1,63,1,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.5,13336,339,13,0,5,2,13,4,10,0,1,15,144,18,14,7,0,0,0,0,0,13,5,5,0,7,0,0,8,0,49,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527.5,NA,358,3,0,3,2,18,3,18,0,0,3,146,15,8,14,0,0,1,0,4,0,1,56,0,0,0,0,3,0,48,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1
530.5,NA,510,4,0,10,1,29,0,19,0,3,4,171,21,13,13,0,0,0,0,4,4,0,79,2,11,0,1,29,0,76,0,1,0,0,0,0,0,1,11,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
540.5,NA,396,2,0,4,7,20,12,37,0,5,4,32,28,4,6,0,0,2,4,0,0,0,75,1,15,0,0,32,1,68,1,1,0,0,1,0,0,7,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,17
550.5,NA,55,2,0,0,1,1,1,3,0,0,0,5,15,2,4,0,0,0,1,0,0,0,10,0,3,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555.5,NA,54,0,0,5,2,2,4,0,0,0,0,1,14,1,6,0,0,0,0,0,0,0,4,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
