"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.selago","Hydrophyllum","Hypericum","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Lamiaceae","Laportea.type","Larix","Ledum.Chamaedaphne.calyculata","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Utricularia","Vaccinium","Valeriana","Vitis","Xanthium","Zea.mays"
401,1767,4,0,0,0,0,28,0,0,2,0,0,4,1,0,0,62,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,12,1,3,0,0,0,0,0,8,0,0,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,2,5,1,6,86,65,0,0,7,0,0,7,0,0,0,5,21,0,0,0,0,1,0,0,0,0,0,0,3,0,1,18,0,12,0,0,0,0,0,0,0,0
441,2062,2,1,1,0,0,23,0,1,0,0,0,4,3,0,0,43,0,0,0,0,0,0,2,0,0,3,3,0,0,0,1,0,1,0,1,1,0,1,0,0,1,9,1,1,0,0,0,0,5,0,0,1,0,0,0,3,0,1,0,0,0,1,0,4,0,4,64,69,0,0,8,0,0,1,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,21,1,6,0,0,0,0,0,1,0,0
451,2139,3,1,4,0,0,7,0,0,2,0,0,1,2,0,0,84,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,1,33,0,0,2,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0,0,0,0,0,0,0
461,2217,4,1,7,0,0,11,0,1,0,0,0,1,3,0,0,97,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,7,0,0,0,0,0,0,0,11,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,97,44,0,1,3,0,0,1,0,0,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,7,0,1,0,0,0,0,0,0
471,2297,3,1,4,0,0,10,0,1,2,0,0,1,2,0,1,92,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,0,0,3,0,0,1,0,0,0,1,13,7,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,6,3,117,50,0,1,4,0,0,1,0,0,1,6,21,0,0,0,0,2,0,0,0,0,0,0,0,0,1,33,0,7,0,0,0,0,0,0,0,0
481,2378,2,1,4,0,0,17,0,2,3,1,0,2,2,0,0,62,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,1,3,1,0,0,1,0,0,0,6,3,0,0,1,1,0,1,0,0,4,0,0,1,0,1,0,2,1,0,0,0,3,3,3,95,49,0,0,4,0,0,5,2,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,34,1,8,0,0,0,0,0,0,0,0
494,2484,0,0,4,0,0,8,0,1,0,0,0,1,3,0,0,72,0,0,0,0,0,0,3,3,0,1,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,14,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,4,1,5,110,45,0,0,2,0,0,1,0,0,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,6,0,0,0,0,0,0,0,0
504,2568,4,0,3,0,0,11,0,3,0,0,0,3,3,0,1,79,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,9,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,7,94,62,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,8,2,0,0,0,0,0,0,0
514,2653,1,1,3,0,0,9,0,0,0,0,0,1,1,0,0,76,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,1,6,85,36,0,1,5,0,0,3,0,0,2,6,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19,0,9,0,0,0,0,0,0,0,0
524,2739,6,1,6,0,0,5,0,2,1,0,0,2,1,0,0,52,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4,87,97,0,1,3,0,0,0,0,0,1,4,26,0,0,0,0,2,0,0,0,0,0,0,0,0,3,39,0,9,0,0,0,0,0,0,0,0
