"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Xanthium","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Woodsia","Sphagnum","Brasenia.schreberi","Drosera","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Ruppia","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
21.5,91,0,2,5,1,8,0,0,139,9,98,0,0,0,0,2,1,24,6,1,3,2,0,1,1,0,0,7,0,2,4,8,10,50,1,0,88,0,1,0,0,1,39,6,1,43,0,1,1,0,0,1,2,0,0,0,0,0,59,0,0,0,4,29,0,0,0,0,0,3,0,0,0,0,0,3,1,11,0,1,3,0,52,1,0,0,0,0,0,3,4,9,2,19,6,0,1
23.5,104,0,2,5,2,10,0,3,145,6,79,0,0,0,0,1,1,44,7,1,3,1,0,0,1,0,0,11,0,3,3,2,14,47,1,0,92,0,0,0,0,0,59,4,1,40,0,1,2,0,0,0,6,0,0,0,1,2,63,0,0,0,1,31,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,3,5,0,36,3,1,1,0,0,1,6,5,9,5,11,7,0,3
25.5,116,0,3,7,1,10,0,3,100,5,84,0,0,0,1,2,5,38,5,0,3,0,1,0,0,0,0,13,1,2,5,8,10,66,5,0,107,1,0,0,0,1,43,6,0,29,0,1,1,0,0,0,5,0,0,0,0,0,60,0,0,0,1,45,1,0,0,0,0,2,0,1,0,0,0,1,3,9,0,0,3,0,44,2,3,0,0,0,1,4,6,16,7,16,2,0,0
27.5,129,0,5,9,1,10,0,0,147,2,74,0,1,0,0,1,3,26,4,2,1,1,2,1,1,0,0,9,0,1,5,1,19,38,6,0,102,0,0,0,0,0,57,2,0,24,0,0,2,0,0,0,2,0,0,0,0,1,60,0,0,0,2,46,0,0,0,0,0,0,0,1,0,0,0,0,1,11,1,3,3,1,49,0,0,0,0,1,1,3,6,10,2,16,2,0,0
29.5,141,0,1,14,1,4,0,0,148,4,68,0,1,0,1,2,3,32,7,2,1,1,2,1,0,0,0,11,1,3,1,11,14,37,3,0,116,0,0,0,0,0,51,6,1,21,0,1,1,0,0,1,4,0,0,0,1,0,64,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,1,1,10,3,1,2,0,30,0,1,0,0,0,0,1,5,9,2,14,8,0,0
31.5,154,0,3,9,1,12,0,6,116,4,71,0,0,0,1,2,2,38,5,1,1,2,1,0,1,0,0,5,2,2,1,8,30,38,2,0,101,0,1,0,0,0,53,10,0,13,0,0,1,0,0,0,1,0,0,0,0,0,48,0,0,0,1,48,0,0,1,0,0,2,0,0,0,0,0,1,1,2,0,1,3,0,31,4,0,0,0,0,0,3,8,14,2,8,4,0,0
33.5,166,0,4,12,0,6,0,0,122,6,85,0,1,0,1,1,3,43,1,3,0,1,1,0,1,0,0,8,0,6,2,12,14,61,1,0,94,0,1,0,0,0,49,8,0,21,0,1,1,0,0,1,3,0,0,0,1,0,26,0,0,0,2,29,0,0,0,0,0,1,0,1,0,0,0,0,1,9,1,1,0,0,36,2,1,0,0,0,1,3,2,2,4,14,0,0,0
35.5,179,0,4,12,0,9,0,5,108,5,90,0,0,0,1,1,1,47,7,4,1,2,0,0,0,0,0,12,0,3,4,6,14,50,2,0,85,0,1,0,0,1,68,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,1,1,0,39,0,1,0,0,0,0,1,2,5,5,21,5,0,0
37.5,191,0,9,8,0,6,0,1,111,5,57,0,0,0,0,1,3,71,9,2,2,1,1,0,0,0,0,10,0,3,2,5,14,63,1,0,86,0,0,0,0,1,74,3,1,6,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,0,0,1,9,0,1,0,0,24,0,1,0,0,0,0,1,1,4,3,23,9,0,0
39.5,246,0,4,8,0,6,0,2,110,4,67,0,1,0,0,1,3,45,6,4,3,5,0,0,0,0,0,12,1,3,2,12,18,50,1,0,93,0,1,0,0,0,75,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,16,0,1,0,0,0,0,6,0,11,7,21,2,0,0
41.5,428,0,4,9,0,8,0,1,113,2,73,0,0,0,0,1,8,62,2,1,0,1,1,0,1,0,0,7,0,4,1,8,5,50,1,0,102,0,1,0,0,0,60,9,1,2,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,0,10,0,0,0,0,0,0,2,1,4,1,3,1,0,0
43.5,610,0,2,11,0,3,0,0,152,8,50,0,1,0,1,1,5,78,3,1,1,2,1,0,1,0,0,8,0,4,2,6,6,34,1,0,98,0,0,0,0,0,67,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,13,1,0,0,0,0,1,1,0,1,1,3,3,0,0
45.5,692,0,3,8,0,4,0,3,149,3,40,0,0,0,0,1,2,90,5,2,1,1,1,1,0,0,0,11,0,1,1,12,9,40,2,0,97,0,1,0,0,1,71,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,7,0,2,0,0,10,0,0,0,0,0,0,4,1,3,1,11,2,0,1
47.5,741,0,2,13,0,3,0,2,142,4,45,0,0,0,0,1,2,75,7,2,2,2,1,1,1,0,0,15,0,4,2,2,12,38,1,0,104,0,0,0,0,0,78,3,1,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,19,0,0,0,0,0,0,2,1,6,5,15,5,0,0
49.5,789,1,2,6,1,8,0,2,148,3,43,0,1,0,1,1,2,91,4,4,2,4,1,0,1,0,0,5,1,3,1,8,10,35,2,0,85,0,0,0,0,0,80,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,3,0,0,18,1,0,0,0,0,1,1,1,12,5,8,3,0,1
51.5,838,0,5,4,2,8,0,0,163,4,42,0,1,0,1,1,4,94,9,1,0,10,1,0,1,0,0,9,0,3,2,10,8,30,0,0,88,0,0,0,0,1,64,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,8,0,0,0,0,0,0,2,1,5,2,18,5,0,1
53.5,886,0,4,7,1,8,0,1,123,7,34,0,0,0,0,1,4,79,8,5,1,2,1,0,1,0,0,11,2,3,1,9,6,41,4,0,97,0,0,0,0,0,91,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,10,1,1,0,0,0,1,3,0,3,3,12,5,0,0
55.5,935,0,7,9,0,7,0,2,119,8,19,0,0,0,0,1,5,99,5,2,1,5,1,1,0,0,0,6,0,4,1,2,6,35,2,0,99,0,0,0,0,1,81,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,8,1,0,0,0,0,1,0,0,3,3,12,7,0,0
57.5,983,0,2,10,1,4,0,3,141,7,27,0,0,0,1,4,6,97,8,1,0,1,1,0,0,0,0,10,0,3,1,2,5,41,4,0,62,0,0,0,0,1,102,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,12,0,0,0,0,0,1,3,0,3,3,12,2,0,0
59.5,1034,0,3,6,0,6,0,2,144,7,40,0,0,1,0,0,5,98,3,3,1,3,1,0,0,0,0,4,1,1,1,2,9,45,1,0,94,0,0,0,0,1,63,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,10,0,0,0,0,0,0,5,0,5,2,7,2,0,0
61.5,1086,0,2,8,1,9,0,4,122,13,32,0,0,0,0,1,6,87,5,1,1,2,0,0,0,0,0,3,0,3,0,0,7,55,2,0,87,0,1,0,0,1,73,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,14,0,1,0,0,10,0,0,0,0,0,0,2,0,5,5,2,3,0,0
63.5,1137,0,4,10,1,7,0,1,146,2,35,0,0,0,1,2,3,97,5,3,0,4,0,0,0,1,0,5,2,4,1,3,10,33,3,0,79,0,0,0,0,1,92,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,8,0,1,0,0,0,1,1,0,3,5,11,5,0,0
65.5,1189,0,1,13,0,8,0,2,172,6,20,0,0,0,1,3,2,70,7,4,2,3,1,1,0,0,0,7,0,7,0,4,8,48,2,0,91,0,0,0,0,0,71,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,7,0,1,0,0,0,0,2,0,3,0,2,1,0,0
67.5,1240,0,1,12,1,13,0,1,129,6,26,0,0,2,0,1,6,77,6,4,0,6,0,0,0,0,0,10,0,1,0,2,15,47,1,0,91,0,1,0,0,0,85,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,0,11,0,0,0,0,0,1,2,0,8,4,10,8,0,1
69.5,1292,0,3,10,0,12,0,0,125,8,16,0,0,0,1,3,7,100,6,7,1,5,1,0,0,0,0,8,1,3,3,3,6,48,2,1,95,0,0,0,0,0,77,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,11,0,1,0,0,17,0,0,0,0,0,1,1,1,5,10,10,0,0,0
71.5,1343,0,3,7,0,5,0,1,123,7,25,0,0,0,1,2,10,83,9,2,0,1,0,0,1,0,0,3,0,2,0,1,11,45,3,0,92,0,0,0,0,1,107,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2,0,0,11,0,0,0,0,0,0,2,0,2,1,2,0,0,0
73.5,1394,0,5,5,0,9,0,2,133,8,20,0,0,0,0,1,10,86,3,1,2,11,0,0,0,0,0,7,0,1,1,1,8,49,3,0,109,0,0,0,0,2,89,6,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,12,0,0,0,0,0,0,2,0,3,0,2,0,0,0
75.5,1488,0,5,6,1,11,0,1,129,9,16,0,0,0,0,2,9,102,6,3,1,2,0,1,0,0,0,8,0,1,0,1,9,50,2,0,103,0,0,0,0,1,81,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,0,9,0,0,0,0,0,1,4,0,8,2,8,2,0,1
77.5,1595,0,4,6,2,9,0,5,123,11,15,0,0,1,0,1,10,97,6,3,1,2,1,0,0,0,0,3,0,3,1,3,9,41,2,0,95,0,0,0,0,1,92,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,2,0,0,5,0,0,0,0,0,0,2,0,2,5,11,5,0,0
79.5,1702,0,3,7,1,9,0,1,124,6,9,0,0,0,1,2,2,114,8,3,3,5,2,0,0,0,0,12,0,3,1,2,7,42,3,0,91,0,0,0,0,0,73,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,1,0,0,12,0,0,0,0,0,0,4,0,8,4,6,5,0,0
81.5,1809,0,5,12,0,11,0,0,116,6,18,0,0,1,1,2,4,86,10,2,2,2,0,0,0,0,0,7,1,3,0,3,11,49,2,0,101,0,0,0,0,1,105,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,2,0,0,9,0,0,0,0,0,0,1,0,9,3,18,4,0,1
83.5,1916,0,2,10,0,13,0,0,97,12,9,0,0,1,0,2,1,100,7,2,0,5,2,1,0,0,0,13,0,8,1,3,5,59,2,0,107,0,0,0,0,3,79,7,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,11,0,1,0,0,14,0,0,0,0,0,0,4,0,2,2,6,1,0,0
85.5,2023,0,3,8,1,10,0,0,72,6,5,0,1,0,0,2,1,114,8,1,2,1,2,0,0,0,0,9,0,4,1,1,15,82,2,0,82,0,0,0,0,0,93,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,3,0,0,12,1,0,0,0,0,0,3,0,5,6,15,4,0,0
87.5,2130,2,5,8,2,8,0,0,74,9,6,0,0,0,0,1,1,79,3,1,1,3,0,0,1,0,0,10,0,3,2,5,20,76,4,0,106,0,0,0,0,1,101,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,12,4,0,2
89.5,NA,0,8,10,1,7,0,0,81,5,20,0,0,0,1,1,1,89,6,1,0,1,1,0,0,0,0,6,1,2,0,1,5,78,1,0,117,0,0,0,0,1,86,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,10,0,0,0,0,0,0,1,0,4,1,11,1,0,2
91.5,NA,0,0,8,0,6,0,0,91,11,6,0,2,0,0,1,1,102,7,4,4,1,1,1,0,0,0,7,1,1,2,4,12,58,4,0,119,0,1,0,0,1,76,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,3,0,0,14,0,1,0,0,0,0,2,1,8,3,8,5,0,0
93.5,NA,0,3,15,0,5,0,2,90,12,5,0,1,0,1,2,1,126,6,2,2,5,1,0,0,0,0,14,0,4,1,6,29,70,1,0,98,0,1,0,0,4,67,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,0,0,10,0,0,0,0,0,0,2,0,6,0,9,2,0,0
95.5,NA,0,4,12,3,8,0,0,72,9,8,0,1,0,0,1,2,68,7,4,2,6,0,0,0,1,0,6,0,3,1,5,29,58,1,0,124,0,0,0,0,0,95,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,1,0,0,16,0,0,0,0,0,0,4,0,4,1,6,4,0,1
97.5,NA,0,3,11,4,7,0,1,60,14,7,0,1,0,0,1,2,96,7,2,2,2,1,0,0,0,0,8,1,5,1,5,28,76,2,0,119,0,0,0,0,1,90,8,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,1,0,0,8,1,0,0,0,0,0,5,0,5,2,9,2,0,0
99.5,NA,0,3,8,0,11,0,0,80,5,6,0,0,0,1,1,1,106,6,0,0,2,1,0,0,0,0,10,1,0,1,6,31,71,3,0,136,0,0,0,0,1,55,4,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9,0,1,0,0,11,0,0,0,0,0,1,3,0,4,1,7,4,0,1
101.5,NA,0,6,9,0,13,0,0,61,12,5,0,1,0,1,2,0,112,5,2,1,1,1,0,1,0,0,11,0,2,0,1,43,72,4,0,135,0,1,0,0,1,37,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,0,0,0,0,0,1,2,0,4,2,10,2,0,0
103.5,NA,0,3,10,4,15,0,0,68,9,4,0,1,0,2,2,1,84,10,2,2,1,1,0,0,0,0,8,0,3,1,5,39,83,1,0,162,0,0,0,0,1,30,4,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,0,0,3,0,0,0,0,0,0,2,0,8,5,13,2,0,0
105.5,NA,0,2,15,3,10,0,0,79,10,7,0,1,0,0,1,1,60,6,1,3,6,0,0,0,0,0,12,0,5,0,10,49,77,3,1,156,0,0,0,0,0,25,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,4,0,0,0,0,0,0,4,0,9,4,15,2,0,1
107.5,NA,0,6,5,2,17,0,1,61,11,2,0,1,0,2,2,3,60,11,2,3,4,0,1,0,0,0,13,0,6,1,5,38,99,4,0,177,0,0,0,0,1,34,7,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,6,0,2,0,0,3,0,0,0,0,0,0,2,0,2,3,7,3,0,0
109.5,NA,1,1,11,1,0,0,0,60,18,4,0,1,0,0,3,0,80,8,3,1,1,2,0,0,0,0,14,0,5,1,4,40,65,4,0,173,0,0,0,0,1,21,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,2,0,0,4,0,0,0,0,0,1,1,1,8,4,11,2,0,0
