"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cyperaceae","Herbs.undiff.","Picea","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Humulus","Carya","Alnus","Acer","Ostrya.Carpinus","Salix","Cornus","Celtis","Corylus","Cupressaceae","Populus","Tilia","Abies","Larix","Shepherdia.canadensis"
70,3951,454,33,13,0,92,4,0,0,60,10,1,2,0,11,188,29,1,3,1,1,1,1,0,0,0,3,0,0,0,0,0
75,4185,453,39,5,0,90,4,1,10,38,12,10,1,2,15,158,53,0,8,4,0,3,0,0,0,0,0,0,0,0,0,0
80,4409,424,50,18,5,72,10,2,4,55,8,7,2,5,12,102,48,0,7,6,2,1,0,0,1,1,5,1,0,0,0,0
85,4622,508,28,16,3,120,5,2,4,58,11,2,0,1,12,192,44,0,3,1,1,2,3,0,0,0,0,0,0,0,0,0
90,4824,462,32,12,4,92,6,1,3,54,9,5,2,4,12,175,43,1,1,2,1,0,2,0,0,0,1,0,0,0,0,0
95,5014,419,16,10,0,63,4,1,4,34,9,3,1,2,17,215,32,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0
100,5191,666,28,8,0,54,3,0,2,30,11,2,0,1,13,487,24,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
110,5517,869,19,12,0,35,2,7,0,23,8,2,0,0,16,712,26,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0
120,5830,1577,26,6,0,30,3,6,2,27,15,2,0,0,15,1414,28,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
130,6160,1155,36,7,1,30,6,2,0,21,15,3,1,3,10,993,22,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0
140,6538,1484,32,2,1,48,2,4,2,17,6,3,1,2,10,1319,25,0,4,3,1,0,1,0,0,0,0,0,0,1,0,0
150,6994,1278,51,6,2,37,7,10,3,37,13,2,0,0,20,1052,21,0,1,3,5,4,1,0,0,3,0,0,0,0,0,0
155,7261,643,71,11,2,38,3,13,2,36,16,3,1,0,13,396,29,0,1,3,1,1,0,0,0,3,0,0,0,0,0,0
160,7555,618,91,16,0,31,6,17,3,65,19,3,3,2,19,271,61,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0
165,7872,744,60,13,2,43,3,38,0,21,10,2,6,0,15,483,26,0,2,6,1,5,0,0,1,2,0,0,0,4,1,0
170,8209,799,45,7,3,46,4,37,0,34,8,6,6,0,11,554,21,0,1,5,2,2,0,0,0,3,0,0,0,3,1,0
175,8563,803,47,13,3,89,3,36,0,34,9,6,1,1,20,498,25,0,1,7,0,3,0,0,0,2,0,0,1,4,0,0
180,8930,756,36,13,5,56,5,54,0,31,13,9,4,0,10,460,34,0,3,8,0,1,0,0,0,6,0,0,1,6,1,0
186,9381,792,42,12,2,81,2,43,0,38,6,4,1,3,16,500,21,0,4,3,2,7,0,0,0,1,0,0,1,2,1,0
192,9839,845,78,11,5,108,6,29,0,72,12,28,7,2,12,392,53,0,5,7,2,12,0,0,0,1,0,0,1,1,1,0
198,10298,915,23,20,36,12,13,21,2,213,3,296,20,32,23,11,18,0,32,19,23,43,0,0,2,11,0,0,12,15,15,0
203,10666,721,29,40,66,8,3,103,0,69,3,45,84,1,3,5,24,5,0,94,3,59,4,0,2,32,0,0,0,29,10,0
208,11017,572,30,19,7,11,5,88,0,38,5,34,212,0,3,8,8,2,2,12,2,33,1,0,1,14,0,0,0,34,3,0
213,11355,514,19,17,2,10,2,118,0,38,2,12,232,1,0,0,5,5,2,15,0,19,1,0,3,2,0,0,0,8,1,0
218,11682,559,28,15,2,17,4,139,1,57,2,19,172,2,6,3,10,8,0,15,1,13,2,0,1,12,0,2,0,26,2,0
223,11998,525,33,12,2,8,5,215,2,37,10,4,126,1,1,2,11,16,0,8,0,13,4,0,0,3,1,0,0,7,4,0
228,12307,505,14,16,5,19,3,272,0,23,3,3,77,0,3,0,17,6,0,7,12,7,2,0,1,5,1,0,0,6,3,0
233,12609,497,21,9,2,10,6,235,0,19,7,5,105,0,2,1,17,15,0,13,2,10,2,0,1,1,4,3,0,0,7,0
238,12906,527,21,19,11,17,1,312,0,31,4,1,42,0,5,0,14,6,0,6,5,4,3,0,1,3,3,0,0,0,18,0
243,13200,494,12,22,7,17,5,316,0,20,4,0,25,0,6,3,7,9,0,7,2,5,2,0,0,3,4,1,0,2,15,0
253,NA,503,6,32,3,35,7,314,1,12,4,2,18,0,4,1,20,6,0,5,2,4,8,0,0,0,5,0,0,2,12,0
263,NA,507,2,30,0,13,5,368,0,10,5,1,8,0,8,3,5,7,0,9,3,0,1,0,0,4,6,0,0,6,13,0
273,NA,496,5,21,3,31,4,347,1,9,4,1,8,0,3,2,8,3,0,11,1,2,3,0,0,3,5,0,0,1,20,0
283,NA,485,2,28,1,26,5,348,0,15,7,0,10,1,4,1,10,0,0,8,0,0,1,0,0,0,2,0,0,4,11,1
293,NA,563,3,34,3,67,9,325,0,25,3,3,14,0,10,0,16,1,0,14,0,9,8,0,0,1,1,0,0,4,13,0
303,NA,529,6,52,6,59,5,320,0,12,7,2,2,1,7,2,22,0,0,3,0,4,4,0,0,2,4,0,0,3,2,4
313,NA,603,6,66,0,36,12,368,0,10,14,1,8,0,8,8,24,0,0,9,3,0,1,0,0,4,6,0,0,6,13,0
