"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Populus.undiff.","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Iva.xanthifolia","Plantago","Potentilla","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Sarcobatus.vermiculatus","Vitis","Humulus","Acer.saccharum","Rubiaceae","Ostrya","Tilia","Tsuga","Populus.tremuloides.type","Iva.annua","Apiaceae","Carya","Juniperus.type","Juglans.cinerea","Taxus","Juglans.undiff.","Urticaceae","Populus.balsamifera","Epilobium","Platanus","Xanthium","Lamiaceae","Ephedra.trifurca.type","Dalea.purpurea","Thalictrum","Fraxinus.pennsylvanica","Polygonum","Juglans.nigra","Rhus","Castanea","Ranunculus","Ephedra.viridis.type","Brassicaceae","Asteraceae.subf..Cichorioideae","Zanthoxylum","Parthenocissus","Comptonia.peregrina","Viburnum","Fabaceae.undiff.","Cornus"
210,892,347,3,0,0,4,46,2,0,7,0,0,0,1,4,9,41,0,10,0,1,0,0,4,4,0,8,2,0,0,35,160,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,984,350,4,3,0,7,48,0,0,5,2,0,2,1,10,10,40,0,17,0,0,1,1,10,2,0,6,0,0,0,36,142,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1075,350,5,0,1,1,49,0,1,13,2,0,3,2,9,12,38,0,19,0,0,1,2,11,0,1,5,2,0,0,41,128,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1166,349,7,0,0,1,24,1,0,6,2,0,1,1,4,6,44,0,3,0,0,0,0,4,1,0,1,0,0,0,28,209,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1257,347,6,2,0,2,50,1,1,5,1,0,1,2,3,4,46,0,16,1,0,0,1,8,3,0,3,0,0,0,15,170,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1348,350,3,0,0,0,45,1,1,2,1,0,1,7,1,11,39,0,9,0,0,0,0,5,0,0,3,0,0,0,48,168,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1440,350,2,2,1,3,50,1,0,1,0,0,1,3,3,6,44,0,16,0,0,0,0,10,1,0,3,0,0,0,24,178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1531,448,4,0,0,3,33,0,1,5,1,0,4,3,4,16,34,0,20,0,1,2,0,6,4,0,6,0,0,0,95,202,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1622,348,3,1,0,3,28,0,1,4,0,0,0,3,4,15,35,0,15,0,1,2,0,7,4,0,2,0,0,0,64,149,0,0,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1713,349,4,0,0,3,32,1,2,7,0,0,0,0,3,10,40,0,12,0,2,0,2,9,2,1,0,0,0,0,43,170,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1804,350,2,0,1,4,37,1,1,11,0,0,1,5,2,7,43,0,18,0,0,1,2,5,3,0,6,0,0,0,27,168,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1896,350,2,0,1,4,37,1,1,4,0,1,0,2,0,7,43,1,17,0,1,1,2,12,1,0,3,0,0,0,28,174,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1987,350,3,0,0,3,25,0,0,1,0,0,2,5,3,4,46,0,11,0,0,0,1,4,1,0,2,0,0,0,19,217,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,2078,350,5,1,0,5,38,1,0,0,0,0,2,2,2,11,39,1,17,0,0,2,1,6,0,0,4,0,0,0,46,164,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2169,349,3,0,0,1,28,0,0,4,0,0,1,0,2,3,47,0,18,0,0,2,3,10,3,0,5,0,0,0,13,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2260,349,4,0,1,4,42,1,0,5,0,0,1,1,1,11,39,2,12,0,0,0,2,9,2,1,2,0,0,0,45,159,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2443,348,1,0,0,3,33,1,1,1,0,0,1,1,3,11,39,1,12,0,0,2,3,19,2,0,5,1,0,0,44,157,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2534,345,2,0,0,1,31,1,0,5,0,0,2,3,5,5,45,2,17,0,1,1,1,13,2,0,5,0,0,1,19,173,0,0,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2625,450,5,1,1,9,56,3,3,7,0,0,2,2,6,7,43,0,29,0,0,1,4,15,4,0,3,0,0,0,34,211,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2716,345,2,1,1,4,22,0,0,8,0,0,0,5,2,4,46,0,16,0,0,1,2,11,5,0,5,1,0,0,16,189,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2807,349,2,0,0,5,36,2,1,7,0,0,3,1,2,3,47,1,8,0,0,2,3,8,2,0,7,1,0,0,12,190,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,2899,346,4,1,2,2,23,1,3,3,0,0,0,3,4,9,41,0,7,0,0,1,0,5,4,0,4,0,0,0,41,186,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2990,350,1,0,0,1,13,0,1,3,1,0,1,0,0,8,42,0,6,0,1,0,0,7,1,0,2,0,0,0,42,218,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,3127,350,3,0,0,0,21,1,2,3,0,0,2,1,1,10,40,0,11,0,0,3,3,10,2,0,0,0,0,0,47,186,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,3218,350,4,0,0,1,18,0,0,1,0,0,1,3,4,4,46,0,12,0,1,0,0,8,2,0,3,0,0,0,19,221,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,3309,350,2,1,1,5,23,1,5,2,0,0,2,5,3,12,38,0,22,0,0,0,1,13,1,0,4,0,0,0,47,147,1,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,3400,350,2,0,0,2,16,0,0,2,0,0,3,1,1,9,41,0,3,0,1,1,3,14,3,0,4,0,0,0,43,197,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,3491,351,3,1,1,2,31,1,0,8,0,0,2,3,0,4,46,0,22,0,0,2,9,9,0,0,6,0,0,0,16,180,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,3583,350,1,0,0,1,22,0,2,0,0,0,1,2,2,2,48,1,16,0,0,1,3,7,1,0,0,1,0,0,9,227,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,3674,350,4,0,0,0,20,1,0,8,0,0,3,0,1,6,44,0,11,0,1,0,0,12,2,0,3,0,0,1,27,201,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,3765,350,5,0,0,3,41,1,1,4,0,0,1,1,3,1,49,1,7,0,1,1,4,11,1,0,4,1,0,0,4,197,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,3856,350,1,0,1,5,20,0,0,4,0,0,0,1,3,8,42,0,8,0,0,1,0,7,3,0,3,2,0,0,38,200,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,3947,345,0,1,0,8,33,2,0,6,0,0,2,3,5,11,39,0,16,0,1,2,2,8,8,0,16,1,0,0,39,138,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,4039,351,2,0,0,2,20,0,1,9,1,0,2,1,0,4,46,1,15,0,4,2,0,6,2,0,10,1,0,0,17,201,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
565,4130,350,2,1,1,5,15,1,1,7,0,0,1,0,1,7,43,0,11,0,1,0,0,5,5,1,7,0,0,0,33,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,4221,350,1,1,0,3,27,1,1,4,0,0,1,4,1,2,48,0,16,0,0,0,1,5,3,0,5,0,0,0,9,213,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,4312,350,0,1,0,2,38,2,1,5,0,0,3,0,0,14,36,0,47,0,1,4,6,23,2,0,6,1,0,0,42,109,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
595,4425,345,0,0,0,8,24,2,1,15,1,0,3,2,0,26,24,1,27,0,4,2,1,27,8,0,16,1,0,1,75,70,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
605,4559,443,0,0,0,10,47,5,2,21,0,0,1,3,5,10,40,1,39,0,6,2,5,29,10,1,13,1,0,1,37,146,1,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,4693,345,1,0,0,10,43,2,1,23,0,0,1,1,0,13,37,1,30,0,2,3,4,16,10,0,16,0,0,0,31,89,2,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
625,4827,352,0,0,0,3,36,2,0,12,0,0,0,4,2,14,36,0,36,0,3,2,5,17,3,1,16,3,0,0,42,107,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,4961,348,0,1,0,5,39,6,0,21,0,0,4,0,2,13,37,1,30,0,2,2,0,29,5,0,12,0,0,0,35,101,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,5229,344,1,0,0,10,37,2,3,2,0,0,1,1,1,9,41,2,37,0,1,6,3,20,10,0,15,1,0,0,24,112,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
665,5363,349,0,0,0,5,46,2,3,16,0,0,4,0,0,21,29,0,37,0,2,1,6,32,5,0,11,2,0,0,50,70,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,5497,340,0,0,0,4,58,3,4,11,0,1,2,4,0,21,29,0,36,0,1,3,4,35,4,0,13,0,0,0,42,57,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,5631,347,1,0,0,7,53,4,3,1,0,0,0,0,1,10,40,0,57,0,1,10,6,29,7,0,14,0,0,0,19,77,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
695,5765,343,2,1,0,7,21,2,2,7,0,0,0,2,0,16,34,0,29,0,2,0,0,27,7,0,10,1,0,0,53,113,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
705,5899,346,0,0,0,9,40,5,1,3,0,0,1,1,0,10,40,0,58,0,1,1,6,21,9,0,14,0,0,0,24,97,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
715,6033,350,2,0,0,5,18,5,1,4,0,0,0,2,1,12,38,1,37,0,1,2,1,17,5,0,10,0,0,0,44,139,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,6168,348,0,0,0,6,16,3,1,5,0,0,5,0,2,4,46,0,22,0,2,1,3,18,3,1,6,0,0,0,15,176,0,1,2,0,0,4,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,6302,350,0,1,0,6,44,2,0,7,0,0,4,2,3,9,41,0,38,0,0,3,6,30,7,0,12,2,0,0,22,102,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,6637,350,0,0,0,7,34,7,6,13,0,0,7,2,0,9,41,3,56,0,1,2,8,13,8,0,11,0,0,0,19,86,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,6771,348,0,0,0,7,25,5,4,13,0,0,4,0,1,19,31,0,45,0,1,1,1,22,13,0,35,3,0,0,40,65,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,6905,405,0,0,0,9,28,60,2,13,0,0,3,0,0,14,36,3,59,0,5,3,6,28,4,0,15,0,0,0,27,71,0,0,0,5,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
790,7039,348,0,1,0,9,17,3,2,13,0,0,0,2,0,16,34,0,48,0,2,4,7,25,9,0,13,0,0,0,44,92,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,7173,341,0,0,0,8,22,5,3,6,0,0,0,0,3,15,35,0,34,0,5,1,6,26,5,0,15,2,0,0,42,97,0,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,7307,347,0,0,0,12,25,5,1,9,0,0,2,2,0,8,42,0,30,0,1,1,11,20,9,0,24,1,0,0,21,108,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
820,7441,350,0,0,0,6,16,4,0,7,0,0,3,3,0,5,45,1,37,0,2,1,7,9,5,0,29,2,0,0,16,141,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,7575,349,0,0,0,9,52,4,8,8,0,0,3,0,0,10,40,5,63,0,1,2,8,12,10,0,13,0,0,0,15,60,0,0,1,0,0,17,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
840,7709,345,1,0,0,13,11,4,7,9,0,0,4,0,0,28,22,0,100,0,4,5,12,13,12,0,17,2,0,0,39,30,1,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
860,7977,348,0,0,0,7,16,4,1,13,0,0,3,0,1,27,23,1,78,0,2,0,6,21,14,0,19,2,0,0,51,44,0,0,1,0,0,6,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
870,8267,343,0,0,0,23,12,13,1,13,0,0,3,0,0,44,6,0,11,0,0,6,8,34,16,0,31,1,0,0,96,13,0,0,0,1,0,3,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
880,8698,344,0,0,0,10,4,0,1,11,0,0,1,3,1,41,9,0,10,0,9,6,9,18,8,0,21,1,0,0,140,31,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
890,9128,340,1,1,0,13,16,7,1,7,0,0,3,2,0,47,3,0,15,0,1,1,12,37,13,0,14,1,0,0,133,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,9559,351,1,0,0,7,27,11,6,9,0,0,0,1,4,45,5,0,14,0,4,1,7,34,12,0,16,0,0,0,122,13,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
910,9989,350,5,1,0,10,37,4,2,9,0,0,3,1,0,46,4,0,12,0,4,0,7,27,6,0,10,0,0,0,140,12,0,0,0,1,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
920,NA,346,4,0,0,9,24,4,3,11,0,0,5,1,2,49,1,2,12,0,2,0,19,33,9,0,6,0,0,0,136,3,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,NA,349,2,0,0,4,65,8,5,9,0,0,6,8,2,46,4,3,17,0,1,3,16,13,17,0,3,0,0,0,97,8,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,NA,344,1,0,0,4,41,1,2,25,0,0,5,0,2,47,3,4,14,0,2,4,11,45,4,0,8,0,0,0,97,6,0,0,0,0,0,3,3,0,1,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
955,NA,331,2,0,0,10,43,4,1,12,0,0,1,1,9,49,1,2,10,0,2,1,18,44,6,0,6,1,0,0,92,2,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
970,NA,343,4,1,0,4,53,5,2,4,0,0,0,5,16,50,0,1,16,0,2,0,22,28,3,0,2,0,0,0,117,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,NA,345,3,0,0,5,74,0,3,41,0,0,2,4,20,50,0,0,14,0,5,0,9,44,2,1,3,0,0,0,55,0,0,0,0,0,0,5,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,NA,348,5,1,0,6,87,0,4,8,0,0,0,3,19,50,0,0,18,0,4,0,27,41,0,0,8,0,0,0,54,0,0,0,2,1,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
