"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
40,762,0,0,0.001912046,0.005736138,0.015296367,0,0.101338432,0,0.011472275,0.007648184,0.011472275,0,0,0.001912046,0,0,0,0.009560229,0.024856597,0.003824092,0,0.001912046,0,0,0.001912046,0,0,0,0,0.036328872,0.005736138,0.001912046,0,0,0.003824092,0.024856597,0,0.361376673,0.001912046,0,0.296367113,0,0,0,0,0,0.019120459,0.009560229,0,0.007648184,0,0.003824092,0.011472275,0,0,0,0.003824092,0,0,0,0.001912046,0,0.001912046,0.009560229,0,0,0,0,0,0,0,0,0
44,848,0,0,0.001890359,0.001890359,0.007561437,0,0.122873346,0,0.001890359,0.024574669,0.005671078,0,0,0,0,0,0,0.001890359,0.017013233,0.001890359,0.003780718,0,0,0,0,0,0,0,0,0.056710775,0.001890359,0.001890359,0,0,0.007561437,0.02268431,0.001890359,0.313799622,0.001890359,0,0.342155009,0,0,0,0,0.001890359,0.009451796,0.005671078,0,0.007561437,0,0.005671078,0.007561437,0,0,0,0.001890359,0,0,0,0.001890359,0,0,0.017013233,0,0,0,0,0,0,0,0,0
48,933,0,0,0.001919386,0.001919386,0.017274472,0,0.10940499,0,0.011516315,0.015355086,0.003838772,0,0.001919386,0,0,0,0.003838772,0.003838772,0.021113244,0.005758157,0,0,0,0,0,0,0,0,0,0.078694818,0.005758157,0,0,0,0.001919386,0.034548944,0.003838772,0.322456814,0,0,0.307101727,0,0,0,0,0,0.017274472,0.003838772,0,0,0,0.001919386,0.013435701,0,0,0,0.001919386,0,0,0,0.001919386,0,0.001919386,0.005758157,0,0,0,0,0,0,0,0,0
52,1019,0,0,0.001883239,0.007532957,0.009416196,0,0.096045198,0,0,0.011299435,0.003766478,0,0,0.001883239,0,0,0,0.001883239,0.032015066,0.003766478,0,0,0,0.001883239,0,0,0,0.003766478,0.001883239,0.037664783,0.003766478,0,0,0,0.001883239,0.015065913,0.001883239,0.376647834,0.001883239,0,0.337099812,0,0,0,0,0,0.013182674,0.005649718,0,0.003766478,0,0,0.007532957,0,0,0.001883239,0.001883239,0,0,0,0,0,0,0.013182674,0,0,0,0,0,0,0,0,0
56,1098,0,0.001912046,0.001912046,0.001912046,0.022944551,0,0.124282983,0,0.005736138,0.013384321,0.007648184,0,0,0,0,0,0,0.003824092,0.030592734,0.011472275,0,0.001912046,0,0,0,0,0,0.001912046,0,0.038240918,0,0.005736138,0,0,0.001912046,0.017208413,0.005736138,0.294455067,0.001912046,0,0.374760994,0,0,0,0,0.001912046,0.007648184,0.001912046,0,0.005736138,0,0,0.001912046,0,0,0,0,0,0,0,0,0,0,0.011472275,0,0,0,0,0,0,0,0,0
60,1158,0,0,0,0.003724395,0.016759777,0,0.096834264,0,0.013035382,0.020484171,0.005586592,0,0,0.001862197,0,0,0,0.005586592,0.029795158,0,0.003724395,0,0,0,0,0,0,0.001862197,0,0.074487896,0.001862197,0.005586592,0,0,0.003724395,0.024208566,0.001862197,0.353817505,0,0,0.30726257,0,0,0,0,0,0.013035382,0.001862197,0,0.003724395,0,0,0.003724395,0,0,0,0,0,0,0,0,0,0,0.005586592,0,0,0,0,0,0,0,0,0
64,1217,0,0,0.001949318,0.003898635,0.021442495,0,0.115009747,0,0.005847953,0.011695906,0.005847953,0,0,0,0,0,0,0.007797271,0.019493177,0.005847953,0.003898635,0,0,0,0.001949318,0,0,0.001949318,0,0.070175439,0,0.003898635,0,0,0.003898635,0.013645224,0.005847953,0.364522417,0,0,0.288499025,0,0,0,0,0,0.021442495,0.007797271,0,0.001949318,0,0,0.001949318,0,0.003898635,0,0.001949318,0,0,0,0,0,0,0.003898635,0,0,0,0,0,0,0,0,0
68,1277,0,0,0.001937984,0.005813953,0.003875969,0,0.09496124,0,0,0.015503876,0.001937984,0,0,0,0,0,0,0.005813953,0.040697674,0.003875969,0,0.003875969,0,0.001937984,0,0,0,0.001937984,0,0.073643411,0,0.005813953,0,0,0,0.021317829,0.003875969,0.38372093,0.003875969,0,0.28875969,0,0,0,0,0,0.009689922,0.009689922,0,0,0,0.005813953,0.001937984,0,0,0,0,0,0,0,0.001937984,0,0,0.007751938,0,0,0,0,0,0,0,0,0
72,1336,0,0,0,0.007220217,0.010830325,0,0.081227437,0,0.005415162,0.010830325,0.005415162,0.001805054,0,0.001805054,0,0,0,0.001805054,0.036101083,0,0.001805054,0,0,0,0,0,0,0.005415162,0,0.063176895,0.001805054,0.005415162,0,0,0.003610108,0.010830325,0.001805054,0.375451264,0.003610108,0.001805054,0.288808664,0,0,0,0,0,0.02166065,0.003610108,0,0.009025271,0,0,0.010830325,0,0.003610108,0,0.005415162,0,0,0,0,0,0,0.019855596,0,0,0,0,0,0,0,0,0
76,1395,0,0,0.001915709,0.005747126,0.017241379,0,0.097701149,0,0.005747126,0.017241379,0.001915709,0,0,0,0,0,0,0,0.022988506,0.003831418,0.003831418,0,0,0,0,0,0,0,0,0.049808429,0.001915709,0.001915709,0,0,0.003831418,0.017241379,0.003831418,0.373563218,0.001915709,0.001915709,0.319923372,0,0,0,0,0,0.013409962,0.003831418,0,0.005747126,0,0,0.003831418,0.001915709,0,0.001915709,0,0,0,0,0,0,0,0.01532567,0,0,0,0,0,0,0,0,0
80,1455,0,0,0.003809524,0.001904762,0.019047619,0,0.114285714,0,0.011428571,0.026666667,0,0,0,0.001904762,0,0,0.001904762,0,0.019047619,0.005714286,0.003809524,0.001904762,0.001904762,0,0,0,0,0,0,0.078095238,0.001904762,0.005714286,0,0,0.003809524,0.005714286,0.005714286,0.293333333,0.001904762,0,0.316190476,0,0,0,0,0.001904762,0.020952381,0.011428571,0,0.005714286,0,0.001904762,0.003809524,0,0,0.001904762,0,0,0,0,0.001904762,0,0,0.024761905,0,0,0,0,0,0,0,0,0
84,1615,0,0,0,0,0.009541985,0,0.122137405,0,0.011450382,0.020992366,0.001908397,0,0,0,0,0,0,0.001908397,0.026717557,0.001908397,0.005725191,0,0,0,0,0,0,0.001908397,0,0.049618321,0,0.003816794,0,0,0,0.013358779,0.001908397,0.354961832,0.001908397,0,0.311068702,0,0,0,0,0.001908397,0.019083969,0.001908397,0,0.003816794,0,0,0.013358779,0,0,0,0,0,0,0,0.001908397,0,0,0.017175573,0,0,0,0,0,0,0,0,0
88,1810,0,0,0,0.003724395,0.018621974,0,0.106145251,0,0.005586592,0.022346369,0.001862197,0,0,0,0,0.001862197,0,0.001862197,0.031657356,0.001862197,0.005586592,0.001862197,0,0,0.001862197,0,0,0,0,0.087523277,0.005586592,0.003724395,0,0,0.001862197,0.009310987,0.001862197,0.253258845,0,0,0.379888268,0,0,0,0,0,0.011173184,0.005586592,0,0.005586592,0,0,0.011173184,0,0,0.001862197,0.003724395,0,0,0,0.003724395,0,0,0.009310987,0,0,0,0,0,0,0,0,0
92,2004,0,0,0.001883239,0.013182674,0.015065913,0,0.122410546,0,0.007532957,0.016949153,0,0,0,0,0,0,0,0.003766478,0.054613936,0.003766478,0,0,0.001883239,0,0.001883239,0,0,0.001883239,0,0.056497175,0,0.003766478,0,0,0.003766478,0.013182674,0.003766478,0.252354049,0.003766478,0,0.369114878,0,0,0,0,0,0.003766478,0.016949153,0,0.003766478,0,0,0.007532957,0,0,0,0,0.001883239,0,0,0,0,0,0.015065913,0,0,0,0,0,0,0,0,0
96,2198,0,0,0.003831418,0.001915709,0.034482759,0,0.11302682,0,0.001915709,0.013409962,0.007662835,0,0,0.001915709,0,0.003831418,0,0,0.034482759,0.003831418,0.005747126,0,0,0.005747126,0,0,0,0.001915709,0,0.070881226,0.003831418,0.007662835,0,0,0,0.011494253,0.003831418,0.279693487,0.001915709,0,0.33908046,0,0,0,0,0.003831418,0.007662835,0.003831418,0,0.003831418,0,0.001915709,0.005747126,0,0.001915709,0,0,0,0,0,0,0,0,0.019157088,0,0,0,0,0,0,0,0,0
100,2393,0,0,0.001893939,0.017045455,0.022727273,0,0.111742424,0,0.009469697,0.017045455,0,0,0,0,0,0,0,0.005681818,0.028409091,0.001893939,0,0,0,0.001893939,0,0,0,0,0,0.054924242,0.007575758,0.005681818,0,0,0,0.009469697,0,0.246212121,0.003787879,0,0.401515152,0,0,0,0,0,0.017045455,0.005681818,0,0.001893939,0,0,0.009469697,0,0,0,0.001893939,0,0,0,0.001893939,0,0,0.015151515,0,0,0,0,0,0,0,0,0
104,2587,0,0.001908397,0,0.009541985,0.013358779,0,0.091603053,0,0.001908397,0.013358779,0,0,0,0,0,0.003816794,0,0,0.030534351,0.001908397,0.003816794,0,0,0,0,0,0,0,0,0.095419847,0.001908397,0.007633588,0,0,0,0.005725191,0.001908397,0.229007634,0,0,0.421755725,0,0,0,0,0.001908397,0.020992366,0.013358779,0,0.003816794,0,0.005725191,0.007633588,0,0.001908397,0,0,0,0,0,0,0,0,0.009541985,0,0,0,0,0,0,0,0,0
108,2781,0,0,0.001930502,0.003861004,0.028957529,0,0.104247104,0,0.005791506,0.017374517,0.005791506,0,0,0,0,0,0,0.001930502,0.032818533,0,0.001930502,0,0,0,0,0,0,0.003861004,0,0.094594595,0.005791506,0.001930502,0,0,0,0.005791506,0,0.239382239,0.001930502,0,0.388030888,0,0.003861004,0,0,0,0.00965251,0.007722008,0,0,0,0,0.011583012,0,0,0.003861004,0,0,0,0,0,0,0,0.017374517,0,0,0,0,0,0,0,0,0
112,2976,0,0,0,0.005791506,0.019305019,0,0.088803089,0,0.007722008,0.023166023,0,0,0,0,0,0,0,0,0.038610039,0.001930502,0.005791506,0,0,0,0,0,0,0.001930502,0,0.069498069,0.001930502,0.005791506,0,0,0,0.005791506,0.005791506,0.185328185,0.001930502,0,0.480694981,0.001930502,0,0,0,0,0.011583012,0.011583012,0,0.001930502,0,0,0.007722008,0,0,0,0,0,0,0,0,0,0,0.015444015,0,0,0,0,0,0,0,0,0
116,3170,0,0,0.005504587,0.001834862,0.025688073,0,0.117431193,0,0.005504587,0.020183486,0.003669725,0,0,0.005504587,0,0,0,0.001834862,0.051376147,0.003669725,0.001834862,0,0,0,0,0,0,0.001834862,0,0.064220183,0.00733945,0.014678899,0,0,0,0.00733945,0.005504587,0.121100917,0,0,0.475229358,0,0,0,0,0.001834862,0.016513761,0.00733945,0,0,0,0,0.011009174,0,0.001834862,0.001834862,0,0,0,0,0,0,0,0.018348624,0,0,0,0,0,0,0,0,0
120,3364,0,0,0.001858736,0.001858736,0.018587361,0,0.128252788,0,0.001858736,0.007434944,0.003717472,0,0,0.001858736,0,0.001858736,0,0,0.044609665,0,0.011152416,0,0,0,0,0,0,0,0,0.083643123,0.007434944,0.003717472,0,0,0,0.007434944,0,0.159851301,0,0,0.440520446,0,0,0,0,0,0.014869888,0.00929368,0,0.003717472,0,0.007434944,0.005576208,0,0,0.003717472,0,0,0,0,0,0,0,0.029739777,0,0,0,0,0,0,0,0,0
124,3501,0,0,0,0.007476636,0.024299065,0,0.104672897,0,0.009345794,0.009345794,0.001869159,0,0,0.001869159,0,0,0,0.001869159,0.035514019,0,0.001869159,0.001869159,0.001869159,0.001869159,0,0,0,0,0,0.095327103,0.005607477,0.003738318,0,0,0,0.026168224,0.001869159,0.239252336,0.001869159,0.001869159,0.357009346,0,0,0,0,0,0.007476636,0.005607477,0,0.005607477,0,0.003738318,0.013084112,0,0,0,0.001869159,0.001869159,0,0,0,0,0,0.024299065,0,0,0,0,0,0,0,0,0
128,3619,0,0,0,0.001930502,0.030888031,0,0.104247104,0,0.013513514,0.007722008,0.001930502,0,0,0,0,0,0,0.001930502,0.030888031,0.011583012,0.001930502,0,0,0,0.003861004,0,0,0,0,0.129343629,0.005791506,0.005791506,0,0,0,0.007722008,0.003861004,0.177606178,0.007722008,0,0.401544402,0.001930502,0,0,0,0,0.00965251,0.00965251,0,0.001930502,0,0,0.001930502,0,0,0,0.003861004,0,0,0,0,0,0,0.021235521,0,0,0,0,0,0,0,0,0
132,3736,0,0,0.001908397,0.001908397,0.019083969,0,0.124045802,0,0.005725191,0.013358779,0.005725191,0.001908397,0,0,0,0,0,0.001908397,0.02480916,0.003816794,0,0.001908397,0,0,0.005725191,0,0,0,0,0.108778626,0,0.003816794,0,0,0,0.003816794,0.003816794,0.141221374,0.003816794,0,0.461832061,0,0,0,0,0,0.007633588,0.011450382,0,0.001908397,0,0.001908397,0.009541985,0,0,0.001908397,0.001908397,0,0,0,0.003816794,0,0,0.019083969,0,0,0,0,0,0,0.001908397,0,0
136,3854,0,0,0,0.009363296,0.016853933,0,0.110486891,0,0,0.003745318,0.001872659,0,0,0,0,0,0,0.001872659,0.046816479,0.003745318,0,0.001872659,0.001872659,0,0,0,0,0,0,0.08988764,0,0.011235955,0,0,0,0.013108614,0.013108614,0.179775281,0.007490637,0,0.425093633,0.001872659,0,0,0,0,0.001872659,0.013108614,0,0.001872659,0,0,0.005617978,0,0,0.003745318,0.005617978,0,0,0,0,0,0,0.028089888,0,0,0,0,0,0,0,0,0
