"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Picea","Quercus","Salix","Saxifragaceae","Shepherdia.canadensis","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Rosaceae.undiff.","Juglans","Myrica","Pinus","Amaranthaceae","Poaceae","Carpinus","Fraxinus","Plantago","Caryophyllaceae","Acer","Fabaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","Rumex","Fagus","Carya","Larix","Potentilla","Rhus","Urticaceae","Pterocarya","Celtis","Lamiaceae","Cornus","Elaeagnus","Tsuga","Populus","Symphoricarpos"
120,1189,956,0,86,402,16,2,16,210,10,0,0,0,0,10,6,0,86,10,6,0,0,44,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1289,912,2,64,350,24,0,24,150,8,28,0,0,4,8,0,0,108,4,0,0,8,60,12,48,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1390,1202,8,114,374,42,0,38,110,22,52,2,0,0,18,2,2,186,6,14,2,8,68,28,88,0,6,0,0,2,0,2,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
155,1540,864,2,82,330,14,0,16,160,2,16,0,0,4,6,0,0,88,14,2,0,0,40,14,68,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
165,1640,1248,8,116,406,24,0,44,164,12,50,0,0,0,14,2,4,170,10,14,0,8,80,6,104,0,2,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
175,1741,1014,6,54,466,14,0,20,206,4,22,2,0,0,12,0,0,86,2,6,0,8,42,14,36,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1841,1028,12,56,432,14,0,28,140,4,36,0,0,0,14,2,0,126,2,16,0,2,56,18,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1956,1140,4,66,582,10,0,16,154,12,14,0,0,4,12,4,0,118,6,2,0,2,76,16,36,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
205,2156,712,6,48,288,10,0,18,84,2,24,0,2,0,16,10,0,70,6,4,0,2,54,8,44,0,2,0,0,2,2,0,0,2,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0
215,2356,1054,4,76,506,28,0,26,110,2,32,0,0,0,6,2,0,100,4,18,2,6,44,10,72,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2556,600,4,32,322,4,0,8,88,2,14,0,0,0,2,2,0,50,4,4,0,0,26,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2756,1150,12,48,588,8,0,26,174,10,18,0,0,0,20,0,2,88,10,8,0,0,68,10,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2956,1218,4,80,680,20,0,18,142,4,30,0,2,0,10,0,0,80,16,4,0,4,58,14,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0
255,3156,956,6,72,424,12,4,34,148,4,24,0,0,0,18,2,0,58,10,2,0,0,70,12,46,0,2,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
265,3356,1220,4,88,642,20,0,34,122,10,30,0,0,0,14,2,0,68,8,6,0,4,54,24,74,2,2,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
275,3555,1066,0,72,574,24,0,24,120,10,26,2,0,0,2,2,0,58,16,6,0,0,48,20,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3755,1010,6,58,580,8,0,30,14,6,42,0,0,0,20,2,2,84,6,6,0,6,34,12,90,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
295,3955,588,8,60,286,18,0,16,8,4,28,0,0,0,16,0,0,44,4,4,0,2,36,8,40,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4155,412,4,48,194,6,0,6,12,0,18,0,0,0,10,0,0,18,6,2,0,0,30,12,42,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4455,802,0,66,518,8,2,18,14,4,10,2,0,0,12,2,0,22,10,4,0,2,44,18,42,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
335,4709,1104,6,58,796,30,0,48,10,4,24,0,0,0,2,2,0,18,6,4,0,14,10,8,56,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
345,4817,1326,6,120,666,52,2,46,38,14,50,2,0,2,26,2,4,54,16,14,2,4,52,32,110,4,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
355,4925,1042,0,150,366,38,2,90,18,0,16,0,2,2,24,2,2,40,22,8,0,0,52,54,148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
365,5033,916,4,92,354,24,4,64,38,2,46,0,0,2,22,2,2,40,22,10,0,2,36,30,88,0,2,0,0,16,6,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
375,5141,1106,6,106,360,26,10,120,34,14,42,0,6,2,40,4,0,48,8,10,2,2,48,66,136,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2
385,5249,1042,2,114,330,8,0,120,40,0,88,0,0,0,28,8,2,40,18,12,0,10,10,68,138,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
395,5357,774,2,96,260,12,4,70,30,6,28,0,6,2,26,4,2,22,8,6,0,0,46,42,94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
405,5465,970,6,108,276,6,2,118,50,8,74,2,2,0,20,8,0,32,10,10,4,10,32,42,132,6,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
415,5573,928,4,132,288,10,12,94,28,4,52,0,4,4,26,14,0,40,16,6,0,0,30,44,116,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
420,5627,620,0,78,122,8,8,108,24,2,24,0,4,0,20,4,0,10,28,8,0,0,16,48,90,4,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4
430,5735,498,4,50,30,2,0,100,72,2,34,0,6,0,42,0,0,8,2,6,0,0,16,48,74,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,5842,608,0,62,52,0,0,98,92,0,28,2,2,0,46,0,0,14,2,12,0,0,18,66,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,5950,352,6,38,18,2,6,68,36,0,20,0,12,0,16,0,0,4,24,0,0,0,12,44,38,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,6058,634,2,72,44,0,12,58,210,2,28,0,10,0,24,2,0,14,22,16,0,0,14,44,56,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
