"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Brassicaceae","Caltha","Cannabaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Ilex","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis"
330,8653,2,3,1,0,15,3,7,0,0,3,0,0,148,0,0,0,0,0,0,0,11,11,7,0,0,3,0,0,0,1,0,0,0,6,0,0,1,0,0,5,7,0,1,2,0,1,0,5,20,240,52,0,4,6,1,3,0,15,21,0,0,0,0,3,0,0,1,0,0,1,10,11,1,0,0
340,9053,0,3,5,0,43,4,1,0,0,4,3,0,45,0,0,0,1,0,0,0,1,7,10,0,0,2,0,0,1,4,0,0,0,1,1,0,0,0,0,12,1,1,8,0,0,0,0,6,15,255,41,0,2,7,3,12,0,32,6,0,0,0,0,4,0,0,0,0,0,0,0,6,1,0,0
350,9464,3,1,0,0,7,5,6,1,0,4,2,0,72,0,0,0,0,0,0,0,0,18,5,0,0,1,0,0,0,2,1,0,0,4,0,1,0,0,0,6,2,0,10,1,0,0,0,6,19,282,31,0,2,10,0,13,1,8,14,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
360,9883,5,1,4,0,24,1,2,0,0,6,1,0,82,0,0,0,1,0,0,0,2,4,7,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,4,3,0,12,2,0,0,0,12,28,238,20,0,2,5,2,22,0,6,11,0,0,0,0,2,0,0,0,0,0,0,1,10,1,0,1
370,10307,11,0,0,0,22,4,5,0,0,5,1,0,102,0,0,0,1,0,1,0,2,12,10,0,0,0,0,4,0,2,2,0,0,5,0,0,1,0,0,19,0,1,10,1,0,0,0,4,42,233,21,0,3,3,0,5,1,6,20,0,0,0,0,3,0,0,1,0,0,0,4,11,1,0,0
380,10735,10,0,1,0,10,3,4,0,0,7,0,0,83,0,0,0,0,0,0,0,1,16,7,0,1,0,1,0,0,5,1,0,0,7,0,1,0,0,0,7,0,1,2,1,0,0,1,5,21,217,17,0,1,9,0,16,1,3,16,0,1,0,0,2,1,0,2,0,0,0,0,5,1,0,0
390,NA,6,1,3,0,7,8,5,0,0,6,2,0,58,0,1,0,3,0,0,0,1,20,11,1,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,15,0,1,0,1,0,0,0,11,69,213,13,0,3,3,0,21,2,6,16,0,1,0,0,6,1,0,1,0,0,0,6,6,1,0,1
395,NA,2,0,0,0,4,13,7,0,0,8,1,0,89,2,1,0,1,0,0,1,1,21,12,0,0,1,1,0,0,4,2,0,0,5,0,1,0,0,0,26,0,0,0,2,0,0,0,8,69,130,2,0,1,6,0,14,0,5,24,0,0,0,1,2,0,0,0,0,0,0,2,5,1,0,0
403,NA,0,1,0,0,7,0,3,0,0,4,1,0,28,1,0,0,0,0,2,0,1,18,13,0,0,0,0,0,0,1,1,0,0,6,0,0,1,0,0,15,0,0,2,0,0,0,0,7,69,95,3,0,4,2,3,25,0,2,16,0,0,0,0,5,1,1,1,0,0,0,0,11,0,0,0
413,NA,2,0,3,0,2,1,1,0,0,9,1,0,24,0,0,0,0,0,0,0,1,17,13,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,16,1,0,1,0,0,0,0,6,97,60,1,0,1,2,0,14,1,6,24,0,0,0,0,1,0,0,1,0,1,0,0,9,1,0,0
423,NA,0,1,0,0,3,0,0,0,0,10,3,0,3,0,0,0,0,0,0,0,0,4,16,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2,20,38,0,0,2,2,1,1,0,4,15,0,0,0,0,1,1,1,1,0,0,0,0,10,0,0,0
435,NA,0,3,1,0,3,0,1,0,0,4,5,1,6,0,0,1,0,0,0,0,3,1,17,0,1,0,0,0,0,1,1,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,13,52,0,0,2,4,0,1,0,9,6,0,2,0,0,0,0,1,1,1,0,0,0,10,2,0,0
450,NA,0,0,0,3,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,0,1,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0
