"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Equisetum","Ericaceae","Fabaceae","Fraxinus","Galium","Indeterminable","Juglans","Lamiaceae","Larix","Lonicera","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type","Primulaceae","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.argentea","Shepherdia.canadensis","Sphagnum","Thalictrum","Typha.Sparganium","Ulmus","Urticaceae"
190,4201,0,0,66,5,4,0,76,6,0,87,0,1,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,12,38,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,8,2,0,0,0,1,3,1,0,0
210,4662,0,0,81,5,0,0,45,5,0,80,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,30,0,16,0,0,1,0,0,0,1,0,0,0,1,0,0,12,3,0,1,0,0,2,2,0,0
230,5123,0,0,33,9,4,0,80,7,0,83,0,1,0,6,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,6,34,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,3,4,0,0
250,5584,1,0,35,8,3,0,94,5,0,70,0,3,0,18,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,9,54,0,48,0,0,2,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,1,2,3,1,0
270,6045,0,1,34,12,1,0,65,8,0,62,0,0,0,23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,15,60,0,43,0,1,1,0,0,1,0,0,3,0,0,0,0,26,0,0,0,0,5,1,4,0,0
290,6506,0,0,26,4,4,0,92,1,0,33,0,0,0,16,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,49,0,27,0,0,2,0,0,0,1,0,0,0,1,0,0,15,2,0,0,0,1,1,4,0,0
310,6967,0,0,35,10,3,0,106,3,0,66,0,1,0,15,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0,5,41,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,1,0,0
330,7428,0,0,21,10,2,0,126,8,0,70,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,33,0,42,1,1,3,0,0,0,0,0,0,2,2,0,0,16,1,0,0,0,0,1,9,0,0
350,7889,0,0,20,19,2,1,96,7,0,58,0,1,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,9,25,0,33,0,0,1,0,0,1,0,0,2,0,3,0,0,10,0,2,2,1,0,2,1,0,0
370,8351,0,0,24,20,2,1,129,5,0,26,0,1,0,11,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7,15,0,43,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,2,1,0,0,1,2,0,0
390,8812,0,0,26,12,5,0,109,3,0,26,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,18,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,1,0,1,0,1
410,9273,0,0,24,23,8,0,142,5,1,18,1,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,3,0,0
430,9734,0,0,14,19,5,1,98,6,1,24,0,0,0,34,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,11,14,0,58,0,0,1,0,0,0,0,0,0,0,6,0,0,21,1,0,1,0,0,1,2,0,0
450,10195,0,0,9,26,7,0,106,4,0,35,0,0,0,9,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,15,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0
470,10656,0,0,8,25,6,0,120,1,1,26,0,0,0,19,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,14,22,0,33,0,0,2,0,0,0,0,0,0,0,2,0,0,7,2,0,0,0,0,3,1,0,0
490,11117,0,0,25,27,4,0,156,2,0,21,0,0,0,28,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,16,0,64,0,1,0,0,0,0,0,0,0,1,2,0,0,16,3,0,0,0,0,3,4,0,0
505,11463,0,0,15,45,8,0,132,1,0,25,0,1,0,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,14,0,36,0,1,1,0,0,0,0,0,2,0,2,0,0,6,3,0,1,1,0,1,9,0,0
515,11693,0,0,3,36,14,0,140,4,0,24,0,1,0,52,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,41,16,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,1,12,0,0
525,11924,0,0,6,31,17,0,126,1,0,27,0,2,0,55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,66,17,0,28,0,0,2,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,14,0,0
535,12154,0,0,7,20,11,0,116,1,0,24,0,2,2,32,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,54,17,0,23,0,1,0,0,0,0,0,0,3,0,1,0,0,10,1,0,1,0,0,3,6,0,0
545,12385,2,0,3,15,2,0,98,2,0,37,0,0,0,17,0,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,111,23,0,12,0,0,1,0,0,0,1,0,13,0,0,0,0,14,1,4,1,1,0,7,2,0,0
555,12616,1,0,4,20,2,1,92,4,0,61,0,2,0,16,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,40,3,0,16,0,3,1,0,0,0,1,0,2,0,1,0,0,18,0,0,0,1,0,2,1,0,0
560,12731,2,1,5,26,13,0,75,6,0,63,0,0,0,27,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,41,21,5,6,0,0,0,1,0,0,0,0,0,0,2,0,0,10,1,0,0,4,1,4,1,0,0
567,12892,0,0,3,14,11,1,34,4,0,57,0,1,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,86,10,0,16,0,0,5,0,0,0,0,0,0,1,1,0,0,8,2,0,1,3,0,1,4,2,0
570,12961,0,0,1,9,1,0,68,4,0,16,0,1,0,27,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,168,16,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,4,0,1,2,0,0
575,13077,0,0,1,1,5,0,24,0,0,25,0,0,0,46,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,203,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,2,0,0,19,0,0
580,13192,1,0,0,4,0,0,26,3,0,21,0,0,0,70,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,156,17,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,9,2,0,0,0,0,2,5,0,0
585,13307,0,0,0,0,0,0,4,0,0,13,0,0,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,282,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
590,13422,1,0,0,0,0,0,4,0,0,7,0,0,0,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0
593,13492,1,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
