"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis.occidentalis","Corylus","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Humulus.lupulus","Iva.annua","Iva.xanthifolia","Juglans","Juniperus.Thuja","Lamiaceae","Larix.laricina","Lycopodiaceae","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae.type","Pteridium.aquilinum","Quercus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Symphoricarpos.occidentalis","Thalictrum","Tilia.americana","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium"
220,2407,0,0,0,3,22,1,4,0,0,16,1,112,0,0,0,0,0,6,12,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,3,0,0,0,4,0,27,0,3,16,74,0,0,16,2,0,0,48,0,0,4,0,0,0,0,0,1,1,7,6,0,0,0
240,2663,0,0,1,2,16,2,3,0,0,9,1,103,0,0,0,0,0,2,9,0,0,1,0,1,0,8,3,0,0,0,0,1,2,0,3,0,0,0,4,0,42,2,2,5,50,0,0,20,2,3,0,65,0,0,1,0,0,2,0,0,4,0,6,5,0,0,0
250,2791,0,0,0,2,15,1,7,0,0,9,0,98,1,0,0,0,0,6,11,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,2,1,0,0,6,0,39,3,5,7,53,0,0,29,2,0,1,63,0,0,6,0,0,0,0,0,4,0,17,1,0,0,1
260,2902,0,0,0,0,17,1,7,0,0,11,4,100,0,0,0,0,0,2,9,0,0,0,0,0,0,4,8,0,0,0,2,0,2,0,2,0,0,0,4,0,31,2,0,0,27,0,0,22,6,0,0,51,0,0,2,0,0,0,0,0,6,1,12,3,0,0,1
280,3091,0,1,3,0,15,2,7,0,0,6,2,96,0,0,0,0,0,4,9,0,0,1,0,0,0,13,5,0,0,0,2,0,1,0,1,0,0,0,6,0,43,2,0,0,18,0,0,12,3,0,0,62,0,0,3,0,0,0,0,0,3,0,4,3,0,0,0
300,3279,2,0,0,1,8,3,6,0,0,10,3,85,0,0,0,0,0,2,24,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,2,0,0,0,1,0,83,0,0,4,15,0,0,57,5,0,0,74,0,0,3,0,0,0,0,0,3,0,5,7,0,0,0
320,3468,1,0,0,3,32,8,5,0,0,5,5,62,0,0,0,0,0,4,16,0,0,1,0,1,0,1,3,0,0,0,0,0,3,0,1,0,0,1,2,0,53,2,1,1,36,0,0,37,4,0,0,87,2,0,0,1,0,1,0,0,4,1,15,2,0,0,0
340,3656,0,0,3,1,14,2,2,0,0,5,3,116,0,0,0,0,0,4,16,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,2,0,69,1,2,1,4,0,0,65,2,0,1,63,0,0,0,0,0,0,0,0,2,2,8,2,0,0,0
360,3845,1,0,0,1,31,4,4,0,0,16,3,180,0,0,0,0,0,15,21,0,0,0,0,0,0,3,6,0,0,0,1,0,3,0,0,0,0,0,1,0,84,2,1,1,25,0,1,58,6,1,1,119,0,0,3,0,0,1,0,0,0,3,7,4,0,0,0
380,4033,1,0,0,0,20,11,21,0,0,25,4,293,0,0,0,0,0,7,23,0,0,0,0,0,0,4,6,0,0,0,2,1,0,0,1,0,0,1,2,0,53,1,1,1,24,0,0,119,5,0,0,122,0,0,7,0,0,0,0,2,0,1,11,8,0,0,1
400,4222,0,0,0,1,15,10,17,0,0,21,6,156,0,0,0,0,0,12,21,0,0,0,0,1,0,4,10,0,0,0,2,0,9,0,0,0,0,1,1,0,35,2,2,5,33,0,0,39,3,1,0,155,0,0,1,1,0,0,0,1,0,8,11,5,0,0,0
410,4316,0,0,0,1,23,5,16,1,0,25,10,64,0,0,1,0,0,5,20,1,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,16,0,1,7,38,0,0,33,5,0,0,136,0,0,7,0,0,0,0,0,0,0,7,3,0,2,0
420,4443,0,0,0,3,56,20,62,0,0,73,29,68,0,0,0,0,0,13,40,0,1,0,0,0,0,10,9,0,0,0,1,0,0,0,1,0,0,0,0,0,20,1,21,11,82,1,0,115,2,0,0,220,0,0,19,1,0,0,0,1,0,3,11,9,0,2,1
440,4796,0,1,0,1,47,20,24,2,0,69,13,86,0,0,0,1,0,6,59,3,0,0,0,0,0,3,2,1,0,1,2,0,1,0,0,0,0,0,0,0,16,3,11,1,57,0,0,140,1,0,2,231,0,1,16,2,0,2,0,0,0,2,9,28,0,0,0
460,5148,0,0,0,0,20,10,10,0,0,48,6,15,0,0,0,0,0,2,17,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,9,0,2,3,47,0,0,62,0,0,0,79,0,1,7,2,0,1,0,1,0,2,2,5,0,0,0
480,5500,0,0,0,0,21,7,21,0,0,59,10,18,0,0,0,0,0,6,16,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,23,0,0,70,0,1,0,91,0,2,2,1,0,0,0,0,0,0,4,6,0,0,0
500,5853,0,0,0,0,12,6,13,3,1,4,5,22,0,0,0,0,1,5,32,0,0,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,5,4,0,10,0,1,2,36,0,0,71,0,1,0,81,0,0,10,0,0,0,0,0,0,2,6,9,0,0,0
520,6205,0,0,0,0,9,8,19,0,0,48,5,7,0,0,0,0,0,8,13,0,0,0,0,0,0,1,3,0,0,1,1,0,1,0,0,0,0,7,1,0,7,0,2,2,10,0,0,37,3,4,1,114,0,0,5,1,0,2,0,0,0,1,5,8,0,0,0
540,6557,0,0,0,0,16,23,11,2,0,67,7,9,0,0,0,0,1,10,22,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,6,6,0,2,1,2,1,18,0,0,67,1,3,0,71,0,1,13,1,0,1,0,0,0,2,1,10,0,0,0
560,6910,0,0,0,0,3,32,1,0,0,46,9,7,0,0,0,0,0,10,16,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,8,0,4,0,2,1,19,0,0,38,2,0,0,103,0,1,13,0,0,0,0,0,0,2,7,1,2,0,1
580,7262,0,1,0,0,10,14,11,0,0,59,10,2,0,0,1,0,0,5,40,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,16,0,1,0,0,0,17,0,0,69,7,7,0,65,0,4,32,1,0,5,1,0,1,9,4,12,0,0,1
600,7614,0,1,0,0,1,12,26,0,1,77,5,7,0,0,0,0,0,12,30,0,0,0,0,1,0,2,0,0,0,6,0,0,3,0,0,0,0,11,12,0,2,1,1,0,22,0,0,64,1,1,0,87,0,2,3,0,0,7,0,0,0,5,5,5,0,0,0
620,7966,0,1,0,1,7,11,1,2,2,60,4,11,0,0,0,0,0,14,26,0,0,1,0,0,0,2,5,0,0,1,0,0,3,0,0,0,0,7,6,0,7,1,3,1,28,0,0,60,0,0,0,96,0,4,15,1,0,1,0,1,0,7,9,2,0,1,1
640,8319,0,0,0,0,7,17,30,0,2,54,7,9,0,0,0,0,1,8,32,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,6,0,4,2,4,0,36,0,0,47,2,1,1,83,0,2,7,1,0,7,0,0,0,14,2,4,0,1,0
660,8671,0,0,0,0,4,14,40,1,0,86,4,12,0,0,0,0,0,8,30,2,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,8,4,0,1,0,5,2,51,0,0,54,2,12,2,50,0,1,10,0,0,1,0,0,0,5,3,11,0,0,2
680,9023,0,0,0,0,4,26,38,1,0,74,5,9,0,0,1,0,0,6,20,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,36,0,0,48,1,0,0,35,0,0,27,1,0,2,0,0,0,18,2,10,0,0,1
700,9376,0,0,0,1,9,20,8,0,0,58,6,25,0,0,0,0,0,0,42,1,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,4,0,13,1,46,0,0,68,1,0,2,34,1,0,10,2,0,0,0,0,0,2,13,5,0,0,0
710,9552,0,1,0,0,4,11,25,0,0,30,2,19,0,0,1,0,0,5,12,0,0,0,0,0,0,1,3,0,0,0,0,1,9,0,0,0,0,0,0,0,5,2,3,0,82,0,0,75,3,0,4,11,1,1,8,0,0,0,0,1,0,4,7,1,0,0,1
720,9804,0,0,0,0,3,7,9,0,0,28,5,22,0,0,0,0,0,3,16,0,0,0,1,0,0,3,1,0,0,2,0,0,6,0,1,0,0,1,2,0,4,2,9,0,209,0,0,41,3,0,2,14,0,0,7,0,0,0,0,0,0,4,15,5,0,0,1
740,10346,1,0,0,0,5,6,7,0,0,14,1,57,0,0,3,0,0,6,20,1,0,1,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,0,4,0,0,5,74,4,148,0,1,13,8,6,8,11,0,0,1,2,0,0,0,0,0,2,16,3,0,0,1
760,10888,3,0,0,1,2,3,8,0,0,9,2,56,0,0,1,0,0,4,24,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,2,0,0,0,3,0,4,8,51,3,191,0,0,7,9,0,12,17,0,0,3,1,0,1,0,0,0,1,30,5,0,0,0
780,NA,3,2,0,0,2,3,1,0,0,13,2,84,0,0,0,0,0,6,10,0,0,1,0,2,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,38,32,0,144,0,0,1,5,0,11,20,0,0,1,0,0,1,0,0,0,1,12,4,0,0,0
790,NA,1,4,0,1,2,2,4,0,1,19,4,29,0,0,0,0,1,3,19,0,0,0,0,7,0,13,0,0,0,0,0,1,24,0,5,0,0,0,0,0,6,103,3,0,15,0,0,9,17,4,0,14,0,0,9,0,1,0,0,0,0,0,16,1,0,0,0
800,NA,1,3,0,0,6,1,3,0,0,19,1,24,0,0,0,0,0,7,15,0,0,0,0,4,0,22,0,0,0,0,0,1,17,0,10,0,0,0,0,0,4,116,0,0,19,0,0,17,18,2,0,16,1,0,10,0,4,0,0,2,0,4,15,1,0,0,0
