"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Populus","Poaceae","Carya","Cyperaceae","Herbs.undiff.","Ranunculaceae.undiff.","Artemisia","Amaranthaceae","Thalictrum","Tilia","Cornus","Lamiaceae","Caprifoliaceae","Rosaceae.undiff.","Polygonum","Juglans","Apiaceae","Onagraceae","Rhamnaceae","Campanulaceae","Caryophyllaceae","Potentilla.type","Shepherdia","Galium","Plantago","Dryas.type","Fabaceae"
135,2224,368,1,0,171,0,0,5,1,23,0,3,1,5,6,0,0,84,0,1,6,10,5,0,40,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2321,327,1,1,133,0,1,2,3,34,0,0,1,8,6,0,1,67,0,0,3,7,4,6,44,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2514,439,3,2,156,0,2,7,1,32,0,3,3,8,9,0,1,103,0,1,7,10,7,9,69,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2706,335,3,1,112,0,0,0,0,31,0,0,1,1,7,0,1,78,0,1,7,6,4,4,74,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2816,391,4,0,178,0,0,1,3,19,0,2,4,7,10,0,1,38,0,1,7,9,9,2,92,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2955,352,5,0,152,0,1,0,3,29,0,3,2,7,11,0,0,34,1,3,5,6,8,1,71,1,0,0,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3233,353,3,1,120,0,0,3,5,28,1,1,2,5,6,0,1,57,1,1,7,12,9,2,76,0,3,1,3,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
190,3511,334,3,1,154,0,0,0,3,30,0,0,0,3,4,0,1,55,1,0,5,5,3,2,61,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3790,428,1,0,155,0,0,0,1,41,0,1,2,7,13,0,0,63,3,3,1,10,6,3,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4068,293,0,0,116,0,1,0,0,45,0,2,2,4,8,0,0,46,0,2,7,6,4,1,47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4346,447,1,1,174,0,1,0,1,53,0,5,2,5,24,0,0,36,0,2,3,9,5,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4624,375,2,0,164,0,0,0,1,39,0,4,0,11,20,0,0,43,0,0,4,14,6,0,64,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4903,397,1,0,155,0,2,0,1,49,0,1,0,10,28,0,0,38,0,1,11,4,18,1,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5181,475,1,0,242,0,2,0,1,22,1,3,4,3,24,0,0,25,0,4,33,4,10,11,79,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5459,563,1,3,277,0,1,0,3,24,0,1,3,7,38,0,0,37,1,4,6,10,4,3,135,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5663,305,1,0,106,0,0,0,2,4,0,0,1,1,7,0,0,95,1,4,6,5,2,2,64,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5843,346,0,0,98,0,1,1,1,2,0,1,3,0,23,0,0,96,1,4,5,3,8,3,91,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6022,458,0,0,134,0,0,0,1,7,0,0,1,3,30,0,0,158,1,2,7,8,11,2,87,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
300,6202,589,1,1,172,0,1,0,1,7,0,1,0,4,26,1,0,213,0,5,8,3,12,2,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,6381,403,0,1,88,0,1,0,1,1,0,0,0,1,12,0,0,138,0,2,7,5,13,0,130,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6560,303,0,0,77,0,0,0,0,1,0,1,1,0,26,0,0,116,0,5,2,3,7,3,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,6740,340,1,1,104,0,0,2,0,5,0,1,1,1,26,0,0,71,0,2,3,1,8,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6919,395,2,0,57,0,0,0,0,1,0,0,0,9,18,0,0,133,0,2,5,4,1,0,158,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7100,376,0,0,55,0,4,0,0,2,0,1,3,10,28,0,0,57,0,3,12,8,3,1,185,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7303,261,5,0,59,0,0,0,0,2,0,1,0,9,26,0,0,24,1,4,5,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7506,410,1,1,67,0,0,0,0,4,0,0,2,7,31,0,1,42,1,5,3,7,5,0,225,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
380,7708,398,1,2,68,0,4,0,1,1,0,0,2,9,43,0,0,41,0,3,5,3,6,2,199,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,7911,332,2,2,95,0,2,0,0,0,0,1,1,9,21,0,0,12,0,5,8,1,4,1,163,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8114,302,7,2,82,0,9,0,0,1,0,0,0,8,14,0,2,11,0,1,24,2,2,7,123,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,8317,261,2,0,74,0,2,1,0,1,0,0,0,5,17,0,2,1,0,0,10,1,2,4,132,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,8520,416,5,0,118,1,1,0,0,1,1,0,3,8,49,0,0,11,0,3,14,0,5,10,174,4,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
430,8722,423,8,0,75,0,1,0,0,1,0,0,4,3,44,0,1,9,1,3,13,1,9,7,236,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,8925,398,4,1,100,0,2,0,0,0,0,1,2,3,60,0,1,1,0,1,24,3,6,8,175,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,9128,322,2,0,65,0,3,0,0,0,0,0,4,7,49,0,2,1,0,7,10,0,6,7,151,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9331,358,6,2,94,0,4,0,0,1,0,1,2,8,25,0,3,1,0,2,19,2,3,10,169,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
470,9533,370,5,0,72,0,1,0,0,0,0,0,3,6,24,0,0,2,1,2,13,1,7,13,204,4,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
480,9736,442,5,0,136,1,2,0,1,0,0,3,4,17,23,1,2,3,1,3,13,4,1,7,198,11,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,9939,422,7,0,189,0,1,0,1,0,0,1,5,10,32,0,4,1,1,1,20,2,1,11,128,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10142,320,9,0,143,0,2,0,1,0,0,7,3,24,13,0,2,1,2,1,15,3,2,4,68,11,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,10346,315,19,0,92,0,6,0,0,0,0,8,3,19,26,0,2,2,1,1,34,2,2,24,42,15,3,2,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
520,10574,293,29,0,57,1,1,0,2,0,0,11,5,46,20,0,1,1,3,1,27,3,5,16,42,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
525,10689,374,33,0,51,0,3,1,2,0,0,8,13,80,21,0,2,3,3,3,18,2,4,23,47,42,1,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
530,10803,275,0,1,49,0,2,1,2,0,0,1,0,41,17,0,12,1,0,2,12,1,6,26,29,47,1,0,22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
535,10917,273,3,0,62,0,1,0,1,0,0,0,8,65,17,0,9,3,0,3,17,0,3,15,27,29,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,11031,543,0,0,228,0,2,4,3,0,0,1,1,49,11,0,21,0,5,0,14,0,0,93,50,7,9,0,36,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0
545,11145,336,0,0,121,2,3,1,3,0,0,0,14,53,2,1,9,1,1,1,20,0,1,1,43,1,3,0,48,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
565,11602,324,0,0,52,0,1,1,1,0,0,0,32,52,4,4,16,0,2,0,32,1,0,4,40,0,12,0,58,0,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
595,12288,268,1,1,44,1,2,3,0,0,0,0,11,60,0,1,12,0,2,0,13,0,0,1,52,0,6,0,49,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
620,12859,297,0,2,31,0,0,0,2,0,0,0,6,120,1,0,8,0,5,0,23,0,0,1,57,0,6,1,29,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,12904,400,0,0,24,1,0,0,0,0,0,0,7,214,2,1,5,0,3,1,22,0,2,2,65,6,8,0,30,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,12979,275,0,0,35,0,0,0,0,1,0,0,5,158,6,0,0,0,0,2,8,0,1,4,27,4,3,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
630,13459,370,0,1,49,0,0,0,1,0,0,0,13,170,7,0,2,0,0,1,2,0,1,1,29,34,2,0,49,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
635,13859,561,1,0,92,0,0,15,0,0,0,0,0,36,2,0,8,0,3,1,2,0,0,5,31,256,11,0,78,1,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,0
638,14099,345,0,0,88,0,0,3,0,0,0,0,1,36,2,0,2,0,1,0,1,0,0,4,47,79,5,1,68,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
641,14339,347,0,1,39,0,0,4,3,1,0,0,4,35,0,0,15,0,6,0,0,0,0,5,59,77,8,1,57,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,2,0,0
647,NA,244,2,1,26,0,1,0,0,0,0,0,7,25,6,1,30,0,2,3,0,0,1,1,39,6,11,1,46,3,2,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,2,1,0
652,NA,293,2,2,17,0,0,0,0,0,0,0,5,27,5,0,29,0,3,0,6,1,1,1,91,1,18,0,64,0,0,13,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,1,0,0
655,NA,269,0,3,39,0,3,0,0,0,0,0,10,24,10,0,39,0,1,4,4,1,1,1,43,1,16,2,34,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7,1
660,NA,221,0,1,29,0,0,0,1,0,0,0,1,19,12,0,31,0,0,6,4,1,3,1,48,1,26,0,18,2,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,2,1
665,NA,104,0,1,9,0,1,1,2,0,0,0,5,12,7,0,4,0,0,0,10,0,1,4,19,7,5,2,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0
