"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Elaeagnaceae.undiff.","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Juglans","Lamiaceae","Larix","Lycopodium.type","Myrica","Ostrya.type","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Pteridium","Quercus","Ranunculaceae","Rhamnaceae","Rosaceae","Rubiaceae","Rumex","Salix","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Ulmus","Unknown","Urticaceae","Vitaceae"
180,3185,1,0,11,2,1,1,1,1,0,129,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,285,10,1,30,0,2,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0
185,3270,0,0,15,5,1,2,1,0,1,190,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,1,0,0,0,0,213,7,4,19,0,1,0,1,0,0,4,0,0,0,0,0,0,0,7,0,3,3,0,0,0
190,3356,0,0,18,4,0,0,2,3,0,183,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,2,1,0,0,0,226.5,5,5,36,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0
195,3442,3,1,13,9,0,1,5,2,0,164,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,2,0,0,0,228.5,2,3,21,0,4,0,1,2,0,3,0,0,0,0,0,0,0,9,0,1,1,0,0,0
200,3528,1,0,17,6,0,1,0,3,0,143,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,3,4,1,0,0,266,5,1,24,0,0,0,2,0,0,3,0,0,0,0,0,2,0,6,0,0,0,0,0,0
205,3613,3,0,9,6,0,0,2,0,0,173,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,2,0,0,0,0,219.5,2,1,20,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5,0,1,2,0,0,0
210,3699,5,0,12,5,0,3,2,1,0,220,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,1,1,0,0,0,245,6,3,17,1,2,0,2,0,0,3,0,0,0,0,0,0,0,7,0,1,2,0,0,0
215,3785,1,0,9,8,1,1,0,0,0,207,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245.5,0,0,12.5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0
220,3870,0,0,11,7,3,2,0,2,0,177,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,3,2,1,1,0,251,7,2,29.5,0,1,0,2,0,0,2,0,0,0,1,0,0,0,15,0,0,1,0,0,1
225,3956,3,0,20,6,0,0,1,1,0,188,0,0,0,0,0,2,7,0,0,2,0,0,2,0,0,1,1,0,0,0,228,5,4,12,0,0,0,4,0,0,5,0,0,0,0,0,0,0,15,0,0,2,0,0,0
230,4042,0,1,24,3,0,2,1,1,0,150,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,253.5,5,2,25.5,0,1,0,1,0,0,3,0,0,0,0,0,0,0,9,0,0,1,1,0,0
235,4128,0,1,10,1,0,2,3,0,0,189,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,0,0,199,3,3,13,0,0,0,1,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
240,4213,0,0,7,3,0,3,1,0,0,184,0,0,0,0,0,1,2,0,0,0,0,1,5,0,0,1,0,0,0,0,212,4,0,10,0,0,0,1,3,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0
245,4299,0,0,16,9,1,1,0,1,0,202,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,206.5,1,5,15.5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0
250,4345,4,0,23,10,0,2,0,2,0,294,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,193.5,8,8,26.5,0,4,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0
255,4392,0,1,16,3,1,1,0,3,0,210,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,200,0,3,14.5,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
260,4438,1,2,9,10,0,2,1,0,0,204,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,195,1,3,8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0
265,4485,1,1,11,6,0,2,1,0,0,210,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,0,0,172,11,1,19.5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0
275,4578,1,1,11,3,0,1,0,4,0,230,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,190,2,1,10,0,1,0,2,1,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0
280,4624,1,1,10,3,0,5,1,3,0,283,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,208.5,8,2,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,0
285,4671,1,1,17,8,0,1,0,2,1,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,168.5,9,1,32,0,2,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0
290,4717,0,0,25,8,0,1,3,0,0,301,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,170,4,0,49,0,1,0,0,0,0,4,0,0,0,0,0,1,0,4,0,0,1,0,0,0
295,4763,2,1,9,8,1,5,0,0,0,220,0,0,0,0,0,2,2,0,0,2,0,2,1,0,0,1,0,1,0,0,180,0,2,20,0,5,0,1,0,0,5,0,0,0,0,0,1,0,2,0,0,2,0,0,0
300,4810,0,0,16,4,0,0,0,1,0,291,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,166,5,1,22.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4856,2,0,9,10,0,2,2,0,0,251,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,1,2,1,0,0,168,3,1,22,0,1,0,0,3,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0
310,4903,1,1,22,3,0,0,2,1,0,244,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,1,0,0,0,175,3,2,36,0,0,0,2,2,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0
315,4949,0,1,8,7,0,2,0,2,0,223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.5,2,2,7.5,0,1,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0
320,4996,1,0,17,4,0,0,1,1,0,231,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,110.5,13,9,69,0,1,0,0,3,1,1,0,0,0,0,0,1,0,7,0,0,1,0,0,0
325,5042,0,1,18,9,0,0,0,1,0,210,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,204,2,5,17,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
330,5089,1,1,17,6,0,1,0,2,0,301,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,179,16,4,21.5,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
335,5135,2,1,28,11,0,0,3,1,0,241,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,156,5,4,18,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0
340,5181,4,1,10,7,0,0,0,1,0,313,0,2,1,0,0,1,2,0,0,0,0,2,2,0,0,5,2,0,0,0,215.5,7,0,11.5,0,0,0,2,4,0,3,0,0,0,0,0,1,0,4,0,1,1,0,0,0
345,5228,1,1,8,8,0,0,0,1,0,238,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,162,3,5,14,1,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0
350,5274,0,0,17,8,0,2,3,3,0,284,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,2,0,0,0,184.5,16,4,15.5,1,0,0,2,1,1,3,0,0,0,0,0,1,0,2,0,0,2,1,0,0
355,5321,1,0,18,4,0,2,0,2,0,240,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,176.5,4,2,14.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0
360,5367,0,0,14,5,0,0,2,3,0,208,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,198,0,1,12.5,0,1,0,1,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0
365,5541,3,1,18,14,1,1,0,1,0,273,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,0,3,0,0,158,9,5,41,0,2,0,1,0,0,4,1,0,1,0,0,0,0,2,0,1,0,1,0,0
370,5716,0,0,13,8,0,1,0,0,0,278,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0,0,145,3,2,20.5,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0
375,5890,0,2,19,12,0,1,2,1,0,238,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,181.5,9,3,36.5,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
380,6064,2,0,9,14,0,1,0,2,0,174,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,1,0,4,0,0,212,4,0,14.5,0,1,0,2,1,0,2,0,0,0,0,0,1,0,3,0,2,1,1,0,0
385,6239,4,0,9,18,2,1,0,1,0,200,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,198,3,7,23,0,1,0,1,2,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0
390,6413,0,0,5,14,0,0,0,2,0,206,0,1,0,0,1,1,7,0,0,0,0,0,2,0,0,2,2,1,0,0,182.5,4,3,26.5,0,1,0,0,2,0,2,1,0,0,0,0,2,0,2,0,1,2,0,0,0
395,6587,2,0,6,16,1,3,2,1,1,183,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,184.5,8,3,43,1,0,0,1,3,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
400,6761,1,0,7,4,0,2,2,1,0,174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,168.5,11,15,60,1,2,0,1,0,0,4,0,0,0,0,0,1,0,4,0,1,5,0,0,0
405,6936,2,0,5,14,1,3,1,2,0,208,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,187.5,4,7,28.5,0,1,0,1,1,0,5,0,0,0,0,0,0,0,8,0,1,5,0,0,0
410,7110,0,1,5,6,0,2,4,4,0,121,0,0,0,0,0,2,6,0,0,0,1,2,3,0,2,1,1,0,0,0,244,5,2,50,0,0,0,0,3,0,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0
415,7284,0,1,6,8,0,2,0,2,0,193,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,2,1,2,0,0,212.5,6,4,16,0,0,0,0,3,0,3,0,0,0,0,0,1,0,9,0,0,2,0,0,0
420,7459,0,0,9,6,1,1,1,2,0,160,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,2,2,0,0,1,221.5,3,0,48,0,2,0,0,6,0,5,0,0,0,0,0,1,0,12,0,0,4,2,0,0
425,7633,3,0,3,6,3,0,0,2,1,185,0,0,0,0,0,2,10,0,0,0,0,0,3,0,0,1,2,0,0,0,231.5,8,10,29,0,0,0,4,0,0,4,0,0,0,0,0,1,0,9,0,0,3,1,0,0
430,7808,0,0,11,12,0,2,1,6,0,152,0,1,1,0,0,0,7,0,0,0,0,2,4,0,0,1,3,0,1,0,240,13,6,53.5,0,1,0,0,2,0,5,0,0,1,0,0,4,0,18,0,0,3,0,0,0
435,7983,0,0,0,12,2,2,0,1,1,181,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,4,1,1,0,0,206.5,1,8,26.5,0,0,0,3,4,0,4,0,0,0,0,0,2,0,6,0,0,2,0,0,0
440,8158,0,0,2,4,0,6,4,3,0,287,0,0,0,1,0,1,15,0,0,1,0,2,5,0,0,4,2,1,0,0,154,8,2,25,0,0,0,1,4,0,5,0,0,0,0,0,4,0,2,0,0,4,0,0,0
445,8332,3,1,2,15,0,5,6,2,2,240,0,0,0,0,0,2,7,0,0,0,0,2,2,0,0,5,5,3,0,0,154,0,2,20.5,0,2,0,5,2,0,6,0,0,0,0,0,1,0,1,0,1,3,0,0,0
450,NA,0,1,6,8,2,1,7,4,0,280,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,13,10,0,0,0,120.5,12,2,29.5,0,0,0,6,10,0,7,0,0,0,0,0,2,0,2,0,0,4,0,0,0
453,NA,3,4,2,34,3,9,8,9,0,162,0,0,0,0,0,6,30,0,0,1,0,0,6,1,0,31,6,0,0,0,225.5,5,9,14,0,4,0,3,4,0,20,1,0,1,0,0,6,0,2,0,1,2,0,0,0
455,NA,1,2,6,42,6,4,5,3,2,175,0,0,0,0,0,0,37,0,0,0,0,0,4,0,0,34,2,2,0,0,214.5,5,17,16.5,0,4,0,6,4,0,7,4,0,0,0,0,10,1,6,0,1,1,0,0,0
457,NA,1,1,4,36,2,6,4,12,0,109,0,2,0,0,0,6,25,0,0,0,0,1,1,0,1,42,7,0,0,0,230,6,8,15.5,0,2,0,10,4,1,9,0,0,0,0,0,18,2,5,0,1,2,0,0,0
460,NA,0,1,6,30,2,3,5,8,1,92,0,0,0,0,0,2,39,0,0,1,0,1,6,0,0,6,6,0,0,1,121.5,26,16,18,0,8,0,6,2,0,8,1,0,0,0,0,8,1,0,1,0,4,0,0,0
463,NA,1,1,0,26,4,8,8,9,0,69,1,0,0,0,0,5,58,0,1,2,0,0,6,0,0,4,11,0,1,0,263,12,41,14,0,2,0,5,3,0,6,0,0,0,0,0,11,1,3,0,0,6,0,0,0
465,NA,1,0,5,17,0,4,1,2,0,83,0,0,0,0,0,5,17,0,2,0,0,0,8,0,1,3,9,0,1,0,122,29,14,33,0,2,0,4,1,0,10,0,0,0,0,0,7,0,7,0,0,2,1,0,0
