"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.undiff.","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea"
20,163,0,0,0.008333333,0,0.021666667,0,0,0.01,0,0,0,0.173333333,0,0.005,0.026666667,0,0,0,0,0.005,0,0,0,0.101666667,0.008333333,0,0,0.001666667,0.003333333,0.003333333,0,0.005,0.003333333,0,0,0.018333333,0,0,0.051666667,0.033333333,0.053333333,0.046666667,0.006666667,0,0,0.168333333,0,0.001666667,0,0,0,0,0.113333333,0.008333333,0,0.02,0,0.005,0.001666667,0,0.003333333,0,0,0,0,0.055,0,0,0,0.035,0.001666667,0,0,0
22,192,0,0,0.004854369,0,0.009708738,0,0,0.008090615,0,0,0,0.208737864,0,0.003236246,0.009708738,0,0,0,0,0.003236246,0,0,0.003236246,0.093851133,0.004854369,0,0,0,0.008090615,0.001618123,0,0.006472492,0,0,0,0.011326861,0,0.006472492,0.027508091,0.046925566,0.045307443,0.038834951,0,0.001618123,0,0.174757282,0,0,0,0,0,0,0.160194175,0,0,0.012944984,0.001618123,0.003236246,0.001618123,0.001618123,0.008090615,0,0,0,0,0.066343042,0,0,0,0.025889968,0,0,0,0
24,225,0,0,0.014440433,0,0.016245487,0,0,0.003610108,0,0,0,0.198555957,0,0.012635379,0.02166065,0,0.001805054,0,0.001805054,0.005415162,0,0,0.003610108,0.101083032,0.003610108,0.005415162,0.001805054,0.001805054,0.005415162,0.003610108,0,0.009025271,0.001805054,0,0,0.014440433,0,0.003610108,0.036101083,0.041516245,0.054151625,0.048736462,0,0.001805054,0,0.128158845,0,0,0,0,0,0.003610108,0.205776173,0,0,0.009025271,0.001805054,0.005415162,0.001805054,0,0.005415162,0,0,0,0,0.016245487,0,0,0.001805054,0.007220217,0,0,0,0
26,262,0,0,0.008865248,0,0.010638298,0,0,0.005319149,0,0,0,0.210992908,0,0.023049645,0.014184397,0,0,0,0,0.00177305,0,0,0.003546099,0.113475177,0.003546099,0,0,0.003546099,0.003546099,0.00177305,0,0.005319149,0,0,0,0.008865248,0,0.00177305,0.05141844,0.019503546,0.072695035,0.035460993,0.005319149,0.005319149,0,0.131205674,0,0,0,0,0,0,0.187943262,0.005319149,0.003546099,0.007092199,0.00177305,0.00177305,0.00177305,0,0.005319149,0,0,0,0.00177305,0.023049645,0,0,0.00177305,0.015957447,0.00177305,0,0,0
28,300,0,0,0.015503876,0,0.015503876,0,0,0.005813953,0,0,0,0.242248062,0,0.003875969,0.021317829,0,0,0,0,0.003875969,0,0,0.001937984,0.147286822,0.005813953,0.007751938,0,0,0.005813953,0.001937984,0,0.003875969,0,0,0,0.023255814,0,0.001937984,0.063953488,0.025193798,0.031007752,0.023255814,0.005813953,0,0,0.17248062,0,0.001937984,0,0,0,0.001937984,0.075581395,0.011627907,0,0.021317829,0,0.001937984,0,0,0.007751938,0,0,0,0,0.025193798,0,0,0.005813953,0.01744186,0,0,0,0
30,337,0,0,0.018425461,0,0.005025126,0,0,0.008375209,0,0,0,0.212730318,0,0.011725293,0.018425461,0.001675042,0,0,0,0.001675042,0,0,0.001675042,0.095477387,0.010050251,0.005025126,0,0.003350084,0.006700168,0,0,0.003350084,0,0,0,0.021775544,0,0.005025126,0.065326633,0.023450586,0.023450586,0.060301508,0,0.001675042,0,0.137353434,0,0,0,0,0,0,0.194304858,0.003350084,0,0.015075377,0,0.001675042,0,0.001675042,0.016750419,0,0,0,0,0.013400335,0,0,0.001675042,0.010050251,0,0,0,0
32,374,0,0,0.012237762,0,0.01048951,0,0,0.001748252,0,0,0,0.187062937,0,0.008741259,0.01048951,0,0,0,0,0.003496503,0,0,0.006993007,0.138111888,0.013986014,0,0.001748252,0,0.003496503,0.001748252,0,0.005244755,0,0,0,0.022727273,0,0.001748252,0.038461538,0.033216783,0.041958042,0.048951049,0.001748252,0,0,0.152097902,0,0,0,0,0,0,0.211538462,0.003496503,0,0.005244755,0.001748252,0,0,0,0.005244755,0,0,0,0,0.008741259,0,0,0.003496503,0.013986014,0,0,0,0
34,412,0,0,0.005244755,0,0.01048951,0,0,0.013986014,0,0,0,0.192307692,0,0.005244755,0.027972028,0,0.003496503,0,0,0.003496503,0,0,0.003496503,0.09965035,0.008741259,0.005244755,0,0.001748252,0.003496503,0,0,0.005244755,0,0,0,0.026223776,0,0.003496503,0.048951049,0.041958042,0.045454545,0.038461538,0.001748252,0.001748252,0,0.136363636,0,0,0,0,0,0,0.206293706,0.003496503,0,0.012237762,0,0.005244755,0,0.003496503,0.003496503,0,0,0,0,0.008741259,0,0,0,0.022727273,0,0,0,0
36,449,0,0,0.009041591,0,0.007233273,0,0,0.01084991,0,0,0,0.247739602,0,0,0.023508137,0,0.007233273,0,0,0.005424955,0,0,0.003616637,0.130198915,0.009041591,0.003616637,0,0.001808318,0.01084991,0,0,0.003616637,0.001808318,0,0,0.007233273,0,0.005424955,0.036166365,0.04159132,0.045207957,0.027124774,0.003616637,0.001808318,0,0.164556962,0,0,0,0,0,0,0.146473779,0.01084991,0.001808318,0.007233273,0,0.003616637,0.001808318,0,0.005424955,0,0,0,0,0.005424955,0,0,0,0.009041591,0,0,0,0
39,505,0,0,0.011029412,0,0.007352941,0,0,0.014705882,0,0,0,0.226102941,0,0.014705882,0.020220588,0,0.005514706,0,0.001838235,0.009191176,0,0,0.001838235,0.132352941,0.001838235,0.003676471,0,0,0.003676471,0.003676471,0,0.001838235,0,0,0,0.012867647,0,0.005514706,0.038602941,0.009191176,0.042279412,0.033088235,0,0.003676471,0,0.185661765,0,0,0,0,0,0,0.181985294,0.005514706,0,0.001838235,0.001838235,0.001838235,0,0,0.005514706,0,0,0,0.001838235,0.005514706,0,0,0,0.003676471,0,0,0,0
41,543,0,0,0.014159292,0,0.015929204,0,0,0.015929204,0,0,0,0.23539823,0,0,0.008849558,0,0.001769912,0,0,0.008849558,0,0,0.003539823,0.146902655,0.005309735,0,0.001769912,0.012389381,0.001769912,0.005309735,0,0.003539823,0,0,0,0.024778761,0,0.001769912,0.03539823,0.017699115,0.017699115,0.02300885,0,0,0,0.123893805,0,0,0,0,0,0,0.228318584,0.003539823,0,0.012389381,0,0.003539823,0,0,0.003539823,0,0,0,0,0.014159292,0,0,0,0.008849558,0,0,0,0
43,580,0,0,0.005607477,0,0.028037383,0,0,0.005607477,0,0,0,0.231775701,0,0.013084112,0.013084112,0,0.003738318,0,0,0.005607477,0,0,0.003738318,0.140186916,0.003738318,0.005607477,0,0,0.001869159,0.001869159,0,0.003738318,0,0,0,0.009345794,0,0.001869159,0.044859813,0.005607477,0.059813084,0.014953271,0.001869159,0,0,0.162616822,0,0,0,0,0,0,0.194392523,0.005607477,0.001869159,0.011214953,0.001869159,0,0,0,0.001869159,0,0,0,0,0.009345794,0,0,0,0.005607477,0,0,0,0
46,632,0,0,0.005597015,0,0.014925373,0,0,0.005597015,0,0,0,0.27238806,0,0.005597015,0.013059701,0,0,0,0,0.005597015,0,0,0.001865672,0.195895522,0.005597015,0.001865672,0,0.001865672,0.003731343,0.001865672,0,0.001865672,0,0,0,0.02238806,0,0.003731343,0.026119403,0.003731343,0.024253731,0.050373134,0,0,0,0.115671642,0,0,0,0,0,0,0.195895522,0.003731343,0.001865672,0.003731343,0,0.001865672,0.001865672,0,0.005597015,0,0,0,0,0.001865672,0,0,0,0,0,0,0,0
49,675,0,0,0.008849558,0,0.008849558,0,0,0.010619469,0,0,0,0.205309735,0,0.012389381,0.014159292,0,0.003539823,0,0.001769912,0,0,0,0,0.182300885,0.007079646,0.003539823,0.001769912,0,0.001769912,0.001769912,0,0.001769912,0.001769912,0,0,0.007079646,0.001769912,0.001769912,0.02300885,0.015929204,0.046017699,0.03539823,0.003539823,0,0,0.173451327,0,0,0,0,0,0,0.194690265,0.005309735,0.001769912,0.001769912,0,0.001769912,0,0,0.008849558,0,0,0,0,0.003539823,0,0,0.003539823,0,0.003539823,0,0,0
51,704,0,0,0.003802281,0,0.013307985,0,0,0.001901141,0,0,0,0.231939163,0,0.009505703,0.013307985,0,0,0,0,0,0,0,0.001901141,0.188212928,0.009505703,0.005703422,0,0.003802281,0,0,0,0.001901141,0,0,0,0.020912548,0,0.005703422,0.049429658,0.013307985,0.043726236,0.030418251,0.001901141,0,0,0.155893536,0,0,0,0,0,0,0.16539924,0.009505703,0.003802281,0,0,0.001901141,0,0,0.009505703,0,0,0,0,0,0,0,0,0,0.003802281,0,0,0
53,732,0,0,0.001858736,0,0.016728625,0,0,0.005576208,0,0,0,0.171003717,0,0.018587361,0.027881041,0,0,0,0,0.001858736,0,0,0.005576208,0.234200743,0.00929368,0.00929368,0,0.005576208,0,0.003717472,0,0,0,0,0,0.014869888,0.001858736,0,0.048327138,0.003717472,0.018587361,0.044609665,0,0,0,0.124535316,0,0,0,0,0,0,0.204460967,0.005576208,0,0.003717472,0.001858736,0,0,0,0.00929368,0,0,0,0.001858736,0,0.001858736,0,0,0.003717472,0,0,0,0
55,761,0,0,0.010909091,0,0.023636364,0,0,0.003636364,0,0,0,0.243636364,0,0.02,0.014545455,0,0,0,0,0.005454545,0,0,0.003636364,0.223636364,0.003636364,0.003636364,0,0,0.003636364,0.001818182,0,0.001818182,0,0,0,0.014545455,0,0.007272727,0.04,0.010909091,0.029090909,0.027272727,0.005454545,0.001818182,0,0.101818182,0,0,0,0,0,0.003636364,0.172727273,0.009090909,0.001818182,0.003636364,0,0,0,0,0,0,0,0,0,0.001818182,0,0,0,0.005454545,0,0,0,0
57,789,0,0,0.02037037,0,0.035185185,0,0,0.011111111,0,0,0,0.161111111,0,0.02037037,0.014814815,0,0.001851852,0,0,0.001851852,0,0,0,0.246296296,0.005555556,0.003703704,0,0.007407407,0.007407407,0,0,0.001851852,0,0,0,0.016666667,0.001851852,0.005555556,0.033333333,0.009259259,0.014814815,0.035185185,0.003703704,0,0,0.155555556,0,0,0,0,0,0,0.17037037,0.003703704,0,0,0,0,0,0,0.005555556,0,0,0,0,0,0,0,0.001851852,0.003703704,0,0,0,0
59,818,0,0,0.012891344,0,0.014732965,0,0,0,0,0,0,0.191528545,0,0.007366483,0.020257827,0,0.001841621,0,0,0,0,0,0.007366483,0.189686924,0.016574586,0.007366483,0,0.003683241,0.009208103,0,0,0,0,0,0,0.022099448,0,0,0.047882136,0.027624309,0.023941068,0.036832413,0.003683241,0,0,0.119705341,0,0.001841621,0,0,0,0.001841621,0.224677716,0.003683241,0,0,0,0,0,0,0.003683241,0,0,0,0,0,0,0,0,0,0,0,0,0
61,847,0,0,0.009433962,0,0.013207547,0,0,0.011320755,0,0,0,0.196226415,0,0.01509434,0.011320755,0,0,0,0,0,0,0,0.001886792,0.216981132,0.018867925,0,0,0,0.00754717,0.005660377,0,0,0,0,0,0.013207547,0,0.001886792,0.045283019,0.011320755,0.018867925,0.049056604,0.001886792,0,0,0.1,0,0,0,0,0,0.001886792,0.235849057,0.003773585,0,0,0.001886792,0.003773585,0,0,0.003773585,0,0,0,0,0,0,0,0,0,0,0,0,0
63,875,0,0,0.005535055,0,0.016605166,0,0,0.011070111,0,0,0,0.167896679,0,0.009225092,0.009225092,0,0,0,0,0.003690037,0,0,0,0.245387454,0.005535055,0.003690037,0,0.001845018,0,0.001845018,0,0.001845018,0,0,0,0.012915129,0,0.005535055,0.016605166,0.012915129,0.044280443,0.035055351,0,0,0,0.101476015,0,0.001845018,0,0,0,0,0.274907749,0,0,0,0.001845018,0,0,0.001845018,0.003690037,0.001845018,0,0,0,0,0,0,0.001845018,0,0,0,0,0
65,904,0.001890359,0,0.007561437,0,0.017013233,0,0,0.009451796,0,0,0,0.215500945,0,0.009451796,0.009451796,0,0,0,0,0.003780718,0,0.001890359,0.005671078,0.20415879,0.015122873,0.001890359,0,0,0.001890359,0.003780718,0,0.003780718,0,0,0,0.018903592,0,0,0.015122873,0,0.015122873,0.034026465,0,0,0,0.130434783,0,0,0,0,0,0,0.247637051,0.011342155,0,0,0,0.003780718,0,0,0.003780718,0,0,0,0,0.001890359,0,0,0,0.005671078,0,0,0,0
67,932,0,0,0.005671078,0,0.028355388,0,0,0.007561437,0,0,0,0.160680529,0,0.001890359,0.018903592,0,0,0,0,0.001890359,0,0,0.003780718,0.215500945,0.011342155,0.003780718,0,0,0.005671078,0.003780718,0,0.003780718,0,0,0,0.011342155,0,0.001890359,0.005671078,0.013232514,0.026465028,0.060491493,0.003780718,0,0,0.120982987,0,0,0,0,0,0,0.260869565,0.003780718,0,0,0,0.001890359,0,0,0.009451796,0,0,0,0,0.005671078,0,0,0.001890359,0,0,0,0,0
69,NA,0,0,0.010948905,0,0.016423358,0,0,0.00729927,0,0,0,0.208029197,0,0.010948905,0.005474453,0,0,0,0,0,0,0,0.001824818,0.198905109,0.009124088,0.001824818,0,0.001824818,0.00729927,0.001824818,0,0,0,0,0,0.00729927,0,0.003649635,0.02919708,0.012773723,0.038321168,0.018248175,0,0,0,0.114963504,0,0,0,0,0,0,0.273722628,0.003649635,0,0.003649635,0,0,0.001824818,0,0.009124088,0,0,0,0,0.001824818,0,0,0,0,0,0,0,0
