"sample.depths","sample.ages","upland.sum","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Herbs.undiff.","Larix","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Ambrosia","Cornus","Fraxinus","Juglans","Populus","Poaceae","Juniperus","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Amaranthaceae.undiff.","Asteraceae.undiff.","Platanus","Thalictrum","Brassicaceae","Urtica","Ericaceae","Trees.undiff.","Abies","Sarcobatus.vermiculatus","Ranunculaceae.undiff.","Nyssa","Rubus","Ephedra","Humulus"
760,8008,314,5,3,0,0,6,0,0,1,0,86,0,7,0,48,3,13,0,0,9,2,0,1,0,19,54,50,0,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0
780,8341,313,1,4,0,1,5,0,2,1,1,105,1,2,0,55,4,14,4,0,11,0,0,2,0,15,51,26,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
800,8674,345,5,1,3,3,5,0,0,1,1,108,3,4,0,51,2,10,10,0,14,1,0,6,0,25,49,32,4,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0
815,8924,317,7,2,1,0,7,0,1,0,1,39,2,5,0,39,3,8,8,1,9,0,0,3,0,20,84,68,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
830,9174,341,7,1,0,0,3,0,0,2,2,52,0,3,0,48,0,15,5,0,7,2,0,0,1,22,90,70,2,2,0,2,0,2,1,0,0,0,1,0,0,0,0,1
850,9507,301,18,2,0,2,4,0,0,3,3,41,3,2,0,34,2,7,7,0,7,1,0,4,0,33,79,42,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
870,9840,335,20,2,0,1,3,0,0,0,1,71,1,6,0,22,1,26,5,0,6,0,0,3,0,27,82,47,3,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0
890,10173,315,15,2,0,3,2,0,0,1,1,56,1,3,0,25,1,15,6,0,5,0,0,1,0,41,84,45,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
910,10506,311,32,1,0,1,6,0,0,1,4,51,1,8,0,27,3,9,4,0,8,0,0,1,0,41,78,24,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1
930,10839,328,19,0,0,3,2,0,0,0,2,65,2,2,0,20,2,11,3,0,13,4,0,2,0,54,91,25,2,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0
950,11166,338,45,5,0,0,1,0,1,4,8,37,2,2,0,28,0,0,5,0,3,1,0,0,0,95,80,10,2,1,0,1,0,1,0,0,0,5,0,0,0,1,0,0
970,11494,348,70,2,0,3,9,0,0,5,10,69,2,1,0,39,1,1,2,1,17,1,0,4,0,70,16,12,0,0,0,0,0,1,1,0,0,11,0,0,0,0,0,0
980,11658,350,80,3,2,2,5,0,0,6,8,42,1,0,0,34,0,3,2,2,24,4,0,4,1,93,9,13,2,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0
990,11822,342,38,3,2,3,13,0,2,10,14,45,5,0,0,32,1,0,3,0,17,5,0,6,0,117,5,7,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
995,11904,303,57,1,1,3,10,0,3,11,29,30,1,1,0,16,1,0,4,0,27,2,0,1,0,78,3,8,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
1000,12058,329,21,0,0,1,11,0,2,9,71,38,4,0,0,23,1,0,3,0,24,3,0,6,0,87,2,3,4,1,0,0,0,2,0,0,0,13,0,0,0,0,0,0
1010,12417,313,10,1,0,3,3,0,1,11,115,33,2,0,0,18,5,0,4,0,19,1,0,3,0,71,1,5,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
1030,13134,311,11,0,1,0,7,0,0,10,160,21,1,0,0,11,2,2,0,0,27,1,0,1,1,36,2,7,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1050,13851,310,11,0,0,5,11,0,0,16,193,14,5,0,0,8,2,0,3,0,8,0,0,3,0,15,0,4,7,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
1070,14568,305,5,0,0,3,17,0,0,10,198,13,2,0,0,1,7,0,3,0,8,0,0,6,0,8,0,6,14,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1085,15106,291,8,0,0,1,30,0,0,10,169,14,7,0,0,7,2,0,1,1,5,0,0,2,0,4,0,9,16,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1090,15285,315,10,2,0,2,31,0,0,8,154,20,10,0,0,5,4,1,6,0,6,0,0,12,0,3,0,3,28,1,2,0,2,1,0,0,0,3,0,0,0,0,0,1
1095,15465,307,6,0,0,1,25,0,0,7,178,11,7,0,0,2,2,0,11,2,8,0,0,9,0,3,0,9,21,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1100,15644,290,4,3,0,3,9,0,0,17,180,17,2,0,0,1,1,1,14,0,2,2,0,7,0,1,0,5,14,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0
1110,16003,307,1,1,0,1,18,0,2,6,150,26,6,0,0,8,2,0,9,0,31,0,0,6,0,0,0,12,20,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1
1115,16182,325,2,2,0,1,26,0,1,11,171,14,3,0,0,9,3,0,14,0,40,1,0,4,0,1,0,9,8,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1120,16361,322,0,0,0,0,19,0,2,5,196,26,0,0,0,2,0,0,11,0,24,0,0,5,1,2,0,5,15,2,0,0,0,0,0,1,0,3,1,0,0,0,1,1
1125,16540,308,1,0,0,0,16,0,0,7,174,20,1,0,0,1,2,0,16,0,18,0,0,8,2,6,0,10,20,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
1130,16720,335,2,4,0,0,17,0,0,11,209,23,2,0,0,1,1,0,14,0,22,1,0,1,0,1,0,9,10,3,0,0,1,0,0,0,0,2,0,0,0,0,0,1
1140,17078,313,2,2,0,0,23,0,1,27,174,21,1,0,0,1,0,1,9,0,19,2,0,9,0,0,0,7,10,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1145,NA,299,4,0,0,0,33,0,0,14,142,17,5,0,0,3,0,0,8,1,33,1,0,6,0,4,0,12,11,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0
