"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Galium","Iva.annua.type","Iva.undiff.","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea"
44,1593,529,0,0,2,3,12,0,2,6,0,0,0,251,0,0,1,0,0,0,1,0,0,1,85,0,5,5,15,0,0,0,0,0,0,0,0,0,0,6,20,0,3,20,0,0,0,14,0,0,0,0,0,0,2,67,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1672,600,0,0,0,3,18,0,2,3,0,0,0,273,0,0,1,0,0,0,1,0,0,1,111,0,1,5,17,0,1,0,0,0,0,0,0,0,0,6,10,0,6,24,1,0,0,21,0,0,0,0,0,0,2,81,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1744,517,0,0,2,0,10,0,2,7,0,0,0,226,0,0,1,0,0,0,0,0,0,1,111,0,3,7,15,0,1,0,1,0,0,0,0,0,0,3,12,0,3,22,0,0,0,19,0,0,0,0,0,0,1,59,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,1817,519,0,0,5,2,25,0,0,2,0,2,0,216,0,0,0,0,0,0,0,0,0,1,115,0,8,0,10,0,2,1,0,0,0,0,0,1,0,4,18,0,1,17,0,0,0,19,0,0,0,0,0,0,1,53,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
52,1890,549,0,0,1,1,12,0,6,7,0,0,0,250,0,1,2,0,0,0,0,3,0,2,96,0,1,7,13,0,0,0,0,0,0,0,0,0,0,6,16,0,8,17,1,0,0,16,0,0,0,0,0,0,2,74,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1962,510,0,0,2,4,20,0,5,6,0,0,0,222,0,0,2,0,0,0,0,1,0,0,100,0,0,9,11,1,0,0,1,0,0,0,0,0,0,4,5,0,9,26,0,0,0,14,0,0,0,0,0,0,2,58,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2035,551,0,0,0,1,16,0,2,9,1,0,0,241,0,1,1,0,0,0,0,0,0,1,100,0,0,9,11,0,0,0,0,0,0,0,0,0,0,4,17,0,10,34,1,0,0,26,0,1,0,0,0,0,0,54,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2108,535,0,0,0,0,13,0,4,6,0,0,0,235,0,1,3,0,0,0,3,0,0,0,98,0,2,3,13,0,0,0,0,0,0,0,0,0,0,7,14,0,10,39,0,0,0,10,0,0,0,0,0,0,1,68,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2170,519,0,0,0,2,22,0,0,3,0,1,0,197,0,1,1,0,0,0,0,0,0,2,129,0,7,0,22,1,0,0,0,0,0,0,0,1,0,2,8,0,4,17,0,0,0,19,0,0,0,0,0,0,0,68,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
62,2203,529,0,0,0,1,11,0,7,3,0,0,0,230,0,2,0,0,0,0,0,0,0,0,119,0,2,3,7,1,0,1,0,0,0,0,0,0,0,3,12,0,8,37,1,0,0,9,0,0,0,0,0,0,0,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2236,545,0,0,1,7,6,0,9,2,0,0,0,238,0,0,0,0,0,0,0,0,0,0,111,0,2,7,11,0,2,0,0,0,0,0,0,0,0,10,10,0,8,30,1,0,0,14,0,0,0,0,0,0,2,67,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2269,536,4,0,2,0,10,0,0,3,0,1,0,190,0,3,1,0,0,0,0,1,0,0,138,0,3,0,24,0,1,0,0,0,0,0,0,1,0,4,7,1,6,30,0,0,0,22,0,0,0,0,0,0,0,76,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,2302,523,2,0,4,1,12,0,1,4,0,0,0,215,0,4,0,0,0,0,0,0,0,0,119,0,3,0,14,0,0,0,0,0,0,0,0,2,0,2,12,1,4,21,0,0,0,31,0,0,0,0,0,0,0,62,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2335,529,2,0,4,2,23,0,0,0,0,0,0,229,0,1,4,0,0,0,0,0,0,1,87,0,1,0,20,0,0,0,0,0,0,0,0,0,0,7,11,1,2,26,0,1,0,29,0,0,0,0,0,0,2,63,7,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72,2368,517,0,0,1,2,12,0,1,7,0,0,0,231,3,1,0,0,0,0,1,0,0,1,95,0,1,7,11,2,0,0,0,0,0,0,0,0,0,6,14,0,6,26,3,0,0,15,0,0,0,0,0,0,2,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2401,515,0,0,0,2,12,0,3,3,0,0,0,252,4,1,3,0,0,0,0,2,0,1,84,0,8,5,7,0,0,0,0,0,0,0,0,0,0,5,14,0,12,20,1,0,0,9,0,0,0,0,0,0,0,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2434,500,0,0,3,0,10,0,4,5,0,0,0,252,3,0,0,0,0,0,1,0,0,0,99,0,4,0,9,1,0,0,0,1,0,0,0,0,0,5,6,0,6,10,0,0,0,8,0,0,0,0,0,0,1,62,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2467,596,0,0,2,2,16,0,7,7,1,0,0,260,2,2,0,0,0,0,1,0,0,1,120,0,6,13,19,0,1,0,0,1,0,0,0,0,0,3,7,0,8,20,0,0,0,18,0,0,0,0,0,0,1,68,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2508,535,2,0,2,1,23,0,0,5,0,1,0,250,0,0,1,0,0,0,0,1,0,0,96,0,6,0,20,0,0,0,0,0,0,0,0,0,0,7,8,0,4,18,0,0,0,30,0,0,0,0,0,0,1,47,8,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,2576,559,0,0,2,0,20,0,4,3,1,0,0,257,8,1,0,0,0,0,0,0,0,0,111,0,3,8,14,1,0,0,1,0,0,0,0,1,0,6,5,0,6,26,0,0,0,11,0,0,0,0,0,0,0,64,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2643,602,1,0,0,0,14,0,5,3,0,0,0,279,9,2,1,0,0,0,1,1,0,0,117,0,6,7,7,3,1,0,0,0,0,0,0,0,0,16,4,0,4,32,1,0,0,11,0,0,0,0,0,0,0,62,8,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
86,2711,543,0,0,3,0,18,0,3,5,0,1,0,264,3,0,0,0,0,0,1,0,0,2,105,0,1,9,17,0,0,0,0,0,0,0,0,1,0,5,6,0,2,15,0,0,0,12,0,0,0,0,0,0,1,56,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2778,548,0,0,2,0,17,0,0,4,0,0,0,271,4,1,0,0,0,0,0,0,0,3,106,0,3,6,12,0,0,0,0,1,0,0,0,0,0,13,7,0,6,20,0,0,0,7,0,0,0,0,0,0,2,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2846,525,2,0,6,4,12,0,0,5,1,0,0,205,0,0,2,0,0,1,1,0,0,0,128,0,4,0,22,0,0,0,0,0,0,0,0,3,1,1,4,0,0,20,0,0,0,18,0,0,0,0,0,0,2,70,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2913,603,0,0,0,0,13,0,2,6,1,0,0,292,7,3,2,0,0,0,2,0,0,1,117,0,2,12,14,0,1,0,0,0,0,0,0,0,0,7,4,0,8,19,0,0,0,13,0,0,0,0,0,0,0,62,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,2981,538,1,0,5,0,18,0,1,10,0,0,0,249,2,1,3,0,0,0,0,0,0,0,97,0,4,7,11,0,1,0,0,3,0,0,0,0,0,6,4,0,8,32,0,0,0,14,0,0,0,0,0,0,4,52,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3048,649,0,0,1,0,24,0,5,15,1,0,0,280,12,1,2,0,0,0,1,0,0,1,120,0,0,10,16,1,0,0,0,0,0,0,0,0,0,6,2,0,6,44,0,0,0,18,0,1,0,0,0,0,1,70,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,3183,531,2,0,2,0,11,0,0,2,0,0,0,254,0,1,1,0,0,0,1,0,0,0,107,0,2,0,14,0,0,0,0,0,0,0,0,0,0,6,16,0,1,32,0,0,0,28,0,0,0,0,0,0,1,41,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
