"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Abies.balsamea","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fagus","Larix","Populus.balsamifera.type","Carya.ovata","Tsuga.canadensis","Acer.spicatum","Ostrya.Carpinus","Picea.rubens.type","Acer.saccharum","Myrica.gale","Populus.tremuloides.type","Rhamnus.alnifolia.R..frangula","Pinaceae","Amaranthaceae","Potentilla.palustris.type","Ranunculaceae.undiff.","Rosaceae.undiff.","Nemopanthus.mucronatus","Viburnum.nudum","Juglans.nigra","Sambucus","Juglans.cinerea","Cornus.undiff.","Rhus.typhina","Juniperus.communis.Thuja.occidentalis.type","Castanea.dentata","Acer.rubrum","Fraxinus.pennsylvanica.type","Juniperus.type","Cornus.sericea","Caryophyllaceae","Thalictrum","Polygonum.lapathifolium.type","Shepherdia.canadensis","Dryas","Saxifraga.stellaris.type"
300,4338,360,5,2,0,0,117,2,3,1,0,0,2,8,22,2,0,0,1,0,11,15,14,58,89,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4699,467,16,3,2,0,209,5,1,3,0,0,2,19,22,4,0,0,4,0,7,2,6,8,142,0,6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5061,791,45,7,0,2,433,3,0,3,1,0,6,1,33,5,1,3,43,0,24,37,0,3,112,0,4,1,0,6,0,5,1,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
375,5374,706,41,1,0,1,301,5,0,21,0,0,2,27,28,4,1,0,43,0,13,14,6,6,167,0,8,2,2,1,0,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
400,5613,730,13,4,0,0,168,3,0,11,2,0,4,47,54,2,1,2,23,0,14,9,6,11,332,0,8,0,1,0,0,6,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
425,5853,522,9,0,0,1,122,3,0,14,0,0,3,33,17,2,0,1,14,0,7,5,19,10,242,0,9,0,0,0,0,4,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
440,5997,474,8,1,0,0,81,1,0,9,0,0,5,78,22,3,0,1,11,0,27,0,16,0,195,0,8,0,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,6093,475,5,0,0,0,48,2,0,1,0,0,21,39,13,1,0,1,6,0,43,16,22,13,225,0,6,0,2,2,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
460,6189,447,7,1,0,0,96,5,0,3,1,0,10,51,13,4,3,1,10,0,18,4,12,0,192,0,11,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,6333,585,9,3,1,0,143,4,0,2,1,0,10,144,24,4,2,1,8,0,15,1,43,10,131,0,19,0,3,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
500,6573,769,12,2,1,0,189,0,0,1,1,0,57,183,11,6,3,0,2,0,35,15,12,15,182,0,15,0,3,0,0,1,2,0,0,0,2,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0
525,6813,818,3,10,2,1,303,4,0,1,0,0,3,168,34,4,3,2,1,0,22,11,79,31,95,0,18,1,3,0,0,3,0,2,0,3,1,4,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,7053,577,3,6,1,2,180,1,0,0,2,0,19,88,11,7,4,2,4,0,33,21,14,8,133,0,13,4,3,4,0,2,0,1,0,5,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
575,7293,513,3,2,0,1,182,0,0,1,1,0,7,84,19,5,0,0,2,0,36,12,14,14,110,0,12,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7533,701,2,4,4,1,250,1,0,7,2,0,45,131,9,4,2,0,2,0,47,25,7,5,120,0,13,0,5,0,0,1,3,1,0,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
625,7772,642,1,13,1,0,226,0,0,2,1,0,51,60,5,4,2,0,2,0,94,38,20,6,94,0,7,1,1,0,0,2,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
650,8012,593,4,25,2,1,207,1,0,3,1,0,70,28,3,17,0,0,3,0,62,39,25,7,69,0,10,0,5,2,0,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
675,8252,397,2,45,1,2,81,2,0,0,0,0,59,83,3,7,1,0,0,0,33,20,15,2,21,0,8,0,0,0,0,2,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
700,NA,567,37,101,2,1,104,2,0,0,3,0,92,68,11,8,2,0,1,0,14,3,21,5,47,0,25,0,0,0,1,2,0,1,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1
