"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Rumex","Taxus","Thalictrum","Alnus","Acer","Fraxinus","Myrica","Populus","Poaceae","Rosaceae","Corylus","Pinus.subg..Strobus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Castanea","Amaranthaceae","Carya","Plantago","Cupressaceae","Trees.undiff.","Rhamnaceae.Vitaceae","Salix","Tilia","Juglans","Polygonaceae.undiff."
100,2169,409,5,0,0,0,164,4,1,4,3,0,1,116,9,8,2,0,0,0,72,1,2,5,0,2,0,0,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0
110,2381,359,7,0,1,1,150,8,0,4,1,0,5,115,3,2,3,0,0,0,40,2,1,4,0,0,1,1,6,1,0,0,0,0,1,0,1,0,0,1,0,0,0
120,2593,268,8,0,0,1,125,3,1,2,4,0,1,55,4,4,3,0,0,0,37,0,2,7,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0
130,2804,375,9,0,0,0,183,3,0,1,4,1,2,94,3,8,0,0,1,0,47,1,0,6,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3016,331,20,0,0,0,127,5,0,3,1,0,0,89,3,5,2,0,0,0,54,2,2,2,0,1,2,0,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0
150,3228,365,20,0,0,1,153,3,0,2,3,2,2,113,5,7,3,0,0,0,32,1,3,1,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0
158,3397,436,12,0,1,0,204,5,1,0,2,0,4,89,7,5,2,0,0,0,80,0,0,7,0,1,1,0,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0
170,3652,380,20,0,0,0,135,4,1,1,0,1,2,117,5,11,3,0,1,0,64,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3898,324,23,1,0,0,133,3,0,0,1,1,1,88,5,5,1,0,1,0,40,2,0,1,0,0,1,0,14,0,1,1,0,0,0,0,0,0,0,1,0,0,0
190,4144,291,14,1,0,1,123,0,1,2,2,1,0,76,2,5,1,0,0,0,48,1,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4390,349,22,1,0,1,147,1,0,0,1,0,2,83,3,8,3,0,1,0,46,0,1,3,0,2,1,0,19,0,2,0,0,0,0,0,0,0,0,2,0,0,0
210,4637,312,9,0,0,2,149,0,0,3,0,1,1,78,5,4,2,0,0,0,35,0,3,1,1,0,0,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0
220,4883,431,16,2,0,2,164,0,0,0,2,1,1,106,23,5,1,0,0,0,80,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5129,421,21,0,0,0,171,1,0,1,3,3,3,115,7,6,1,0,1,0,60,0,1,5,0,0,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0
240,5375,371,23,2,0,0,137,4,0,3,2,1,1,101,4,5,4,0,2,0,56,0,0,3,0,2,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5622,343,14,0,0,0,153,1,0,0,1,2,1,50,0,3,2,0,0,0,92,0,1,2,0,0,1,0,17,0,1,0,0,1,0,0,0,0,0,1,0,0,0
260,5868,330,12,0,0,0,148,0,0,1,0,1,1,73,3,7,2,0,1,0,57,1,0,2,2,2,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
270,6114,277,7,0,0,1,124,1,0,0,3,0,3,70,3,8,0,0,0,0,35,2,2,4,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
278,6311,313,24,0,0,2,98,0,0,0,1,0,2,88,3,8,3,0,0,0,50,0,1,0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
290,6607,252,9,0,0,0,115,0,0,0,1,0,0,54,4,8,1,0,0,0,48,0,0,4,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
300,6853,291,5,1,0,2,122,0,0,0,5,1,0,75,8,5,2,0,3,0,41,0,0,0,1,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
305,6976,346,11,1,0,2,93,1,0,2,1,0,4,126,2,5,3,0,1,0,53,2,2,0,0,0,0,0,31,2,0,3,0,0,0,0,0,0,0,1,0,0,0
310,7099,373,19,0,0,1,117,1,1,2,5,1,3,102,19,12,1,0,0,0,53,2,0,1,1,2,0,0,19,3,1,7,0,0,0,0,0,0,0,0,0,0,0
315,7222,408,44,0,0,0,192,0,0,1,3,2,5,53,7,6,6,0,0,0,49,0,1,1,1,0,0,1,30,1,2,1,0,0,0,0,0,0,0,2,0,0,0
320,7345,261,30,1,0,2,99,3,0,0,1,0,5,49,9,6,1,0,1,0,32,0,1,1,0,0,0,1,12,1,0,3,0,1,0,0,0,0,0,2,0,0,0
325,7469,340,85,2,0,3,75,0,0,0,9,0,5,64,14,5,1,0,1,0,43,1,1,0,2,3,0,1,21,0,0,1,0,1,0,0,0,0,0,2,0,0,0
331,7616,286,70,1,0,1,69,1,0,0,1,0,2,40,5,8,3,0,0,0,57,1,1,3,4,0,0,0,10,0,2,5,0,1,0,0,0,0,0,1,0,0,0
338,7789,195,56,1,0,3,27,1,0,0,2,1,10,36,6,3,1,0,0,0,37,1,0,0,1,1,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,1
343,NA,324,76,0,0,3,48,1,0,0,2,1,7,57,4,2,3,0,0,0,97,1,0,1,1,1,0,0,10,0,1,3,0,1,1,0,0,0,0,3,0,0,0
347,NA,275,15,1,0,1,50,2,0,0,2,0,11,30,3,7,1,0,0,0,138,1,1,2,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0
354,NA,308,28,2,0,1,71,0,1,0,1,0,6,40,3,0,1,0,0,0,131,0,0,7,2,2,0,0,4,0,3,0,0,2,0,0,0,0,0,3,0,0,0
