"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Iva.annua","Larix","Lycopodium.type","Myrica","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Populus","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown","Urtica"
21,840,7,0,0,53,3,0,15,0,13,1,63,0,0,0,0,0,133,2,0,8,0,0,0,0,0,0,0,3,3,0,0,112,5,0,40,0,0,0,5,1,0,60,0,0,1103,1,0,0,0,0
22,881,16,1,0,58,1,1,9,1,10,2,61,0,0,0,0,0,189,3,0,7,0,0,0,0,0,1,0,14,0,0,0,117,6,0,19,2,0,1,13,5,3,50,0,0,903,1,0,0,0,0
23,922,4,0,0,27,0,0,11,0,10,0,124,0,0,0,0,0,39,4,0,3,0,0,0,7,0,0,0,4,0,0,0,40,6,0,15,0,0,0,6,4,0,83,0,0,25,0,0,0,1,0
24,963,10,0,0,61,0,0,3,0,12,1,98,0,0,0,0,0,117,7,1,19,0,0,0,0,0,1,1,5,0,0,3,97,9,0,20,0,0,3,5,1,4,65,0,0,211,2,0,0,0,0
25,1004,9,0,0,36,1,0,7,0,9,0,64,0,0,0,0,0,145,4,0,1,0,2,0,0,0,1,3,9,0,0,0,103,7,0,26,0,0,3,2,8,0,86,0,0,247,2,1,0,0,0
26,1046,12,0,0,55,2,1,14,0,12,0,70,0,0,0,1,0,65,5,0,8,0,0,0,0,0,1,1,6,0,0,0,101,5,0,35,2,0,0,7,2,0,144,0,0,88,2,2,0,0,0
27,1080,15,2,0,25,1,0,17,0,12,1,56,1,0,2,0,0,91,1,0,8,0,0,0,0,1,0,2,11,0,0,2,97,2,2,31,0,0,0,6,7,1,149,0,0,179,1,0,0,0,0
28,1107,8,0,0,43,1,0,17,0,5,0,70,0,0,0,0,0,76,4,0,6,0,0,0,6,0,0,0,6,0,0,0,69,9,0,61,0,0,0,8,14,1,184,0,0,190,3,2,0,2,0
29,1135,10,0,0,46,3,0,9,1,6,0,49,0,0,0,0,0,116,4,0,9,0,0,0,0,0,0,0,11,1,0,0,83,4,0,33,0,0,2,1,24,0,287,2,0,491,2,0,1,0,0
30,1162,12,0,0,30,2,0,7,1,9,0,53,1,0,2,0,0,123,1,0,5,0,0,0,0,0,0,0,9,1,0,0,101,4,0,45,0,0,0,3,32,0,160,0,0,452,1,0,0,0,0
31,1189,16,0,0,35,0,0,16,0,5,0,42,0,0,0,0,0,52,1,0,5,0,0,0,0,0,0,0,9,0,0,0,104,2,0,48,0,0,1,3,39,0,198,2,0,254,3,0,0,0,0
32,1216,8,0,0,29,0,1,22,0,13,0,53,0,0,1,0,0,31,2,0,4,0,0,0,0,0,2,1,5,0,0,1,98,5,0,28,0,0,0,5,38,1,244,0,0,439,0,0,0,0,0
33,1244,8,0,0,58,1,0,16,1,9,0,61,0,0,0,0,0,149,7,0,2,0,0,0,0,0,0,0,10,0,0,0,77,5,0,36,0,0,1,2,52,0,166,0,0,31,4,1,0,0,2
34,1271,14,0,0,43,4,0,9,1,12,1,51,0,0,1,0,2,157,1,0,2,0,0,0,0,0,0,0,10,0,0,0,88,5,0,39,0,0,0,4,26,0,249,0,0,32,5,0,0,0,0
35,1298,5,0,0,49,0,0,17,0,16,0,61,0,0,0,0,1,120,4,0,4,0,0,1,5,0,0,1,3,0,0,0,69,10,0,40,0,0,0,2,18,2,322,0,0,40,1,0,0,1,0
36,1326,9,0,0,60,1,0,24,0,16,0,62,0,0,0,0,1,97,5,0,4,0,0,0,8,0,0,0,8,1,0,0,59,9,0,108,0,0,0,8,27,1,369,0,0,39,5,0,0,2,0
37,1353,6,0,0,58,0,0,16,1,11,1,65,0,0,1,0,4,64,5,1,3,0,0,0,7,0,0,0,2,0,0,0,58,7,0,85,0,0,0,2,19,1,192,0,0,37,0,0,0,1,0
38,1380,5,0,1,56,3,1,19,0,14,0,53,0,0,0,0,0,82,8,0,9,0,0,0,9,0,0,1,3,0,0,0,70,11,0,67,0,0,0,3,21,1,88,0,0,41,5,0,1,2,0
39,1408,15,0,0,58,1,0,18,0,11,0,83,0,0,1,0,1,123,1,3,6,0,0,0,4,0,0,0,3,1,0,0,74,9,0,68,0,0,0,2,21,1,92,1,0,56,3,1,0,0,0
40,1435,28,0,0,50,2,1,16,2,4,0,55,0,0,1,0,3,97,4,1,1,0,0,0,4,0,2,1,6,0,0,0,125,9,0,51,0,0,1,3,5,1,23,0,0,23,3,0,0,0,0
41,1462,25,0,0,48,6,0,22,3,5,1,92,0,0,0,0,0,75,0,0,8,0,0,0,0,0,3,1,10,0,0,0,139,23,0,29,0,0,1,1,17,5,33,0,0,12,3,0,0,0,0
42,1489,15,0,0,103,2,0,18,1,1,0,77,0,0,0,0,3,82,8,0,7,0,0,0,5,0,2,1,13,1,0,0,107,10,0,26,0,0,0,2,13,0,16,0,0,13,1,0,0,3,0
43,1517,12,0,0,43,1,1,5,1,4,0,71,0,0,0,0,4,128,4,0,10,0,0,0,6,0,0,0,6,0,0,0,64,8,0,29,0,0,2,0,1,0,5,0,0,9,1,0,0,0,0
44,1544,10,0,0,67,3,0,8,0,1,0,73,1,0,1,0,0,92,14,0,5,0,0,1,6,0,0,0,4,1,1,0,90,12,0,38,0,0,1,3,7,1,8,0,0,14,1,2,0,1,0
45,1571,12,0,0,74,2,1,25,0,8,0,78,0,0,0,0,4,111,4,0,4,0,0,0,5,0,3,2,5,0,0,0,111,6,1,68,0,0,0,2,1,1,16,0,0,7,2,0,0,0,0
46,1599,19,0,0,58,2,0,51,0,9,1,80,0,0,2,0,0,100,73,0,4,0,0,0,0,0,0,1,10,0,0,0,85,6,0,73,0,0,0,4,0,0,32,0,0,19,1,0,1,0,0
47,1626,10,0,0,52,1,0,39,0,9,0,79,0,0,1,0,1,91,2,0,2,0,0,0,7,0,0,1,2,0,0,0,64,3,0,88,0,0,0,4,0,2,26,0,0,24,4,0,0,1,0
48,1653,11,0,0,55,2,0,23,1,18,0,59,0,1,4,0,0,174,10,0,9,0,0,0,12,0,0,1,4,0,0,0,72,6,0,196,0,0,0,2,2,3,23,0,0,68,3,0,0,2,0
49,1681,10,0,0,52,1,0,15,1,21,0,61,0,0,3,0,1,154,16,0,6,0,1,1,24,0,0,0,6,0,0,0,69,2,0,193,0,0,0,2,1,1,35,0,0,83,4,0,0,4,0
50,1708,7,0,0,40,5,1,9,1,23,0,50,8,0,3,0,2,142,28,0,6,0,0,0,13,0,0,1,5,1,0,0,90,9,0,158,0,0,0,1,3,0,42,0,0,114,5,0,0,1,0
51,1735,9,0,0,44,1,0,10,0,34,0,47,2,0,3,0,0,104,3,0,7,0,0,0,0,0,0,10,15,0,0,0,101,8,0,145,0,0,0,2,0,1,56,1,0,113,12,0,0,0,0
52,1762,7,0,0,33,2,0,14,1,27,0,66,7,0,4,0,0,88,23,0,3,0,0,1,21,0,0,2,14,0,0,0,73,5,0,112,0,0,0,4,1,1,71,0,0,160,2,0,0,2,0
53,1790,9,0,0,44,2,0,26,1,32,2,70,7,0,1,0,0,94,24,0,5,0,0,0,16,0,0,2,16,0,1,0,62,10,0,97,0,2,1,3,0,1,83,0,0,262,5,0,1,4,0
54,1817,14,0,0,35,6,0,13,0,17,0,79,1,0,0,0,0,33,4,1,1,0,0,0,1,0,0,0,8,0,0,0,92,9,1,37,0,0,0,3,0,0,47,0,0,2106,8,0,0,0,0
55,1845,9,0,0,60,2,0,18,0,4,0,61,0,0,0,0,0,20,13,0,3,0,0,0,6,0,1,1,14,0,0,0,73,9,0,41,0,0,1,5,0,1,21,0,0,5225,12,0,0,1,0
56,1875,9,0,0,43,2,0,37,0,7,0,98,0,0,3,2,0,60,4,0,6,0,0,0,0,0,1,3,26,0,0,0,105,10,0,66,1,0,0,5,0,0,34,0,2,783,13,0,0,0,0
57,1904,10,0,0,71,1,0,20,1,2,0,48,0,1,1,0,0,47,3,1,4,0,0,0,3,0,0,1,21,0,0,0,92,8,0,47,0,0,0,11,0,0,67,0,0,1506,13,0,0,2,0
58,1933,13,0,0,44,0,0,41,0,9,0,44,0,0,0,0,0,42,4,0,5,0,0,0,5,0,1,1,14,0,0,0,112,6,0,41,0,0,1,24,0,0,91,1,0,2004,16,0,1,2,0
59,1963,5,0,1,40,2,1,32,0,5,0,52,1,0,1,0,1,28,9,0,6,0,0,0,5,0,0,1,8,0,0,0,90,6,0,15,0,0,1,16,0,0,66,0,0,379,21,0,0,1,0
60,1992,5,0,0,33,5,0,6,0,2,1,48,0,0,0,0,0,50,1,0,9,0,0,0,6,0,0,0,5,0,0,0,106,6,0,35,0,0,0,14,2,0,70,0,0,55,14,0,0,1,0
61,2022,23,0,0,60,4,0,17,0,6,0,87,0,0,3,0,0,90,3,0,2,0,0,0,0,0,0,2,9,0,0,0,134,14,0,39,0,0,0,0,8,2,122,0,0,8,30,0,0,0,0
62,2051,22,0,0,43,6,0,8,3,10,0,58,1,0,0,0,2,66,4,0,0,0,0,0,6,0,0,1,4,0,0,0,109,11,0,58,0,0,0,4,2,0,89,0,0,6,14,0,0,2,0
63,2080,9,0,0,35,7,0,8,0,6,0,70,1,0,0,0,1,78,6,0,9,1,0,0,8,0,0,0,5,0,0,0,90,5,0,69,0,0,0,8,4,0,100,0,0,12,16,2,1,3,0
64,2110,13,0,1,26,3,0,8,2,9,0,63,0,0,1,0,0,66,4,0,2,0,0,0,5,0,0,0,7,0,0,0,86,6,0,100,0,0,0,9,0,0,109,0,0,8,25,0,0,0,0
65,2139,21,0,1,30,1,0,5,0,5,0,54,1,0,1,0,0,64,6,0,5,0,0,0,2,0,0,1,10,1,0,0,87,6,0,97,0,0,1,10,1,0,138,0,0,18,16,0,0,1,0
66,2168,15,0,0,27,5,0,12,0,10,0,50,1,0,4,0,0,39,5,0,7,0,0,0,0,0,0,4,4,0,1,0,115,14,0,45,0,0,0,8,13,0,369,0,0,8,21,0,0,0,0
67,2198,17,0,0,24,2,1,14,0,12,0,43,3,0,0,0,1,29,7,0,2,0,0,0,6,0,0,1,3,4,0,0,101,8,0,33,0,0,0,1,5,0,389,0,0,8,31,2,0,1,0
68,2227,13,0,0,38,2,0,15,0,23,0,47,10,0,2,0,0,29,24,0,2,0,0,0,13,0,0,2,2,1,0,0,99,21,0,33,0,0,0,0,1,0,417,0,0,8,20,0,0,1,0
69,2257,9,0,0,37,4,0,19,2,29,0,52,6,0,0,0,0,28,34,0,1,0,0,0,17,0,0,1,4,0,0,0,91,11,0,20,0,0,0,6,3,0,442,1,0,6,34,0,0,1,0
70,2286,10,0,0,33,5,0,11,1,24,0,44,4,4,1,0,0,20,25,0,3,0,0,0,13,0,0,1,4,0,0,0,93,13,0,33,0,0,1,4,1,0,510,1,0,8,29,0,0,1,0
71,2315,9,0,0,27,7,0,14,0,16,0,46,1,0,4,1,1,24,5,0,3,0,0,0,0,0,0,3,2,0,1,0,108,18,0,24,0,0,1,0,6,1,483,0,0,4,19,0,0,0,2
72,2345,12,0,0,37,6,0,24,0,17,1,51,5,0,1,0,0,7,12,0,3,0,0,0,11,0,0,1,2,0,0,0,90,8,0,34,0,0,1,5,1,0,533,1,0,6,28,0,0,3,0
73,2374,38,0,0,31,5,0,15,0,26,0,42,5,0,1,0,0,13,5,0,2,0,0,0,4,0,0,2,11,1,0,0,84,11,0,47,0,0,0,1,6,0,358,1,0,3,28,0,0,0,0
74,2403,16,0,0,29,2,0,24,0,19,0,47,1,0,1,2,0,12,4,0,2,0,0,0,0,0,1,3,8,0,0,0,160,26,0,52,0,0,0,1,6,0,807,0,0,7,14,1,0,0,0
