"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Rumex","Cornus","Acer.undiff.","Cannabaceae","Amaranthaceae.undiff.","Liquidambar","Tilia","Ericaceae","Juglans.nigra","Vitis","Castanea","Juglans.cinerea","Thalictrum","Morus","Galium","Plantago","Aquifoliaceae","Sarcobatus.vermiculatus","Urtica.type","Ranunculaceae.undiff.","Iva.xanthifolia.type","Shepherdia.canadensis","Celtis","Herbs.undiff.","Onagraceae","Dryas.type"
100,1880,472,4,2,1,0,9,1,1,0,109,0,7,15,5,3,3,0,2,5,12,59,187,0,14,0,5,0,5,0,5,4,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2075,522,3,3,1,1,9,4,3,2,104,0,2,30,10,5,2,3,2,4,13,74,187,2,22,2,3,2,14,0,6,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2272,463,3,0,0,0,14,9,1,5,93,0,0,14,10,3,1,1,3,5,17,75,145,2,20,3,4,0,8,1,5,4,5,0,1,5,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2471,459,2,2,0,0,8,3,0,0,107,0,1,26,5,3,1,1,2,9,15,46,181,1,16,0,3,0,7,0,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2672,482,4,0,0,0,11,5,1,2,93,3,7,7,4,2,3,1,2,6,6,52,220,1,23,0,1,0,3,1,9,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,2814,408,2,2,0,0,7,4,0,1,95,1,1,11,8,3,1,2,1,3,8,38,169,0,19,0,3,1,2,0,11,2,3,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,3081,454,1,0,0,0,7,13,1,2,98,1,0,20,7,2,2,1,1,1,10,88,158,3,16,0,1,1,2,0,7,1,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,3290,433,1,1,1,0,12,4,0,3,79,1,1,13,9,2,3,0,1,5,7,28,222,0,12,1,1,0,6,0,10,3,1,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3501,604,1,0,0,0,16,4,2,4,153,0,4,25,2,5,5,3,2,5,13,60,206,2,35,0,4,0,15,0,5,16,5,0,2,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3715,581,2,2,1,1,7,7,0,0,104,0,2,45,4,6,5,1,1,3,17,74,255,1,19,1,0,0,12,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3933,513,4,0,0,0,13,13,3,2,83,0,3,26,3,4,2,4,1,4,11,88,187,3,21,3,1,2,11,1,2,2,6,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0
210,4153,479,3,1,1,0,6,7,2,1,81,0,3,41,5,6,4,4,1,4,5,39,210,2,18,1,3,0,6,2,11,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4378,606,1,0,0,0,8,9,6,3,102,1,3,14,2,2,5,4,0,7,3,87,287,2,28,3,3,0,7,0,6,5,2,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4605,491,1,2,3,0,10,3,1,1,55,0,2,30,1,0,5,1,4,4,8,59,255,1,23,1,1,0,6,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240,4837,580,5,0,0,0,6,10,0,3,92,2,0,51,4,2,0,0,3,3,3,95,250,2,18,0,0,3,15,0,2,3,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,5072,469,1,3,1,0,18,10,1,1,65,0,1,33,4,0,1,0,3,8,4,34,229,1,12,0,2,0,10,1,5,5,6,0,0,0,0,2,0,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,5310,591,4,0,0,0,12,7,5,3,64,1,4,30,5,2,9,1,3,4,6,78,302,3,16,0,1,1,3,0,2,5,11,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5551,566,1,3,1,0,11,10,1,2,64,1,1,39,2,1,5,0,1,3,4,113,247,1,19,1,3,0,5,0,8,10,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
280,5794,529,7,0,0,0,22,40,2,1,67,0,5,24,3,2,0,1,2,11,7,133,154,3,16,4,4,0,3,0,6,5,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6040,721,6,2,1,0,13,8,2,1,86,1,1,38,4,3,1,3,3,7,6,153,313,2,27,0,3,1,10,0,7,11,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6289,530,0,0,0,0,10,11,8,2,75,1,5,34,2,3,3,0,3,8,3,78,240,1,21,2,0,1,6,0,4,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
310,6540,621,1,1,0,0,12,21,6,1,63,1,4,59,9,14,2,3,0,3,4,124,206,5,29,1,7,0,12,0,6,6,2,0,0,0,0,11,0,0,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
320,6792,469,2,0,0,0,7,21,3,0,33,0,0,27,3,1,7,2,1,5,5,145,145,3,16,5,0,1,9,1,1,2,11,0,0,5,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
330,7047,616,0,2,0,0,10,48,3,8,52,0,1,7,4,3,2,1,1,5,7,144,263,5,15,1,5,1,13,0,7,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7302,495,3,0,0,0,11,8,3,1,48,0,5,11,3,5,4,0,1,3,2,137,192,4,15,0,2,1,13,0,5,3,4,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7559,654,1,1,1,0,2,24,3,6,59,1,3,14,8,7,2,2,3,5,5,154,275,7,29,0,1,2,18,0,9,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
360,7818,457,0,0,0,0,2,18,2,0,33,0,0,11,6,1,3,4,1,9,2,175,133,3,15,1,2,1,19,0,3,4,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,8076,657,1,4,0,0,4,50,9,2,69,2,1,7,6,3,4,0,0,11,1,233,169,10,24,4,2,1,11,0,6,10,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
380,8336,556,1,0,0,0,21,52,5,2,65,0,4,8,8,1,2,1,0,4,3,186,151,2,19,2,0,0,4,0,4,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,8596,658,7,0,0,0,4,21,4,3,111,1,1,32,8,1,3,3,2,7,8,267,88,3,34,0,1,5,14,0,7,10,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8855,534,7,0,0,0,2,74,4,5,72,0,0,23,3,0,13,1,8,12,5,177,41,2,19,8,0,2,16,0,9,14,7,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,9112,527,6,2,1,0,1,57,3,3,80,0,0,16,3,0,3,1,4,4,9,261,21,0,9,1,1,1,8,0,10,12,5,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
420,9363,472,7,0,0,0,5,35,4,0,95,1,6,7,6,0,0,0,6,6,8,226,13,1,25,3,0,0,6,0,2,2,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,9608,542,7,1,0,1,2,30,4,5,93,1,0,12,6,0,3,2,1,3,13,287,12,1,20,3,0,0,5,0,16,10,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9843,441,3,0,0,0,3,48,2,4,55,0,1,14,6,0,9,0,0,11,5,210,5,6,25,3,0,1,7,0,6,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
450,10067,464,6,1,0,0,1,28,3,2,60,0,2,10,6,0,4,2,1,3,15,242,12,3,21,0,1,4,5,0,14,10,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10277,436,0,0,0,0,2,18,4,3,66,1,3,10,4,0,3,0,2,4,4,246,13,2,15,3,0,0,9,0,12,1,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,10472,502,10,0,0,0,2,2,3,8,44,0,0,17,9,0,1,0,4,5,35,273,3,4,15,4,0,7,4,0,28,10,9,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
480,10654,442,0,0,0,0,1,2,0,7,75,0,0,11,7,0,4,3,4,9,32,189,3,3,13,5,0,5,8,0,32,14,8,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
490,10825,527,1,0,0,0,1,0,2,17,128,2,0,60,6,0,5,2,10,11,69,91,8,6,23,4,1,5,7,0,47,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10986,518,7,1,0,0,1,6,9,26,127,0,9,17,3,1,8,0,9,13,76,91,5,2,42,11,1,1,10,0,31,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,11141,480,1,0,0,0,0,1,3,10,29,2,0,52,4,1,11,1,8,16,102,54,3,3,38,5,0,6,13,0,34,72,5,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
520,11292,639,6,0,0,0,2,0,6,16,52,3,6,37,9,0,7,2,3,22,133,71,5,6,79,12,1,0,37,0,37,75,6,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
529,11426,521,0,0,0,0,0,0,5,16,30,4,3,88,9,0,13,2,2,13,158,65,4,4,30,3,0,2,22,0,13,18,9,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
540,NA,1044,2,0,0,0,0,0,2,15,126,0,1,504,24,0,3,0,0,13,76,135,11,0,26,10,2,5,16,0,0,49,11,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,0,1,0
550,NA,450,0,0,0,0,1,3,3,17,40,2,3,26,27,0,4,1,1,9,66,122,1,2,23,29,3,1,7,0,5,23,24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0
555,NA,305,1,0,0,0,1,3,1,12,20,1,2,20,10,0,2,2,1,5,44,131,1,1,8,10,3,1,7,0,1,2,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
560,NA,65,0,0,0,0,2,0,2,3,10,0,0,5,3,0,0,0,0,1,7,21,0,0,1,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,NA,77,0,0,0,0,1,1,1,8,12,0,1,1,2,0,0,0,0,0,8,24,0,0,2,2,1,2,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
572,NA,100,0,1,0,0,1,1,1,2,13,0,2,11,5,0,0,0,0,0,7,30,1,0,6,1,0,1,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
