"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Campanula.type","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Juglans.cinerea","Larix","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Dalea","Castanea.dentata","Myrica.gale","Acer.spicatum","Corylus.cornuta","Caryophyllaceae","Fabaceae.undiff.","Brassicaceae","Nemopanthus.mucronatus","Viburnum.nudum","Myosotis.type","Thalictrum","Liliaceae","Amaranthaceae","Acer.nigrum","Salix","Galium","Acer.saccharinum","Urticaceae","Carya.cordiformis","Ranunculaceae.undiff.","Pinus.resinosa.type","Mentha.type","Sambucus","Populus.deltoides.type","Viburnum.opulus","Populus.balsamifera.type","Cornus","Onagraceae.undiff.","Shepherdia.canadensis","Elaeagnus.commutata","Potentilla.palustris.type","Epilobium","Asteraceae.subf..Cichorioideae","Ephedra"
325,6656,551,0,9,5,137,5,1,6,3,0,4,0,7,52,43,0,0,8,1,4,4,4,0,0,1,203,0,29,3,0,1,1,1,6,0,4,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
335,6900,689,0,8,6,195,0,0,5,11,4,5,0,14,39,32,17,1,17,3,1,7,8,0,0,3,274,0,26,2,1,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,7266,452,1,6,6,63,5,0,2,7,0,5,0,8,34,26,9,0,5,1,0,2,4,0,1,0,253,0,2,2,0,1,0,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,7559,460,3,4,0,72,2,2,2,3,4,2,0,11,30,10,0,1,8,1,2,5,0,0,0,6,271,0,6,1,3,0,1,1,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
375,7877,717,0,1,34,257,11,1,4,15,12,6,3,6,22,38,14,0,7,4,1,12,8,0,0,13,213,2,5,1,3,3,0,3,8,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
390,8243,331,0,0,22,125,1,0,1,3,5,2,3,4,5,12,5,1,1,1,1,8,2,0,0,2,105,0,2,1,0,0,0,1,4,0,1,0,0,6,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8487,728,0,1,93,154,6,1,0,9,1,9,4,16,41,33,5,2,14,8,6,8,0,0,0,58,208,0,4,5,0,3,0,2,14,0,0,0,1,11,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
412,8780,400,0,1,73,152,4,0,0,2,0,3,7,21,3,15,3,0,2,9,0,0,2,0,1,4,69,1,1,3,0,1,0,0,14,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
425,9098,575,0,1,155,178,10,0,0,5,1,7,14,3,2,28,4,6,4,12,3,1,2,0,0,1,47,5,2,3,0,4,0,0,38,1,0,0,1,26,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
430,9351,588,1,3,44,178,4,0,0,8,1,9,10,44,4,42,8,2,9,43,7,6,2,0,2,2,35,15,11,13,0,0,0,4,51,0,0,0,0,17,0,1,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
435,9736,564,0,1,13,142,17,1,0,10,4,8,3,13,6,38,0,11,2,46,19,2,1,0,3,0,70,0,2,1,3,7,0,0,45,0,0,0,0,80,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
440,10121,785,0,1,7,153,24,1,1,12,3,13,5,11,5,76,2,9,11,114,15,1,1,1,2,3,56,0,5,1,0,4,2,1,162,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,1,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0
445,10524,771,0,2,10,212,11,2,0,8,0,6,5,2,1,41,0,5,8,99,10,1,6,0,0,0,49,4,1,0,0,6,2,0,182,0,1,0,0,73,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
450,10945,638,0,2,13,117,8,2,1,5,1,11,1,10,3,27,1,3,12,49,11,1,3,0,0,2,43,0,1,1,0,7,0,0,125,0,1,0,0,162,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0
455,NA,683,0,18,26,125,38,3,1,14,0,9,0,12,13,58,0,10,20,13,9,3,3,0,1,7,65,0,3,7,1,50,2,1,77,0,1,0,2,32,0,3,0,1,0,0,0,0,1,0,0,0,34,1,0,3,0,0,0,0,0,0,0,7,0,0,6,2,1,0,0,0
460,NA,514,0,6,47,89,16,2,0,6,0,2,3,10,7,44,0,5,13,7,8,2,6,0,0,18,153,0,10,3,3,16,0,0,13,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,1
465,NA,415,0,14,23,82,16,1,0,18,1,5,0,5,25,23,0,4,11,7,7,1,3,0,0,6,82,0,6,7,3,21,0,1,9,0,0,0,1,2,0,5,0,0,1,0,0,0,2,0,1,0,15,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
470,NA,285,0,3,50,68,14,0,0,1,0,0,0,5,8,18,0,3,5,3,6,0,0,0,0,21,41,0,5,2,1,9,0,0,6,0,0,0,1,3,0,1,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
