"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia","Thalictrum","Tilia","Tsuga","Ulmus"
65,3642,2,37,17,0,7,1,0,147,4,0,0,10,1,0,0,64,7,0,4,3,0,31,0,59,3,4,46,1,0,0,0,0,4,32,64
70,3942,0,35,3,1,0,3,2,50,3,0,0,3,4,0,0,102,10,3,3,0,0,18,1,99,4,3,62,1,1,0,0,1,3,71,49
75,4240,1,22,7,1,7,3,0,77,2,0,0,5,2,0,0,136,6,0,5,1,0,7,3,83,1,5,61,2,1,0,0,0,8,49,39
80,4534,0,34,11,2,5,3,2,142,2,0,0,2,1,0,0,82,6,0,5,2,1,22,3,54,2,6,50,1,0,0,0,0,1,27,38
90,5116,0,18,10,2,6,7,1,46,6,0,0,1,2,0,0,101,8,0,9,1,0,24,2,119,7,2,94,1,0,1,0,0,3,11,33
95,5407,0,19,15,2,8,4,1,39,3,0,0,2,1,0,0,34,6,0,4,4,0,31,2,173,4,3,107,1,4,1,0,0,5,25,44
100,5697,0,16,5,3,9,3,1,37,2,1,0,2,0,0,1,13,5,1,5,0,0,18,4,154,3,1,131,0,0,1,0,0,2,70,32
105,5988,1,18,8,8,9,6,3,12,3,0,0,3,0,0,0,8,7,0,4,1,0,18,2,250,7,0,97,3,0,0,0,0,1,20,39
110,6277,1,8,6,0,14,4,0,25,4,0,0,1,0,0,0,10,4,0,4,3,0,12,4,272,6,1,105,1,0,0,0,0,2,8,56
115,6564,1,6,8,2,4,6,1,17,3,0,0,0,3,0,0,3,1,1,4,2,0,18,1,299,1,0,102,0,1,0,0,0,0,1,45
125,7130,2,12,3,1,9,4,3,19,2,0,0,1,2,0,0,2,4,1,2,2,0,26,3,347,8,3,127,0,1,0,0,0,0,0,34
135,7680,1,4,6,4,27,11,0,24,4,1,0,1,1,0,0,2,7,2,2,0,0,44,6,250,4,2,110,1,0,1,0,0,1,0,49
145,8209,2,4,5,6,20,6,3,27,1,1,0,1,2,0,0,0,8,1,3,1,0,31,2,316,7,1,80,3,3,0,0,0,0,0,15
155,8711,1,7,5,6,15,13,2,30,2,0,1,0,2,0,0,0,9,2,5,1,1,20,6,297,10,4,68,1,0,0,0,0,0,0,18
165,9180,1,4,5,1,18,9,2,38,6,0,3,2,1,0,0,0,4,0,3,0,0,28,6,304,3,2,71,0,0,0,0,0,0,0,24
180,9811,2,5,5,8,13,9,4,27,5,0,0,2,4,0,0,0,12,0,2,1,0,23,5,305,4,6,77,0,0,0,0,0,1,0,21
190,10175,0,2,1,3,19,13,4,20,4,0,2,1,1,0,0,0,9,0,7,0,0,17,6,315,5,8,71,0,0,0,0,0,0,0,22
200,10487,0,3,6,2,14,16,2,19,6,0,4,1,1,0,0,1,21,0,7,5,1,24,5,296,4,1,58,0,1,0,0,0,1,0,22
210,10742,1,5,1,2,10,22,0,30,4,0,2,0,0,0,0,0,8,0,4,1,0,34,3,328,5,8,58,0,1,1,0,0,0,0,20
220,10938,0,8,2,1,4,10,1,62,6,0,4,1,0,0,0,0,13,2,6,2,3,43,17,241,5,10,70,1,1,0,0,0,0,0,23
230,11087,0,3,1,3,6,33,3,32,7,0,3,0,3,0,0,0,12,0,3,2,0,31,18,231,3,6,73,0,2,0,0,0,0,0,32
235,11148,0,0,0,1,10,50,5,20,7,2,4,0,4,0,0,0,10,1,5,8,0,19,16,258,1,2,63,2,3,1,0,0,0,0,17
240,11204,0,4,1,0,6,107,4,24,7,0,0,0,4,0,0,0,8,1,4,6,0,20,63,163,2,6,61,1,3,0,0,0,0,0,18
245,11256,0,0,1,1,8,87,5,20,7,2,7,1,5,0,0,0,14,0,8,7,0,12,148,96,6,36,59,1,3,0,1,0,1,0,12
250,11306,2,2,2,3,5,88,5,38,4,2,2,0,8,1,0,0,22,1,7,4,2,19,111,62,8,4,93,1,2,2,0,1,0,0,22
255,NA,1,0,9,1,3,107,4,18,0,0,9,0,4,0,0,0,1,3,9,1,1,6,268,24,5,3,24,2,1,0,2,1,0,0,2
260,NA,0,2,7,1,22,119,7,34,2,9,8,3,11,0,0,0,8,3,16,0,0,9,163,19,10,7,38,0,3,0,2,3,0,0,5
270,NA,0,0,2,2,19,125,4,18,0,0,0,2,20,0,0,0,3,4,18,0,2,13,214,17,8,4,31,5,5,0,1,1,0,0,0
280,NA,0,0,1,5,18,107,4,7,0,4,2,3,15,2,0,0,8,0,13,0,0,16,270,5,11,2,29,1,8,0,1,1,0,0,0
290,NA,0,0,1,4,42,126,7,6,6,0,2,3,18,1,1,0,23,1,12,2,0,30,132,4,17,7,37,4,15,1,1,2,0,0,2
300,NA,0,1,0,2,21,90,5,5,2,0,0,3,30,3,0,0,62,5,21,1,4,24,135,8,13,17,32,5,4,0,1,2,0,0,7
310,NA,0,1,0,3,32,86,8,4,2,2,1,2,73,10,1,0,46,8,17,1,2,16,99,5,16,12,37,3,9,0,0,1,0,0,3
320,NA,0,2,0,1,37,67,3,7,4,8,6,0,56,4,2,0,63,11,13,0,0,22,78,7,15,11,68,4,11,0,0,3,0,0,4
330,NA,0,1,2,1,36,40,7,9,4,8,7,2,77,2,0,0,79,6,18,0,0,20,74,7,19,10,44,8,14,0,0,2,0,0,3
