"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fraxinus","Juglans","Larix","Lycopodium.type","Myrica","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonaceae","Populus","Quercus","Rosaceae","Salix","Shepherdia","Thalictrum","Ulmus"
30,266,0,0,0,4,14,22,58,8,1,14,0,17,0,23,2,0,0,3,0,0,0,0,0,9,61,2,62,0,0,119,0,12,0,0,0
50,515,0,2,0,10,14,10,94,14,0,21,0,9,0,23,0,0,0,6,0,0,0,0,1,6,68,1,100,0,0,130,0,10,0,1,3
70,764,0,0,0,8,26,17,86,19,0,18,0,13,0,24,2,0,0,6,0,0,0,0,1,6,55,0,87,0,0,107,0,11,0,3,3
90,1013,0,1,0,6,26,8,79,18,0,13,0,9,0,22,3,0,0,4,0,0,0,0,2,12,98,0,77,0,1,128,0,8,0,1,2
110,1262,0,0,0,3,23,7,63,13,0,22,0,17,0,2,2,1,0,2,0,0,0,0,0,5,82,0,62,0,0,113,0,21,0,0,3
130,1510,0,1,0,10,17,11,83,16,0,16,0,7,0,25,0,0,0,1,0,0,0,1,3,20,120,0,82,0,3,89,0,10,0,2,3
150,1759,0,0,0,9,22,14,106,18,0,14,0,12,0,2,3,0,0,0,0,0,0,0,6,17,104,0,83,0,0,113,0,9,1,1,3
170,2008,0,0,0,8,19,6,91,9,1,11,0,4,0,9,0,0,0,1,0,0,0,0,0,22,111,0,55,0,0,48,0,6,0,2,2
195,2319,0,1,1,8,12,10,69,21,0,22,0,4,3,27,0,0,0,6,0,0,0,0,0,15,64,0,97,1,0,151,0,7,0,2,5
215,2552,0,0,0,15,11,8,82,26,0,16,0,5,2,32,0,0,1,1,0,0,0,0,2,15,101,1,128,0,0,68,1,11,0,1,4
235,2734,1,1,0,22,25,9,83,17,0,29,0,9,2,44,0,1,0,1,1,0,0,0,0,15,50,1,128,1,2,82,0,13,0,2,3
255,2917,0,0,0,27,37,8,87,4,0,24,0,4,1,18,0,0,0,6,0,0,0,0,0,14,47,2,83,0,0,66,0,19,0,0,3
275,3099,0,0,0,20,21,20,102,21,0,32,0,3,2,21,0,0,0,7,0,0,0,0,0,14,50,0,109,0,1,80,0,15,0,1,1
295,3282,0,0,2,13,23,15,78,33,0,24,0,6,3,44,0,0,0,5,0,0,0,0,1,7,75,0,145,2,1,54,0,8,1,1,0
315,3465,0,0,0,16,36,15,123,23,0,19,0,3,1,29,0,0,0,7,0,0,0,0,0,3,67,0,146,0,0,23,0,6,0,4,4
340,3769,0,0,0,16,21,10,59,10,0,22,0,0,7,28,0,0,0,4,0,0,0,0,1,10,37,0,259,0,3,18,0,10,1,0,5
355,3952,0,1,2,24,45,20,62,22,0,27,0,3,9,43,0,0,0,6,0,0,1,0,2,6,66,0,154,2,1,21,0,7,1,3,8
375,4196,0,0,0,16,21,15,120,18,0,15,0,0,9,24,0,0,0,7,0,0,0,0,0,7,46,0,93,0,0,21,0,1,0,2,4
400,4500,0,2,0,17,46,33,81,18,0,12,0,0,4,28,0,0,0,7,0,0,0,0,0,9,76,0,144,0,0,31,0,7,0,1,9
410,4622,0,2,0,16,46,35,74,21,0,21,0,1,10,43,0,0,0,10,0,0,0,0,0,9,73,1,123,0,0,38,0,4,0,5,10
420,4744,0,1,0,16,37,25,72,17,1,26,0,1,7,38,0,0,0,3,0,0,0,0,0,8,94,0,145,0,0,28,0,8,0,2,2
430,4866,0,0,2,17,67,30,77,17,1,21,0,2,5,27,0,0,0,3,0,0,0,1,0,6,65,0,145,2,0,25,0,5,0,4,6
440,4988,0,0,0,18,25,23,146,29,0,21,0,1,5,48,0,0,0,3,1,0,1,0,1,5,64,0,128,0,0,13,0,10,0,0,5
455,5153,0,1,0,19,32,28,97,20,0,21,0,1,2,26,0,0,0,9,0,0,0,0,0,3,85,0,133,0,0,41,0,2,0,1,5
470,5283,0,0,0,15,20,17,109,19,0,13,0,1,5,46,0,0,0,5,0,0,0,0,0,8,66,0,201,0,0,5,0,3,0,1,6
485,5412,0,0,2,19,25,18,103,19,1,15,0,0,6,54,0,0,0,2,0,0,0,0,2,5,77,0,192,2,0,8,0,1,0,0,2
505,5585,0,0,0,16,65,10,122,13,0,15,0,3,7,30,0,0,0,2,0,0,0,0,0,2,74,1,146,0,1,8,0,4,0,0,4
525,5759,0,0,0,20,40,23,124,18,0,7,0,4,5,43,0,0,0,2,0,0,0,0,0,3,67,0,165,0,1,8,0,7,0,0,2
550,5975,0,0,2,19,57,18,136,25,1,6,0,0,6,19,0,0,0,2,0,0,0,0,0,4,97,0,117,2,0,9,0,0,0,1,5
574,6222,0,0,0,16,36,31,113,11,0,1,0,0,7,47,0,0,0,3,0,0,0,0,1,12,112,0,126,0,2,13,0,6,0,1,4
594,6592,0,8,0,11,59,30,98,17,0,9,0,0,11,34,0,0,0,8,0,0,0,2,0,5,84,0,126,2,3,14,0,4,1,1,3
614,6961,0,2,0,16,50,25,93,15,0,12,0,0,11,43,0,0,0,6,0,0,0,0,1,6,72,1,149,0,1,16,0,4,0,0,9
634,7331,0,0,0,5,27,11,83,6,0,7,0,2,4,6,0,0,0,0,0,0,0,0,0,5,37,0,96,0,0,13,0,1,0,0,2
654,7701,0,0,0,9,33,32,123,14,0,6,0,1,6,10,0,0,0,4,0,0,0,0,0,4,53,2,189,0,0,12,0,1,0,1,6
674,8070,0,0,0,16,88,30,132,8,2,6,0,0,5,2,0,0,0,16,0,0,0,0,3,6,61,0,96,0,0,23,0,13,0,2,3
694,8440,0,0,0,18,54,54,112,13,0,10,0,1,7,29,0,0,0,6,0,0,0,0,0,10,68,0,116,0,2,18,0,0,0,0,6
715,8828,0,0,2,14,38,57,108,26,0,12,0,3,8,22,0,0,0,8,0,0,0,0,1,3,44,1,145,2,2,11,0,4,2,1,9
735,9198,0,0,0,8,51,29,130,18,1,9,0,0,7,21,0,0,0,3,0,0,0,0,0,5,63,0,143,0,1,11,0,8,0,0,8
755,9567,0,0,0,6,52,39,134,7,0,15,0,0,11,37,0,0,0,4,0,0,0,0,0,2,75,0,123,0,3,10,0,7,0,0,6
775,9937,0,0,0,12,66,36,185,9,0,6,0,2,5,26,0,0,0,3,0,0,0,0,1,4,69,3,78,0,3,7,0,2,0,0,6
795,10307,0,0,0,6,46,40,156,19,0,21,0,0,1,21,0,0,0,3,0,0,0,0,1,8,49,1,130,0,0,7,0,1,0,2,5
815,10676,0,0,0,10,77,24,142,8,0,6,0,1,5,36,0,0,0,0,0,1,0,0,0,6,77,0,136,0,0,2,0,1,0,0,4
835,11046,0,0,1,10,41,22,211,10,0,14,0,0,5,22,0,0,0,1,0,2,0,0,0,13,68,1,91,1,1,1,0,4,0,0,2
855,11416,0,1,0,5,56,64,152,16,0,5,0,1,0,8,0,0,0,3,0,0,0,0,0,9,61,0,48,0,2,1,0,4,1,0,3
865,11601,0,0,1,10,69,35,130,23,1,13,0,1,16,27,0,0,0,8,0,0,0,0,2,7,34,3,124,1,0,6,2,2,0,0,8
870,11693,0,0,0,8,104,61,106,18,1,6,0,0,6,20,0,0,0,3,0,0,0,0,0,10,36,0,126,0,0,3,1,3,2,0,0
875,11785,0,0,0,7,66,49,151,15,0,6,0,0,9,30,0,0,0,1,0,0,0,0,0,9,34,1,129,0,3,4,2,2,2,2,3
880,11878,0,0,0,8,46,77,111,10,0,3,0,1,2,29,0,0,0,0,0,0,0,0,0,7,44,0,165,0,0,1,2,3,0,0,1
885,11970,0,0,0,8,68,59,138,19,0,7,0,0,5,19,0,0,0,2,0,0,0,0,0,6,54,1,113,0,1,1,2,4,1,2,0
890,12063,0,1,0,6,45,49,125,20,0,7,1,0,10,34,0,0,0,1,0,0,0,0,1,6,30,0,164,0,4,2,0,13,4,3,0
895,12155,0,0,2,7,63,56,148,12,0,5,0,0,7,34,0,0,0,2,0,0,0,0,0,5,40,0,121,2,0,2,3,10,3,0,2
900,12247,0,0,0,1,56,72,161,14,0,6,0,1,8,30,0,0,0,1,0,0,0,0,2,5,34,0,113,0,0,1,3,2,3,2,3
905,12340,0,1,0,4,81,112,137,10,1,8,0,0,12,23,0,0,0,0,0,0,0,0,0,16,38,0,60,0,1,2,2,5,3,0,2
910,12432,0,0,0,3,72,45,115,13,1,5,0,0,4,29,0,0,0,1,0,0,0,0,0,10,37,0,170,0,0,2,3,11,2,2,1
915,12525,0,0,0,9,33,14,104,14,3,11,0,2,15,44,0,0,0,1,0,0,0,0,0,6,38,0,219,0,1,5,2,11,3,1,2
920,12617,0,0,0,3,56,26,134,10,0,9,0,0,5,36,0,0,0,0,0,0,0,0,1,16,40,0,161,0,1,5,0,13,7,1,3
925,12710,0,0,0,3,44,19,88,19,0,18,0,0,17,44,0,0,0,1,0,0,0,0,5,20,44,0,166,0,2,8,2,29,4,3,3
930,12802,0,1,0,11,31,28,93,10,1,22,0,3,27,75,0,0,0,2,1,3,0,0,0,67,73,0,126,0,5,8,5,34,5,3,30
935,12894,0,0,0,5,31,17,75,8,1,19,0,5,27,72,0,0,0,3,1,1,0,0,10,61,29,0,91,0,34,13,2,45,1,2,17
940,12987,0,0,0,1,14,15,53,5,0,27,0,2,46,61,0,0,0,5,0,0,0,0,0,143,28,0,72,0,40,10,1,22,1,1,9
945,13079,0,0,0,5,7,4,53,7,0,53,0,2,15,47,0,0,0,5,0,1,0,0,3,246,15,0,27,0,26,8,0,15,2,0,4
960,13356,0,1,1,4,49,58,183,12,1,4,0,1,13,34,0,0,0,1,0,0,0,0,0,13,43,0,93,1,3,5,0,7,2,0,3
965,13449,0,0,0,7,43,37,128,11,0,17,0,1,28,87,0,0,0,3,0,0,0,0,2,32,63,0,122,0,22,13,0,32,3,5,22
970,13541,2,0,0,3,3,1,54,5,0,36,0,0,7,60,0,0,0,0,0,1,0,0,0,315,7,0,40,0,8,4,0,10,0,0,0
975,13634,0,0,0,3,7,2,67,3,0,32,0,0,6,53,0,0,0,4,0,0,0,0,0,308,14,0,28,0,7,2,0,9,1,1,0
980,13726,0,1,0,2,6,0,66,0,0,42,0,2,7,52,0,0,0,4,0,1,0,0,0,314,9,0,19,0,5,3,1,11,1,1,2
985,13819,0,0,0,0,17,4,82,8,0,30,0,0,8,63,2,0,0,0,0,0,0,0,2,261,14,0,46,0,3,0,0,10,1,0,2
990,NA,0,0,0,1,8,3,76,2,0,19,0,2,0,41,0,0,0,2,0,0,0,0,0,359,1,0,13,0,0,0,0,7,1,0,1
995,NA,0,0,0,1,9,10,111,7,0,16,1,0,15,209,0,0,0,21,1,0,0,0,4,165,21,3,46,0,13,6,1,26,6,3,1
1000,NA,0,0,0,3,14,12,84,7,0,7,0,0,1,106,1,0,0,10,0,0,0,0,2,241,22,0,50,0,3,1,0,19,14,0,0
