"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polygalaceae","Polygonum","Populus","Potamogeton","Potentilla.type","Pteridium.type","Quercus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Sparganium","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Viburnum","Vitis"
400,3414,0,0,11,1,0,9,1,0,0,0,1,1,40,0,3,16,0,1,1,0,0,2,1,0,0,0,0,39,1,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,7,0,99,0,2,0,0,0,0,0,0,4,129,0,0,0,0,0,0,0,0,0,0,1,1,20,0,0,3,0,1,0,0
440,4089,0,2,7,0,0,10,0,0,1,0,1,0,19,0,4,19,0,0,0,0,0,0,2,0,0,0,0,27,5,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,8,0,113,0,2,1,0,0,0,0,0,6,132,0,0,0,1,0,0,0,0,1,0,0,1,13,0,0,8,2,0,0,0
480,4829,0,0,10,0,0,3,0,0,0,0,1,2,18,0,2,12,0,0,0,0,0,0,2,2,0,0,0,21,5,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,4,3,0,150,0,2,2,0,0,0,0,0,3,93,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,4,1,0,0,0
500,5223,0,0,7,0,1,6,0,0,0,0,1,1,35,0,1,16,0,0,1,0,0,0,0,0,0,0,0,48,5,4,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,60,0,1,2,0,0,0,0,0,2,101,0,0,0,0,0,0,0,0,0,0,0,7,45,0,0,8,0,0,0,0
520,5632,0,0,10,0,0,1,0,0,0,0,1,0,17,0,1,8,0,1,0,0,0,0,1,1,0,0,0,38,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,72,0,2,1,0,0,0,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,4,0,0,0,0
540,6053,0,0,6,1,0,1,0,1,0,0,0,0,6,0,1,13,0,0,0,0,0,0,0,0,0,0,0,32,3,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,1,0,1,7,0,41,0,0,1,0,0,0,0,0,5,91,0,0,0,0,0,0,0,0,0,0,0,3,137,0,0,9,0,0,0,0
560,6481,0,0,11,0,0,0,0,1,1,0,0,1,18,0,2,8,0,0,0,0,0,1,2,3,0,0,0,42,7,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,33,0,4,0,0,0,0,0,0,2,115,0,0,0,1,0,0,0,0,0,0,0,5,150,0,1,6,1,0,0,0
580,6911,0,0,8,0,0,3,0,0,0,0,0,0,18,0,2,11,0,1,0,0,0,1,5,3,0,0,0,43,2,8,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,5,0,70,0,2,1,0,0,1,0,1,3,93,0,0,0,0,1,0,0,0,0,0,0,0,72,0,1,14,0,0,0,0
600,7339,0,1,8,0,0,2,0,2,1,0,0,0,10,0,5,4,0,0,0,0,1,1,2,1,0,0,0,35,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,2,0,29,0,3,1,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,1,3,110,0,1,7,3,3,0,0
620,7760,0,0,10,0,0,3,1,0,0,0,1,0,25,0,1,9,0,1,0,0,0,1,2,3,0,0,0,65,3,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,5,0,0,7,0,16,0,3,2,0,0,0,0,0,1,202,0,0,0,0,0,0,0,0,0,0,0,4,83,0,0,9,1,0,0,0
640,8170,0,2,8,0,0,8,0,0,0,0,0,0,16,0,2,8,0,0,0,0,1,0,2,0,0,0,0,51,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,2,4,0,0,6,0,27,0,2,0,0,0,0,0,0,2,188,0,0,0,0,0,0,0,0,0,0,0,3,61,0,1,9,0,1,0,0
660,8563,0,0,9,0,0,2,0,0,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,2,0,0,0,30,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,26,0,1,1,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,3,120,0,2,12,0,0,0,0
680,8936,0,1,10,0,0,4,0,1,0,0,0,1,27,0,0,7,0,0,0,0,1,0,2,1,0,0,0,62,2,2,0,1,0,2,0,0,4,0,0,0,2,0,0,0,0,1,4,1,2,9,0,64,0,2,0,0,0,0,0,0,1,133,0,0,0,0,0,0,0,0,0,0,0,2,103,0,0,8,0,0,0,0
700,9283,0,0,9,0,0,2,0,0,0,0,0,1,19,0,5,4,0,0,0,0,0,0,3,0,0,0,0,29,6,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,68,0,2,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,5,0,1,0,0
720,9600,0,1,13,0,0,3,0,0,0,0,1,0,11,0,0,2,0,0,0,0,0,0,1,4,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,80,0,3,0,0,0,0,0,0,1,161,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,4,0,2,0,0
740,9882,0,0,5,0,0,5,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,0,4,1,0,0,0,14,1,5,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,9,3,110,0,0,3,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,1,57,0,1,2,0,2,0,0
760,10125,0,0,2,0,0,4,1,0,1,0,0,3,7,0,1,1,0,0,0,0,1,0,5,1,0,0,0,6,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,7,133,0,0,2,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,0,0,0,0
780,10324,1,0,4,0,0,0,0,0,1,0,0,1,14,0,3,10,0,0,0,0,2,0,0,3,0,0,0,22,1,2,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,1,1,0,1,4,3,120,0,1,0,0,0,0,0,0,3,99,0,0,0,0,0,0,0,0,0,0,0,3,98,0,0,2,0,0,0,0
800,10475,1,0,2,0,1,6,0,0,2,0,0,1,20,1,1,0,0,0,0,0,0,0,2,1,0,0,0,5,3,1,0,0,0,4,0,1,2,0,1,0,0,0,1,0,0,2,1,0,0,7,18,147,0,1,1,0,0,1,0,0,4,97,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,2,1,2,0,0
820,10581,6,0,1,0,0,3,1,0,0,0,0,0,9,0,2,0,0,0,0,1,3,0,2,0,0,0,0,3,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,4,11,136,0,1,2,0,0,1,0,0,2,98,0,0,0,0,1,0,0,0,0,0,1,0,50,0,0,8,6,1,0,0
840,10657,4,0,3,0,0,4,1,0,0,0,2,0,15,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,16,156,0,1,0,0,0,1,0,0,3,136,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,4,0,0,0,0
860,10714,1,0,2,0,0,3,1,1,1,0,0,0,14,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,12,7,193,0,2,1,0,0,0,0,0,1,147,0,0,0,0,0,0,0,1,0,0,0,2,57,0,0,7,0,0,0,0
880,10766,0,0,0,0,0,1,0,0,0,0,1,1,11,0,4,2,0,0,0,0,2,0,3,1,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24,4,153,0,0,0,0,0,1,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,1,0,0,0,0
900,10825,2,0,5,0,0,2,1,0,0,0,1,1,7,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,4,5,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,22,2,198,0,1,0,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0,93,0,0,5,1,0,0,0
920,10905,0,1,1,0,0,6,0,1,1,0,0,0,14,0,3,1,0,0,0,0,3,0,2,0,0,0,0,4,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,3,189,0,1,0,0,0,2,0,0,2,142,0,0,0,0,1,0,0,0,0,0,0,1,40,0,0,4,1,0,0,1
940,11020,0,0,1,0,0,2,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,2,214,0,1,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,10,1,1,0,0
960,11181,2,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,251,0,0,1,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,0
980,11402,2,0,4,0,0,4,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,242,0,1,0,0,0,0,0,0,2,53,0,0,0,0,1,0,0,0,0,0,0,0,39,0,1,2,0,0,0,0
1000,11694,35,0,0,0,0,6,0,0,0,0,1,0,32,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,3,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,3,26,365,0,0,1,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,6,2,0,0,0
1020,12086,8,0,0,0,0,31,13,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,10,0,1,1,0,2,0,0,0,1,0,2,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,90,157,0,0,3,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,3,1,0,0,0
1040,12575,14,0,0,0,0,16,17,0,0,0,1,2,8,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,237,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1060,13138,9,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,4,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,297,0,0,2,0,0,2,0,0,0,16,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1080,13755,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,49,304,0,1,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0
1100,14405,15,0,0,0,0,1,0,0,0,2,0,1,7,1,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,8,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,122,154,0,0,10,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1120,NA,0,0,1,0,0,2,1,0,0,0,1,6,8,0,0,0,0,0,0,0,0,6,25,0,0,0,0,1,1,8,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,335,52,0,0,26,0,1,4,0,0,0,23,0,2,0,0,12,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0
1140,NA,5,0,0,0,0,6,0,0,0,0,5,2,13,0,0,0,0,0,0,0,1,2,71,0,0,0,0,0,0,1,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,85,89,0,0,14,0,0,0,0,0,0,7,1,1,0,0,4,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0
1160,NA,2,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,102,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,64,107,0,0,9,0,0,0,0,0,0,10,0,0,1,0,3,0,3,0,0,0,2,0,0,0,0,2,1,2,0,0
