"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.negundo","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus.alternifolia","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Cystopteris","Diphasiastrum.alpinum","Diphasiastrum.complanatum","Diphasiastrum.complanatum.type","Dryas","Dryopteris","Dryopteris.type.undiff.","Ephedra","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Hypericum","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae.undiff.","Larix","Linnaea.borealis","Ludwigia","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunella.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.reticulata.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Thelypteris.palustris.type","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
165,1717,5,0,0,0,0,1,28,1,0,72,9,0,1,1,0,0,0,0,170,0,0,4,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,94,1,19,9,1,0,0,1,7,0,6,0,2,10,1,6,0,0,0,0,3,0,0,0,0,0,0,29,2,0,0,7,5,3,0,38,8,4,0,1,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,77,0,0,0,3,16,7,11,7,0,0,1,0,3,0
185,2181,2,0,0,0,0,0,33,0,0,36,5,0,0,0,1,3,0,0,151,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,5,0,67,0,6,3,0,1,0,3,2,0,2,0,1,2,0,3,0,0,0,0,9,0,0,0,0,0,20,1,1,0,0,5,1,7,5,38,26,2,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,82,0,0,0,3,0,3,11,1,0,0,0,1,0,0
200,2647,3,0,0,0,0,3,41,0,0,54,5,0,0,0,3,2,0,0,188,0,0,0,1,0,0,0,0,0,0,0,4,12,0,0,0,0,0,1,0,0,0,7,0,53,0,9,4,3,3,0,2,6,0,9,0,6,21,0,6,0,0,0,1,6,0,0,0,0,0,0,28,4,0,2,5,1,0,3,54,11,8,0,1,4,0,4,1,1,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,5,3,31,3,0,1,0,0,3,0
210,3019,2,0,0,0,0,3,42,0,0,63,5,0,1,0,0,2,0,0,207,0,0,5,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,4,0,55,1,18,3,0,2,0,1,6,0,5,0,1,0,0,3,0,0,0,0,9,0,0,0,0,0,0,13,2,0,0,6,1,6,3,72,14,4,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,42,0,0,0,1,7,0,10,0,0,1,1,0,0,0
225,3618,0,0,0,0,0,1,8,0,1,29,2,0,1,0,0,3,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1,0,42,0,9,4,0,3,0,1,1,0,3,0,0,2,0,2,0,0,0,0,111,0,3,0,0,0,4,0,0,0,0,0,2,11,3,36,17,0,0,1,2,1,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,45,0,1,0,0,6,1,7,1,0,0,0,1,0,0
235,4009,3,0,0,0,2,3,26,0,0,56,0,1,1,0,0,0,0,0,220,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,4,0,49,5,24,9,0,2,0,4,0,0,6,0,2,0,0,3,0,0,0,1,19,0,0,0,1,0,0,12,4,0,0,2,1,17,2,89,16,7,0,0,0,0,4,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,48,0,0,1,0,8,0,26,2,0,0,1,0,1,0
245,4360,0,0,0,0,0,2,10,0,0,11,10,0,1,0,1,0,0,0,243,0,0,1,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,47,0,9,12,0,0,0,1,0,1,10,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,0,1,2,1,0,0,38,30,1,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,9,5,5,3,0,0,0,0,0,0
250,4514,2,0,0,0,0,0,18,0,0,26,6,0,4,0,0,1,0,0,223,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,59,0,10,8,0,2,0,2,1,0,5,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,1,40,5,1,0,0,0,2,0,0,0,0,0,0,25,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,37,0,0,0,0,10,2,7,0,0,0,0,0,1,0
265,4882,0,2,0,0,0,3,17,0,0,8,1,1,2,0,1,0,0,0,203,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,9,3,0,0,0,3,4,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,2,1,16,6,27,23,1,0,2,1,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,75,0,0,0,0,21,0,8,2,4,0,1,0,0,0
275,5067,2,0,0,0,3,0,10,0,0,18,0,2,1,0,1,0,0,0,258,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,13,0,8,8,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,3,0,13,0,80,10,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,76,0,0,0,0,16,3,10,3,0,0,0,0,0,0
285,5220,1,0,0,0,0,3,31,0,0,21,0,0,0,0,2,1,0,0,240,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,2,0,37,9,8,3,0,0,0,2,1,0,15,0,4,1,0,2,0,0,1,0,2,0,3,0,0,0,0,1,1,0,0,1,1,5,7,19,40,0,0,0,1,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,10,88,0,0,0,0,28,2,5,2,0,0,0,1,0,0
300,5423,0,0,0,0,0,2,26,1,0,4,7,0,1,0,0,0,0,0,194,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,48,0,5,6,0,0,0,2,2,0,9,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,2,6,0,23,16,0,0,0,2,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110,0,0,0,0,5,5,5,2,0,0,0,0,0,0
315,5632,1,0,0,0,2,0,24,0,0,9,1,0,0,0,1,0,0,0,299,2,0,3,0,1,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,1,13,4,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,1,0,3,0,0,0,1,9,0,1,3,1,24,2,48,21,3,0,1,0,0,6,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,0,1,0,0,17,1,7,1,2,0,0,0,0,0
325,5782,1,0,0,0,0,3,18,0,0,13,1,0,0,0,0,0,0,0,222,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,12,9,0,1,0,1,3,0,3,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,1,3,2,76,26,1,0,0,1,0,1,0,0,0,0,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,84,0,0,0,0,13,3,9,0,0,0,0,0,0,0
340,6023,2,0,0,0,2,1,8,0,0,12,0,0,1,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,8,2,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,4,2,29,0,188,15,2,0,0,0,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,136,1,0,0,0,20,2,18,1,0,0,0,0,0,0
350,6194,2,0,0,1,0,0,10,0,0,3,1,2,0,0,0,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,2,0,8,5,0,0,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,14,7,117,50,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117,0,0,0,0,12,0,4,0,0,0,0,0,0,0
360,6375,4,0,0,0,1,1,15,0,0,10,0,0,3,0,1,0,0,0,173,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,7,4,11,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,0,0,4,0,0,0,8,0,0,3,0,34,0,297,9,1,0,0,0,1,1,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,45,0,0,0,0,19,1,6,2,0,0,0,0,0,0
375,6674,8,0,0,1,0,0,9,0,0,6,2,0,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,4,2,17,40,185,63,1,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,1,0,0,8,0,0,1,0,0,0,0,0,0
385,6901,4,0,0,0,0,1,2,0,0,3,5,0,1,0,0,0,0,0,69,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,2,0,46,11,183,69,2,0,0,2,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,13,0,1,0,0,11,1,0,0,0,0,0,0,0,0
400,7298,5,0,0,0,0,3,9,0,0,0,6,0,0,0,2,0,0,0,88,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,18,1,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,2,33,10,197,56,0,0,0,1,0,0,0,0,0,0,0,105,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,14,0,0,1,0,0,0,0,0,0
410,7610,5,0,0,0,0,1,8,1,0,1,6,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,9,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,11,0,12,0,438,10,4,0,0,1,2,2,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,16,1,1,0,0,0,0,0,0,0
420,7967,4,0,0,0,0,0,2,0,0,3,4,1,0,0,0,2,0,0,87,0,0,0,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,12,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4,9,1,7,2,237,4,7,0,1,4,1,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,7,0,1,0,0,10,1,3,0,0,0,0,0,0,0
435,8596,18,0,0,0,0,0,10,1,0,7,5,1,3,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,2,24,3,45,4,333,36,6,0,0,27,0,4,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,16,0,5,2,0,0,0,0,0,0
450,9311,33,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,17,8,58,19,94,19,3,0,1,8,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,9,0,1,0,0,0,0,0,0,0
460,9817,15,0,0,0,0,0,0,2,0,3,1,1,1,0,1,2,1,0,172,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,1,0,14,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,29,4,58,9,34,25,5,1,3,26,2,2,0,0,0,0,0,48,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,8,2,6,8,0,0,1,0,0,0
470,10332,26,0,0,0,0,0,2,2,0,3,3,0,2,0,1,0,0,0,215,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,5,0,0,0,18,4,0,5,0,1,0,0,5,1,0,0,0,0,0,0,11,0,6,16,3,20,2,87,7,3,0,6,73,2,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,2,13,3,0,0,0,0,0,0
485,11091,29,0,0,0,0,0,3,5,0,6,6,1,1,0,8,3,0,0,134,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,1,1,0,2,0,11,0,0,16,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,45,19,33,2,38,14,1,0,3,39,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0,7,2,0,0,0,0,0,0
500,11785,3,0,1,0,1,0,1,0,0,2,52,0,1,3,8,10,0,0,115,0,0,2,0,0,1,0,1,1,0,0,3,22,0,0,0,0,0,0,0,0,3,0,0,1,0,8,2,0,0,0,0,0,0,1,0,15,1,0,13,0,1,3,3,2,0,0,0,0,0,0,0,1,0,11,86,14,4,0,53,7,3,0,15,120,0,1,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,2,22,3,0,0,1,0,0,0
515,12362,0,0,0,0,0,0,3,1,0,14,60,0,6,0,9,0,0,0,122,0,0,0,0,0,0,0,0,2,0,0,1,32,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,3,0,1,0,38,0,0,2,0,0,6,6,1,0,0,0,0,0,0,0,4,0,7,107,36,6,0,103,12,15,0,2,237,0,7,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,17,2,41,4,3,0,0,0,0,0
520,12524,1,0,0,0,0,0,1,3,0,7,65,0,10,0,4,1,0,0,152,0,0,0,0,0,0,0,0,2,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,20,6,0,3,0,0,1,4,0,0,0,0,0,0,0,0,2,0,19,112,44,17,0,78,12,12,0,16,141,3,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,1,6,3,33,10,2,0,0,0,0,0
525,12671,1,0,0,0,0,0,0,2,0,5,79,0,11,0,10,14,0,0,435,0,1,1,0,2,0,1,0,0,0,0,1,80,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,1,0,23,15,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,14,14,6,0,26,22,27,0,4,31,0,4,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,44,0,0,0,0,0,1,0,1,0,13,0,0,6,0,0,0,0,7,2,19,5,0,0,0,0,0,0
530,12807,4,0,0,0,0,0,0,0,0,0,34,1,0,0,10,2,0,0,334,0,0,0,1,0,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,18,11,14,0,9,15,4,0,0,3,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,1,3,2,0,0,0,0,0,0
535,12932,1,0,0,0,0,1,0,1,0,21,63,0,3,0,16,8,1,0,351,0,0,0,2,0,0,0,0,15,0,0,0,145,0,2,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,24,8,0,35,20,23,0,1,5,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,51,0,1,0,0,0,2,0,1,0,18,0,0,2,0,0,0,0,3,0,3,1,0,0,0,0,0,0
