"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis.type","Betula","Carya","Celtis","Cephalanthus","Cornus.sericea.type","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Ericaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar.styraciflua","Morus","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Quercus","Rhus","Rubus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Allium","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","Amaranthaceae","Dalea.purpurea","Euphorbia","Fagopyrum","Galium","Humulus.lupulus","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Lamiaceae.undiff.","Liliaceae","Lycopus.type","Phlox","Pilea.type","Poaceae","Polemonium","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Cyperaceae","Engelhardtia"
120,2566,0,0,0,0,0,0.00586510263929619,0,0.00586510263929619,0.0381231671554252,0.00293255131964809,0,0,0,0,0,0,0,0,0,0.00586510263929619,0,0,0,0.00293255131964809,0,0,0.00879765395894428,0,0.00586510263929619,0,0,0,0.0381231671554252,0.0293255131964809,0,0,0,0.36950146627566,0,0,0,0,0,0,0,0.0263929618768328,0,0,0.0879765395894428,0,0,0,0.0117302052785924,0.0205278592375367,0,0,0,0,0.0850439882697947,0,0,0,0,0,0,0.00586510263929619,0,0,0,0,0,0,0.0997067448680352,0,0,0,0,0,0,0,0.00879765395894428,0,0,0,0,0.140762463343109,0
130,2711,0,0,0,0,0,0.00636942675159236,0,0.00955414012738853,0.035031847133758,0,0,0.0159235668789809,0.00318471337579618,0,0,0,0,0,0.00318471337579618,0.00318471337579618,0,0,0,0.00955414012738853,0,0,0.00636942675159236,0,0.00636942675159236,0,0,0,0.0222929936305732,0.0254777070063694,0,0,0,0.401273885350318,0,0,0,0,0,0,0.00636942675159236,0.0191082802547771,0,0,0.0509554140127389,0,0,0,0.00636942675159236,0.0222929936305732,0,0,0,0,0.0732484076433121,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0.0732484076433121,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0.194267515923567,0
140,2856,0,0,0,0,0,0.00609756097560976,0,0.00609756097560976,0.0457317073170732,0,0,0.00609756097560976,0,0.00304878048780488,0,0,0,0,0,0.0152439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0.0213414634146341,0,0,0,0.353658536585366,0,0,0,0,0,0,0,0.024390243902439,0,0,0.0884146341463415,0,0,0,0.00304878048780488,0.024390243902439,0,0,0,0,0.152439024390244,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0,0,0.0792682926829268,0,0,0,0,0,0,0,0.00304878048780488,0,0.00304878048780488,0,0,0.13719512195122,0
144,2914,0,0,0,0,0,0.00318471337579618,0,0,0.0159235668789809,0,0,0,0,0.00318471337579618,0,0,0,0.00636942675159236,0.00318471337579618,0,0.00318471337579618,0,0.00318471337579618,0.00318471337579618,0.00318471337579618,0,0,0,0.00955414012738853,0,0,0,0.0159235668789809,0.00636942675159236,0,0,0.00955414012738853,0.404458598726115,0,0,0.00318471337579618,0,0,0,0,0.0191082802547771,0,0,0.0732484076433121,0.00955414012738853,0,0,0.00636942675159236,0.0191082802547771,0,0,0,0,0.130573248407643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859872611464968,0,0,0,0,0,0,0,0.00318471337579618,0,0.00318471337579618,0,0,0.156050955414013,0
155,3074,0,0,0,0,0,0.00655737704918033,0,0.0098360655737705,0.0491803278688525,0.00327868852459016,0,0.00327868852459016,0,0,0,0,0,0,0,0.00655737704918033,0,0,0.00655737704918033,0.00327868852459016,0,0,0.00655737704918033,0,0.0098360655737705,0,0,0,0.0426229508196721,0.0229508196721311,0,0,0,0.455737704918033,0,0,0,0,0,0,0,0.019672131147541,0,0,0.0852459016393443,0,0,0,0.00327868852459016,0.0295081967213115,0,0,0,0,0.059016393442623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622950819672131,0,0,0,0,0,0,0,0,0,0,0,0,0.114754098360656,0
160,3147,0,0,0,0,0,0.00334448160535117,0,0.0133779264214047,0.0702341137123746,0,0,0,0,0,0,0,0,0,0,0.00668896321070234,0,0,0.00334448160535117,0.00334448160535117,0,0,0,0,0.00334448160535117,0.00334448160535117,0,0,0.0301003344481605,0.0301003344481605,0,0,0,0.448160535117057,0,0,0,0.00334448160535117,0,0,0.00334448160535117,0.0133779264214047,0,0,0.040133779264214,0.0100334448160535,0,0.00334448160535117,0.0133779264214047,0.0167224080267559,0,0,0,0,0.0535117056856187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0,0,0,0.00334448160535117,0,0,0,0,0.137123745819398,0
165,3220,0,0,0,0,0,0,0,0.00643086816720257,0.0257234726688103,0,0,0.0160771704180064,0,0,0,0,0,0.00321543408360129,0,0.00643086816720257,0,0,0.00643086816720257,0.00321543408360129,0.00321543408360129,0,0.00964630225080386,0,0.0192926045016077,0,0,0,0.0289389067524116,0.0160771704180064,0,0,0,0.331189710610932,0,0,0.00964630225080386,0,0,0,0,0.0578778135048231,0,0,0.112540192926045,0,0,0.00321543408360129,0.00321543408360129,0.0289389067524116,0,0,0,0,0.0418006430868167,0,0,0,0,0.00321543408360129,0,0.00321543408360129,0.00321543408360129,0,0,0,0,0,0.122186495176849,0,0,0,0,0,0,0,0,0,0,0,0,0.135048231511254,0
170,3292,0,0,0,0,0,0.01,0,0.00333333333333333,0.0666666666666667,0,0,0,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0.01,0,0,0.01,0.00666666666666667,0,0,0.00333333333333333,0,0.0133333333333333,0,0,0,0.02,0.0166666666666667,0,0,0,0.386666666666667,0,0,0,0,0,0,0,0.03,0.00333333333333333,0,0.11,0.01,0,0,0.00666666666666667,0.0233333333333333,0,0,0,0,0.0633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866666666666667,0,0,0,0,0.00666666666666667,0,0,0,0,0.00333333333333333,0,0,0.1,0
175,3365,0,0,0,0,0,0.00641025641025641,0,0.0128205128205128,0.0384615384615385,0,0,0.00641025641025641,0,0.00320512820512821,0,0,0,0.00961538461538462,0.00320512820512821,0,0,0,0.00320512820512821,0.00320512820512821,0,0,0.00641025641025641,0,0.00961538461538462,0,0,0,0.0384615384615385,0.0192307692307692,0,0,0,0.375,0,0,0.00961538461538462,0,0,0,0.00320512820512821,0.0192307692307692,0,0,0.108974358974359,0,0,0,0.0128205128205128,0.0192307692307692,0,0,0,0,0.0544871794871795,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0.105769230769231,0,0,0,0,0.00320512820512821,0,0,0.00320512820512821,0,0,0,0,0.118589743589744,0
180,3438,0,0,0,0,0,0.00324675324675325,0,0.0064935064935065,0.0454545454545455,0,0,0.00974025974025974,0,0,0,0,0,0.0064935064935065,0.00324675324675325,0,0,0,0,0.00974025974025974,0,0,0.00974025974025974,0,0.00974025974025974,0,0,0,0.038961038961039,0.0227272727272727,0,0,0,0.409090909090909,0,0,0,0,0,0,0,0.0324675324675325,0,0,0.0876623376623377,0.0064935064935065,0,0,0.0162337662337662,0.012987012987013,0,0,0,0,0.0584415584415584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0.100649350649351,0
