"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betula.undiff.","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Pedicularis","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Salix","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
460,11090,5,0,0,0,0,4,146,0,0,0,0,0,0,73,0,0,1,0,0,0,0,17,0,1,0,2,0,0,0,7,0,0,7,0,0,0,0,0,1,1,12,0,2,1,0,0,55,40,11,0,0,47,3,0,2,30,5,0,17,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,6,0,0
465,11139,0,0,0,1,0,2,43,0,2,5,1,0,0,186,0,0,0,0,0,0,12,21,0,1,0,3,2,0,0,3,0,1,1,0,0,0,0,0,3,5,17,0,0,0,0,0,92,45,13,6,12,50,4,0,0,43,0,0,12,0,0,0,8,0,0,3,0,0,0,0,0,0,7,2,2,0,3
470,11189,0,0,0,0,2,0,10,0,0,2,2,0,0,97,0,0,0,0,1,0,11,18,0,0,0,0,0,0,0,10,0,0,17,0,0,0,0,0,1,3,12,0,0,0,0,0,25,17,7,0,3,24,3,0,0,84,2,0,13,0,1,1,5,0,0,1,0,1,0,0,0,0,1,0,8,0,1
475,11238,8,0,0,0,0,0,10,0,1,3,2,0,42,255,0,0,0,0,0,0,11,21,0,1,0,1,2,0,0,11,0,1,0,0,0,0,0,0,12,6,20,0,0,0,0,3,76,31,10,33,61,30,5,0,0,111,0,0,37,0,0,0,11,0,0,2,0,0,0,0,2,1,0,4,14,1,2
480,11387,0,0,1,1,0,0,3,0,0,8,4,0,0,171,0,0,0,0,0,0,17,43,2,0,0,1,0,1,0,9,14,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,7,5,4,0,2,35,5,0,0,153,5,0,6,1,0,0,14,1,0,3,0,0,0,0,2,0,0,1,7,0,0
490,11844,0,0,0,0,0,0,6,0,0,12,1,0,0,313,0,0,0,0,2,0,2,30,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,10,0,3,5,3,21,5,0,0,130,13,0,7,2,0,0,33,0,0,0,0,0,0,0,1,2,0,2,5,0,0
500,12462,0,1,0,1,0,0,7,0,0,19,1,0,0,444,0,0,0,0,0,0,2,55,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,9,1,0,7,0,26,18,0,0,15,3,0,10,2,0,0,50,0,0,0,0,0,0,0,1,0,0,0,3,1,0
505,12771,2,0,0,0,0,2,6,0,1,28,1,0,2,30,0,0,0,0,0,1,2,116,1,3,0,1,0,0,0,8,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0,22,0,2,1,16,28,14,0,0,2,1,0,5,1,0,2,59,0,0,1,0,0,0,0,0,1,0,7,6,14,0
510,NA,1,0,0,1,0,0,3,0,1,6,0,1,0,20,0,0,0,1,0,3,0,67,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,8,15,0,0,0,0,0,0,12,0,1,42,0,0,0,0,0,0,0,1,0,0,2,1,0,0
515,NA,0,0,0,0,0,3,2,0,0,12,2,0,0,29,0,0,0,3,0,9,0,160,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,1,16,43,1,0,0,0,0,0,2,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,NA,0,0,0,0,0,1,2,0,0,10,2,0,0,12,0,0,0,5,0,9,3,71,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,54,0,0,1,0,0,1,0,0,6,11,0,0,0,0,0,1,0,0,0,0,9,0,0,0
525,NA,0,0,0,0,0,1,2,0,0,2,5,0,0,7,0,1,0,4,0,10,0,72,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,10,43,3,0,0,0,0,0,0,0,6,19,0,2,0,0,0,1,0,1,0,0,3,1,0,0
530,NA,3,0,0,0,0,7,3,0,2,12,3,1,0,26,2,0,0,35,0,19,0,367,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,13,3,4,0,15,10,127,1,0,0,0,0,3,1,0,30,41,0,0,1,1,0,0,0,1,0,0,18,0,0,0
