"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Huperzia.lucidula","Morus","Myrica","Parnassia","Potentilla","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polypodiaceae","Populus","Pinaceae.undiff.","Potamogeton.Triglochin","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Selaginella.selaginoides","Sphagnum","Juniperus.Thuja","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Indeterminable","Unknown","Botrychium","Caryophyllaceae","Charcoal","Cerealia","Brassicaceae","Glomus","Spore..trilete.","Urticaceae","Tilletia","Eucalyptus.spike..number.counted.","Sample.volume..ml."
243,3553,1,1,36,6,2,1,17,0,8,8,0,0,1,0,0,0,146,0,25,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,78,0,1,0,0,0,0,5,1,41,0,0,0,0,0,0,25,8,19,0,0,20,0,0,0,0,80,2,0,0,98,0,0,0,1,0,0,235,0
260,3781,1,0,32,2,3,1,16,0,8,2,0,0,0,0,2,0,171,0,12,2,4,0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,20,68,0,6,0,1,0,0,8,0,16,0,0,0,0,0,0,74,0,9,1,0,21,0,0,0,0,99,0,0,0,154,0,0,0,0,0,0,323,1
270,3915,2,0,30,0,5,0,15,0,3,3,0,1,0,0,3,1,36,0,16,2,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,7,66,0,3,0,0,0,0,3,2,28,0,0,0,2,0,1,18,5,10,0,0,9,1,0,1,2,64,7,0,0,33,0,0,3,3,0,0,830,1
280,4210,1,0,34,0,3,1,11,0,2,3,0,0,0,0,3,0,5,0,4,0,2,3,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,70,0,1,0,18,0,0,0,3,3,0,0,0,2,0,0,116,13,3,0,0,30,0,0,0,0,151,3,0,0,223,0,0,0,3,0,0,518,1
305,4949,0,0,23,3,8,2,13,0,1,12,0,0,0,0,2,0,1,0,3,0,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,142,0,5,0,78,0,0,0,2,5,0,0,0,0,0,0,30,5,11,0,0,60,0,0,0,0,122,0,0,0,116,0,0,0,1,0,0,362,2
325,5540,1,0,34,3,15,0,14,0,0,5,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,5,0,0,2,0,1,0,0,0,1,0,0,128,11,7,0,0,43,0,0,0,0,133,0,0,0,270,0,0,0,0,0,0,140,1
350,6279,2,1,23,1,4,0,2,0,1,2,0,0,0,0,3,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,4,0,24,0,0,0,1,10,0,0,0,0,0,0,136,9,7,0,0,34,0,0,0,0,182,0,0,0,120,0,0,0,0,0,0,296,1
370,7196,0,0,12,2,0,0,4,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,268,8,10,0,0,25,0,0,0,0,59,8,0,0,54,0,0,0,0,0,0,140,0
385,7927,1,0,9,1,2,0,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,317,3,9,0,0,17,0,0,0,0,58,0,0,0,49,0,0,0,1,0,0,86,0
405,8902,1,0,22,1,7,2,9,0,3,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,172,0,1,0,8,0,0,0,0,5,0,0,0,0,0,0,1,6,16,0,0,21,0,0,0,0,93,2,0,0,82,0,0,0,0,0,0,172,2
430,10120,0,0,4,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,236,0,0,0,0,0,0,1,0,23,1,0,0,2,0,63,33,0,7,0,0,5,0,0,0,0,64,2,0,0,28,0,0,0,1,0,0,107,0
440,10713,1,0,2,0,2,1,10,0,8,0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,233,0,2,0,2,0,5,0,0,38,0,0,0,0,0,7,1,0,0,0,0,11,0,0,0,0,21,14,0,0,14,0,0,2,0,0,0,424,0
470,11544,1,0,2,0,0,0,3,10,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,34,18,2,134,0,0,0,1,0,13,0,1,2,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,14,19,0,0,47,0,0,15,0,0,0,163,0
490,12099,0,0,2,1,1,0,2,24,4,0,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,106,21,19,90,0,1,0,3,1,0,1,0,14,0,0,0,2,0,4,0,0,0,1,0,6,0,0,0,0,7,1,0,0,26,0,0,2,0,0,0,373,0
518,NA,0,0,0,1,5,1,1,1,0,0,0,1,0,1,0,29,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,2,0,32,0,0,0,6,0,0,1,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,114,21,0,0,19,0,0,14,3,0,0,601,1
540,NA,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,36,0,0,0,1,1,17,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,61,15,1,0,30,0,0,0,4,0,0,1449,1
