"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquifoliaceae","Betula","Carya","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Poaceae.undiff.","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Thalictrum","Trees.undiff.","Tsuga","Ulmus","Myrica","Populus","Acer.saccharinum.type","Artemisia","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Acer.pensylvanicum","Amorpha.type","Amaranthaceae.undiff.","Ericaceae","Juglans.cinerea","Dalea","Polygonum","Ceanothus","Salsola","Brassicaceae","Sarcobatus.vermiculatus","Ephedra","Acer.undiff.","Iva.annua.type","Celtis","Iva.xanthifolia.type","Larix","Acer.negundo","Morus","Asteraceae.subf..Asteroideae.undiff.","Prunus.Sorbus","Crataegus.type","Moraceae.undiff.","Saxifragaceae","Fraxinus.pennsylvanica.type","Lamiaceae","Fagus","Oxyria.digyna","Galium","Herbs.undiff.","Ranunculaceae.undiff.","Cornus","Fabaceae.undiff.","Cerealia","Potentilla.type","Anacardiaceae","Gleditsia","Apiaceae","Shepherdia","Vitis","Shrubs.undiff.","Rosaceae.undiff.","Pyrus.type"
190,3004,725,2,3,14,0,6,0,111,0,7,4,0,7,16,9,1,12,0,11,159,127,1,180,0,1,0,0,25,0,2,0,11,1,2,6,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3468,604,7,1,41,2,10,0,58,4,6,5,2,20,8,18,0,11,1,8,68,123,2,141,0,0,0,0,24,1,3,0,11,0,5,7,0,0,7,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3931,306,1,0,34,1,12,0,38,0,3,0,3,5,2,12,0,9,1,4,34,59,0,70,0,1,0,0,8,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,4395,630,0,0,49,1,13,0,50,2,2,3,1,23,4,23,6,3,1,13,52,72,0,265,0,0,0,0,9,0,6,1,10,1,1,3,0,0,7,0,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4704,320,3,0,27,0,11,0,22,0,10,1,3,15,5,14,1,7,0,12,24,13,0,120,0,0,0,0,4,0,0,0,14,0,2,1,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4860,618,3,1,29,0,13,0,30,0,5,6,3,22,2,29,1,11,2,22,56,33,3,281,0,0,0,0,29,0,4,0,13,0,4,2,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5173,566,6,1,26,1,17,1,51,2,0,3,4,17,7,29,0,9,0,38,88,49,1,153,1,0,0,2,13,0,2,0,17,1,3,2,0,0,12,0,4,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5486,551,3,1,27,0,13,0,23,3,5,2,2,15,7,30,2,23,0,12,75,68,0,170,0,0,0,0,28,0,3,0,16,0,2,6,0,1,3,0,6,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,5798,560,6,0,41,4,16,0,22,3,10,3,1,15,6,36,1,29,0,7,47,42,2,198,1,0,0,1,28,0,1,0,17,2,3,3,0,1,6,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6268,461,3,0,21,0,18,0,25,4,3,2,3,11,11,28,2,25,1,6,33,20,2,171,0,0,0,0,35,0,2,0,9,1,4,4,0,0,6,0,4,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,6737,501,4,0,19,1,10,0,11,7,4,5,1,12,6,15,3,26,0,11,46,24,0,191,0,0,0,0,54,0,3,0,13,1,7,5,0,1,11,0,4,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,7050,563,5,0,22,3,15,0,33,8,7,7,3,13,10,21,1,67,2,5,31,31,3,158,0,0,1,1,61,1,7,0,10,1,3,17,0,1,5,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
460,7206,393,3,1,10,0,15,0,42,1,0,3,3,11,8,17,0,63,0,3,34,22,3,71,0,0,0,0,44,0,3,1,9,1,1,9,0,0,8,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480,7512,549,6,0,33,3,9,0,61,3,4,11,2,12,15,18,2,78,0,8,52,51,4,86,0,0,1,0,54,0,3,0,11,1,3,7,0,1,6,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7815,492,8,0,23,1,17,0,26,8,2,2,4,16,15,21,1,45,1,15,36,33,1,124,0,1,0,0,55,0,0,0,12,0,2,5,0,1,9,0,3,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,7967,537,3,1,38,1,13,0,24,7,6,6,1,17,4,8,0,12,1,15,39,166,2,101,0,1,0,0,35,0,0,0,14,0,2,0,0,0,15,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
520,8118,517,4,0,34,8,18,0,30,1,3,10,1,10,6,24,1,16,1,45,33,111,0,77,0,0,1,0,50,0,0,0,14,0,8,2,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
538,8391,391,3,1,15,0,12,0,20,2,3,2,0,10,3,9,0,10,1,8,15,59,2,172,0,0,0,0,28,0,1,0,5,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,8725,424,4,0,7,1,24,0,16,2,3,3,0,9,5,36,0,26,0,13,16,48,1,127,0,0,0,0,37,0,0,0,18,0,4,2,0,0,15,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
580,9028,597,6,1,46,1,26,0,52,2,4,8,0,14,7,36,0,19,2,39,65,85,3,72,0,0,0,0,48,0,6,0,21,2,16,2,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
600,9331,585,4,0,52,0,11,0,42,4,3,10,2,17,22,12,1,39,0,47,47,73,0,109,0,0,0,0,48,0,3,0,17,1,1,0,1,2,8,0,3,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,9732,691,4,0,80,8,32,0,54,6,2,25,7,16,17,15,0,38,3,42,40,75,3,110,0,0,0,0,57,0,5,1,20,0,6,3,0,0,10,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
650,9899,396,1,0,20,0,31,0,15,7,4,7,3,12,7,17,0,9,1,39,9,110,0,44,0,0,0,0,40,0,0,0,4,1,4,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,10067,495,2,0,17,0,16,0,22,4,3,6,2,10,14,40,0,22,1,79,13,111,0,55,0,0,0,0,44,2,3,0,11,2,3,0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,10235,507,7,0,35,3,2,0,30,4,0,6,0,6,9,22,0,20,3,99,10,47,4,76,0,0,0,0,80,1,11,0,9,0,8,2,0,1,4,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,10319,702,5,0,84,2,10,0,92,12,2,6,2,15,39,16,1,31,5,104,9,36,1,108,0,0,1,0,89,0,3,0,12,0,1,2,0,0,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
730,10571,310,2,0,43,0,0,0,64,5,0,2,0,1,7,6,0,8,4,30,5,43,0,38,0,0,0,0,39,0,1,0,5,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,11057,352,2,0,26,0,5,0,54,2,0,3,2,5,16,7,1,11,10,61,0,62,0,23,0,0,0,0,53,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
780,11381,569,4,0,37,1,6,0,87,11,1,4,4,12,14,3,0,30,6,72,8,84,4,75,0,1,0,0,83,0,2,0,5,0,3,2,0,0,4,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
800,11705,352,1,0,8,0,3,0,91,3,0,7,1,5,6,10,2,7,11,52,2,52,0,25,0,0,2,0,39,0,2,0,4,0,5,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
820,11808,521,0,0,4,0,4,0,87,0,2,5,9,10,56,14,0,9,101,78,5,48,1,18,1,3,7,0,28,0,0,0,13,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
840,11872,290,1,0,6,0,3,0,26,0,3,3,1,6,14,14,0,5,153,1,2,8,0,12,0,0,2,0,3,0,1,0,16,0,4,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
860,11936,207,0,0,6,0,0,0,20,0,2,1,0,9,12,5,0,4,117,1,1,3,0,5,0,2,1,0,1,1,1,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,12013,474,0,1,6,1,6,0,66,0,7,7,15,14,15,22,0,7,195,0,0,3,0,15,0,2,0,0,13,0,2,0,41,0,23,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
900,12064,348,0,0,8,1,2,0,17,0,2,1,3,11,5,21,0,2,208,1,0,2,0,6,1,1,8,0,11,0,5,0,14,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
920,12128,293,0,0,12,0,3,0,37,0,2,9,5,8,11,18,0,3,123,0,0,0,0,9,0,0,1,0,14,0,2,0,19,0,9,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
940,12191,301,0,0,9,0,2,0,20,0,3,2,1,8,14,14,0,3,168,1,0,0,0,17,0,0,3,1,8,0,1,0,15,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
960,12255,209,0,0,8,0,2,0,28,0,0,2,1,6,9,8,0,2,105,0,0,0,0,5,0,1,0,0,7,1,0,0,9,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
980,12319,226,1,0,5,0,1,0,22,0,2,8,4,2,10,10,0,3,102,0,0,6,1,6,0,0,7,0,5,0,1,0,14,0,8,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000,12383,339,0,0,6,0,2,1,44,0,7,1,1,8,22,22,0,6,150,1,0,6,0,11,0,1,0,0,8,0,1,0,22,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1020,12447,258,0,0,2,0,3,0,15,1,6,0,3,5,16,26,0,3,115,0,0,5,0,13,0,1,1,0,7,1,1,0,16,1,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,NA,203,0,0,5,0,9,0,18,0,2,6,2,6,6,11,0,3,86,0,0,2,0,3,0,0,2,0,2,0,0,0,20,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1060,NA,313,1,0,2,0,14,0,25,0,5,1,9,10,17,19,0,4,115,0,0,7,1,23,0,2,4,0,3,0,5,0,22,0,11,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
