"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Arceuthobium.pusillum","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum","Diphasiastrum.complanatum.type","Dryas","Dryopteris","Dryopteris.type.undiff.","Ephedra","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus.balsamifera.type","Populus.grandidentata.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.Vitis","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sanguisorba.canadensis","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
425,8365,19,0,0,1,1,4,16,0,0,0,1,0,0,1,0,280,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,6,0,1,0,0,4,0,0,4,0,0,0,0,0,1,0,0,21,19,9,39,34,1,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,5,0,24,1,0,0,0,0
450,9268,38,0,0,1,0,14,57,3,0,0,0,0,0,2,0,352,0,0,0,1,0,0,0,0,0,6,2,0,0,0,1,0,1,0,0,0,2,0,0,0,6,0,1,0,18,1,1,2,0,1,0,0,1,0,5,0,0,0,0,0,0,33,18,22,45,26,0,4,0,0,0,2,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,20,0,0,0,0,0
465,9810,40,0,0,2,0,1,88,0,1,0,0,0,0,0,0,182,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,21,8,26,16,13,1,1,0,0,0,1,0,2,1,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0
480,10352,32,0,0,0,0,52,290,0,2,0,0,0,2,3,0,202,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,17,0,4,0,0,1,0,0,7,3,3,0,0,0,0,0,2,73,25,43,33,8,0,7,0,0,0,2,0,17,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,9,0,0,0,0,1
485,10533,4,0,0,2,1,66,358,0,0,1,0,0,0,5,0,195,0,2,0,0,0,0,0,0,0,6,8,0,0,2,0,0,1,0,0,0,1,0,0,0,2,1,1,0,40,0,2,1,0,0,0,0,8,7,6,0,0,0,0,0,3,68,25,38,26,9,0,9,0,0,0,5,0,21,3,0,0,0,20,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,1,1,0,0,3,0,1,0,3,0,9,0,0,0,0,0
487,10605,0,0,0,0,0,1,205,3,2,0,0,0,2,3,0,202,0,0,0,1,0,0,0,0,0,1,21,0,0,7,0,0,2,0,0,2,4,0,0,0,0,1,0,2,44,1,21,0,0,0,0,0,9,15,0,0,2,0,1,0,5,58,44,34,16,17,0,14,0,0,0,2,0,31,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,1,0,0,0,9,0,12,2,2,0,0,0
488,10642,0,0,0,2,0,2,142,1,0,0,0,0,2,5,0,159,0,0,0,0,2,0,0,0,0,2,24,0,0,0,1,0,0,1,0,1,3,0,0,0,2,0,0,3,41,0,26,6,0,0,1,0,14,9,0,0,1,0,0,0,5,28,48,16,37,19,0,12,1,0,0,3,0,22,0,2,0,0,21,0,0,0,0,0,0,0,0,9,0,0,0,3,0,1,1,0,0,0,0,0,0,0,5,1,15,3,0,0,0,0
489,10678,2,0,0,0,0,1,166,0,0,0,0,0,1,7,0,257,0,0,0,0,1,0,0,0,0,1,34,1,0,0,8,0,0,2,0,2,8,0,0,0,3,3,0,0,65,1,54,5,0,0,0,1,9,9,0,0,0,0,0,0,2,43,37,29,32,17,0,3,0,0,0,3,0,31,2,0,0,0,18,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,5,0,0,1,2,0,0,0,8,3,9,0,2,0,0,0
490,10714,4,0,0,1,0,1,115,1,2,1,0,0,4,4,0,234,1,0,0,1,0,0,0,0,0,0,39,0,2,0,12,0,0,1,0,0,7,0,0,0,1,0,0,0,43,1,59,14,0,1,0,0,3,3,0,0,0,0,1,0,0,53,32,13,29,12,0,12,0,0,0,9,0,39,1,0,0,0,24,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,7,0,0,0,2,0,0,0,11,6,17,1,0,0,0,0
492,10786,1,0,0,3,0,0,31,0,0,0,0,0,5,3,0,195,0,0,0,0,2,0,0,2,0,2,40,0,1,0,8,0,0,0,0,3,1,0,0,0,1,0,0,0,13,0,39,5,0,0,0,0,12,4,1,0,0,0,0,0,0,26,13,15,26,5,0,17,0,0,0,3,0,31,0,0,0,0,15,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,5,0,0,0,0,0
493,10822,2,0,0,3,0,0,37,0,0,0,0,0,5,6,0,236,0,0,0,0,2,0,0,0,0,3,53,0,4,0,3,0,0,1,0,0,4,0,0,0,2,6,0,0,52,0,71,17,0,1,0,1,16,11,0,0,0,0,2,0,3,37,17,10,39,9,0,29,0,0,0,8,0,50,1,0,0,0,17,0,0,0,0,0,0,0,6,22,4,0,0,1,0,1,1,1,0,0,3,0,0,0,9,0,17,3,0,0,0,0
495,10895,1,0,1,2,0,0,13,0,0,0,0,0,3,3,0,169,0,0,0,0,0,0,0,3,0,1,50,0,2,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,17,0,41,8,0,0,0,0,8,4,0,0,0,0,1,0,0,11,11,7,22,7,0,15,0,0,0,8,1,57,3,0,0,0,7,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,6,0,0,0,0,0
497,11246,1,0,1,0,1,0,13,0,0,0,0,0,7,4,0,181,0,0,0,1,2,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,19,0,28,2,0,0,0,0,7,1,0,0,0,0,0,0,1,7,6,12,29,7,0,10,0,0,0,7,0,59,1,0,0,0,16,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,6,0,0,0,3,0,0,0,5,0,0,1,0,0,0,0
498,11469,2,1,1,0,0,0,16,0,2,0,0,0,3,3,0,141,0,0,0,0,2,0,0,2,0,1,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,12,1,0,0,0,0,5,0,3,0,0,0,0,0,0,8,5,14,22,7,0,12,0,0,0,2,0,33,0,0,0,0,13,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
500,11914,0,0,0,2,0,2,18,0,1,0,0,0,18,4,0,192,0,1,0,0,1,0,0,2,0,1,41,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,17,0,10,2,0,0,0,0,1,0,0,0,1,0,2,0,0,8,5,10,19,6,0,12,0,0,0,3,0,31,0,0,0,0,9,0,0,0,1,0,0,0,0,29,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5,3,7,0,0,0,0,0
502,12359,2,0,0,0,0,0,12,1,0,0,0,0,21,5,0,230,0,0,0,0,2,0,0,0,0,2,51,0,1,0,0,0,0,4,0,2,2,0,0,0,2,0,0,0,2,0,7,3,0,0,0,0,11,2,1,0,0,0,0,1,0,10,5,9,15,2,0,14,0,0,0,4,0,31,0,0,0,0,6,0,0,0,1,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,10,1,0,0,0,0
504,NA,2,0,0,3,0,0,19,0,0,0,0,0,33,1,0,116,0,0,0,0,0,0,0,2,0,1,78,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,1,5,1,0,0,0,0,4,3,0,0,1,0,0,0,2,8,7,7,19,6,0,23,0,0,0,0,0,20,1,0,0,0,7,3,0,0,3,0,0,0,0,46,0,1,0,1,2,0,0,0,0,0,1,0,0,0,6,4,6,3,0,0,0,0
505,NA,0,0,0,0,0,0,19,0,0,0,0,0,33,4,0,114,0,0,0,0,1,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,15,0,1,0,0,0,0,0,0,8,6,13,20,6,0,22,0,0,0,3,0,16,0,0,0,0,1,3,0,0,1,0,0,0,0,37,1,0,0,3,0,0,0,0,1,0,0,0,0,1,3,2,4,2,0,0,0,8
507,NA,1,0,0,0,0,0,20,1,1,0,0,0,40,2,0,51,0,0,0,0,6,0,0,6,0,1,72,0,1,0,2,0,0,2,0,0,2,2,0,0,1,0,1,0,0,0,6,2,0,0,0,0,6,3,1,0,0,0,0,0,0,6,3,6,8,1,0,24,0,0,0,0,0,9,0,0,0,0,4,1,0,0,2,0,0,0,1,58,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0
508,NA,0,0,0,0,0,0,14,0,0,0,0,0,27,4,0,33,0,0,0,0,3,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,9,2,5,9,2,0,23,0,0,0,0,0,7,0,0,0,0,4,1,0,0,3,0,0,0,1,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1
511,NA,0,0,0,0,0,0,10,1,0,0,0,0,5,6,0,95,0,0,0,0,1,0,0,1,0,1,149,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,17,3,5,0,46,0,0,0,2,0,7,0,0,0,0,18,0,0,0,3,0,0,0,0,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0
512,NA,0,0,0,2,0,1,19,1,0,1,0,0,2,1,0,32,0,0,0,0,5,0,0,6,0,0,270,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,14,3,6,0,67,1,0,0,0,0,5,0,0,0,2,10,0,0,0,5,0,0,0,0,69,0,0,0,0,0,0,0,1,0,0,3,0,0,0,9,0,0,0,1,0,0,0
515,NA,1,0,0,1,0,5,47,0,2,0,0,0,11,3,4,47,0,2,1,0,18,0,0,52,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,1,0,3,0,0,0,0,0,1,4,11,14,15,13,1,114,0,0,0,0,0,7,0,0,0,0,0,12,0,0,10,0,0,0,8,14,3,0,0,10,4,0,0,0,1,0,3,0,0,0,5,4,0,0,0,0,0,0
517,NA,0,0,0,0,0,2,38,0,0,0,0,0,7,1,5,24,0,0,0,0,15,0,0,61,0,1,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,2,1,0,0,0,0,0,1,4,10,18,10,15,0,112,0,0,0,2,0,3,0,0,0,0,0,3,0,0,4,0,0,1,10,19,8,0,0,8,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
518,NA,1,0,0,0,0,3,15,3,1,0,0,0,10,3,4,28,0,2,0,1,16,0,0,70,0,1,216,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,4,8,12,10,11,0,108,0,0,0,2,0,2,0,0,0,0,1,17,0,0,5,1,1,0,15,22,6,0,0,3,3,0,1,0,2,0,0,0,0,0,5,0,3,2,0,0,0,0
519,NA,0,0,0,0,0,1,18,4,1,0,0,0,4,4,4,27,0,4,0,0,28,0,0,56,0,0,142,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,10,9,5,0,80,0,0,0,0,0,11,1,0,0,0,1,13,0,0,7,0,1,0,4,12,6,0,0,6,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0
520,NA,0,0,0,0,0,0,21,4,1,0,0,0,4,5,2,22,0,1,0,0,28,0,0,50,0,1,187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6,6,2,5,0,94,0,0,0,0,0,18,0,0,0,0,5,6,0,0,11,0,3,0,17,22,11,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
522,NA,0,0,0,0,0,2,3,0,0,0,0,0,5,10,18,8,0,2,0,0,25,0,0,37,0,1,272,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,6,4,2,0,79,0,0,0,0,0,1,0,0,0,0,0,11,0,0,1,0,0,0,8,11,3,1,0,5,3,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0
523,NA,0,0,0,1,0,8,20,1,1,0,0,1,17,9,6,21,0,1,0,0,91,0,0,75,1,7,391,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,27,14,15,0,218,0,0,0,0,0,2,0,0,0,0,2,6,0,0,14,0,1,3,9,71,14,0,0,7,2,0,1,0,0,0,1,0,0,0,2,3,2,1,0,0,0,0
525,NA,3,0,1,0,0,21,34,0,1,2,0,1,24,12,4,56,0,8,0,0,78,0,0,149,0,9,693,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,8,1,0,0,0,0,1,0,35,16,103,10,26,0,385,0,1,0,0,0,2,1,0,0,0,4,4,0,0,19,0,0,0,12,29,16,0,0,3,2,0,4,1,6,0,3,0,0,0,5,0,0,1,1,0,0,0
527,NA,0,0,0,1,0,7,27,1,0,1,0,0,7,3,2,27,0,2,0,0,29,0,0,34,0,2,237,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,2,13,0,115,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,1,16,28,14,1,0,3,1,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0
529,NA,0,0,0,0,0,2,18,2,5,0,0,0,13,19,2,24,0,1,0,0,50,0,0,40,0,2,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,1,8,10,14,8,9,0,130,0,0,0,1,0,1,0,0,0,0,0,3,0,0,4,0,0,0,24,38,21,0,0,4,2,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,0,1
531,NA,0,0,0,0,0,6,12,2,3,0,0,0,11,12,1,16,0,8,0,0,22,0,0,35,0,3,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,7,7,17,4,13,0,66,0,0,0,0,0,2,0,0,0,1,3,4,0,0,4,0,1,0,14,41,20,0,0,3,1,0,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0
532,NA,0,0,0,0,0,1,2,0,0,0,0,0,4,7,0,13,0,0,0,1,36,0,0,1,0,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,9,0,4,0,52,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,11,22,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0
533,NA,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,1,0,1,0,0,53,0,0,1,0,2,310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,3,5,0,5,0,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,28,5,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
536,NA,2,0,0,0,0,5,3,0,1,0,0,0,10,12,0,17,0,1,0,0,49,0,0,2,1,8,366,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,8,7,15,4,10,0,132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,16,101,7,0,0,4,0,1,0,0,1,0,0,0,0,0,11,0,7,1,0,0,0,0
538,NA,0,0,0,0,1,0,3,1,1,0,0,0,7,4,1,13,0,2,0,0,24,0,0,0,0,1,230,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,2,5,9,3,6,0,66,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,7,33,19,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,5,0,0,0,0,0
539,NA,0,0,0,2,0,1,7,3,3,0,0,1,14,7,3,36,0,3,0,1,41,1,0,0,1,15,445,0,0,1,0,0,0,0,0,0,0,0,3,0,4,2,0,0,0,0,4,8,0,0,0,0,2,3,3,0,1,0,1,0,0,13,15,21,3,26,0,163,0,0,1,0,0,0,7,0,0,0,2,1,0,0,12,0,0,0,6,51,1,0,0,8,0,0,0,3,1,0,0,0,0,0,14,5,7,1,0,0,0,0
544,NA,1,0,0,0,0,1,3,0,1,0,0,1,14,8,4,25,0,0,0,0,35,0,0,0,0,12,230,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,3,0,0,0,0,0,1,2,0,4,0,0,0,0,9,9,22,3,9,0,124,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,8,61,6,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0
547,NA,0,0,0,0,0,0,8,0,0,0,0,0,6,2,0,15,0,0,0,0,14,0,0,0,0,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16,3,13,0,44,0,0,2,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,2,28,6,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
550,NA,0,0,0,0,0,7,1,1,2,0,0,1,12,4,6,26,0,0,0,0,9,0,0,0,0,11,55,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,6,4,0,0,0,0,0,2,0,0,5,0,0,0,0,6,13,20,5,15,0,35,0,0,0,0,0,10,6,0,0,0,5,1,0,0,0,0,0,0,0,66,0,0,0,6,7,0,0,0,0,0,1,0,0,0,5,0,1,2,0,0,0,0
552,NA,1,0,0,0,0,1,3,0,1,0,0,0,3,1,0,11,0,0,0,0,1,0,0,0,0,8,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,4,9,10,2,6,0,16,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0
