"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Nemopanthus","Picea","Taxus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Rosaceae.undiff.","Myrica","Pinus","Amaranthaceae","Poaceae","Ericales","Juniperus","cf..Myrica","Betula...20.µm.","Betula...20.µm..1","Asteraceae.subf..Cichorioideae","Juglans","Brassicaceae","Caryophyllaceae","Cornus","Caprifoliaceae","Corylus","Fagus","Quercus","Salix","Tsuga","Ranunculaceae.undiff.","Populus","Acer","Ulmus","Artemisia","Saxifragaceae","Rumex.type","Lamiaceae","Tilia","Primulaceae","Sanguisorba","Urticaceae"
135,4622,254,24,8,0,61,15,3,1,4,4,9,2,0,2,5,0,9,104,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
145,4823,218,12,9,1,71,4,3,0,4,0,10,4,0,1,1,2,9,76,2,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0
155,5024,285,23,4,2,63,16,6,4,7,5,12,5,0,1,4,0,14,113,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5224,278,27,21,5,65,7,3,3,2,6,6,4,0,0,2,0,11,107,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,5284,228,26,7,0,42,2,2,4,0,4,5,5,0,1,1,3,9,97,8,0,0,5,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0
175,5466,214,19,5,0,53,6,2,2,3,2,3,2,0,1,2,0,7,88,11,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
185,5875,241,26,6,1,68,12,0,3,0,1,7,5,0,2,2,0,11,94,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,6283,227,16,3,1,65,9,2,6,5,5,6,1,0,1,3,1,16,78,1,0,0,1,0,1,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0
205,6692,602,78,26,0,101,0,12,7,15,8,14,9,0,4,6,1,28,261,12,0,0,0,0,2,1,0,0,0,0,1,3,7,0,2,2,0,0,0,0,0,1,1
210,6896,288,7,7,2,74,17,6,2,1,5,8,1,0,5,1,0,21,115,5,0,0,1,0,1,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0
215,7100,978,69,54,0,195,88,13,18,17,10,8,16,0,9,4,4,39,399,16,0,0,0,0,0,2,0,0,0,2,0,10,5,0,0,0,0,0,0,0,0,0,0
220,7304,273,11,7,0,67,17,4,2,1,1,4,5,0,1,1,0,15,126,2,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
222.5,7407,270,12,7,0,71,20,2,2,3,3,10,4,0,1,0,2,15,109,2,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
225,7509,413,33,15,0,52,10,4,4,6,11,4,5,0,0,2,4,20,218,7,0,0,0,0,0,0,0,0,0,1,0,3,13,0,1,0,0,0,0,0,0,0,0
230,7713,209,7,3,1,51,13,3,2,2,3,4,1,1,1,2,0,9,92,2,0,0,2,0,0,1,0,0,0,1,0,1,6,1,0,0,0,0,0,0,0,0,0
235,7917,365,14,5,0,77,32,10,6,3,3,1,2,0,1,1,5,5,179,6,0,0,0,0,0,0,0,0,1,1,1,4,8,0,0,0,0,0,0,0,0,0,0
240,8121,441,19,9,0,37,28,4,3,4,4,14,7,0,6,0,1,13,269,17,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
245,NA,672,51,7,0,189,0,8,5,20,1,37,44,0,17,10,2,47,149,66,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9
