"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Rumex","Cornus","Acer.undiff.","Cannabaceae","Amaranthaceae.undiff.","Liquidambar","Tilia","Ericaceae","Juglans.nigra","Vitis","Castanea","Juglans.cinerea","Thalictrum","Morus","Galium","Plantago","Aquifoliaceae","Sarcobatus.vermiculatus","Urtica.type","Ranunculaceae.undiff.","Iva.xanthifolia.type","Shepherdia.canadensis","Celtis","Herbs.undiff.","Onagraceae","Dryas.type"
100,1880,0.00847457627118644,0.00423728813559322,0.00211864406779661,0,0.0190677966101695,0.00211864406779661,0.00211864406779661,0,0.230932203389831,0,0.0148305084745763,0.0317796610169492,0.0105932203389831,0.00635593220338983,0.00635593220338983,0,0.00423728813559322,0.0105932203389831,0.0254237288135593,0.125,0.396186440677966,0,0.0296610169491525,0,0.0105932203389831,0,0.0105932203389831,0,0.0105932203389831,0.00847457627118644,0.0127118644067797,0,0,0,0,0,0,0,0.0169491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2075,0.00574712643678161,0.00574712643678161,0.00191570881226054,0.00191570881226054,0.0172413793103448,0.00766283524904215,0.00574712643678161,0.00383141762452107,0.199233716475096,0,0.00383141762452107,0.0574712643678161,0.0191570881226054,0.00957854406130268,0.00383141762452107,0.00574712643678161,0.00383141762452107,0.00766283524904215,0.024904214559387,0.14176245210728,0.35823754789272,0.00383141762452107,0.0421455938697318,0.00383141762452107,0.00574712643678161,0.00383141762452107,0.0268199233716475,0,0.0114942528735632,0.00574712643678161,0.00766283524904215,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2272,0.00647948164146868,0,0,0,0.0302375809935205,0.019438444924406,0.00215982721382289,0.0107991360691145,0.200863930885529,0,0,0.0302375809935205,0.0215982721382289,0.00647948164146868,0.00215982721382289,0.00215982721382289,0.00647948164146868,0.0107991360691145,0.0367170626349892,0.161987041036717,0.31317494600432,0.00431965442764579,0.0431965442764579,0.00647948164146868,0.00863930885529158,0,0.0172786177105832,0.00215982721382289,0.0107991360691145,0.00863930885529158,0.0107991360691145,0,0.00215982721382289,0.0107991360691145,0,0.00215982721382289,0,0,0.00863930885529158,0,0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2471,0.00435729847494553,0.00435729847494553,0,0,0.0174291938997821,0.0065359477124183,0,0,0.233115468409586,0,0.00217864923747277,0.056644880174292,0.0108932461873638,0.0065359477124183,0.00217864923747277,0.00217864923747277,0.00435729847494553,0.0196078431372549,0.0326797385620915,0.100217864923747,0.394335511982571,0.00217864923747277,0.0348583877995643,0,0.0065359477124183,0,0.0152505446623094,0,0.0130718954248366,0.0108932461873638,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2672,0.00829875518672199,0,0,0,0.0228215767634855,0.0103734439834025,0.0020746887966805,0.004149377593361,0.192946058091286,0.00622406639004149,0.0145228215767635,0.0145228215767635,0.00829875518672199,0.004149377593361,0.00622406639004149,0.0020746887966805,0.004149377593361,0.012448132780083,0.012448132780083,0.107883817427386,0.45643153526971,0.0020746887966805,0.0477178423236514,0,0.0020746887966805,0,0.00622406639004149,0.0020746887966805,0.0186721991701245,0.012448132780083,0.012448132780083,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,0.0020746887966805,0,0.0020746887966805,0,0,0,0,0,0,0,0,0,0,0,0
147,2814,0.00490196078431373,0.00490196078431373,0,0,0.017156862745098,0.00980392156862745,0,0.00245098039215686,0.232843137254902,0.00245098039215686,0.00245098039215686,0.0269607843137255,0.0196078431372549,0.00735294117647059,0.00245098039215686,0.00490196078431373,0.00245098039215686,0.00735294117647059,0.0196078431372549,0.0931372549019608,0.41421568627451,0,0.0465686274509804,0,0.00735294117647059,0.00245098039215686,0.00490196078431373,0,0.0269607843137255,0.00490196078431373,0.00735294117647059,0,0,0,0,0.00245098039215686,0,0,0.0196078431372549,0,0,0,0,0,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0
160,3081,0.00220264317180617,0,0,0,0.0154185022026432,0.0286343612334802,0.00220264317180617,0.00440528634361234,0.215859030837004,0.00220264317180617,0,0.0440528634361234,0.0154185022026432,0.00440528634361234,0.00440528634361234,0.00220264317180617,0.00220264317180617,0.00220264317180617,0.0220264317180617,0.193832599118943,0.348017621145374,0.0066079295154185,0.0352422907488987,0,0.00220264317180617,0.00220264317180617,0.00440528634361234,0,0.0154185022026432,0.00220264317180617,0.0110132158590308,0,0,0.00440528634361234,0,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0.00220264317180617,0,0,0,0,0,0,0,0,0,0
170,3290,0.0023094688221709,0.0023094688221709,0.0023094688221709,0,0.0277136258660508,0.0092378752886836,0,0.0069284064665127,0.182448036951501,0.0023094688221709,0.0023094688221709,0.0300230946882217,0.0207852193995381,0.0046189376443418,0.0069284064665127,0,0.0023094688221709,0.0115473441108545,0.0161662817551963,0.0646651270207852,0.51270207852194,0,0.0277136258660508,0.0023094688221709,0.0023094688221709,0,0.0138568129330254,0,0.023094688221709,0.0069284064665127,0.0023094688221709,0,0.0023094688221709,0,0,0,0,0,0.0092378752886836,0,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3501,0.00165562913907285,0,0,0,0.0264900662251656,0.00662251655629139,0.0033112582781457,0.00662251655629139,0.253311258278146,0,0.00662251655629139,0.0413907284768212,0.0033112582781457,0.00827814569536424,0.00827814569536424,0.00496688741721854,0.0033112582781457,0.00827814569536424,0.021523178807947,0.0993377483443709,0.341059602649007,0.0033112582781457,0.0579470198675497,0,0.00662251655629139,0,0.0248344370860927,0,0.00827814569536424,0.0264900662251656,0.00827814569536424,0,0.0033112582781457,0.00827814569536424,0,0,0,0.00165562913907285,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3715,0.00344234079173838,0.00344234079173838,0.00172117039586919,0.00172117039586919,0.0120481927710843,0.0120481927710843,0,0,0.179001721170396,0,0.00344234079173838,0.0774526678141136,0.00688468158347676,0.0103270223752151,0.00860585197934595,0.00172117039586919,0.00172117039586919,0.00516351118760757,0.0292598967297762,0.12736660929432,0.438898450946644,0.00172117039586919,0.0327022375215146,0.00172117039586919,0,0,0.0206540447504303,0,0.0103270223752151,0.00516351118760757,0.00344234079173838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
