"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Ilex","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tilia","Tsuga","Ulmus","Alnus","Acer","Fabaceae","Rosaceae.undiff.","Fraxinus","Populus","Poaceae","Abies","Pinus.subg..Pinus","Platanus","Juglans","Caryophyllaceae","Corylus","Ericaceae","Urtica.type","Taxus","Asteraceae.subf..Asteroideae.undiff.","Shepherdia","Castanea","Cupressaceae","Larix","Rhamnaceae","Thalictrum","Myrica","Lamiaceae","Salix","Nemopanthus","Asteraceae.subf..Cichorioideae","Sarcobatus.vermiculatus","Liquidambar","Apiaceae","Onagraceae","Galium","Ranunculaceae.undiff.","Dryas.type","Potentilla.type"
225,2870,320,2,0,27,5,0,0,86,1,10,3,17,14,40,0,3,21,24,6,28,0,0,19,2,2,0,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,3211,362,4,0,29,6,1,2,78,0,10,1,12,16,46,0,3,34,44,2,43,0,0,19,2,0,0,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
265,3550,379,2,0,37,6,0,0,74,0,16,1,24,21,67,0,2,35,33,0,26,0,0,20,1,1,0,1,8,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3884,414,3,0,35,11,2,2,82,0,16,0,30,16,83,0,5,31,28,0,39,0,0,21,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
305,4208,319,1,2,28,6,1,2,66,0,10,1,30,17,53,0,5,11,30,1,25,0,0,16,1,1,0,0,4,2,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4519,335,1,2,22,5,1,1,84,0,9,0,12,11,58,0,3,12,47,4,30,0,0,13,3,1,0,0,8,3,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,4813,438,3,1,24,7,1,1,90,1,14,0,47,26,82,0,1,11,36,1,40,1,0,26,0,0,0,2,8,4,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
365,5087,387,3,1,19,4,1,0,72,3,16,0,27,20,68,0,3,13,55,1,38,0,1,21,2,1,0,0,7,2,0,1,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385,5338,277,1,1,7,3,0,3,52,0,12,1,14,11,49,0,4,34,37,1,20,0,0,12,3,1,0,0,3,3,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,5575,268,1,1,9,6,0,0,35,1,6,1,21,20,60,0,1,26,30,1,21,0,0,10,1,1,0,0,9,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
425,5807,330,2,0,12,10,1,0,62,1,14,2,13,10,81,0,5,29,33,0,20,0,0,17,2,0,0,1,2,6,0,1,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,6054,323,2,0,6,7,0,0,84,0,11,1,3,13,39,0,6,69,38,2,15,0,0,9,0,0,0,0,10,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
465,6289,345,1,2,6,4,0,0,68,0,21,0,10,9,75,0,8,32,55,0,33,0,1,11,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,6555,363,2,2,5,6,0,0,108,1,20,1,6,12,48,0,4,27,61,0,31,0,0,17,0,1,0,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
505,6839,326,1,0,4,11,0,0,93,0,25,1,8,7,56,0,4,23,40,2,28,0,0,9,0,0,0,0,9,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,6914,435,2,2,7,7,3,0,129,0,25,2,19,10,64,0,7,24,63,1,34,0,1,16,1,1,0,0,7,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
525,7144,503,1,1,4,7,1,3,111,0,51,0,7,16,111,0,7,28,88,2,36,0,1,12,1,0,0,1,8,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
535,7305,351,1,1,9,5,0,1,70,0,32,0,13,8,64,0,9,31,51,1,19,0,0,19,1,1,0,2,5,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
545,7471,346,1,1,6,8,1,2,93,0,29,0,10,5,50,0,4,32,51,1,26,0,0,6,1,0,0,1,5,4,0,1,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
555,7642,373,0,0,6,6,0,1,68,0,24,1,6,9,60,0,4,102,47,0,18,0,0,10,0,0,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
565,7819,436,6,1,10,11,2,3,62,0,32,2,31,20,54,0,5,77,49,2,18,0,0,31,1,1,0,4,4,1,0,2,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,8003,412,2,0,9,11,0,0,11,0,37,4,43,40,66,0,2,74,42,1,24,0,0,21,2,4,0,5,2,4,0,1,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,8192,416,3,3,10,6,2,1,6,0,26,1,58,41,57,0,8,117,26,1,13,0,0,11,3,0,2,13,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,8388,473,0,0,11,2,1,3,4,0,78,2,94,40,76,0,7,52,29,1,23,0,0,9,4,3,0,18,4,2,0,1,0,3,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
605,8590,540,3,0,17,7,0,0,1,0,85,9,116,37,106,0,3,7,25,3,24,0,0,6,2,2,6,58,7,0,0,3,0,6,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
615,8799,247,1,1,14,2,2,1,1,0,25,0,41,36,57,0,3,3,8,0,3,0,0,6,1,1,0,36,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,9016,340,2,1,19,2,2,3,0,0,22,7,85,34,62,0,4,5,11,0,6,0,0,6,1,2,1,52,5,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
635,9243,374,2,2,8,3,0,1,4,0,28,12,97,29,57,1,2,18,17,0,9,0,0,11,7,1,2,56,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
645,9480,454,0,3,28,1,0,0,0,0,21,4,149,35,63,0,1,2,8,1,1,0,0,12,7,4,2,102,0,1,0,1,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
655,9729,391,0,3,15,2,1,2,0,0,12,5,102,63,50,0,1,2,16,0,3,0,0,7,5,3,3,87,0,2,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
665,9991,397,1,2,18,6,1,1,3,0,15,2,63,54,58,1,0,0,15,0,6,0,0,9,4,2,4,118,0,0,0,1,0,3,0,3,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
675,10267,341,1,1,20,4,1,1,2,0,9,2,85,53,31,0,1,1,6,1,2,0,1,7,2,0,3,100,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
685,10559,470,3,2,38,1,0,0,0,0,15,8,110,53,43,0,0,4,13,3,2,0,0,1,13,1,7,141,0,1,0,4,0,3,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
695,10867,406,3,0,21,3,0,2,0,0,16,5,96,40,56,0,1,0,30,1,4,0,0,15,14,1,4,82,0,1,0,3,0,0,0,1,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
705,11194,492,1,3,55,2,0,4,1,0,25,18,82,60,63,0,0,0,35,0,4,0,0,15,7,2,9,90,0,0,0,2,0,1,0,4,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
715,11552,445,2,2,50,5,1,3,1,0,51,17,23,50,98,0,0,3,29,1,1,0,0,12,2,2,10,61,0,3,0,7,0,1,0,2,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
725,11951,337,3,4,12,2,1,2,0,0,23,36,8,55,31,0,0,1,11,2,1,1,0,13,3,4,3,100,0,6,0,8,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
735,12392,321,1,8,27,1,0,4,0,0,12,68,8,25,42,0,0,4,23,6,2,0,1,15,14,13,0,27,0,0,0,0,0,4,0,5,2,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
745,12865,355,6,18,17,1,1,11,0,0,1,182,0,22,20,0,0,2,3,5,0,0,1,1,5,11,0,34,0,0,1,0,0,2,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,13109,336,5,17,12,0,0,13,0,0,3,184,0,13,15,0,0,4,6,2,0,0,0,2,4,14,1,19,0,1,0,0,0,0,0,5,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
755,13357,341,7,18,8,1,1,7,0,0,4,234,0,2,21,0,0,1,1,1,0,0,0,9,3,1,1,13,0,1,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
759,13556,295,3,9,6,3,1,13,0,0,11,196,0,4,16,0,0,0,2,1,0,0,1,10,0,1,3,9,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
766,NA,244,9,26,3,2,0,24,0,0,13,104,0,4,15,0,0,0,3,0,1,0,0,12,2,7,2,6,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
770,NA,287,2,46,7,0,0,46,0,0,5,98,1,12,12,0,0,0,2,4,0,0,2,7,1,13,2,5,0,0,0,0,0,0,0,6,0,1,3,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0
