"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.undiff.","Alnus.incana.type","Betula","Bidens.type","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Ilex","Juglans.nigra","Juglans.undiff.","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Plantago.lanceolata","Platanus","Quercus","Rubus","Salix","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Ambrosia","Populus","Brassicaceae","Urtica","Acer.saccharum","Chenopodium.type","Celtis.Maclura.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.pennsylvanica.F..americana.type","Liquidambar.styraciflua","Mitella","Castanea","Lonicera","Nyssa","Rumex","Xanthium","Myrica.type","Cephalanthus.occidentalis","Prunus","Rhamnus","Zanthoxylum.americanum","Catalpa.speciosa","Diodia","Artemisia","Tsuga","Zea.mays","Viburnum","Dodecatheon","Solanaceae","Iva","Trifolium","Liriodendron.tulipifera","Hypericum","Onagraceae","Lamiaceae","Cornus.florida","Acer.rubrum","Magnolia","Morus","Polygonum.hydropiper.type","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Robinia","Hypoxis.hirsuta","Juglans.cinerea","Celastraceae","Galium","Toxicodendron.radicans","Malvaceae","Tilia"
195,124,351,0,0,0,2,0,5,0,1,3,33,0,1,7,4,0,1,0,0,18,131,0,0,0,108,0,3,0,0,0,0,0,1,7,0,0,0,0,1,0,2,3,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200,128,378,0,0,0,4,0,2,0,0,3,15,0,5,7,15,0,0,0,2,15,102,0,0,2,113,3,6,1,0,3,2,0,0,30,0,4,0,1,0,0,3,5,9,0,21,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.5,130,351,0,0,1,4,1,17,0,0,1,21,1,0,1,8,0,0,0,1,34,152,0,0,0,84,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,12,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
205,231,345,0,0,0,6,2,12,0,0,1,24,0,0,2,8,0,0,2,1,17,128,0,0,0,102,0,4,0,0,0,2,1,0,4,0,1,0,0,0,0,3,3,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
207.5,331,348,0,1,0,1,0,4,1,0,0,23,0,0,3,6,0,0,0,0,39,123,0,0,0,92,0,2,0,0,0,2,1,0,3,0,1,0,0,0,0,2,8,15,0,13,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
210,432,357,0,0,0,2,1,17,0,0,0,24,0,1,2,7,0,0,0,0,34,112,0,0,0,93,0,2,1,0,0,5,0,0,4,0,0,0,0,1,0,6,9,9,0,19,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
212.5,533,341,0,0,0,1,2,11,0,0,1,21,0,0,2,4,0,0,1,0,45,110,0,0,1,99,1,0,0,2,0,1,0,0,4,0,2,0,0,0,0,5,5,7,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
215,633,331,0,0,0,2,0,10,1,0,0,18,0,0,1,5,0,0,0,0,38,137,0,0,0,73,1,2,0,0,1,7,0,0,1,0,0,0,0,1,0,1,3,11,0,13,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217.5,734,334,0,0,0,2,0,12,0,0,0,23,0,0,1,0,0,0,0,1,48,158,0,0,1,53,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,3,1,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,835,345,0,0,0,4,0,9,0,0,1,23,0,2,1,7,0,0,2,0,20,150,0,0,0,88,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
222.5,935,348,0,0,1,4,1,11,0,0,1,19,0,0,0,1,0,0,0,1,31,109,0,0,0,98,2,1,0,0,0,8,0,0,6,0,2,0,0,0,0,3,3,11,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,1036,353,0,0,2,3,3,14,3,1,1,22,0,1,3,7,0,0,1,2,15,110,0,0,0,87,3,0,0,0,0,0,0,0,3,0,1,0,0,0,1,4,2,31,1,26,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
227.5,1136,379,0,0,0,4,0,6,0,0,1,38,0,0,2,7,0,0,3,0,35,115,0,0,0,91,4,3,0,1,0,6,2,0,10,0,0,1,0,1,0,4,2,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
230,1237,374,0,0,0,3,2,6,1,1,0,33,0,2,3,18,0,0,0,0,12,118,0,0,0,117,2,0,1,0,1,4,1,1,6,0,3,0,0,0,1,2,2,3,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
232.5,1338,352,0,0,0,4,1,8,0,0,2,28,1,0,1,5,0,0,1,0,34,103,0,0,0,110,2,2,0,1,0,10,0,0,6,0,1,0,0,0,0,5,1,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
235,1438,345,0,0,0,1,1,18,0,0,0,28,0,0,2,1,0,1,1,2,26,118,0,0,0,103,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,4,1,8,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
237.5,1539,347,0,0,1,1,1,13,0,0,0,24,0,0,1,3,0,0,0,1,26,121,0,0,0,102,2,1,0,1,0,5,0,0,5,0,0,1,0,0,0,1,6,6,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
240,1640,367,0,1,1,3,1,12,0,2,2,29,0,1,4,15,2,0,1,1,11,69,0,0,0,132,0,7,0,0,0,3,3,1,10,0,0,1,0,0,0,6,12,11,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0
242.5,1740,344,0,0,0,3,2,8,0,1,1,14,0,0,1,3,0,2,0,0,32,97,0,0,0,127,1,0,0,1,0,8,3,0,4,0,0,0,1,1,0,3,0,5,0,13,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0
245,1841,342,0,1,0,7,0,6,0,3,1,19,0,0,4,8,0,1,1,0,23,112,0,0,0,108,1,0,1,1,1,1,0,0,2,0,0,3,0,0,0,5,4,7,0,13,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
247.5,1941,369,0,0,1,8,1,16,0,0,1,32,0,1,1,10,0,0,2,0,25,128,0,0,0,89,0,2,0,4,0,1,2,0,7,0,1,0,1,1,0,3,2,8,0,15,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
250,2042,367,0,0,0,6,1,16,0,0,3,40,0,1,5,8,0,0,1,0,16,94,0,0,0,126,1,0,1,0,1,1,2,0,5,0,2,1,0,1,1,3,4,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
257.5,2344,363,0,0,2,52,0,12,0,2,1,36,0,2,2,8,0,0,1,0,11,77,0,0,0,98,0,4,0,0,0,7,3,0,5,2,1,1,0,1,0,3,3,5,0,14,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
260,2445,376,0,0,0,7,1,10,0,2,3,45,0,2,5,10,0,1,2,2,9,70,0,0,0,125,4,3,0,0,0,13,0,0,3,0,2,1,0,1,0,4,2,20,0,21,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
262.5,2545,379,0,0,0,8,2,7,1,1,3,44,0,1,4,13,0,0,1,3,9,77,0,0,0,123,0,1,1,0,0,17,1,0,2,2,1,4,0,1,1,3,3,11,0,21,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1
265,NA,351,0,1,1,5,1,8,0,1,1,24,0,4,5,7,0,0,1,3,11,69,0,0,0,123,2,2,0,0,0,18,3,1,2,0,3,2,1,1,4,0,4,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
267.5,NA,350,0,0,0,2,2,5,0,0,2,18,0,4,6,10,0,0,0,2,5,72,0,0,4,122,0,36,6,0,2,4,0,0,8,0,4,0,3,0,0,1,7,8,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,NA,352,0,1,2,2,0,4,0,1,0,22,0,2,8,14,1,0,0,1,15,85,0,0,0,124,0,14,1,0,0,3,1,0,5,1,1,0,0,0,0,9,7,2,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0
